t=,39600, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.001945, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.321272, id=,B08, PRDE,actvstrat=,0.941910, actvprof=,5.657337, id=,B09, PRDE,actvstrat=,0.054864, actvprof=,5.979026, id=,S00, PRDE,actvstrat=,-0.288970, actvprof=,0.873116, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.983679, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.175568, id=,S07, PRDE,actvstrat=,-0.148775, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.979026, best_B_strat=,0.054864, best_S_id=,S01, best_S_prof=,4.983679, best_S_strat=,-1.000000, 
t=,43200, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000972, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.418956, id=,B08, PRDE,actvstrat=,0.941910, actvprof=,5.744326, id=,B09, PRDE,actvstrat=,0.054864, actvprof=,6.007389, id=,S00, PRDE,actvstrat=,-0.288970, actvprof=,1.035584, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.056252, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.164866, id=,S07, PRDE,actvstrat=,-0.148775, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.007389, best_B_strat=,0.054864, best_S_id=,S01, best_S_prof=,5.056252, best_S_strat=,-1.000000, 
t=,46800, id=,B02, PRDE,actvstrat=,0.403340, actvprof=,0.000833, id=,B03, PRDE,actvstrat=,-0.086675, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.731559, actvprof=,1.298146, id=,B08, PRDE,actvstrat=,-0.881877, actvprof=,0.844503, id=,B09, PRDE,actvstrat=,0.865689, actvprof=,6.390444, id=,S00, PRDE,actvstrat=,-0.705971, actvprof=,1.105910, id=,S01, PRDE,actvstrat=,0.310950, actvprof=,2.697965, id=,S05, PRDE,actvstrat=,-0.234409, actvprof=,0.010834, id=,S07, PRDE,actvstrat=,0.447562, actvprof=,0.003056, id=,S08, PRDE,actvstrat=,-0.807091, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.390444, best_B_strat=,0.865689, best_S_id=,S01, best_S_prof=,2.697965, best_S_strat=,0.310950, 
t=,50400, id=,B02, PRDE,actvstrat=,0.403340, actvprof=,0.000417, id=,B03, PRDE,actvstrat=,-0.086675, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.731559, actvprof=,1.355186, id=,B08, PRDE,actvstrat=,-0.881877, actvprof=,0.872253, id=,B09, PRDE,actvstrat=,0.865689, actvprof=,6.428695, id=,S00, PRDE,actvstrat=,-0.705971, actvprof=,1.014341, id=,S01, PRDE,actvstrat=,0.310950, actvprof=,2.675371, id=,S05, PRDE,actvstrat=,-0.234409, actvprof=,0.005417, id=,S07, PRDE,actvstrat=,0.447562, actvprof=,0.003195, id=,S08, PRDE,actvstrat=,-0.807091, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.428695, best_B_strat=,0.865689, best_S_id=,S01, best_S_prof=,2.675371, best_S_strat=,0.310950, 
t=,54000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000833, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.922687, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.051324, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.348395, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,7.323490, id=,S01, PRDE,actvstrat=,0.450499, actvprof=,2.826108, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.136124, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.348395, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,7.323490, best_S_strat=,1.000000, 
t=,57600, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.001389, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.917454, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.991493, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.446008, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,7.408138, id=,S01, PRDE,actvstrat=,0.450499, actvprof=,2.885418, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.133895, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.446008, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,7.408138, best_S_strat=,1.000000, 
t=,61200, id=,B02, PRDE,actvstrat=,-0.442792, actvprof=,0.001945, id=,B03, PRDE,actvstrat=,-0.658629, actvprof=,0.010279, id=,B06, PRDE,actvstrat=,0.256004, actvprof=,1.833234, id=,B08, PRDE,actvstrat=,0.494688, actvprof=,5.296626, id=,B09, PRDE,actvstrat=,0.166841, actvprof=,6.308947, id=,S00, PRDE,actvstrat=,0.763390, actvprof=,4.965205, id=,S01, PRDE,actvstrat=,0.709880, actvprof=,3.021127, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.118900, id=,S07, PRDE,actvstrat=,-0.017073, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.308947, best_B_strat=,0.166841, best_S_id=,S00, best_S_prof=,4.965205, best_S_strat=,0.763390, 
t=,64800, id=,B02, PRDE,actvstrat=,-0.442792, actvprof=,0.002083, id=,B03, PRDE,actvstrat=,-0.658629, actvprof=,0.012223, id=,B06, PRDE,actvstrat=,0.256004, actvprof=,1.810075, id=,B08, PRDE,actvstrat=,0.494688, actvprof=,5.307860, id=,B09, PRDE,actvstrat=,0.166841, actvprof=,6.457213, id=,S00, PRDE,actvstrat=,0.763390, actvprof=,4.954095, id=,S01, PRDE,actvstrat=,0.709880, actvprof=,3.005959, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.106254, id=,S07, PRDE,actvstrat=,-0.017073, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.457213, best_B_strat=,0.166841, best_S_id=,S00, best_S_prof=,4.954095, best_S_strat=,0.763390, 
t=,68400, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.001389, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.895281, id=,B08, PRDE,actvstrat=,-0.580360, actvprof=,3.827039, id=,B09, PRDE,actvstrat=,-0.759489, actvprof=,4.886586, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.411082, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.232634, id=,S05, PRDE,actvstrat=,-0.168388, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000833, id=,S08, PRDE,actvstrat=,0.996376, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.886586, best_B_strat=,-0.759489, best_S_id=,S00, best_S_prof=,5.411082, best_S_strat=,-1.000000, 
t=,72000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.001111, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.924427, id=,B08, PRDE,actvstrat=,-0.580360, actvprof=,3.925580, id=,B09, PRDE,actvstrat=,-0.759489, actvprof=,4.814089, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.453422, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.257816, id=,S05, PRDE,actvstrat=,-0.168388, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000694, id=,S08, PRDE,actvstrat=,0.996376, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.814089, best_B_strat=,-0.759489, best_S_id=,S00, best_S_prof=,5.453422, best_S_strat=,-1.000000, 
