t=,43200, id=,B00, PRDE,actvstrat=,0.388325, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.085963, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.024982, actvprof=,0.001944, id=,B04, PRDE,actvstrat=,0.497507, actvprof=,0.069030, id=,B05, PRDE,actvstrat=,0.365841, actvprof=,0.712242, id=,S00, PRDE,actvstrat=,-0.422845, actvprof=,2.579238, id=,S01, PRDE,actvstrat=,-0.859905, actvprof=,0.445012, id=,S02, PRDE,actvstrat=,0.952184, actvprof=,3.064530, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.211950, id=,S09, PRDE,actvstrat=,-0.269788, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,0.712242, best_B_strat=,0.365841, best_S_id=,S02, best_S_prof=,3.064530, best_S_strat=,0.952184, 
t=,46800, id=,B00, PRDE,actvstrat=,0.806852, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.918702, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.346821, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.803879, actvprof=,0.015834, id=,B05, PRDE,actvstrat=,0.010289, actvprof=,0.162231, id=,S00, PRDE,actvstrat=,-0.395076, actvprof=,3.155731, id=,S01, PRDE,actvstrat=,-0.904922, actvprof=,0.241958, id=,S02, PRDE,actvstrat=,0.534317, actvprof=,2.638480, id=,S04, PRDE,actvstrat=,-0.649412, actvprof=,0.015279, id=,S09, PRDE,actvstrat=,0.514721, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,0.162231, best_B_strat=,0.010289, best_S_id=,S00, best_S_prof=,3.155731, best_S_strat=,-0.395076, 
t=,50400, id=,B00, PRDE,actvstrat=,0.806852, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.918702, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.346821, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.803879, actvprof=,0.007917, id=,B05, PRDE,actvstrat=,0.010289, actvprof=,0.179866, id=,S00, PRDE,actvstrat=,-0.395076, actvprof=,3.298286, id=,S01, PRDE,actvstrat=,-0.904922, actvprof=,0.308897, id=,S02, PRDE,actvstrat=,0.534317, actvprof=,2.720631, id=,S04, PRDE,actvstrat=,-0.649412, actvprof=,0.014028, id=,S09, PRDE,actvstrat=,0.514721, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,0.179866, best_B_strat=,0.010289, best_S_id=,S00, best_S_prof=,3.298286, best_S_strat=,-0.395076, 
t=,54000, id=,B00, PRDE,actvstrat=,0.206146, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.597021, actvprof=,0.005000, id=,B03, PRDE,actvstrat=,0.717132, actvprof=,0.048337, id=,B04, PRDE,actvstrat=,0.692606, actvprof=,0.134176, id=,B05, PRDE,actvstrat=,0.014871, actvprof=,0.378915, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.453782, id=,S01, PRDE,actvstrat=,0.282939, actvprof=,3.291895, id=,S02, PRDE,actvstrat=,0.630966, actvprof=,2.556011, id=,S04, PRDE,actvstrat=,-0.019018, actvprof=,0.031669, id=,S09, PRDE,actvstrat=,-0.692526, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,0.378915, best_B_strat=,0.014871, best_S_id=,S00, best_S_prof=,6.453782, best_S_strat=,1.000000, 
t=,57600, id=,B00, PRDE,actvstrat=,0.206146, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.597021, actvprof=,0.005139, id=,B03, PRDE,actvstrat=,0.717132, actvprof=,0.041946, id=,B04, PRDE,actvstrat=,0.692606, actvprof=,0.122088, id=,B05, PRDE,actvstrat=,0.014871, actvprof=,0.390569, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.437585, id=,S01, PRDE,actvstrat=,0.282939, actvprof=,3.267197, id=,S02, PRDE,actvstrat=,0.630966, actvprof=,2.521893, id=,S04, PRDE,actvstrat=,-0.019018, actvprof=,0.022362, id=,S09, PRDE,actvstrat=,-0.692526, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,0.390569, best_B_strat=,0.014871, best_S_id=,S00, best_S_prof=,6.437585, best_S_strat=,1.000000, 
t=,61200, id=,B00, PRDE,actvstrat=,0.045040, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.678278, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.407385, actvprof=,0.006112, id=,B04, PRDE,actvstrat=,-0.025533, actvprof=,0.016668, id=,B05, PRDE,actvstrat=,0.487254, actvprof=,0.468644, id=,S00, PRDE,actvstrat=,-0.930638, actvprof=,0.370026, id=,S01, PRDE,actvstrat=,0.202571, actvprof=,3.432461, id=,S02, PRDE,actvstrat=,0.952184, actvprof=,3.562192, id=,S04, PRDE,actvstrat=,0.745842, actvprof=,0.192236, id=,S09, PRDE,actvstrat=,0.119565, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,0.468644, best_B_strat=,0.487254, best_S_id=,S02, best_S_prof=,3.562192, best_S_strat=,0.952184, 
t=,64800, id=,B00, PRDE,actvstrat=,0.045040, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.678278, actvprof=,0.000278, id=,B03, PRDE,actvstrat=,-0.407385, actvprof=,0.003056, id=,B04, PRDE,actvstrat=,-0.025533, actvprof=,0.025556, id=,B05, PRDE,actvstrat=,0.487254, actvprof=,0.509323, id=,S00, PRDE,actvstrat=,-0.930638, actvprof=,0.359874, id=,S01, PRDE,actvstrat=,0.202571, actvprof=,3.335255, id=,S02, PRDE,actvstrat=,0.952184, actvprof=,3.516511, id=,S04, PRDE,actvstrat=,0.745842, actvprof=,0.196535, id=,S09, PRDE,actvstrat=,0.119565, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,0.509323, best_B_strat=,0.487254, best_S_id=,S02, best_S_prof=,3.516511, best_S_strat=,0.952184, 
t=,68400, id=,B00, PRDE,actvstrat=,0.805633, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.847742, actvprof=,0.002500, id=,B03, PRDE,actvstrat=,0.059088, actvprof=,0.007223, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.018613, id=,B05, PRDE,actvstrat=,0.848359, actvprof=,0.466706, id=,S00, PRDE,actvstrat=,0.802647, actvprof=,7.067811, id=,S01, PRDE,actvstrat=,-0.107459, actvprof=,2.619941, id=,S02, PRDE,actvstrat=,0.982535, actvprof=,3.965053, id=,S04, PRDE,actvstrat=,0.150180, actvprof=,0.182237, id=,S09, PRDE,actvstrat=,-0.513130, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,0.466706, best_B_strat=,0.848359, best_S_id=,S00, best_S_prof=,7.067811, best_S_strat=,0.802647, 
t=,72000, id=,B00, PRDE,actvstrat=,0.805633, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.847742, actvprof=,0.002778, id=,B03, PRDE,actvstrat=,0.059088, actvprof=,0.009028, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.028056, id=,B05, PRDE,actvstrat=,0.848359, actvprof=,0.462930, id=,S00, PRDE,actvstrat=,0.802647, actvprof=,7.029501, id=,S01, PRDE,actvstrat=,-0.107459, actvprof=,2.679380, id=,S02, PRDE,actvstrat=,0.982535, actvprof=,3.995667, id=,S04, PRDE,actvstrat=,0.150180, actvprof=,0.188894, id=,S09, PRDE,actvstrat=,-0.513130, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,0.462930, best_B_strat=,0.848359, best_S_id=,S00, best_S_prof=,7.029501, best_S_strat=,0.802647, 
t=,75600, id=,B00, PRDE,actvstrat=,0.172227, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.597021, actvprof=,0.004167, id=,B03, PRDE,actvstrat=,0.175353, actvprof=,0.019168, id=,B04, PRDE,actvstrat=,-0.019171, actvprof=,0.079173, id=,B05, PRDE,actvstrat=,-0.230968, actvprof=,0.305303, id=,S00, PRDE,actvstrat=,-0.065752, actvprof=,3.436120, id=,S01, PRDE,actvstrat=,0.090028, actvprof=,2.654388, id=,S02, PRDE,actvstrat=,0.886174, actvprof=,2.821902, id=,S04, PRDE,actvstrat=,0.577003, actvprof=,0.037781, id=,S09, PRDE,actvstrat=,0.441234, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,0.305303, best_B_strat=,-0.230968, best_S_id=,S00, best_S_prof=,3.436120, best_S_strat=,-0.065752, 
t=,79200, id=,B00, PRDE,actvstrat=,0.172227, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.597021, actvprof=,0.003195, id=,B03, PRDE,actvstrat=,0.175353, actvprof=,0.018473, id=,B04, PRDE,actvstrat=,-0.019171, actvprof=,0.063475, id=,B05, PRDE,actvstrat=,-0.230968, actvprof=,0.333625, id=,S00, PRDE,actvstrat=,-0.065752, actvprof=,3.217217, id=,S01, PRDE,actvstrat=,0.090028, actvprof=,2.542467, id=,S02, PRDE,actvstrat=,0.886174, actvprof=,2.776921, id=,S04, PRDE,actvstrat=,0.577003, actvprof=,0.033335, id=,S09, PRDE,actvstrat=,0.441234, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,0.333625, best_B_strat=,-0.230968, best_S_id=,S00, best_S_prof=,3.217217, best_S_strat=,-0.065752, 
t=,82800, id=,B00, PRDE,actvstrat=,0.202105, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.005556, id=,B03, PRDE,actvstrat=,-0.601063, actvprof=,0.015835, id=,B04, PRDE,actvstrat=,0.652679, actvprof=,0.191405, id=,B05, PRDE,actvstrat=,-0.650455, actvprof=,0.328638, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.000222, id=,S01, PRDE,actvstrat=,0.364516, actvprof=,2.854682, id=,S02, PRDE,actvstrat=,0.871742, actvprof=,2.740228, id=,S04, PRDE,actvstrat=,0.170004, actvprof=,0.028891, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,0.328638, best_B_strat=,-0.650455, best_S_id=,S00, best_S_prof=,6.000222, best_S_strat=,1.000000, 
