t=,43200, id=,B01, PRDE,actvstrat=,0.190375, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.656261, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.023612, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.768391, id=,B09, PRDE,actvstrat=,-0.411348, actvprof=,5.087884, id=,S03, PRDE,actvstrat=,0.385059, actvprof=,0.536122, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.065835, id=,S06, PRDE,actvstrat=,-0.286662, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.001111, id=,S08, PRDE,actvstrat=,0.607947, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.087884, best_B_strat=,-0.411348, best_S_id=,S03, best_S_prof=,0.536122, best_S_strat=,0.385059, 
t=,46800, id=,B01, PRDE,actvstrat=,-0.665677, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.749704, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.522315, actvprof=,0.067225, id=,B06, PRDE,actvstrat=,-0.546627, actvprof=,1.874245, id=,B09, PRDE,actvstrat=,-0.847095, actvprof=,5.038821, id=,S03, PRDE,actvstrat=,0.407902, actvprof=,0.141950, id=,S05, PRDE,actvstrat=,-0.328990, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.375127, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.913773, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.607947, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.038821, best_B_strat=,-0.847095, best_S_id=,S03, best_S_prof=,0.141950, best_S_strat=,0.407902, 
t=,50400, id=,B01, PRDE,actvstrat=,-0.665677, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.749704, actvprof=,0.000278, id=,B04, PRDE,actvstrat=,-0.522315, actvprof=,0.070418, id=,B06, PRDE,actvstrat=,-0.546627, actvprof=,1.799482, id=,B09, PRDE,actvstrat=,-0.847095, actvprof=,5.215942, id=,S03, PRDE,actvstrat=,0.407902, actvprof=,0.137920, id=,S05, PRDE,actvstrat=,-0.328990, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.375127, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.913773, actvprof=,0.000278, id=,S08, PRDE,actvstrat=,0.607947, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.215942, best_B_strat=,-0.847095, best_S_id=,S03, best_S_prof=,0.137920, best_S_strat=,0.407902, 
t=,54000, id=,B01, PRDE,actvstrat=,0.867554, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.034128, actvprof=,0.001389, id=,B04, PRDE,actvstrat=,0.397502, actvprof=,0.198619, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,3.529036, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,7.694209, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.026154, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.054169, id=,S06, PRDE,actvstrat=,-0.220046, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.720896, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.347941, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.694209, best_B_strat=,-1.000000, best_S_id=,S03, best_S_prof=,1.026154, best_S_strat=,1.000000, 
t=,57600, id=,B01, PRDE,actvstrat=,0.867554, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.034128, actvprof=,0.002639, id=,B04, PRDE,actvstrat=,0.397502, actvprof=,0.207227, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,3.515490, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,7.751411, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.990715, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.057223, id=,S06, PRDE,actvstrat=,-0.220046, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.720896, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.347941, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.751411, best_B_strat=,-1.000000, best_S_id=,S03, best_S_prof=,0.990715, best_S_strat=,1.000000, 
t=,61200, id=,B01, PRDE,actvstrat=,-0.035960, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.382185, actvprof=,0.000556, id=,B04, PRDE,actvstrat=,-0.903639, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.634691, actvprof=,2.895161, id=,B09, PRDE,actvstrat=,-0.629846, actvprof=,5.684760, id=,S03, PRDE,actvstrat=,0.385059, actvprof=,0.314184, id=,S05, PRDE,actvstrat=,0.763354, actvprof=,0.022501, id=,S06, PRDE,actvstrat=,0.816283, actvprof=,0.002778, id=,S07, PRDE,actvstrat=,-0.503283, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.684760, best_B_strat=,-0.629846, best_S_id=,S03, best_S_prof=,0.314184, best_S_strat=,0.385059, 
t=,64800, id=,B01, PRDE,actvstrat=,-0.035960, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.382185, actvprof=,0.000417, id=,B04, PRDE,actvstrat=,-0.903639, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.634691, actvprof=,2.891886, id=,B09, PRDE,actvstrat=,-0.629846, actvprof=,5.718214, id=,S03, PRDE,actvstrat=,0.385059, actvprof=,0.337232, id=,S05, PRDE,actvstrat=,0.763354, actvprof=,0.021112, id=,S06, PRDE,actvstrat=,0.816283, actvprof=,0.004861, id=,S07, PRDE,actvstrat=,-0.503283, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.718214, best_B_strat=,-0.629846, best_S_id=,S03, best_S_prof=,0.337232, best_S_strat=,0.385059, 
t=,68400, id=,B01, PRDE,actvstrat=,-0.131827, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.526353, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.660807, actvprof=,0.002222, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.107895, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.455081, id=,S03, PRDE,actvstrat=,-0.023026, actvprof=,0.412523, id=,S05, PRDE,actvstrat=,0.645999, actvprof=,0.047225, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.004167, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.873090, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.455081, best_B_strat=,-1.000000, best_S_id=,S03, best_S_prof=,0.412523, best_S_strat=,-0.023026, 
t=,72000, id=,B01, PRDE,actvstrat=,-0.131827, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.526353, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.660807, actvprof=,0.001667, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.923109, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.337815, id=,S03, PRDE,actvstrat=,-0.023026, actvprof=,0.465707, id=,S05, PRDE,actvstrat=,0.645999, actvprof=,0.038890, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.003889, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,S08, PRDE,actvstrat=,-0.873090, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.337815, best_B_strat=,-1.000000, best_S_id=,S03, best_S_prof=,0.465707, best_S_strat=,-0.023026, 
t=,75600, id=,B01, PRDE,actvstrat=,-0.827824, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.656261, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.058141, actvprof=,0.108617, id=,B06, PRDE,actvstrat=,-0.742910, actvprof=,1.129785, id=,B09, PRDE,actvstrat=,-0.182024, actvprof=,6.227013, id=,S03, PRDE,actvstrat=,-0.836778, actvprof=,0.009167, id=,S05, PRDE,actvstrat=,0.645999, actvprof=,0.016390, id=,S06, PRDE,actvstrat=,0.416251, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.325443, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.246150, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.227013, best_B_strat=,-0.182024, best_S_id=,S05, best_S_prof=,0.016390, best_S_strat=,0.645999, 
