B00, 0
B01, 0
B02, 100
B02, Trade, 4124494.394, 76, B02, S01, 1
B02, Trade, 4124799.644, 76, B02, S01, 1
B02, Trade, 4124829.444, 75, B02, S01, 1
B02, Trade, 4125093.294, 76, B02, S01, 1
B02, Trade, 4125417.094, 76, B02, S01, 1
B02, Trade, 4133286.544, 76, B02, S01, 1
B02, Trade, 4133973.894, 76, B02, S01, 1
B02, Trade, 4134025.644, 76, B02, S01, 1
B02, Trade, 4134349.344, 76, B02, S01, 1
B02, Trade, 4135895.794, 76, B02, S01, 1
B02, Trade, 4136050.644, 70, S01, B02, 1
B02, Trade, 4138358.844, 76, B02, S01, 1
B02, Trade, 4138659.994, 75, B02, S01, 1
B02, Trade, 4138741.144, 75, B02, S01, 1
B02, Trade, 4147914.344, 76, B02, S01, 1
B02, Trade, 4148234.594, 76, B02, S01, 1
B02, Trade, 4148654.644, 76, B02, S01, 1
B02, Trade, 4149367.044, 75, B02, S01, 1
B02, Trade, 4150443.044, 76, B02, S01, 1
B02, Trade, 4151049.444, 72, B02, S01, 1
B02, Trade, 4151613.494, 74, B02, S01, 1
B02, Trade, 4151941.644, 76, B02, S01, 1
B02, Trade, 4152227.144, 76, B02, S01, 1
B02, Trade, 4152379.794, 75, B02, S01, 1
B02, Trade, 4186052.694, 73, B02, S01, 1
B02, Trade, 4190282.644, 76, B02, S01, 1
B02, Trade, 4200431.744, 76, B02, S01, 1
B02, Trade, 4201946.494, 76, B02, S01, 1
B02, Trade, 4203269.694, 76, B02, S01, 1
B02, Trade, 4203437.894, 75, B02, S01, 1
B02, Trade, 4204351.044, 76, B02, S01, 1
B02, Trade, 4205057.644, 73, S01, B02, 1
B02, Trade, 4205527.244, 75, B02, S01, 1
B02, Trade, 4205758.594, 74, B02, S01, 1
B02, Trade, 4205978.694, 73, B02, S01, 1
B02, Trade, 4206051.144, 72, B02, S01, 1
B02, Trade, 4206724.044, 72, B02, S01, 1
B02, Trade, 4206899.494, 74, B02, S01, 1
B02, Trade, 4207904.744, 74, S01, B02, 1
B02, Trade, 4208145.894, 75, B02, S01, 1
B02, Trade, 4208465.794, 72, B02, S01, 1
B02, Trade, 4208994.644, 76, B02, S01, 1
B02, Trade, 4209439.944, 75, B02, S01, 1
B02, Trade, 4209974.244, 75, B02, S01, 1
B02, Trade, 4210715.044, 76, B02, S01, 1
B02, Trade, 4210747.444, 76, B02, S01, 1
B02, Trade, 4211333.944, 69, S01, B02, 1
B02, Trade, 4211612.994, 73, B02, S01, 1
B02, Trade, 4212411.843, 76, B02, S01, 1
B02, Trade, 4213213.343, 76, B02, S01, 1
B02, Trade, 4213615.443, 76, B02, S01, 1
B02, Trade, 4213785.443, 76, B02, S01, 1
B02, Trade, 4213834.243, 75, B02, S01, 1
B02, Trade, 4213868.043, 75, B02, S01, 1
B02, Trade, 4214152.743, 74, B02, S01, 1
B02, Trade, 4214359.693, 70, S01, B02, 1
B02, Trade, 4215105.593, 76, B02, S01, 1
B02, Trade, 4215177.043, 76, B02, S01, 1
B02, Trade, 4215441.493, 75, B02, S01, 1
B02, Trade, 4216067.243, 76, B02, S01, 1
B02, Trade, 4217920.543, 76, B02, S01, 1
B02, Trade, 4218200.793, 76, B02, S01, 1
B02, Trade, 4218541.693, 75, B02, S01, 1
B02, Trade, 4218690.643, 75, B02, S01, 1
B02, Trade, 4218747.293, 74, B02, S01, 1
B02, Trade, 4218808.293, 73, B02, S01, 1
B02, Trade, 4219119.193, 71, S01, B02, 1
B02, Trade, 4220279.993, 76, B02, S01, 1
B02, Trade, 4220411.193, 76, B02, S01, 1
B02, Trade, 4220544.943, 76, B02, S01, 1
B02, Trade, 4220583.193, 75, B02, S01, 1
B02, Trade, 4220911.693, 76, B02, S01, 1
B02, Trade, 4221175.243, 76, B02, S01, 1
B02, Trade, 4221428.293, 75, B02, S01, 1
B02, Trade, 4221726.893, 75, B02, S01, 1
B02, Trade, 4221817.843, 74, B02, S01, 1
B02, Trade, 4222316.143, 76, B02, S01, 1
B02, Trade, 4222399.743, 76, B02, S01, 1
B02, Trade, 4222407.393, 75, B02, S01, 1
B02, Trade, 4222694.193, 74, B02, S01, 1
B02, Trade, 4222827.143, 73, B02, S01, 1
B02, Trade, 4223816.393, 76, B02, S01, 1
B02, Trade, 4224150.093, 76, B02, S01, 1
B02, Trade, 4224335.343, 75, B02, S01, 1
B02, Trade, 4224366.243, 75, B02, S01, 1
B02, Trade, 4224374.043, 74, B02, S01, 1
B02, Trade, 4224926.243, 75, B02, S01, 1
B02, Trade, 4225025.143, 76, B02, S01, 1
B02, Trade, 4225566.043, 73, S01, B02, 1
B02, Trade, 4225726.793, 75, B02, S01, 1
B02, Trade, 4225804.343, 74, B02, S01, 1
B02, Trade, 4226000.143, 76, B02, S01, 1
B02, Trade, 4226351.893, 68, S01, B02, 1
B02, Trade, 4314769.293, 76, B02, S01, 1
B02, Trade, 4315215.093, 76, B02, S01, 1
B02, Trade, 4315470.693, 75, B02, S01, 1
B02, Trade, 4315643.393, 74, B02, S01, 1
B02, Trade, 4317528.193, 76, B02, S01, 1
B02, Trade, 4319129.843, 76, B02, S01, 1
B02, Trade, 4319616.093, 72, S01, B02, 1
B03, 100
B03, Trade, 4296945.843, 86, B03, S03, 1
B03, Trade, 4297410.393, 86, B03, S03, 1
B03, Trade, 4297678.443, 86, B03, S03, 1
B03, Trade, 4297680.443, 86, B03, S01, 1
B03, Trade, 4298438.443, 86, B03, S03, 1
B03, Trade, 4298834.743, 86, B03, S03, 1
B03, Trade, 4298939.093, 86, B03, S03, 1
B03, Trade, 4299064.293, 86, B03, S00, 1
B03, Trade, 4299303.343, 86, B03, S03, 1
B03, Trade, 4299393.143, 86, B03, S03, 1
B03, Trade, 4299528.343, 86, B03, S03, 1
B03, Trade, 4299874.693, 86, B03, S03, 1
B03, Trade, 4300122.543, 86, B03, S03, 1
B03, Trade, 4300427.993, 86, B03, S03, 1
B03, Trade, 4300819.243, 85, B03, S00, 1
B03, Trade, 4300893.993, 86, S00, B03, 1
B03, Trade, 4300938.593, 86, B03, S03, 1
B03, Trade, 4301526.843, 86, S00, B03, 1
B03, Trade, 4301542.193, 86, B03, S03, 1
B03, Trade, 4302217.443, 86, B03, S03, 1
B03, Trade, 4302405.043, 86, B03, S03, 1
B03, Trade, 4302444.043, 86, B03, S03, 1
B03, Trade, 4302819.793, 86, B03, S03, 1
B03, Trade, 4303222.893, 83, B03, S01, 1
B03, Trade, 4303262.343, 86, S02, B03, 1
B03, Trade, 4303429.093, 86, B03, S03, 1
B03, Trade, 4303566.143, 86, B03, S03, 1
B03, Trade, 4303825.593, 86, B03, S03, 1
B03, Trade, 4304227.593, 86, S01, B03, 1
B03, Trade, 4304239.593, 86, B03, S03, 1
B03, Trade, 4304321.543, 86, B03, S03, 1
B03, Trade, 4304835.743, 86, B03, S03, 1
B03, Trade, 4305135.343, 86, B03, S03, 1
B03, Trade, 4305374.943, 86, B03, S03, 1
B03, Trade, 4305456.943, 86, B03, S03, 1
B03, Trade, 4305583.593, 86, B03, S03, 1
B03, Trade, 4305664.343, 86, S03, B03, 1
B03, Trade, 4306020.893, 86, B03, S03, 1
B03, Trade, 4306404.543, 86, B03, S01, 1
B03, Trade, 4306650.243, 86, B03, S00, 1
B03, Trade, 4306877.343, 86, S02, B03, 1
B03, Trade, 4306914.243, 86, B03, S01, 1
B03, Trade, 4308171.593, 86, B03, S00, 1
B03, Trade, 4308221.093, 86, B03, S03, 1
B03, Trade, 4308407.143, 86, B03, S03, 1
B03, Trade, 4308755.743, 86, S00, B03, 1
B03, Trade, 4308892.643, 86, B03, S03, 1
B03, Trade, 4309171.043, 86, B03, S03, 1
B03, Trade, 4309313.743, 86, S01, B03, 1
B03, Trade, 4309721.693, 86, B03, S03, 1
B03, Trade, 4310205.443, 86, B03, S02, 1
B03, Trade, 4310367.843, 86, B03, S03, 1
B03, Trade, 4310968.743, 86, B03, S02, 1
