t=,39600, id=,B00, PRDE,actvstrat=,0.109780, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.607969, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.616029, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.695388, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.171600, actvprof=,0.075559, id=,S00, PRDE,actvstrat=,0.659394, actvprof=,5.404670, id=,S02, PRDE,actvstrat=,0.065220, actvprof=,1.230607, id=,S03, PRDE,actvstrat=,-0.400149, actvprof=,0.061947, id=,S04, PRDE,actvstrat=,-0.063301, actvprof=,0.001945, id=,S08, PRDE,actvstrat=,0.079275, actvprof=,0.000000, best_B_id=,B04, best_B_prof=,0.075559, best_B_strat=,0.171600, best_S_id=,S00, best_S_prof=,5.404670, best_S_strat=,0.659394, 
t=,43200, id=,B00, PRDE,actvstrat=,0.109780, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.607969, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.616029, actvprof=,0.001528, id=,B03, PRDE,actvstrat=,-0.695388, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.171600, actvprof=,0.069307, id=,S00, PRDE,actvstrat=,0.659394, actvprof=,5.317889, id=,S02, PRDE,actvstrat=,0.065220, actvprof=,1.200164, id=,S03, PRDE,actvstrat=,-0.400149, actvprof=,0.080279, id=,S04, PRDE,actvstrat=,-0.063301, actvprof=,0.003889, id=,S08, PRDE,actvstrat=,0.079275, actvprof=,0.000000, best_B_id=,B04, best_B_prof=,0.069307, best_B_strat=,0.171600, best_S_id=,S00, best_S_prof=,5.317889, best_S_strat=,0.659394, 
t=,46800, id=,B00, PRDE,actvstrat=,-0.192103, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.058613, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.616029, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.898755, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.927523, actvprof=,0.034724, id=,S00, PRDE,actvstrat=,-0.470870, actvprof=,2.691223, id=,S02, PRDE,actvstrat=,0.398950, actvprof=,2.149534, id=,S03, PRDE,actvstrat=,0.483189, actvprof=,0.867814, id=,S04, PRDE,actvstrat=,-0.063301, actvprof=,0.005000, id=,S08, PRDE,actvstrat=,-0.616763, actvprof=,0.000000, best_B_id=,B04, best_B_prof=,0.034724, best_B_strat=,0.927523, best_S_id=,S00, best_S_prof=,2.691223, best_S_strat=,-0.470870, 
t=,50400, id=,B00, PRDE,actvstrat=,-0.192103, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.058613, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.616029, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.898755, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.927523, actvprof=,0.033751, id=,S00, PRDE,actvstrat=,-0.470870, actvprof=,2.799086, id=,S02, PRDE,actvstrat=,0.398950, actvprof=,2.104766, id=,S03, PRDE,actvstrat=,0.483189, actvprof=,0.802795, id=,S04, PRDE,actvstrat=,-0.063301, actvprof=,0.005417, id=,S08, PRDE,actvstrat=,-0.616763, actvprof=,0.000000, best_B_id=,B04, best_B_prof=,0.033751, best_B_strat=,0.927523, best_S_id=,S00, best_S_prof=,2.799086, best_S_strat=,-0.470870, 
t=,54000, id=,B00, PRDE,actvstrat=,0.090830, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.143512, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.683759, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.719436, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.761011, actvprof=,0.028612, id=,S00, PRDE,actvstrat=,0.206776, actvprof=,4.574913, id=,S02, PRDE,actvstrat=,-0.418625, actvprof=,0.572802, id=,S03, PRDE,actvstrat=,-0.383450, actvprof=,0.141950, id=,S04, PRDE,actvstrat=,0.556938, actvprof=,0.042502, id=,S08, PRDE,actvstrat=,-0.872961, actvprof=,0.000000, best_B_id=,B04, best_B_prof=,0.028612, best_B_strat=,0.761011, best_S_id=,S00, best_S_prof=,4.574913, best_S_strat=,0.206776, 
t=,57600, id=,B00, PRDE,actvstrat=,0.090830, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.143512, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.683759, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.719436, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.761011, actvprof=,0.037779, id=,S00, PRDE,actvstrat=,0.206776, actvprof=,4.498844, id=,S02, PRDE,actvstrat=,-0.418625, actvprof=,0.588762, id=,S03, PRDE,actvstrat=,-0.383450, actvprof=,0.112363, id=,S04, PRDE,actvstrat=,0.556938, actvprof=,0.033056, id=,S08, PRDE,actvstrat=,-0.872961, actvprof=,0.000000, best_B_id=,B04, best_B_prof=,0.037779, best_B_strat=,0.761011, best_S_id=,S00, best_S_prof=,4.498844, best_S_strat=,0.206776, 
t=,61200, id=,B00, PRDE,actvstrat=,-0.889782, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.353812, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.592209, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.329708, actvprof=,0.002778, id=,B04, PRDE,actvstrat=,0.009230, actvprof=,0.190283, id=,S00, PRDE,actvstrat=,0.235296, actvprof=,3.812050, id=,S02, PRDE,actvstrat=,0.459888, actvprof=,1.335037, id=,S03, PRDE,actvstrat=,0.862519, actvprof=,0.578072, id=,S04, PRDE,actvstrat=,-0.063301, actvprof=,0.001667, id=,S08, PRDE,actvstrat=,0.079275, actvprof=,0.000000, best_B_id=,B04, best_B_prof=,0.190283, best_B_strat=,0.009230, best_S_id=,S00, best_S_prof=,3.812050, best_S_strat=,0.235296, 
t=,64800, id=,B00, PRDE,actvstrat=,-0.889782, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.353812, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.592209, actvprof=,0.001667, id=,B03, PRDE,actvstrat=,-0.329708, actvprof=,0.005278, id=,B04, PRDE,actvstrat=,0.009230, actvprof=,0.210421, id=,S00, PRDE,actvstrat=,0.235296, actvprof=,3.755495, id=,S02, PRDE,actvstrat=,0.459888, actvprof=,1.327944, id=,S03, PRDE,actvstrat=,0.862519, actvprof=,0.610707, id=,S04, PRDE,actvstrat=,-0.063301, actvprof=,0.002222, id=,S08, PRDE,actvstrat=,0.079275, actvprof=,0.000000, best_B_id=,B04, best_B_prof=,0.210421, best_B_strat=,0.009230, best_S_id=,S00, best_S_prof=,3.755495, best_S_strat=,0.235296, 
t=,68400, id=,B00, PRDE,actvstrat=,0.090830, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.498383, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.969898, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.948162, actvprof=,0.002222, id=,B04, PRDE,actvstrat=,0.171600, actvprof=,0.165843, id=,S00, PRDE,actvstrat=,0.659394, actvprof=,4.972776, id=,S02, PRDE,actvstrat=,0.065220, actvprof=,1.042280, id=,S03, PRDE,actvstrat=,0.758207, actvprof=,0.576421, id=,S04, PRDE,actvstrat=,-0.757441, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.062029, actvprof=,0.000000, best_B_id=,B04, best_B_prof=,0.165843, best_B_strat=,0.171600, best_S_id=,S00, best_S_prof=,4.972776, best_S_strat=,0.659394, 
t=,72000, id=,B00, PRDE,actvstrat=,0.090830, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.498383, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.969898, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.948162, actvprof=,0.001667, id=,B04, PRDE,actvstrat=,0.171600, actvprof=,0.157643, id=,S00, PRDE,actvstrat=,0.659394, actvprof=,5.093197, id=,S02, PRDE,actvstrat=,0.065220, actvprof=,1.059891, id=,S03, PRDE,actvstrat=,0.758207, actvprof=,0.591822, id=,S04, PRDE,actvstrat=,-0.757441, actvprof=,0.001944, id=,S08, PRDE,actvstrat=,0.062029, actvprof=,0.000000, best_B_id=,B04, best_B_prof=,0.157643, best_B_strat=,0.171600, best_S_id=,S00, best_S_prof=,5.093197, best_S_strat=,0.659394, 
t=,75600, id=,B00, PRDE,actvstrat=,0.097509, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.607969, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.374761, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.655164, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.171600, actvprof=,0.131118, id=,S00, PRDE,actvstrat=,-0.952772, actvprof=,0.108617, id=,S02, PRDE,actvstrat=,0.398950, actvprof=,1.405634, id=,S03, PRDE,actvstrat=,0.746511, actvprof=,0.602811, id=,S04, PRDE,actvstrat=,-0.357563, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.542289, actvprof=,0.000000, best_B_id=,B04, best_B_prof=,0.131118, best_B_strat=,0.171600, best_S_id=,S02, best_S_prof=,1.405634, best_S_strat=,0.398950, 
t=,79200, id=,B00, PRDE,actvstrat=,0.097509, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.607969, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.374761, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.655164, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.171600, actvprof=,0.125142, id=,S00, PRDE,actvstrat=,-0.952772, actvprof=,0.121670, id=,S02, PRDE,actvstrat=,0.398950, actvprof=,1.488791, id=,S03, PRDE,actvstrat=,0.746511, actvprof=,0.631962, id=,S04, PRDE,actvstrat=,-0.357563, actvprof=,0.000833, id=,S08, PRDE,actvstrat=,0.542289, actvprof=,0.000000, best_B_id=,B04, best_B_prof=,0.125142, best_B_strat=,0.171600, best_S_id=,S02, best_S_prof=,1.488791, best_S_strat=,0.398950, 
t=,82800, id=,B00, PRDE,actvstrat=,-0.334292, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.143512, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.683759, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.719436, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.862158, actvprof=,0.017223, id=,S00, PRDE,actvstrat=,0.172685, actvprof=,3.926607, id=,S02, PRDE,actvstrat=,0.011372, actvprof=,0.917273, id=,S03, PRDE,actvstrat=,-0.736205, actvprof=,0.040280, id=,S04, PRDE,actvstrat=,-0.048612, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.840879, actvprof=,0.000000, best_B_id=,B04, best_B_prof=,0.017223, best_B_strat=,-0.862158, best_S_id=,S00, best_S_prof=,3.926607, best_S_strat=,0.172685, 
