t=,39600, id=,B01, PRDE,actvstrat=,0.441525, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.701687, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.588142, actvprof=,1.045029, id=,B07, PRDE,actvstrat=,-0.399633, actvprof=,1.033362, id=,B08, PRDE,actvstrat=,-0.651317, actvprof=,1.991444, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.650990, id=,S02, PRDE,actvstrat=,0.450836, actvprof=,2.752021, id=,S03, PRDE,actvstrat=,0.511595, actvprof=,1.484763, id=,S04, PRDE,actvstrat=,-0.042185, actvprof=,0.155004, id=,S05, PRDE,actvstrat=,-0.594829, actvprof=,0.004445, best_B_id=,B08, best_B_prof=,1.991444, best_B_strat=,-0.651317, best_S_id=,S01, best_S_prof=,5.650990, best_S_strat=,1.000000, 
t=,43200, id=,B01, PRDE,actvstrat=,0.441525, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.701687, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.588142, actvprof=,1.060431, id=,B07, PRDE,actvstrat=,-0.399633, actvprof=,0.976264, id=,B08, PRDE,actvstrat=,-0.651317, actvprof=,1.972944, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.679107, id=,S02, PRDE,actvstrat=,0.450836, actvprof=,2.759066, id=,S03, PRDE,actvstrat=,0.511595, actvprof=,1.448631, id=,S04, PRDE,actvstrat=,-0.042185, actvprof=,0.176669, id=,S05, PRDE,actvstrat=,-0.594829, actvprof=,0.003472, best_B_id=,B08, best_B_prof=,1.972944, best_B_strat=,-0.651317, best_S_id=,S01, best_S_prof=,5.679107, best_S_strat=,1.000000, 
t=,46800, id=,B01, PRDE,actvstrat=,0.088792, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.701687, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.876311, actvprof=,0.980861, id=,B07, PRDE,actvstrat=,-0.092772, actvprof=,0.938637, id=,B08, PRDE,actvstrat=,-0.274342, actvprof=,1.796994, id=,S01, PRDE,actvstrat=,0.792728, actvprof=,5.915442, id=,S02, PRDE,actvstrat=,-0.663496, actvprof=,1.153365, id=,S03, PRDE,actvstrat=,0.940197, actvprof=,2.898969, id=,S04, PRDE,actvstrat=,-0.952733, actvprof=,0.102225, id=,S05, PRDE,actvstrat=,-0.607167, actvprof=,0.004167, best_B_id=,B08, best_B_prof=,1.796994, best_B_strat=,-0.274342, best_S_id=,S01, best_S_prof=,5.915442, best_S_strat=,0.792728, 
t=,50400, id=,B01, PRDE,actvstrat=,0.088792, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.701687, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.876311, actvprof=,0.966965, id=,B07, PRDE,actvstrat=,-0.092772, actvprof=,0.898352, id=,B08, PRDE,actvstrat=,-0.274342, actvprof=,1.737675, id=,S01, PRDE,actvstrat=,0.792728, actvprof=,6.026376, id=,S02, PRDE,actvstrat=,-0.663496, actvprof=,1.068772, id=,S03, PRDE,actvstrat=,0.940197, actvprof=,2.928394, id=,S04, PRDE,actvstrat=,-0.952733, actvprof=,0.102363, id=,S05, PRDE,actvstrat=,-0.607167, actvprof=,0.007083, best_B_id=,B08, best_B_prof=,1.737675, best_B_strat=,-0.274342, best_S_id=,S01, best_S_prof=,6.026376, best_S_strat=,0.792728, 
t=,54000, id=,B01, PRDE,actvstrat=,0.688050, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.899324, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.147234, id=,B07, PRDE,actvstrat=,0.438280, actvprof=,0.859516, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,2.712448, id=,S01, PRDE,actvstrat=,0.873601, actvprof=,7.356446, id=,S02, PRDE,actvstrat=,0.006503, actvprof=,3.153041, id=,S03, PRDE,actvstrat=,-0.610792, actvprof=,0.774787, id=,S04, PRDE,actvstrat=,-0.622307, actvprof=,0.299192, id=,S05, PRDE,actvstrat=,-0.735696, actvprof=,0.071673, best_B_id=,B08, best_B_prof=,2.712448, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,7.356446, best_S_strat=,0.873601, 
t=,57600, id=,B01, PRDE,actvstrat=,0.688050, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.899324, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.123061, id=,B07, PRDE,actvstrat=,0.438280, actvprof=,0.747809, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,2.667194, id=,S01, PRDE,actvstrat=,0.873601, actvprof=,7.453783, id=,S02, PRDE,actvstrat=,0.006503, actvprof=,2.832062, id=,S03, PRDE,actvstrat=,-0.610792, actvprof=,0.581691, id=,S04, PRDE,actvstrat=,-0.622307, actvprof=,0.212509, id=,S05, PRDE,actvstrat=,-0.735696, actvprof=,0.052502, best_B_id=,B08, best_B_prof=,2.667194, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,7.453783, best_S_strat=,0.873601, 
t=,61200, id=,B01, PRDE,actvstrat=,0.441525, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.444259, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.001490, actvprof=,0.408367, id=,B07, PRDE,actvstrat=,0.022225, actvprof=,1.403450, id=,B08, PRDE,actvstrat=,-0.863074, actvprof=,0.935356, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,6.126622, id=,S02, PRDE,actvstrat=,-0.089376, actvprof=,0.700614, id=,S03, PRDE,actvstrat=,0.024694, actvprof=,0.623385, id=,S04, PRDE,actvstrat=,0.345641, actvprof=,0.231964, id=,S05, PRDE,actvstrat=,0.186617, actvprof=,0.021391, best_B_id=,B07, best_B_prof=,1.403450, best_B_strat=,0.022225, best_S_id=,S01, best_S_prof=,6.126622, best_S_strat=,1.000000, 
t=,64800, id=,B01, PRDE,actvstrat=,0.441525, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.444259, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.001490, actvprof=,0.453766, id=,B07, PRDE,actvstrat=,0.022225, actvprof=,1.348797, id=,B08, PRDE,actvstrat=,-0.863074, actvprof=,1.014341, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,6.084239, id=,S02, PRDE,actvstrat=,-0.089376, actvprof=,0.697524, id=,S03, PRDE,actvstrat=,0.024694, actvprof=,0.644606, id=,S04, PRDE,actvstrat=,0.345641, actvprof=,0.229869, id=,S05, PRDE,actvstrat=,0.186617, actvprof=,0.021251, best_B_id=,B07, best_B_prof=,1.348797, best_B_strat=,0.022225, best_S_id=,S01, best_S_prof=,6.084239, best_S_strat=,1.000000, 
t=,68400, id=,B01, PRDE,actvstrat=,0.571693, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.921660, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.714297, actvprof=,0.111120, id=,B07, PRDE,actvstrat=,0.620377, actvprof=,1.758480, id=,B08, PRDE,actvstrat=,0.642988, actvprof=,3.312498, id=,S01, PRDE,actvstrat=,-0.818237, actvprof=,0.471150, id=,S02, PRDE,actvstrat=,0.880584, actvprof=,4.347307, id=,S03, PRDE,actvstrat=,0.796077, actvprof=,2.366586, id=,S04, PRDE,actvstrat=,-0.967160, actvprof=,0.218629, id=,S05, PRDE,actvstrat=,0.253253, actvprof=,0.049449, best_B_id=,B08, best_B_prof=,3.312498, best_B_strat=,0.642988, best_S_id=,S02, best_S_prof=,4.347307, best_S_strat=,0.880584, 
t=,72000, id=,B01, PRDE,actvstrat=,0.571693, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.921660, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.714297, actvprof=,0.137503, id=,B07, PRDE,actvstrat=,0.620377, actvprof=,1.737536, id=,B08, PRDE,actvstrat=,0.642988, actvprof=,3.271596, id=,S01, PRDE,actvstrat=,-0.818237, actvprof=,0.460843, id=,S02, PRDE,actvstrat=,0.880584, actvprof=,4.437037, id=,S03, PRDE,actvstrat=,0.796077, actvprof=,2.354771, id=,S04, PRDE,actvstrat=,-0.967160, actvprof=,0.202921, id=,S05, PRDE,actvstrat=,0.253253, actvprof=,0.054307, best_B_id=,B08, best_B_prof=,3.271596, best_B_strat=,0.642988, best_S_id=,S02, best_S_prof=,4.437037, best_S_strat=,0.880584, 
