t=,39600, id=,B00, PRDE,actvstrat=,-0.758735, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.197678, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.346223, id=,B08, PRDE,actvstrat=,0.137047, actvprof=,2.991638, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.424341, id=,S00, PRDE,actvstrat=,-0.644364, actvprof=,2.114065, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.257105, id=,S02, PRDE,actvstrat=,0.705994, actvprof=,3.513348, id=,S05, PRDE,actvstrat=,-0.755691, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.797270, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.424341, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,5.257105, best_S_strat=,-1.000000, 
t=,43200, id=,B00, PRDE,actvstrat=,-0.758735, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.197678, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.299499, id=,B08, PRDE,actvstrat=,0.137047, actvprof=,2.889148, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.378002, id=,S00, PRDE,actvstrat=,-0.644364, actvprof=,1.992722, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.229523, id=,S02, PRDE,actvstrat=,0.705994, actvprof=,3.472645, id=,S05, PRDE,actvstrat=,-0.755691, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.797270, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.378002, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,5.229523, best_S_strat=,-1.000000, 
t=,46800, id=,B00, PRDE,actvstrat=,-0.237773, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.920036, actvprof=,0.060838, id=,B06, PRDE,actvstrat=,0.574338, actvprof=,1.598467, id=,B08, PRDE,actvstrat=,-0.362208, actvprof=,2.787455, id=,B09, PRDE,actvstrat=,0.920752, actvprof=,6.486374, id=,S00, PRDE,actvstrat=,0.616441, actvprof=,5.085979, id=,S01, PRDE,actvstrat=,0.615014, actvprof=,3.665861, id=,S02, PRDE,actvstrat=,0.865419, actvprof=,3.261383, id=,S05, PRDE,actvstrat=,-0.047107, actvprof=,0.024724, id=,S09, PRDE,actvstrat=,0.392274, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.486374, best_B_strat=,0.920752, best_S_id=,S00, best_S_prof=,5.085979, best_S_strat=,0.616441, 
t=,50400, id=,B00, PRDE,actvstrat=,-0.237773, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.920036, actvprof=,0.057641, id=,B06, PRDE,actvstrat=,0.574338, actvprof=,1.520480, id=,B08, PRDE,actvstrat=,-0.362208, actvprof=,2.711502, id=,B09, PRDE,actvstrat=,0.920752, actvprof=,6.422073, id=,S00, PRDE,actvstrat=,0.616441, actvprof=,5.112713, id=,S01, PRDE,actvstrat=,0.615014, actvprof=,3.646680, id=,S02, PRDE,actvstrat=,0.865419, actvprof=,3.320138, id=,S05, PRDE,actvstrat=,-0.047107, actvprof=,0.024029, id=,S09, PRDE,actvstrat=,0.392274, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.422073, best_B_strat=,0.920752, best_S_id=,S00, best_S_prof=,5.112713, best_S_strat=,0.616441, 
t=,54000, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.042155, actvprof=,0.023613, id=,B06, PRDE,actvstrat=,-0.632852, actvprof=,0.875085, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.346631, id=,B09, PRDE,actvstrat=,0.875232, actvprof=,7.089578, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,5.996416, id=,S01, PRDE,actvstrat=,-0.348071, actvprof=,0.630895, id=,S02, PRDE,actvstrat=,0.927300, actvprof=,2.919173, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.294751, id=,S09, PRDE,actvstrat=,-0.194828, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.089578, best_B_strat=,0.875232, best_S_id=,S00, best_S_prof=,5.996416, best_S_strat=,1.000000, 
t=,57600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.042155, actvprof=,0.015556, id=,B06, PRDE,actvstrat=,-0.632852, actvprof=,0.832263, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.366650, id=,B09, PRDE,actvstrat=,0.875232, actvprof=,7.135486, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.032238, id=,S01, PRDE,actvstrat=,-0.348071, actvprof=,0.630447, id=,S02, PRDE,actvstrat=,0.927300, actvprof=,2.957922, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.280430, id=,S09, PRDE,actvstrat=,-0.194828, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.135486, best_B_strat=,0.875232, best_S_id=,S00, best_S_prof=,6.032238, best_S_strat=,1.000000, 
t=,61200, id=,B00, PRDE,actvstrat=,-0.678989, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.863675, actvprof=,0.024447, id=,B06, PRDE,actvstrat=,-0.632852, actvprof=,0.781187, id=,B08, PRDE,actvstrat=,0.263012, actvprof=,4.599614, id=,B09, PRDE,actvstrat=,0.107122, actvprof=,6.160321, id=,S00, PRDE,actvstrat=,0.485822, actvprof=,3.951773, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.152904, id=,S02, PRDE,actvstrat=,0.744051, actvprof=,2.362730, id=,S05, PRDE,actvstrat=,-0.826859, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.555053, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.160321, best_B_strat=,0.107122, best_S_id=,S01, best_S_prof=,4.152904, best_S_strat=,-1.000000, 
t=,64800, id=,B00, PRDE,actvstrat=,-0.678989, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.863675, actvprof=,0.027779, id=,B06, PRDE,actvstrat=,-0.632852, actvprof=,0.788783, id=,B08, PRDE,actvstrat=,0.263012, actvprof=,4.620887, id=,B09, PRDE,actvstrat=,0.107122, actvprof=,5.980666, id=,S00, PRDE,actvstrat=,0.485822, actvprof=,4.101421, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.127672, id=,S02, PRDE,actvstrat=,0.744051, actvprof=,2.258011, id=,S05, PRDE,actvstrat=,-0.826859, actvprof=,0.000694, id=,S09, PRDE,actvstrat=,0.555053, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.980666, best_B_strat=,0.107122, best_S_id=,S01, best_S_prof=,4.127672, best_S_strat=,-1.000000, 
t=,68400, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.797983, actvprof=,0.014168, id=,B06, PRDE,actvstrat=,0.072526, actvprof=,1.074827, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.073827, id=,B09, PRDE,actvstrat=,-0.304563, actvprof=,4.278472, id=,S00, PRDE,actvstrat=,0.178321, actvprof=,3.512286, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.923256, id=,S02, PRDE,actvstrat=,0.584890, actvprof=,2.157988, id=,S05, PRDE,actvstrat=,0.110608, actvprof=,0.028058, id=,S09, PRDE,actvstrat=,0.809521, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.073827, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.923256, best_S_strat=,-1.000000, 
t=,72000, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.797983, actvprof=,0.007917, id=,B06, PRDE,actvstrat=,0.072526, actvprof=,1.042134, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.095248, id=,B09, PRDE,actvstrat=,-0.304563, actvprof=,4.315626, id=,S00, PRDE,actvstrat=,0.178321, actvprof=,3.613092, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.918156, id=,S02, PRDE,actvstrat=,0.584890, actvprof=,2.047738, id=,S05, PRDE,actvstrat=,0.110608, actvprof=,0.035418, id=,S09, PRDE,actvstrat=,0.809521, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.095248, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.918156, best_S_strat=,-1.000000, 
