t=,39600, id=,B01, PRDE,actvstrat=,0.017870, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.002500, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.135839, id=,B05, PRDE,actvstrat=,0.519844, actvprof=,0.725586, id=,B07, PRDE,actvstrat=,0.430658, actvprof=,3.564315, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.369071, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.394461, id=,S05, PRDE,actvstrat=,-0.881908, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.661164, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.564315, best_B_strat=,0.430658, best_S_id=,S01, best_S_prof=,4.369071, best_S_strat=,-1.000000, 
t=,43200, id=,B01, PRDE,actvstrat=,0.017870, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.002361, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.131114, id=,B05, PRDE,actvstrat=,0.519844, actvprof=,0.740710, id=,B07, PRDE,actvstrat=,0.430658, actvprof=,3.520212, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.451482, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.396536, id=,S05, PRDE,actvstrat=,-0.881908, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.661164, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.520212, best_B_strat=,0.430658, best_S_id=,S01, best_S_prof=,4.451482, best_S_strat=,-1.000000, 
t=,46800, id=,B01, PRDE,actvstrat=,-0.103399, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.731433, actvprof=,0.002778, id=,B04, PRDE,actvstrat=,0.101482, actvprof=,0.046113, id=,B05, PRDE,actvstrat=,-0.358937, actvprof=,0.175285, id=,B07, PRDE,actvstrat=,-0.483250, actvprof=,2.025640, id=,S01, PRDE,actvstrat=,-0.000456, actvprof=,1.816187, id=,S04, PRDE,actvstrat=,-0.283649, actvprof=,0.003611, id=,S05, PRDE,actvstrat=,-0.468768, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.025640, best_B_strat=,-0.483250, best_S_id=,S01, best_S_prof=,1.816187, best_S_strat=,-0.000456, 
t=,50400, id=,B01, PRDE,actvstrat=,-0.103399, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.731433, actvprof=,0.004028, id=,B04, PRDE,actvstrat=,0.101482, actvprof=,0.062501, id=,B05, PRDE,actvstrat=,-0.358937, actvprof=,0.218893, id=,B07, PRDE,actvstrat=,-0.483250, actvprof=,2.223102, id=,S01, PRDE,actvstrat=,-0.000456, actvprof=,1.782120, id=,S04, PRDE,actvstrat=,-0.283649, actvprof=,0.001806, id=,S05, PRDE,actvstrat=,-0.468768, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.223102, best_B_strat=,-0.483250, best_S_id=,S01, best_S_prof=,1.782120, best_S_strat=,-0.000456, 
t=,54000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.005278, id=,B05, PRDE,actvstrat=,0.834593, actvprof=,0.171118, id=,B07, PRDE,actvstrat=,-0.226900, actvprof=,1.090045, id=,S01, PRDE,actvstrat=,-0.393608, actvprof=,1.418948, id=,S04, PRDE,actvstrat=,-0.434803, actvprof=,0.039724, id=,S05, PRDE,actvstrat=,-0.103745, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.660534, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.814849, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.090045, best_B_strat=,-0.226900, best_S_id=,S01, best_S_prof=,1.418948, best_S_strat=,-0.393608, 
t=,57600, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.002639, id=,B05, PRDE,actvstrat=,0.834593, actvprof=,0.176670, id=,B07, PRDE,actvstrat=,-0.226900, actvprof=,1.186414, id=,S01, PRDE,actvstrat=,-0.393608, actvprof=,1.321139, id=,S04, PRDE,actvstrat=,-0.434803, actvprof=,0.029445, id=,S05, PRDE,actvstrat=,-0.103745, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.660534, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.814849, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.186414, best_B_strat=,-0.226900, best_S_id=,S01, best_S_prof=,1.321139, best_S_strat=,-0.393608, 
t=,61200, id=,B01, PRDE,actvstrat=,0.762878, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.628414, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.006111, id=,B05, PRDE,actvstrat=,-0.174492, actvprof=,0.073336, id=,B07, PRDE,actvstrat=,0.292347, actvprof=,2.900954, id=,S01, PRDE,actvstrat=,-0.393608, actvprof=,0.850035, id=,S04, PRDE,actvstrat=,0.418042, actvprof=,0.151395, id=,S05, PRDE,actvstrat=,0.500395, actvprof=,0.002222, id=,S07, PRDE,actvstrat=,-0.661164, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.900954, best_B_strat=,0.292347, best_S_id=,S01, best_S_prof=,0.850035, best_S_strat=,-0.393608, 
t=,64800, id=,B01, PRDE,actvstrat=,0.762878, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.628414, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.004445, id=,B05, PRDE,actvstrat=,-0.174492, actvprof=,0.070974, id=,B07, PRDE,actvstrat=,0.292347, actvprof=,2.782975, id=,S01, PRDE,actvstrat=,-0.393608, actvprof=,0.891407, id=,S04, PRDE,actvstrat=,0.418042, actvprof=,0.162364, id=,S05, PRDE,actvstrat=,0.500395, actvprof=,0.005139, id=,S07, PRDE,actvstrat=,-0.661164, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.782975, best_B_strat=,0.292347, best_S_id=,S01, best_S_prof=,0.891407, best_S_strat=,-0.393608, 
t=,68400, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.001389, id=,B05, PRDE,actvstrat=,0.249680, actvprof=,0.122507, id=,B07, PRDE,actvstrat=,0.191097, actvprof=,2.302906, id=,S01, PRDE,actvstrat=,-0.456819, actvprof=,1.147564, id=,S04, PRDE,actvstrat=,-0.792153, actvprof=,0.010278, id=,S05, PRDE,actvstrat=,-0.842443, actvprof=,0.001667, id=,S07, PRDE,actvstrat=,-0.818499, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.302906, best_B_strat=,0.191097, best_S_id=,S01, best_S_prof=,1.147564, best_S_strat=,-0.456819, 
t=,72000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.000833, id=,B05, PRDE,actvstrat=,0.249680, actvprof=,0.105002, id=,B07, PRDE,actvstrat=,0.191097, actvprof=,2.223241, id=,S01, PRDE,actvstrat=,-0.456819, actvprof=,1.248776, id=,S04, PRDE,actvstrat=,-0.792153, actvprof=,0.010417, id=,S05, PRDE,actvstrat=,-0.842443, actvprof=,0.000833, id=,S07, PRDE,actvstrat=,-0.818499, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.223241, best_B_strat=,0.191097, best_S_id=,S01, best_S_prof=,1.248776, best_S_strat=,-0.456819, 
