t=,39600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.145919, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.613932, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.481353, id=,B08, PRDE,actvstrat=,-0.336436, actvprof=,2.690465, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.811167, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,2.090423, id=,S04, PRDE,actvstrat=,0.091581, actvprof=,0.203903, id=,S06, PRDE,actvstrat=,-0.287337, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.481353, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.811167, best_S_strat=,-1.000000, 
t=,43200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.145919, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.584044, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.409817, id=,B08, PRDE,actvstrat=,-0.336436, actvprof=,2.795633, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.779022, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,2.101864, id=,S04, PRDE,actvstrat=,0.091581, actvprof=,0.209728, id=,S06, PRDE,actvstrat=,-0.287337, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.409817, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.779022, best_S_strat=,-1.000000, 
t=,46800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.325544, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.017683, actvprof=,0.148066, id=,B07, PRDE,actvstrat=,0.325368, actvprof=,2.806584, id=,B08, PRDE,actvstrat=,-0.931631, actvprof=,0.696993, id=,S01, PRDE,actvstrat=,-0.656197, actvprof=,1.390930, id=,S03, PRDE,actvstrat=,-0.722833, actvprof=,0.132231, id=,S04, PRDE,actvstrat=,0.091581, actvprof=,0.110563, id=,S06, PRDE,actvstrat=,-0.448308, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.756595, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.806584, best_B_strat=,0.325368, best_S_id=,S01, best_S_prof=,1.390930, best_S_strat=,-0.656197, 
t=,50400, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.325544, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.017683, actvprof=,0.140283, id=,B07, PRDE,actvstrat=,0.325368, actvprof=,2.756068, id=,B08, PRDE,actvstrat=,-0.931631, actvprof=,0.682385, id=,S01, PRDE,actvstrat=,-0.656197, actvprof=,1.339769, id=,S03, PRDE,actvstrat=,-0.722833, actvprof=,0.134866, id=,S04, PRDE,actvstrat=,0.091581, actvprof=,0.117226, id=,S06, PRDE,actvstrat=,-0.448308, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.756595, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.756068, best_B_strat=,0.325368, best_S_id=,S01, best_S_prof=,1.339769, best_S_strat=,-0.656197, 
t=,54000, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.983655, actvprof=,0.618654, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.556080, id=,B08, PRDE,actvstrat=,-0.635388, actvprof=,2.538510, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.082575, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,2.351830, id=,S04, PRDE,actvstrat=,-0.571301, actvprof=,0.041947, id=,S06, PRDE,actvstrat=,-0.238512, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.464110, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.556080, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,5.082575, best_S_strat=,-1.000000, 
t=,57600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.983655, actvprof=,0.618910, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.513039, id=,B08, PRDE,actvstrat=,-0.635388, actvprof=,2.536338, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.013507, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,2.327442, id=,S04, PRDE,actvstrat=,-0.571301, actvprof=,0.054030, id=,S06, PRDE,actvstrat=,-0.238512, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.464110, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.513039, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,5.013507, best_S_strat=,-1.000000, 
t=,61200, id=,B00, PRDE,actvstrat=,-0.454710, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.145699, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.333495, actvprof=,0.911452, id=,B07, PRDE,actvstrat=,-0.871856, actvprof=,1.218696, id=,B08, PRDE,actvstrat=,-0.235092, actvprof=,4.272241, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.522745, id=,S03, PRDE,actvstrat=,0.999371, actvprof=,1.185082, id=,S04, PRDE,actvstrat=,-0.640996, actvprof=,0.007501, id=,S06, PRDE,actvstrat=,0.016402, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.272241, best_B_strat=,-0.235092, best_S_id=,S01, best_S_prof=,3.522745, best_S_strat=,-1.000000, 
t=,64800, id=,B00, PRDE,actvstrat=,-0.454710, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.145699, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.333495, actvprof=,1.011563, id=,B07, PRDE,actvstrat=,-0.871856, actvprof=,1.226431, id=,B08, PRDE,actvstrat=,-0.235092, actvprof=,4.370291, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.581235, id=,S03, PRDE,actvstrat=,0.999371, actvprof=,1.129484, id=,S04, PRDE,actvstrat=,-0.640996, actvprof=,0.008889, id=,S06, PRDE,actvstrat=,0.016402, actvprof=,0.000694, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.370291, best_B_strat=,-0.235092, best_S_id=,S01, best_S_prof=,3.581235, best_S_strat=,-1.000000, 
t=,68400, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.814052, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.214474, actvprof=,0.231130, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.283690, id=,B08, PRDE,actvstrat=,0.311022, actvprof=,5.059033, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.112565, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.540128, id=,S04, PRDE,actvstrat=,0.540803, actvprof=,0.091397, id=,S06, PRDE,actvstrat=,-0.365038, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.520543, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.059033, best_B_strat=,0.311022, best_S_id=,S01, best_S_prof=,4.112565, best_S_strat=,-1.000000, 
t=,72000, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.814052, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.214474, actvprof=,0.233343, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.273789, id=,B08, PRDE,actvstrat=,0.311022, actvprof=,5.063961, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.202814, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.582983, id=,S04, PRDE,actvstrat=,0.540803, actvprof=,0.114171, id=,S06, PRDE,actvstrat=,-0.365038, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.520543, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.063961, best_B_strat=,0.311022, best_S_id=,S01, best_S_prof=,4.202814, best_S_strat=,-1.000000, 
