t=,39600, id=,B00, PRDE,actvstrat=,0.493867, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.225352, actvprof=,0.000833, id=,B04, PRDE,actvstrat=,0.371241, actvprof=,0.016945, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.857897, id=,B08, PRDE,actvstrat=,0.129833, actvprof=,3.225968, id=,S00, PRDE,actvstrat=,0.680695, actvprof=,6.163312, id=,S02, PRDE,actvstrat=,-0.364614, actvprof=,0.439741, id=,S04, PRDE,actvstrat=,0.035525, actvprof=,0.195008, id=,S08, PRDE,actvstrat=,0.291263, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.225968, best_B_strat=,0.129833, best_S_id=,S00, best_S_prof=,6.163312, best_S_strat=,0.680695, 
t=,43200, id=,B00, PRDE,actvstrat=,0.493867, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.225352, actvprof=,0.000417, id=,B04, PRDE,actvstrat=,0.371241, actvprof=,0.014584, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.813531, id=,B08, PRDE,actvstrat=,0.129833, actvprof=,3.193400, id=,S00, PRDE,actvstrat=,0.680695, actvprof=,6.212768, id=,S02, PRDE,actvstrat=,-0.364614, actvprof=,0.441398, id=,S04, PRDE,actvstrat=,0.035525, actvprof=,0.210282, id=,S08, PRDE,actvstrat=,0.291263, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.193400, best_B_strat=,0.129833, best_S_id=,S00, best_S_prof=,6.212768, best_S_strat=,0.680695, 
t=,46800, id=,B00, PRDE,actvstrat=,0.431613, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.223690, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.725897, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.939985, actvprof=,2.914288, id=,B08, PRDE,actvstrat=,0.297557, actvprof=,3.405697, id=,S00, PRDE,actvstrat=,-0.123419, actvprof=,2.110088, id=,S02, PRDE,actvstrat=,-0.556179, actvprof=,0.461408, id=,S04, PRDE,actvstrat=,0.211216, actvprof=,0.246955, id=,S08, PRDE,actvstrat=,0.785600, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.679989, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.405697, best_B_strat=,0.297557, best_S_id=,S00, best_S_prof=,2.110088, best_S_strat=,-0.123419, 
t=,50400, id=,B00, PRDE,actvstrat=,0.431613, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.223690, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.725897, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.939985, actvprof=,2.945895, id=,B08, PRDE,actvstrat=,0.297557, actvprof=,3.486323, id=,S00, PRDE,actvstrat=,-0.123419, actvprof=,2.191435, id=,S02, PRDE,actvstrat=,-0.556179, actvprof=,0.502094, id=,S04, PRDE,actvstrat=,0.211216, actvprof=,0.251394, id=,S08, PRDE,actvstrat=,0.785600, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.679989, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.486323, best_B_strat=,0.297557, best_S_id=,S00, best_S_prof=,2.191435, best_S_strat=,-0.123419, 
t=,54000, id=,B00, PRDE,actvstrat=,-0.324157, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.139525, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.765045, actvprof=,0.015834, id=,B07, PRDE,actvstrat=,0.544701, actvprof=,4.399133, id=,B08, PRDE,actvstrat=,-0.757760, actvprof=,3.659092, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.291961, id=,S02, PRDE,actvstrat=,-0.904695, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.228346, id=,S08, PRDE,actvstrat=,-0.098898, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.650921, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.399133, best_B_strat=,0.544701, best_S_id=,S00, best_S_prof=,5.291961, best_S_strat=,-1.000000, 
t=,57600, id=,B00, PRDE,actvstrat=,-0.324157, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.139525, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.765045, actvprof=,0.010278, id=,B07, PRDE,actvstrat=,0.544701, actvprof=,4.390925, id=,B08, PRDE,actvstrat=,-0.757760, actvprof=,3.527851, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.276360, id=,S02, PRDE,actvstrat=,-0.904695, actvprof=,0.001667, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.205282, id=,S08, PRDE,actvstrat=,-0.098898, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.650921, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.390925, best_B_strat=,0.544701, best_S_id=,S00, best_S_prof=,5.276360, best_S_strat=,-1.000000, 
t=,61200, id=,B00, PRDE,actvstrat=,-0.157198, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.910331, actvprof=,0.024168, id=,B04, PRDE,actvstrat=,0.623142, actvprof=,0.129728, id=,B07, PRDE,actvstrat=,-0.712571, actvprof=,1.760629, id=,B08, PRDE,actvstrat=,0.107477, actvprof=,4.689640, id=,S00, PRDE,actvstrat=,0.893421, actvprof=,6.000250, id=,S02, PRDE,actvstrat=,0.746774, actvprof=,2.032307, id=,S04, PRDE,actvstrat=,0.110773, actvprof=,0.021112, id=,S08, PRDE,actvstrat=,0.693132, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.061674, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.689640, best_B_strat=,0.107477, best_S_id=,S00, best_S_prof=,6.000250, best_S_strat=,0.893421, 
t=,64800, id=,B00, PRDE,actvstrat=,-0.157198, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.910331, actvprof=,0.026251, id=,B04, PRDE,actvstrat=,0.623142, actvprof=,0.132920, id=,B07, PRDE,actvstrat=,-0.712571, actvprof=,1.690325, id=,B08, PRDE,actvstrat=,0.107477, actvprof=,4.553321, id=,S00, PRDE,actvstrat=,0.893421, actvprof=,6.008084, id=,S02, PRDE,actvstrat=,0.746774, actvprof=,1.997972, id=,S04, PRDE,actvstrat=,0.110773, actvprof=,0.025417, id=,S08, PRDE,actvstrat=,0.693132, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.061674, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.553321, best_B_strat=,0.107477, best_S_id=,S00, best_S_prof=,6.008084, best_S_strat=,0.893421, 
t=,68400, id=,B00, PRDE,actvstrat=,-0.092828, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.638030, actvprof=,0.015001, id=,B04, PRDE,actvstrat=,-0.617908, actvprof=,0.026946, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.993277, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.052781, id=,S00, PRDE,actvstrat=,0.853984, actvprof=,6.396466, id=,S02, PRDE,actvstrat=,-0.321565, actvprof=,0.256125, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.750042, id=,S08, PRDE,actvstrat=,-0.703389, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.610492, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.052781, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,6.396466, best_S_strat=,0.853984, 
t=,72000, id=,B00, PRDE,actvstrat=,-0.092828, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.638030, actvprof=,0.014306, id=,B04, PRDE,actvstrat=,-0.617908, actvprof=,0.030278, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.909387, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.056078, id=,S00, PRDE,actvstrat=,0.853984, actvprof=,6.517775, id=,S02, PRDE,actvstrat=,-0.321565, actvprof=,0.293062, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.811684, id=,S08, PRDE,actvstrat=,-0.703389, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.610492, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.056078, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,6.517775, best_S_strat=,0.853984, 
