t=,39600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.996437, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.757809, actvprof=,3.124019, id=,B09, PRDE,actvstrat=,-0.881839, actvprof=,2.286762, id=,S02, PRDE,actvstrat=,-0.777976, actvprof=,0.827534, id=,S03, PRDE,actvstrat=,0.645325, actvprof=,1.785908, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.860591, id=,S05, PRDE,actvstrat=,0.167872, actvprof=,0.046113, id=,S06, PRDE,actvstrat=,0.639899, actvprof=,0.009167, best_B_id=,B07, best_B_prof=,3.124019, best_B_strat=,0.757809, best_S_id=,S03, best_S_prof=,1.785908, best_S_strat=,0.645325, 
t=,43200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.996437, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.757809, actvprof=,2.966034, id=,B09, PRDE,actvstrat=,-0.881839, actvprof=,2.179073, id=,S02, PRDE,actvstrat=,-0.777976, actvprof=,0.876268, id=,S03, PRDE,actvstrat=,0.645325, actvprof=,1.949068, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.987937, id=,S05, PRDE,actvstrat=,0.167872, actvprof=,0.041945, id=,S06, PRDE,actvstrat=,0.639899, actvprof=,0.008334, best_B_id=,B07, best_B_prof=,2.966034, best_B_strat=,0.757809, best_S_id=,S03, best_S_prof=,1.949068, best_S_strat=,0.645325, 
t=,46800, id=,B00, PRDE,actvstrat=,-0.114733, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.776523, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.931964, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.337206, actvprof=,0.948373, id=,B09, PRDE,actvstrat=,0.885978, actvprof=,6.009139, id=,S02, PRDE,actvstrat=,0.922616, actvprof=,4.482687, id=,S03, PRDE,actvstrat=,0.271930, actvprof=,1.520063, id=,S04, PRDE,actvstrat=,-0.814907, actvprof=,0.098337, id=,S05, PRDE,actvstrat=,0.167872, actvprof=,0.071392, id=,S06, PRDE,actvstrat=,-0.486654, actvprof=,0.005000, best_B_id=,B09, best_B_prof=,6.009139, best_B_strat=,0.885978, best_S_id=,S02, best_S_prof=,4.482687, best_S_strat=,0.922616, 
t=,50400, id=,B00, PRDE,actvstrat=,-0.114733, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.776523, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.931964, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.337206, actvprof=,1.071550, id=,B09, PRDE,actvstrat=,0.885978, actvprof=,6.106238, id=,S02, PRDE,actvstrat=,0.922616, actvprof=,4.376341, id=,S03, PRDE,actvstrat=,0.271930, actvprof=,1.457530, id=,S04, PRDE,actvstrat=,-0.814907, actvprof=,0.126947, id=,S05, PRDE,actvstrat=,0.167872, actvprof=,0.070279, id=,S06, PRDE,actvstrat=,-0.486654, actvprof=,0.005833, best_B_id=,B09, best_B_prof=,6.106238, best_B_strat=,0.885978, best_S_id=,S02, best_S_prof=,4.376341, best_S_strat=,0.922616, 
t=,54000, id=,B00, PRDE,actvstrat=,0.409234, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.018284, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.801087, actvprof=,1.781741, id=,B09, PRDE,actvstrat=,0.662733, actvprof=,4.780199, id=,S02, PRDE,actvstrat=,-0.773082, actvprof=,1.608400, id=,S03, PRDE,actvstrat=,-0.789093, actvprof=,0.625026, id=,S04, PRDE,actvstrat=,-0.989868, actvprof=,1.582566, id=,S05, PRDE,actvstrat=,-0.223746, actvprof=,0.052224, id=,S06, PRDE,actvstrat=,0.450845, actvprof=,0.020834, best_B_id=,B09, best_B_prof=,4.780199, best_B_strat=,0.662733, best_S_id=,S02, best_S_prof=,1.608400, best_S_strat=,-0.773082, 
t=,57600, id=,B00, PRDE,actvstrat=,0.409234, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.018284, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.801087, actvprof=,1.724897, id=,B09, PRDE,actvstrat=,0.662733, actvprof=,4.670375, id=,S02, PRDE,actvstrat=,-0.773082, actvprof=,1.634478, id=,S03, PRDE,actvstrat=,-0.789093, actvprof=,0.668486, id=,S04, PRDE,actvstrat=,-0.989868, actvprof=,1.673368, id=,S05, PRDE,actvstrat=,-0.223746, actvprof=,0.054168, id=,S06, PRDE,actvstrat=,0.450845, actvprof=,0.018056, best_B_id=,B09, best_B_prof=,4.670375, best_B_strat=,0.662733, best_S_id=,S04, best_S_prof=,1.673368, best_S_strat=,-0.989868, 
t=,61200, id=,B00, PRDE,actvstrat=,0.029343, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.136810, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.821891, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.248668, actvprof=,0.855869, id=,B09, PRDE,actvstrat=,0.662733, actvprof=,5.691904, id=,S02, PRDE,actvstrat=,-0.100038, actvprof=,1.983138, id=,S03, PRDE,actvstrat=,0.192667, actvprof=,1.624512, id=,S04, PRDE,actvstrat=,-0.268066, actvprof=,0.145839, id=,S05, PRDE,actvstrat=,0.270247, actvprof=,0.046946, id=,S06, PRDE,actvstrat=,-0.948822, actvprof=,0.033890, best_B_id=,B09, best_B_prof=,5.691904, best_B_strat=,0.662733, best_S_id=,S02, best_S_prof=,1.983138, best_S_strat=,-0.100038, 
t=,64800, id=,B00, PRDE,actvstrat=,0.029343, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.136810, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.821891, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.248668, actvprof=,0.834734, id=,B09, PRDE,actvstrat=,0.662733, actvprof=,5.752441, id=,S02, PRDE,actvstrat=,-0.100038, actvprof=,2.031000, id=,S03, PRDE,actvstrat=,0.192667, actvprof=,1.648773, id=,S04, PRDE,actvstrat=,-0.268066, actvprof=,0.150697, id=,S05, PRDE,actvstrat=,0.270247, actvprof=,0.064168, id=,S06, PRDE,actvstrat=,-0.948822, actvprof=,0.029723, best_B_id=,B09, best_B_prof=,5.752441, best_B_strat=,0.662733, best_S_id=,S02, best_S_prof=,2.031000, best_S_strat=,-0.100038, 
t=,68400, id=,B00, PRDE,actvstrat=,0.725812, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.397107, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.889549, actvprof=,0.720030, id=,B09, PRDE,actvstrat=,-0.707527, actvprof=,4.709641, id=,S02, PRDE,actvstrat=,-0.058969, actvprof=,1.045599, id=,S03, PRDE,actvstrat=,-0.861339, actvprof=,0.019167, id=,S04, PRDE,actvstrat=,0.598382, actvprof=,0.082226, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.009445, id=,S06, PRDE,actvstrat=,-0.723090, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.709641, best_B_strat=,-0.707527, best_S_id=,S02, best_S_prof=,1.045599, best_S_strat=,-0.058969, 
t=,72000, id=,B00, PRDE,actvstrat=,0.725812, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.397107, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.889549, actvprof=,0.646263, id=,B09, PRDE,actvstrat=,-0.707527, actvprof=,4.743710, id=,S02, PRDE,actvstrat=,-0.058969, actvprof=,1.030021, id=,S03, PRDE,actvstrat=,-0.861339, actvprof=,0.021112, id=,S04, PRDE,actvstrat=,0.598382, actvprof=,0.087641, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.010278, id=,S06, PRDE,actvstrat=,-0.723090, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.743710, best_B_strat=,-0.707527, best_S_id=,S02, best_S_prof=,1.030021, best_S_strat=,-0.058969, 
