t=,39600, id=,B00, PRDE,actvstrat=,0.097299, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.805362, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.538844, actvprof=,0.907020, id=,B07, PRDE,actvstrat=,0.986904, actvprof=,2.947746, id=,B08, PRDE,actvstrat=,0.942529, actvprof=,4.534267, id=,S00, PRDE,actvstrat=,-0.412802, actvprof=,1.925160, id=,S02, PRDE,actvstrat=,0.725762, actvprof=,3.293608, id=,S03, PRDE,actvstrat=,-0.117198, actvprof=,0.281968, id=,S07, PRDE,actvstrat=,-0.938807, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.865961, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.534267, best_B_strat=,0.942529, best_S_id=,S02, best_S_prof=,3.293608, best_S_strat=,0.725762, 
t=,43200, id=,B00, PRDE,actvstrat=,0.097299, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.805362, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.538844, actvprof=,0.866008, id=,B07, PRDE,actvstrat=,0.986904, actvprof=,2.836368, id=,B08, PRDE,actvstrat=,0.942529, actvprof=,4.496993, id=,S00, PRDE,actvstrat=,-0.412802, actvprof=,1.859383, id=,S02, PRDE,actvstrat=,0.725762, actvprof=,3.335139, id=,S03, PRDE,actvstrat=,-0.117198, actvprof=,0.301818, id=,S07, PRDE,actvstrat=,-0.938807, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.865961, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.496993, best_B_strat=,0.942529, best_S_id=,S02, best_S_prof=,3.335139, best_S_strat=,0.725762, 
t=,46800, id=,B00, PRDE,actvstrat=,-0.066436, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.805362, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.512288, actvprof=,1.085646, id=,B07, PRDE,actvstrat=,0.721526, actvprof=,2.918854, id=,B08, PRDE,actvstrat=,0.152251, actvprof=,3.431953, id=,S00, PRDE,actvstrat=,-0.479957, actvprof=,1.550685, id=,S02, PRDE,actvstrat=,0.597512, actvprof=,2.538267, id=,S03, PRDE,actvstrat=,0.357592, actvprof=,0.842570, id=,S07, PRDE,actvstrat=,-0.938807, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.865961, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.431953, best_B_strat=,0.152251, best_S_id=,S02, best_S_prof=,2.538267, best_S_strat=,0.597512, 
t=,50400, id=,B00, PRDE,actvstrat=,-0.066436, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.805362, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.512288, actvprof=,1.060878, id=,B07, PRDE,actvstrat=,0.721526, actvprof=,2.898871, id=,B08, PRDE,actvstrat=,0.152251, actvprof=,3.498479, id=,S00, PRDE,actvstrat=,-0.479957, actvprof=,1.471728, id=,S02, PRDE,actvstrat=,0.597512, actvprof=,2.576080, id=,S03, PRDE,actvstrat=,0.357592, actvprof=,0.913094, id=,S07, PRDE,actvstrat=,-0.938807, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.865961, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.498479, best_B_strat=,0.152251, best_S_id=,S02, best_S_prof=,2.576080, best_S_strat=,0.597512, 
t=,54000, id=,B00, PRDE,actvstrat=,-0.441228, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.666715, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.538844, actvprof=,1.030043, id=,B07, PRDE,actvstrat=,0.986904, actvprof=,3.027071, id=,B08, PRDE,actvstrat=,0.579907, actvprof=,4.159062, id=,S00, PRDE,actvstrat=,0.382114, actvprof=,4.623248, id=,S02, PRDE,actvstrat=,0.310104, actvprof=,1.747295, id=,S03, PRDE,actvstrat=,0.357592, actvprof=,0.817256, id=,S07, PRDE,actvstrat=,-0.938807, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.395665, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.159062, best_B_strat=,0.579907, best_S_id=,S00, best_S_prof=,4.623248, best_S_strat=,0.382114, 
t=,57600, id=,B00, PRDE,actvstrat=,-0.441228, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.666715, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.538844, actvprof=,1.006424, id=,B07, PRDE,actvstrat=,0.986904, actvprof=,3.081079, id=,B08, PRDE,actvstrat=,0.579907, actvprof=,4.248203, id=,S00, PRDE,actvstrat=,0.382114, actvprof=,4.635578, id=,S02, PRDE,actvstrat=,0.310104, actvprof=,1.759922, id=,S03, PRDE,actvstrat=,0.357592, actvprof=,0.815445, id=,S07, PRDE,actvstrat=,-0.938807, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.395665, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.248203, best_B_strat=,0.579907, best_S_id=,S00, best_S_prof=,4.635578, best_S_strat=,0.382114, 
t=,61200, id=,B00, PRDE,actvstrat=,0.097299, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.666715, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.538844, actvprof=,0.599789, id=,B07, PRDE,actvstrat=,0.986904, actvprof=,2.592510, id=,B08, PRDE,actvstrat=,0.986677, actvprof=,4.281031, id=,S00, PRDE,actvstrat=,-0.479957, actvprof=,1.831037, id=,S02, PRDE,actvstrat=,-0.751020, actvprof=,0.479498, id=,S03, PRDE,actvstrat=,0.357592, actvprof=,1.197077, id=,S07, PRDE,actvstrat=,-0.895349, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.042071, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.281031, best_B_strat=,0.986677, best_S_id=,S00, best_S_prof=,1.831037, best_S_strat=,-0.479957, 
t=,64800, id=,B00, PRDE,actvstrat=,0.097299, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.666715, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.538844, actvprof=,0.618784, id=,B07, PRDE,actvstrat=,0.986904, actvprof=,2.622229, id=,B08, PRDE,actvstrat=,0.986677, actvprof=,4.254125, id=,S00, PRDE,actvstrat=,-0.479957, actvprof=,1.820796, id=,S02, PRDE,actvstrat=,-0.751020, actvprof=,0.406134, id=,S03, PRDE,actvstrat=,0.357592, actvprof=,1.257570, id=,S07, PRDE,actvstrat=,-0.895349, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.042071, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.254125, best_B_strat=,0.986677, best_S_id=,S00, best_S_prof=,1.820796, best_S_strat=,-0.479957, 
t=,68400, id=,B00, PRDE,actvstrat=,-0.441228, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.805362, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.650186, actvprof=,1.291846, id=,B07, PRDE,actvstrat=,0.986904, actvprof=,3.064037, id=,B08, PRDE,actvstrat=,0.579907, actvprof=,4.361995, id=,S00, PRDE,actvstrat=,-0.111788, actvprof=,2.101125, id=,S02, PRDE,actvstrat=,0.725762, actvprof=,2.866787, id=,S03, PRDE,actvstrat=,0.730665, actvprof=,1.597444, id=,S07, PRDE,actvstrat=,-0.128794, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.424546, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.361995, best_B_strat=,0.579907, best_S_id=,S02, best_S_prof=,2.866787, best_S_strat=,0.725762, 
t=,72000, id=,B00, PRDE,actvstrat=,-0.441228, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.805362, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.650186, actvprof=,1.313277, id=,B07, PRDE,actvstrat=,0.986904, actvprof=,3.054496, id=,B08, PRDE,actvstrat=,0.579907, actvprof=,4.336660, id=,S00, PRDE,actvstrat=,-0.111788, actvprof=,2.197498, id=,S02, PRDE,actvstrat=,0.725762, actvprof=,2.895737, id=,S03, PRDE,actvstrat=,0.730665, actvprof=,1.582460, id=,S07, PRDE,actvstrat=,-0.128794, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.424546, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.336660, best_B_strat=,0.579907, best_S_id=,S02, best_S_prof=,2.895737, best_S_strat=,0.725762, 
