t=,39600, id=,B01, PRDE,actvstrat=,0.469205, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.870227, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.016390, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.220884, id=,B06, PRDE,actvstrat=,-0.586029, actvprof=,0.780310, id=,S04, PRDE,actvstrat=,0.428677, actvprof=,0.040557, id=,S06, PRDE,actvstrat=,0.313195, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.022622, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.586472, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.837976, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,1.220884, best_B_strat=,-1.000000, best_S_id=,S04, best_S_prof=,0.040557, best_S_strat=,0.428677, 
t=,43200, id=,B01, PRDE,actvstrat=,0.469205, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.870227, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.023056, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.117662, id=,B06, PRDE,actvstrat=,-0.586029, actvprof=,0.769599, id=,S04, PRDE,actvstrat=,0.428677, actvprof=,0.061946, id=,S06, PRDE,actvstrat=,0.313195, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.022622, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.586472, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.837976, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,1.117662, best_B_strat=,-1.000000, best_S_id=,S04, best_S_prof=,0.061946, best_S_strat=,0.428677, 
t=,46800, id=,B01, PRDE,actvstrat=,-0.315902, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.703167, actvprof=,0.022501, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.702293, id=,B06, PRDE,actvstrat=,-0.544582, actvprof=,1.374224, id=,S04, PRDE,actvstrat=,0.428677, actvprof=,0.034446, id=,S06, PRDE,actvstrat=,0.952148, actvprof=,0.003611, id=,S07, PRDE,actvstrat=,-0.694161, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.784297, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.729475, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,1.702293, best_B_strat=,-1.000000, best_S_id=,S04, best_S_prof=,0.034446, best_S_strat=,0.428677, 
t=,50400, id=,B01, PRDE,actvstrat=,-0.315902, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.703167, actvprof=,0.030278, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.822121, id=,B06, PRDE,actvstrat=,-0.544582, actvprof=,1.437252, id=,S04, PRDE,actvstrat=,0.428677, actvprof=,0.030834, id=,S06, PRDE,actvstrat=,0.952148, actvprof=,0.002500, id=,S07, PRDE,actvstrat=,-0.694161, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.784297, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.729475, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,1.822121, best_B_strat=,-1.000000, best_S_id=,S04, best_S_prof=,0.030834, best_S_strat=,0.428677, 
t=,54000, id=,B01, PRDE,actvstrat=,0.309234, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.297636, actvprof=,0.007223, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.810867, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.958693, id=,S04, PRDE,actvstrat=,0.272654, actvprof=,0.241677, id=,S06, PRDE,actvstrat=,0.361211, actvprof=,0.006389, id=,S07, PRDE,actvstrat=,-0.794263, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.251295, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.958693, best_B_strat=,-1.000000, best_S_id=,S04, best_S_prof=,0.241677, best_S_strat=,0.272654, 
t=,57600, id=,B01, PRDE,actvstrat=,0.309234, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.297636, actvprof=,0.004167, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.669042, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.926568, id=,S04, PRDE,actvstrat=,0.272654, actvprof=,0.226394, id=,S06, PRDE,actvstrat=,0.361211, actvprof=,0.003195, id=,S07, PRDE,actvstrat=,-0.794263, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.251295, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.926568, best_B_strat=,-1.000000, best_S_id=,S04, best_S_prof=,0.226394, best_S_strat=,0.272654, 
t=,61200, id=,B01, PRDE,actvstrat=,0.469205, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.870227, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.889869, actvprof=,0.471402, id=,B05, PRDE,actvstrat=,-0.640376, actvprof=,0.372233, id=,B06, PRDE,actvstrat=,-0.916561, actvprof=,0.330287, id=,S04, PRDE,actvstrat=,0.272654, actvprof=,0.005278, id=,S06, PRDE,actvstrat=,0.313195, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.199826, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.100287, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.740104, actvprof=,0.000000, best_B_id=,B04, best_B_prof=,0.471402, best_B_strat=,0.889869, best_S_id=,S04, best_S_prof=,0.005278, best_S_strat=,0.272654, 
t=,64800, id=,B01, PRDE,actvstrat=,0.469205, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.870227, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.889869, actvprof=,0.559039, id=,B05, PRDE,actvstrat=,-0.640376, actvprof=,0.477093, id=,B06, PRDE,actvstrat=,-0.916561, actvprof=,0.411120, id=,S04, PRDE,actvstrat=,0.272654, actvprof=,0.004306, id=,S06, PRDE,actvstrat=,0.313195, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.199826, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.100287, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.740104, actvprof=,0.000000, best_B_id=,B04, best_B_prof=,0.559039, best_B_strat=,0.889869, best_S_id=,S04, best_S_prof=,0.004306, best_S_strat=,0.272654, 
t=,68400, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.870227, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.721848, actvprof=,0.015556, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.567801, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.157590, id=,S04, PRDE,actvstrat=,0.412220, actvprof=,0.134728, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.354909, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.669912, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.232174, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.157590, best_B_strat=,-1.000000, best_S_id=,S04, best_S_prof=,0.134728, best_S_strat=,0.412220, 
t=,72000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.870227, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.721848, actvprof=,0.019167, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.569179, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.081432, id=,S04, PRDE,actvstrat=,0.412220, actvprof=,0.160003, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.001389, id=,S07, PRDE,actvstrat=,-0.354909, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.669912, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.232174, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.081432, best_B_strat=,-1.000000, best_S_id=,S04, best_S_prof=,0.160003, best_S_strat=,0.412220, 
t=,75600, id=,B01, PRDE,actvstrat=,0.309234, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.993967, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.484381, actvprof=,0.055836, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.337834, id=,B06, PRDE,actvstrat=,-0.131416, actvprof=,1.197272, id=,S04, PRDE,actvstrat=,0.425162, actvprof=,0.051391, id=,S06, PRDE,actvstrat=,-0.689346, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.354909, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.669912, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,1.337834, best_B_strat=,-1.000000, best_S_id=,S04, best_S_prof=,0.051391, best_S_strat=,0.425162, 
t=,79200, id=,B01, PRDE,actvstrat=,0.309234, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.993967, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.484381, actvprof=,0.060835, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.301694, id=,B06, PRDE,actvstrat=,-0.131416, actvprof=,1.147246, id=,S04, PRDE,actvstrat=,0.425162, actvprof=,0.050557, id=,S06, PRDE,actvstrat=,-0.689346, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.354909, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.669912, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,1.301694, best_B_strat=,-1.000000, best_S_id=,S04, best_S_prof=,0.050557, best_S_strat=,0.425162, 
t=,82800, id=,B01, PRDE,actvstrat=,-0.115402, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.735628, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.808728, actvprof=,0.054725, id=,B05, PRDE,actvstrat=,0.669141, actvprof=,0.835046, id=,B06, PRDE,actvstrat=,0.436849, actvprof=,1.975110, id=,S04, PRDE,actvstrat=,0.401866, actvprof=,0.083894, id=,S06, PRDE,actvstrat=,0.361211, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.034583, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.100287, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.708357, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.975110, best_B_strat=,0.436849, best_S_id=,S04, best_S_prof=,0.083894, best_S_strat=,0.401866, 
t=,86400, id=,B01, PRDE,actvstrat=,-0.115402, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.735628, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.808728, actvprof=,0.061807, id=,B05, PRDE,actvstrat=,0.669141, actvprof=,0.908359, id=,B06, PRDE,actvstrat=,0.436849, actvprof=,2.106586, id=,S04, PRDE,actvstrat=,0.401866, actvprof=,0.060002, id=,S06, PRDE,actvstrat=,0.361211, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.034583, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.100287, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.708357, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.106586, best_B_strat=,0.436849, best_S_id=,S04, best_S_prof=,0.060002, best_S_strat=,0.401866, 
t=,90000, id=,B01, PRDE,actvstrat=,0.816503, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.870227, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.808728, actvprof=,0.033613, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.812823, id=,B06, PRDE,actvstrat=,0.436849, actvprof=,1.638147, id=,S04, PRDE,actvstrat=,0.412220, actvprof=,0.128063, id=,S06, PRDE,actvstrat=,0.361211, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.972221, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.251295, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.837976, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.638147, best_B_strat=,0.436849, best_S_id=,S04, best_S_prof=,0.128063, best_S_strat=,0.412220, 
t=,93600, id=,B01, PRDE,actvstrat=,0.816503, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.870227, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.808728, actvprof=,0.029862, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.893914, id=,B06, PRDE,actvstrat=,0.436849, actvprof=,1.724770, id=,S04, PRDE,actvstrat=,0.412220, actvprof=,0.100558, id=,S06, PRDE,actvstrat=,0.361211, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.972221, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.251295, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.837976, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.724770, best_B_strat=,0.436849, best_S_id=,S04, best_S_prof=,0.100558, best_S_strat=,0.412220, 
t=,97200, id=,B01, PRDE,actvstrat=,0.816503, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.601028, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.274429, actvprof=,0.068892, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,1.282276, id=,B06, PRDE,actvstrat=,0.436849, actvprof=,2.079809, id=,S04, PRDE,actvstrat=,0.291291, actvprof=,0.071114, id=,S06, PRDE,actvstrat=,0.088968, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.585122, actvprof=,0.003056, id=,S08, PRDE,actvstrat=,0.784297, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.604661, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.079809, best_B_strat=,0.436849, best_S_id=,S04, best_S_prof=,0.071114, best_S_strat=,0.291291, 
t=,100800, id=,B01, PRDE,actvstrat=,0.816503, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.601028, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.274429, actvprof=,0.052640, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,1.187116, id=,B06, PRDE,actvstrat=,0.436849, actvprof=,2.004083, id=,S04, PRDE,actvstrat=,0.291291, actvprof=,0.080836, id=,S06, PRDE,actvstrat=,0.088968, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.585122, actvprof=,0.001528, id=,S08, PRDE,actvstrat=,0.784297, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.604661, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.004083, best_B_strat=,0.436849, best_S_id=,S04, best_S_prof=,0.080836, best_S_strat=,0.291291, 
