t=,43200, id=,B01, PRDE,actvstrat=,-0.097608, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.475164, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.968801, actvprof=,0.048612, id=,B08, PRDE,actvstrat=,0.106264, actvprof=,2.754224, id=,B09, PRDE,actvstrat=,0.108893, actvprof=,4.245366, id=,S00, PRDE,actvstrat=,-0.919528, actvprof=,0.432231, id=,S01, PRDE,actvstrat=,0.243787, actvprof=,3.722161, id=,S03, PRDE,actvstrat=,-0.899628, actvprof=,0.037223, id=,S04, PRDE,actvstrat=,0.091614, actvprof=,0.372091, id=,S07, PRDE,actvstrat=,-0.140518, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.245366, best_B_strat=,0.108893, best_S_id=,S01, best_S_prof=,3.722161, best_S_strat=,0.243787, 
t=,46800, id=,B01, PRDE,actvstrat=,0.872536, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.055179, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.892780, actvprof=,0.175002, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,3.883109, id=,B09, PRDE,actvstrat=,0.153821, actvprof=,4.316449, id=,S00, PRDE,actvstrat=,-0.919528, actvprof=,0.583064, id=,S01, PRDE,actvstrat=,0.690674, actvprof=,5.387019, id=,S03, PRDE,actvstrat=,0.384754, actvprof=,1.596411, id=,S04, PRDE,actvstrat=,-0.006973, actvprof=,0.316393, id=,S07, PRDE,actvstrat=,-0.075213, actvprof=,0.001389, best_B_id=,B09, best_B_prof=,4.316449, best_B_strat=,0.153821, best_S_id=,S01, best_S_prof=,5.387019, best_S_strat=,0.690674, 
t=,50400, id=,B01, PRDE,actvstrat=,0.872536, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.055179, actvprof=,0.000139, id=,B05, PRDE,actvstrat=,0.892780, actvprof=,0.168337, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,3.826191, id=,B09, PRDE,actvstrat=,0.153821, actvprof=,4.296617, id=,S00, PRDE,actvstrat=,-0.919528, actvprof=,0.657930, id=,S01, PRDE,actvstrat=,0.690674, actvprof=,5.554838, id=,S03, PRDE,actvstrat=,0.384754, actvprof=,1.543921, id=,S04, PRDE,actvstrat=,-0.006973, actvprof=,0.313895, id=,S07, PRDE,actvstrat=,-0.075213, actvprof=,0.001806, best_B_id=,B09, best_B_prof=,4.296617, best_B_strat=,0.153821, best_S_id=,S01, best_S_prof=,5.554838, best_S_strat=,0.690674, 
t=,54000, id=,B01, PRDE,actvstrat=,-0.405137, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.406026, actvprof=,0.010278, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.432240, id=,B08, PRDE,actvstrat=,-0.265472, actvprof=,2.210370, id=,B09, PRDE,actvstrat=,-0.086655, actvprof=,4.339347, id=,S00, PRDE,actvstrat=,0.985504, actvprof=,7.581149, id=,S01, PRDE,actvstrat=,0.772321, actvprof=,5.245496, id=,S03, PRDE,actvstrat=,-0.806152, actvprof=,0.072503, id=,S04, PRDE,actvstrat=,0.106410, actvprof=,0.197786, id=,S07, PRDE,actvstrat=,0.707164, actvprof=,0.004445, best_B_id=,B09, best_B_prof=,4.339347, best_B_strat=,-0.086655, best_S_id=,S00, best_S_prof=,7.581149, best_S_strat=,0.985504, 
t=,57600, id=,B01, PRDE,actvstrat=,-0.405137, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.406026, actvprof=,0.007222, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.449593, id=,B08, PRDE,actvstrat=,-0.265472, actvprof=,2.327132, id=,B09, PRDE,actvstrat=,-0.086655, actvprof=,4.312868, id=,S00, PRDE,actvstrat=,0.985504, actvprof=,7.503212, id=,S01, PRDE,actvstrat=,0.772321, actvprof=,5.271082, id=,S03, PRDE,actvstrat=,-0.806152, actvprof=,0.076252, id=,S04, PRDE,actvstrat=,0.106410, actvprof=,0.191393, id=,S07, PRDE,actvstrat=,0.707164, actvprof=,0.002222, best_B_id=,B09, best_B_prof=,4.312868, best_B_strat=,-0.086655, best_S_id=,S00, best_S_prof=,7.503212, best_S_strat=,0.985504, 
t=,61200, id=,B01, PRDE,actvstrat=,0.804473, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.811152, actvprof=,0.005834, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.277793, id=,B08, PRDE,actvstrat=,0.788636, actvprof=,4.458581, id=,B09, PRDE,actvstrat=,-0.884880, actvprof=,1.607312, id=,S00, PRDE,actvstrat=,0.813624, actvprof=,7.406523, id=,S01, PRDE,actvstrat=,0.549580, actvprof=,4.458303, id=,S03, PRDE,actvstrat=,-0.550209, actvprof=,0.264737, id=,S04, PRDE,actvstrat=,-0.163475, actvprof=,0.055559, id=,S07, PRDE,actvstrat=,-0.429203, actvprof=,0.001667, best_B_id=,B08, best_B_prof=,4.458581, best_B_strat=,0.788636, best_S_id=,S00, best_S_prof=,7.406523, best_S_strat=,0.813624, 
t=,64800, id=,B01, PRDE,actvstrat=,0.804473, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.811152, actvprof=,0.005972, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.245422, id=,B08, PRDE,actvstrat=,0.788636, actvprof=,4.424953, id=,B09, PRDE,actvstrat=,-0.884880, actvprof=,1.662396, id=,S00, PRDE,actvstrat=,0.813624, actvprof=,7.378765, id=,S01, PRDE,actvstrat=,0.549580, actvprof=,4.429120, id=,S03, PRDE,actvstrat=,-0.550209, actvprof=,0.241255, id=,S04, PRDE,actvstrat=,-0.163475, actvprof=,0.058057, id=,S07, PRDE,actvstrat=,-0.429203, actvprof=,0.000833, best_B_id=,B08, best_B_prof=,4.424953, best_B_strat=,0.788636, best_S_id=,S00, best_S_prof=,7.378765, best_S_strat=,0.813624, 
t=,68400, id=,B01, PRDE,actvstrat=,-0.148930, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.002500, id=,B05, PRDE,actvstrat=,-0.073283, actvprof=,0.047226, id=,B08, PRDE,actvstrat=,-0.216861, actvprof=,2.526009, id=,B09, PRDE,actvstrat=,-0.140750, actvprof=,4.198625, id=,S00, PRDE,actvstrat=,0.017765, actvprof=,3.690534, id=,S01, PRDE,actvstrat=,-0.033434, actvprof=,2.092090, id=,S03, PRDE,actvstrat=,-0.590925, actvprof=,0.165011, id=,S04, PRDE,actvstrat=,0.074743, actvprof=,0.192791, id=,S07, PRDE,actvstrat=,-0.403350, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.198625, best_B_strat=,-0.140750, best_S_id=,S00, best_S_prof=,3.690534, best_S_strat=,0.017765, 
t=,72000, id=,B01, PRDE,actvstrat=,-0.148930, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.002361, id=,B05, PRDE,actvstrat=,-0.073283, actvprof=,0.039446, id=,B08, PRDE,actvstrat=,-0.216861, actvprof=,2.441613, id=,B09, PRDE,actvstrat=,-0.140750, actvprof=,4.271676, id=,S00, PRDE,actvstrat=,0.017765, actvprof=,3.792354, id=,S01, PRDE,actvstrat=,-0.033434, actvprof=,2.077711, id=,S03, PRDE,actvstrat=,-0.590925, actvprof=,0.160283, id=,S04, PRDE,actvstrat=,0.074743, actvprof=,0.181395, id=,S07, PRDE,actvstrat=,-0.403350, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.271676, best_B_strat=,-0.140750, best_S_id=,S00, best_S_prof=,3.792354, best_S_strat=,0.017765, 
t=,75600, id=,B01, PRDE,actvstrat=,0.903499, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.037630, actvprof=,0.006112, id=,B05, PRDE,actvstrat=,-0.710290, actvprof=,0.128620, id=,B08, PRDE,actvstrat=,-0.539329, actvprof=,2.571012, id=,B09, PRDE,actvstrat=,0.017909, actvprof=,5.150913, id=,S00, PRDE,actvstrat=,0.017765, actvprof=,3.101326, id=,S01, PRDE,actvstrat=,0.243787, actvprof=,2.476839, id=,S03, PRDE,actvstrat=,0.846240, actvprof=,1.431211, id=,S04, PRDE,actvstrat=,-0.378021, actvprof=,0.014168, id=,S07, PRDE,actvstrat=,0.330088, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.150913, best_B_strat=,0.017909, best_S_id=,S00, best_S_prof=,3.101326, best_S_strat=,0.017765, 
t=,79200, id=,B01, PRDE,actvstrat=,0.903499, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.037630, actvprof=,0.004306, id=,B05, PRDE,actvstrat=,-0.710290, actvprof=,0.144727, id=,B08, PRDE,actvstrat=,-0.539329, actvprof=,2.515365, id=,B09, PRDE,actvstrat=,0.017909, actvprof=,5.138790, id=,S00, PRDE,actvstrat=,0.017765, actvprof=,3.162749, id=,S01, PRDE,actvstrat=,0.243787, actvprof=,2.380083, id=,S03, PRDE,actvstrat=,0.846240, actvprof=,1.499358, id=,S04, PRDE,actvstrat=,-0.378021, actvprof=,0.017084, id=,S07, PRDE,actvstrat=,0.330088, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.138790, best_B_strat=,0.017909, best_S_id=,S00, best_S_prof=,3.162749, best_S_strat=,0.017765, 
t=,82800, id=,B01, PRDE,actvstrat=,0.339749, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.098586, actvprof=,0.001389, id=,B05, PRDE,actvstrat=,-0.271467, actvprof=,0.053615, id=,B08, PRDE,actvstrat=,-0.210166, actvprof=,2.383221, id=,B09, PRDE,actvstrat=,0.149453, actvprof=,4.903396, id=,S00, PRDE,actvstrat=,0.343290, actvprof=,4.638655, id=,S01, PRDE,actvstrat=,-0.892443, actvprof=,0.201125, id=,S03, PRDE,actvstrat=,0.154385, actvprof=,0.789221, id=,S04, PRDE,actvstrat=,0.208681, actvprof=,0.200569, id=,S07, PRDE,actvstrat=,0.565808, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.903396, best_B_strat=,0.149453, best_S_id=,S00, best_S_prof=,4.638655, best_S_strat=,0.343290, 
t=,86400, id=,B01, PRDE,actvstrat=,0.339749, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.098586, actvprof=,0.005972, id=,B05, PRDE,actvstrat=,-0.271467, actvprof=,0.037362, id=,B08, PRDE,actvstrat=,-0.210166, actvprof=,2.387583, id=,B09, PRDE,actvstrat=,0.149453, actvprof=,4.884892, id=,S00, PRDE,actvstrat=,0.343290, actvprof=,4.582659, id=,S01, PRDE,actvstrat=,-0.892443, actvprof=,0.185701, id=,S03, PRDE,actvstrat=,0.154385, actvprof=,0.792666, id=,S04, PRDE,actvstrat=,0.208681, actvprof=,0.176117, id=,S07, PRDE,actvstrat=,0.565808, actvprof=,0.000694, best_B_id=,B09, best_B_prof=,4.884892, best_B_strat=,0.149453, best_S_id=,S00, best_S_prof=,4.582659, best_S_strat=,0.343290, 
t=,90000, id=,B01, PRDE,actvstrat=,-0.135155, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.771254, actvprof=,0.000278, id=,B05, PRDE,actvstrat=,-0.880685, actvprof=,0.043336, id=,B08, PRDE,actvstrat=,-0.632744, actvprof=,2.375998, id=,B09, PRDE,actvstrat=,-0.036209, actvprof=,4.993125, id=,S00, PRDE,actvstrat=,0.343290, actvprof=,4.413084, id=,S01, PRDE,actvstrat=,-0.617072, actvprof=,0.787277, id=,S03, PRDE,actvstrat=,0.254155, actvprof=,0.752830, id=,S04, PRDE,actvstrat=,0.214080, actvprof=,0.138343, id=,S07, PRDE,actvstrat=,0.488854, actvprof=,0.000833, best_B_id=,B09, best_B_prof=,4.993125, best_B_strat=,-0.036209, best_S_id=,S00, best_S_prof=,4.413084, best_S_strat=,0.343290, 
