t=,61200, id=,B02, PRDE,actvstrat=,0.707597, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.092601, actvprof=,0.032224, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.450935, id=,B07, PRDE,actvstrat=,0.009517, actvprof=,2.602331, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.451699, id=,S01, PRDE,actvstrat=,-0.827008, actvprof=,0.361682, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.974568, id=,S07, PRDE,actvstrat=,0.966582, actvprof=,0.014723, id=,S08, PRDE,actvstrat=,-0.732827, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.272383, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.451699, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,2.974568, best_S_strat=,1.000000, 
t=,64800, id=,B02, PRDE,actvstrat=,0.707597, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.092601, actvprof=,0.030695, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.380744, id=,B07, PRDE,actvstrat=,0.009517, actvprof=,2.657278, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.419043, id=,S01, PRDE,actvstrat=,-0.827008, actvprof=,0.423064, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.001035, id=,S07, PRDE,actvstrat=,0.966582, actvprof=,0.013195, id=,S08, PRDE,actvstrat=,-0.732827, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.272383, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.419043, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,3.001035, best_S_strat=,1.000000, 
t=,68400, id=,B02, PRDE,actvstrat=,-0.158433, actvprof=,0.001945, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.088337, id=,B06, PRDE,actvstrat=,-0.105643, actvprof=,1.307277, id=,B07, PRDE,actvstrat=,-0.692799, actvprof=,1.786186, id=,B09, PRDE,actvstrat=,-0.208775, actvprof=,5.690515, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.826868, id=,S02, PRDE,actvstrat=,0.357067, actvprof=,1.400614, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.831640, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.080619, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.690515, best_B_strat=,-0.208775, best_S_id=,S01, best_S_prof=,4.826868, best_S_strat=,1.000000, 
t=,72000, id=,B02, PRDE,actvstrat=,-0.158433, actvprof=,0.000972, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.086530, id=,B06, PRDE,actvstrat=,-0.105643, actvprof=,1.235581, id=,B07, PRDE,actvstrat=,-0.692799, actvprof=,1.980736, id=,B09, PRDE,actvstrat=,-0.208775, actvprof=,5.604145, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.805100, id=,S02, PRDE,actvstrat=,0.357067, actvprof=,1.361556, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.831640, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.080619, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.604145, best_B_strat=,-0.208775, best_S_id=,S01, best_S_prof=,4.805100, best_S_strat=,1.000000, 
t=,75600, id=,B02, PRDE,actvstrat=,0.019932, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.241176, actvprof=,0.024445, id=,B06, PRDE,actvstrat=,-0.273695, actvprof=,1.156437, id=,B07, PRDE,actvstrat=,-0.197698, actvprof=,2.700668, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,7.119186, id=,S01, PRDE,actvstrat=,0.166138, actvprof=,1.929247, id=,S02, PRDE,actvstrat=,0.706978, actvprof=,1.898968, id=,S07, PRDE,actvstrat=,-0.740394, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.820321, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.396474, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.119186, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,1.929247, best_S_strat=,0.166138, 
t=,79200, id=,B02, PRDE,actvstrat=,0.019932, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.241176, actvprof=,0.025278, id=,B06, PRDE,actvstrat=,-0.273695, actvprof=,1.185580, id=,B07, PRDE,actvstrat=,-0.197698, actvprof=,2.710751, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,7.093759, id=,S01, PRDE,actvstrat=,0.166138, actvprof=,2.010181, id=,S02, PRDE,actvstrat=,0.706978, actvprof=,1.876289, id=,S07, PRDE,actvstrat=,-0.740394, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.820321, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.396474, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.093759, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,2.010181, best_S_strat=,0.166138, 
t=,82800, id=,B02, PRDE,actvstrat=,0.547909, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.437684, actvprof=,0.056113, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.275373, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.805714, id=,B09, PRDE,actvstrat=,0.099404, actvprof=,5.684959, id=,S01, PRDE,actvstrat=,0.737578, actvprof=,4.181285, id=,S02, PRDE,actvstrat=,-0.689288, actvprof=,0.356682, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000556, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.396546, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.684959, best_B_strat=,0.099404, best_S_id=,S01, best_S_prof=,4.181285, best_S_strat=,0.737578, 
t=,86400, id=,B02, PRDE,actvstrat=,0.547909, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.437684, actvprof=,0.045417, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.156280, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.706440, id=,B09, PRDE,actvstrat=,0.099404, actvprof=,5.603272, id=,S01, PRDE,actvstrat=,0.737578, actvprof=,4.326727, id=,S02, PRDE,actvstrat=,-0.689288, actvprof=,0.380144, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.001250, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000972, id=,S09, PRDE,actvstrat=,0.396546, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.603272, best_B_strat=,0.099404, best_S_id=,S01, best_S_prof=,4.326727, best_S_strat=,0.737578, 
t=,90000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.004445, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.090837, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.408156, id=,B07, PRDE,actvstrat=,0.062355, actvprof=,2.796505, id=,B09, PRDE,actvstrat=,-0.514530, actvprof=,5.229107, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.830757, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.060683, id=,S07, PRDE,actvstrat=,-0.224105, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.073583, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.396546, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.229107, best_B_strat=,-0.514530, best_S_id=,S01, best_S_prof=,4.830757, best_S_strat=,1.000000, 
t=,93600, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.003195, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.094308, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.397967, id=,B07, PRDE,actvstrat=,0.062355, actvprof=,2.858948, id=,B09, PRDE,actvstrat=,-0.514530, actvprof=,5.093856, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.844962, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.081870, id=,S07, PRDE,actvstrat=,-0.224105, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.073583, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.396546, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.093856, best_B_strat=,-0.514530, best_S_id=,S01, best_S_prof=,4.844962, best_S_strat=,1.000000, 
