t=,39600, id=,B00, PRDE,actvstrat=,-0.420276, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.572732, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.839049, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.365941, actvprof=,0.289191, id=,B06, PRDE,actvstrat=,0.619903, actvprof=,1.674028, id=,S03, PRDE,actvstrat=,0.755754, actvprof=,1.278162, id=,S04, PRDE,actvstrat=,0.426178, actvprof=,0.127788, id=,S05, PRDE,actvstrat=,-0.254508, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.141767, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.724610, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.674028, best_B_strat=,0.619903, best_S_id=,S03, best_S_prof=,1.278162, best_S_strat=,0.755754, 
t=,43200, id=,B00, PRDE,actvstrat=,-0.420276, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.572732, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.839049, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.365941, actvprof=,0.334595, id=,B06, PRDE,actvstrat=,0.619903, actvprof=,1.727838, id=,S03, PRDE,actvstrat=,0.755754, actvprof=,1.252682, id=,S04, PRDE,actvstrat=,0.426178, actvprof=,0.123754, id=,S05, PRDE,actvstrat=,-0.254508, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.141767, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.724610, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.727838, best_B_strat=,0.619903, best_S_id=,S03, best_S_prof=,1.252682, best_S_strat=,0.755754, 
t=,46800, id=,B00, PRDE,actvstrat=,-0.844516, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.041714, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.936130, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.882432, actvprof=,0.294751, id=,B06, PRDE,actvstrat=,-0.163626, actvprof=,0.400872, id=,S03, PRDE,actvstrat=,0.321191, actvprof=,0.736460, id=,S04, PRDE,actvstrat=,-0.937725, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.024593, actvprof=,0.001667, id=,S07, PRDE,actvstrat=,-0.412053, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.853469, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.400872, best_B_strat=,-0.163626, best_S_id=,S03, best_S_prof=,0.736460, best_S_strat=,0.321191, 
t=,50400, id=,B00, PRDE,actvstrat=,-0.844516, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.041714, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.936130, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.882432, actvprof=,0.339183, id=,B06, PRDE,actvstrat=,-0.163626, actvprof=,0.421965, id=,S03, PRDE,actvstrat=,0.321191, actvprof=,0.742258, id=,S04, PRDE,actvstrat=,-0.937725, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.024593, actvprof=,0.001806, id=,S07, PRDE,actvstrat=,-0.412053, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.853469, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.421965, best_B_strat=,-0.163626, best_S_id=,S03, best_S_prof=,0.742258, best_S_strat=,0.321191, 
t=,54000, id=,B00, PRDE,actvstrat=,-0.512770, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.572732, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.839049, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.345068, actvprof=,0.241690, id=,B06, PRDE,actvstrat=,-0.115341, actvprof=,1.305682, id=,S03, PRDE,actvstrat=,-0.995943, actvprof=,0.029170, id=,S04, PRDE,actvstrat=,0.426178, actvprof=,0.039170, id=,S05, PRDE,actvstrat=,0.106128, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.676533, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.410306, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.305682, best_B_strat=,-0.115341, best_S_id=,S04, best_S_prof=,0.039170, best_S_strat=,0.426178, 
t=,57600, id=,B00, PRDE,actvstrat=,-0.512770, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.572732, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.839049, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.345068, actvprof=,0.365157, id=,B06, PRDE,actvstrat=,-0.115341, actvprof=,1.562020, id=,S03, PRDE,actvstrat=,-0.995943, actvprof=,0.039724, id=,S04, PRDE,actvstrat=,0.426178, actvprof=,0.021668, id=,S05, PRDE,actvstrat=,0.106128, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.676533, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.410306, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.562020, best_B_strat=,-0.115341, best_S_id=,S03, best_S_prof=,0.039724, best_S_strat=,-0.995943, 
t=,61200, id=,B00, PRDE,actvstrat=,-0.512770, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.303764, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.839049, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.345068, actvprof=,0.351979, id=,B06, PRDE,actvstrat=,-0.770599, actvprof=,0.957593, id=,S03, PRDE,actvstrat=,-0.995943, actvprof=,0.022780, id=,S04, PRDE,actvstrat=,0.426178, actvprof=,0.005834, id=,S05, PRDE,actvstrat=,0.560261, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.592001, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.724610, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.957593, best_B_strat=,-0.770599, best_S_id=,S03, best_S_prof=,0.022780, best_S_strat=,-0.995943, 
t=,64800, id=,B00, PRDE,actvstrat=,-0.512770, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.303764, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.839049, actvprof=,0.000278, id=,B05, PRDE,actvstrat=,-0.345068, actvprof=,0.360156, id=,B06, PRDE,actvstrat=,-0.770599, actvprof=,1.015744, id=,S03, PRDE,actvstrat=,-0.995943, actvprof=,0.019584, id=,S04, PRDE,actvstrat=,0.426178, actvprof=,0.006806, id=,S05, PRDE,actvstrat=,0.560261, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.592001, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.724610, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.015744, best_B_strat=,-0.770599, best_S_id=,S03, best_S_prof=,0.019584, best_S_strat=,-0.995943, 
t=,68400, id=,B00, PRDE,actvstrat=,-0.420276, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.300742, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.964049, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.345068, actvprof=,0.098343, id=,B06, PRDE,actvstrat=,0.619903, actvprof=,1.875460, id=,S03, PRDE,actvstrat=,0.682988, actvprof=,0.961760, id=,S04, PRDE,actvstrat=,-0.023447, actvprof=,0.007779, id=,S05, PRDE,actvstrat=,-0.666352, actvprof=,0.004723, id=,S07, PRDE,actvstrat=,-0.617882, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.145408, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.875460, best_B_strat=,0.619903, best_S_id=,S03, best_S_prof=,0.961760, best_S_strat=,0.682988, 
t=,72000, id=,B00, PRDE,actvstrat=,-0.420276, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.300742, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.964049, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.345068, actvprof=,0.127367, id=,B06, PRDE,actvstrat=,0.619903, actvprof=,1.913704, id=,S03, PRDE,actvstrat=,0.682988, actvprof=,0.919906, id=,S04, PRDE,actvstrat=,-0.023447, actvprof=,0.014723, id=,S05, PRDE,actvstrat=,-0.666352, actvprof=,0.002361, id=,S07, PRDE,actvstrat=,-0.617882, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.145408, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.913704, best_B_strat=,0.619903, best_S_id=,S03, best_S_prof=,0.919906, best_S_strat=,0.682988, 
