t=,39600, id=,B00, PRDE,actvstrat=,0.048403, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.352827, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.883082, actvprof=,0.003334, id=,B06, PRDE,actvstrat=,0.932561, actvprof=,1.607867, id=,S00, PRDE,actvstrat=,-0.970191, actvprof=,0.205845, id=,S01, PRDE,actvstrat=,-0.889243, actvprof=,0.338352, id=,S03, PRDE,actvstrat=,0.310168, actvprof=,1.177010, id=,S05, PRDE,actvstrat=,0.688062, actvprof=,0.050836, id=,S09, PRDE,actvstrat=,0.721736, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.607867, best_B_strat=,0.932561, best_S_id=,S03, best_S_prof=,1.177010, best_S_strat=,0.310168, 
t=,43200, id=,B00, PRDE,actvstrat=,0.048403, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.352827, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.883082, actvprof=,0.005556, id=,B06, PRDE,actvstrat=,0.932561, actvprof=,1.744771, id=,S00, PRDE,actvstrat=,-0.970191, actvprof=,0.244729, id=,S01, PRDE,actvstrat=,-0.889243, actvprof=,0.262646, id=,S03, PRDE,actvstrat=,0.310168, actvprof=,1.098919, id=,S05, PRDE,actvstrat=,0.688062, actvprof=,0.048335, id=,S09, PRDE,actvstrat=,0.721736, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.744771, best_B_strat=,0.932561, best_S_id=,S03, best_S_prof=,1.098919, best_S_strat=,0.310168, 
t=,46800, id=,B00, PRDE,actvstrat=,0.279477, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.711234, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.852881, actvprof=,0.001389, id=,B05, PRDE,actvstrat=,-0.751517, actvprof=,0.150008, id=,B06, PRDE,actvstrat=,0.932561, actvprof=,2.525418, id=,S00, PRDE,actvstrat=,0.283177, actvprof=,3.757987, id=,S01, PRDE,actvstrat=,0.511557, actvprof=,3.324629, id=,S03, PRDE,actvstrat=,-0.330115, actvprof=,0.077504, id=,S05, PRDE,actvstrat=,0.899615, actvprof=,0.042225, id=,S09, PRDE,actvstrat=,0.229839, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.525418, best_B_strat=,0.932561, best_S_id=,S00, best_S_prof=,3.757987, best_S_strat=,0.283177, 
t=,50400, id=,B00, PRDE,actvstrat=,0.279477, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.711234, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.852881, actvprof=,0.009306, id=,B05, PRDE,actvstrat=,-0.751517, actvprof=,0.157227, id=,B06, PRDE,actvstrat=,0.932561, actvprof=,2.554654, id=,S00, PRDE,actvstrat=,0.283177, actvprof=,3.701075, id=,S01, PRDE,actvstrat=,0.511557, actvprof=,3.235645, id=,S03, PRDE,actvstrat=,-0.330115, actvprof=,0.086808, id=,S05, PRDE,actvstrat=,0.899615, actvprof=,0.043612, id=,S09, PRDE,actvstrat=,0.229839, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.554654, best_B_strat=,0.932561, best_S_id=,S00, best_S_prof=,3.701075, best_S_strat=,0.283177, 
t=,54000, id=,B00, PRDE,actvstrat=,-0.602965, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.834882, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.052225, id=,B05, PRDE,actvstrat=,0.436825, actvprof=,0.300017, id=,B06, PRDE,actvstrat=,0.717460, actvprof=,1.860381, id=,S00, PRDE,actvstrat=,0.030092, actvprof=,3.601589, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.576143, id=,S03, PRDE,actvstrat=,0.733902, actvprof=,1.383688, id=,S05, PRDE,actvstrat=,0.806016, actvprof=,0.019446, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.860381, best_B_strat=,0.717460, best_S_id=,S01, best_S_prof=,5.576143, best_S_strat=,1.000000, 
t=,57600, id=,B00, PRDE,actvstrat=,-0.602965, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.834882, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.050835, id=,B05, PRDE,actvstrat=,0.436825, actvprof=,0.319178, id=,B06, PRDE,actvstrat=,0.717460, actvprof=,1.876454, id=,S00, PRDE,actvstrat=,0.030092, actvprof=,3.596930, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.517830, id=,S03, PRDE,actvstrat=,0.733902, actvprof=,1.387131, id=,S05, PRDE,actvstrat=,0.806016, actvprof=,0.016667, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.876454, best_B_strat=,0.717460, best_S_id=,S01, best_S_prof=,5.517830, best_S_strat=,1.000000, 
t=,61200, id=,B00, PRDE,actvstrat=,0.561962, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.154400, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.754793, actvprof=,0.014168, id=,B05, PRDE,actvstrat=,0.133062, actvprof=,0.498646, id=,B06, PRDE,actvstrat=,-0.338501, actvprof=,0.900063, id=,S00, PRDE,actvstrat=,-0.795278, actvprof=,0.612543, id=,S01, PRDE,actvstrat=,0.782213, actvprof=,4.165845, id=,S03, PRDE,actvstrat=,-0.618957, actvprof=,0.059726, id=,S05, PRDE,actvstrat=,0.724584, actvprof=,0.001389, id=,S09, PRDE,actvstrat=,0.048592, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.900063, best_B_strat=,-0.338501, best_S_id=,S01, best_S_prof=,4.165845, best_S_strat=,0.782213, 
t=,64800, id=,B00, PRDE,actvstrat=,0.561962, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.154400, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.754793, actvprof=,0.011806, id=,B05, PRDE,actvstrat=,0.133062, actvprof=,0.493628, id=,B06, PRDE,actvstrat=,-0.338501, actvprof=,0.883642, id=,S00, PRDE,actvstrat=,-0.795278, actvprof=,0.657801, id=,S01, PRDE,actvstrat=,0.782213, actvprof=,4.093337, id=,S03, PRDE,actvstrat=,-0.618957, actvprof=,0.051946, id=,S05, PRDE,actvstrat=,0.724584, actvprof=,0.000694, id=,S09, PRDE,actvstrat=,0.048592, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.883642, best_B_strat=,-0.338501, best_S_id=,S01, best_S_prof=,4.093337, best_S_strat=,0.782213, 
t=,68400, id=,B00, PRDE,actvstrat=,-0.444603, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.250522, actvprof=,0.141119, id=,B05, PRDE,actvstrat=,-0.312632, actvprof=,0.326685, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,3.392133, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,4.666648, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.500806, id=,S03, PRDE,actvstrat=,0.544492, actvprof=,0.410578, id=,S05, PRDE,actvstrat=,0.798590, actvprof=,0.000278, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.392133, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,4.666648, best_S_strat=,-1.000000, 
t=,72000, id=,B00, PRDE,actvstrat=,-0.444603, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.250522, actvprof=,0.130838, id=,B05, PRDE,actvstrat=,-0.312632, actvprof=,0.344179, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,3.288031, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,4.658773, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.511962, id=,S03, PRDE,actvstrat=,0.544492, actvprof=,0.380569, id=,S05, PRDE,actvstrat=,0.798590, actvprof=,0.000139, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.288031, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,4.658773, best_S_strat=,-1.000000, 
