B00, 100
B00, Trade, 4319315.043, 60, S05, B00, 1
B00, Trade, 4319319.043, 60, S08, B00, 1
B00, Trade, 4319327.993, 96, B00, S09, 1
B00, Trade, 4319332.293, 60, S09, B00, 1
B00, Trade, 4319337.543, 81, B00, S01, 1
B00, Trade, 4319343.793, 60, S04, B00, 1
B00, Trade, 4319348.943, 62, S08, B00, 1
B00, Trade, 4319356.793, 73, S05, B00, 1
B00, Trade, 4319358.143, 68, S04, B00, 1
B00, Trade, 4319368.893, 62, S09, B00, 1
B00, Trade, 4319376.643, 111, S04, B00, 1
B00, Trade, 4319385.693, 133, B00, S08, 1
B00, Trade, 4319414.093, 60, S05, B00, 1
B00, Trade, 4319421.543, 62, S08, B00, 1
B00, Trade, 4319428.493, 67, S03, B00, 1
B00, Trade, 4319434.893, 117, S04, B00, 1
B00, Trade, 4319440.143, 137, B00, S08, 1
B00, Trade, 4319445.593, 60, S02, B00, 1
B00, Trade, 4319454.543, 69, S03, B00, 1
B00, Trade, 4319469.843, 120, B00, S08, 1
B00, Trade, 4319474.943, 133, B00, S02, 1
B00, Trade, 4319479.693, 60, S08, B00, 1
B00, Trade, 4319483.493, 60, S04, B00, 1
B00, Trade, 4319490.793, 67, S06, B00, 1
B00, Trade, 4319492.493, 60, S08, B00, 1
B00, Trade, 4319498.293, 108, S01, B00, 1
B00, Trade, 4319501.943, 61, S05, B00, 1
B00, Trade, 4319509.893, 61, S00, B00, 1
B00, Trade, 4319514.593, 61, S07, B00, 1
B00, Trade, 4319518.543, 88, B00, S07, 1
B00, Trade, 4319522.793, 109, B00, S09, 1
B00, Trade, 4319531.693, 60, S05, B00, 1
B00, Trade, 4319536.393, 61, S02, B00, 1
B00, Trade, 4319541.793, 64, S03, B00, 1
B00, Trade, 4319550.493, 140, B00, S07, 1
B00, Trade, 4319556.643, 85, B00, S01, 1
B00, Trade, 4319562.743, 60, S05, B00, 1
B00, Trade, 4319566.043, 67, S04, B00, 1
B00, Trade, 4319569.193, 62, S09, B00, 1
B00, Trade, 4319581.843, 123, B00, S01, 1
B00, Trade, 4319586.543, 65, S09, B00, 1
B00, Trade, 4319590.443, 70, S03, B00, 1
B00, Trade, 4319600.743, 62, S04, B00, 1
B00, Trade, 4319610.493, 137, B00, S06, 1
B00, Trade, 4319615.643, 129, B00, S02, 1
B00, Trade, 4319622.743, 61, S00, B00, 1
B00, Trade, 4319627.943, 60, S08, B00, 1
B00, Trade, 4319633.593, 63, S03, B00, 1
B00, Trade, 4319641.143, 61, S05, B00, 1
B00, Trade, 4319644.893, 60, S05, B00, 1
B00, Trade, 4319655.043, 60, S04, B00, 1
B00, Trade, 4319657.943, 63, S03, B00, 1
B00, Trade, 4319666.643, 69, S00, B00, 1
B00, Trade, 4319676.593, 120, B00, S00, 1
B00, Trade, 4319680.443, 106, B00, S00, 1
B00, Trade, 4319688.693, 135, B00, S09, 1
B00, Trade, 4319694.143, 114, B00, S00, 1
B00, Trade, 4319699.693, 60, S03, B00, 1
B00, Trade, 4319700.543, 60, S04, B00, 1
B00, Trade, 4319711.393, 60, S09, B00, 1
B00, Trade, 4319719.943, 66, S06, B00, 1
B00, Trade, 4319729.693, 140, B00, S07, 1
B00, Trade, 4319737.293, 81, B00, S08, 1
B00, Trade, 4319746.393, 109, B00, S07, 1
B00, Trade, 4319754.093, 69, B00, S06, 1
B00, Trade, 4319764.943, 131, B00, S02, 1
B00, Trade, 4319766.843, 60, S05, B00, 1
B00, Trade, 4319769.543, 62, S06, B00, 1
B00, Trade, 4319777.143, 127, S01, B00, 1
B00, Trade, 4319781.193, 120, B00, S07, 1
B00, Trade, 4319784.593, 134, B00, S08, 1
B00, Trade, 4319824.043, 129, B00, S08, 1
B00, Trade, 4319849.493, 130, B00, S06, 1
B00, Trade, 4319860.693, 139, B00, S03, 1
B00, Trade, 4319867.843, 114, B00, S06, 1
B00, Trade, 4319871.693, 140, B00, S02, 1
B00, Trade, 4319876.243, 61, S05, B00, 1
B00, Trade, 4319881.693, 68, S06, B00, 1
B00, Trade, 4319888.343, 60, S04, B00, 1
B00, Trade, 4319891.593, 69, S06, B00, 1
B00, Trade, 4319894.993, 60, S05, B00, 1
B00, Trade, 4319901.393, 60, S09, B00, 1
B00, Trade, 4319908.293, 61, S09, B00, 1
B00, Trade, 4319912.943, 69, S04, B00, 1
B00, Trade, 4319915.393, 92, B00, S09, 1
B00, Trade, 4319923.743, 64, S05, B00, 1
B00, Trade, 4319927.993, 60, S02, B00, 1
B00, Trade, 4319929.993, 60, S05, B00, 1
B00, Trade, 4319939.643, 82, S01, B00, 1
B00, Trade, 4319942.593, 67, B00, S03, 1
B00, Trade, 4319948.843, 62, S00, B00, 1
B00, Trade, 4319952.193, 67, S03, B00, 1
B00, Trade, 4319958.843, 77, B00, S09, 1
B00, Trade, 4319966.493, 60, S05, B00, 1
B00, Trade, 4319966.793, 60, S02, B00, 1
B00, Trade, 4319972.943, 60, S06, B00, 1
B00, Trade, 4319979.793, 61, S08, B00, 1
B00, Trade, 4319987.293, 60, S09, B00, 1
B00, Trade, 4319993.143, 62, S08, B00, 1
B00, Trade, 4319998.893, 60, S05, B00, 1
B01, 100
B01, Trade, 4319424.943, 60, S00, B01, 1
