B00, 100
B00, Trade, 8639468.946, 139, B00, S12, 1
B00, Trade, 8639472.646, 140, B00, S07, 1
B00, Trade, 8639475.746, 140, B00, S05, 1
B00, Trade, 8639483.346, 140, B00, S11, 1
B00, Trade, 8639488.912, 140, B00, S05, 1
B00, Trade, 8639498.012, 96, S08, B00, 1
B00, Trade, 8639498.579, 140, B00, S10, 1
B00, Trade, 8639506.979, 140, B00, S03, 1
B00, Trade, 8639514.212, 140, B00, S10, 1
B00, Trade, 8639520.479, 140, B00, S12, 1
B00, Trade, 8639522.112, 138, B00, S03, 1
B00, Trade, 8639534.279, 134, B00, S10, 1
B00, Trade, 8639537.046, 140, B00, S10, 1
B00, Trade, 8639539.779, 140, B00, S05, 1
B00, Trade, 8639551.212, 140, B00, S14, 1
B00, Trade, 8639553.579, 120, S12, B00, 1
B00, Trade, 8639559.112, 140, B00, S14, 1
B00, Trade, 8639560.612, 138, B00, S14, 1
B00, Trade, 8639564.879, 139, B00, S05, 1
B00, Trade, 8639574.212, 140, B00, S11, 1
B00, Trade, 8639579.712, 139, B00, S03, 1
B00, Trade, 8639583.346, 138, B00, S14, 1
B00, Trade, 8639587.112, 139, B00, S06, 1
B00, Trade, 8639590.979, 140, B00, S14, 1
B00, Trade, 8639597.546, 68, S07, B00, 1
B00, Trade, 8639603.546, 138, B00, S09, 1
B00, Trade, 8639607.812, 125, S02, B00, 1
B00, Trade, 8639613.379, 140, B00, S05, 1
B00, Trade, 8639617.179, 138, B00, S11, 1
B00, Trade, 8639623.046, 139, B00, S14, 1
B00, Trade, 8639630.112, 140, B00, S04, 1
B00, Trade, 8639632.846, 139, B00, S14, 1
B00, Trade, 8639639.146, 140, B00, S09, 1
B00, Trade, 8639642.679, 140, B00, S00, 1
B00, Trade, 8639650.346, 140, B00, S04, 1
B00, Trade, 8639653.879, 138, B00, S11, 1
B00, Trade, 8639659.446, 140, B00, S14, 1
B00, Trade, 8639663.646, 139, B00, S09, 1
B00, Trade, 8639674.846, 139, B00, S14, 1
B00, Trade, 8639681.546, 138, B00, S03, 1
B00, Trade, 8639684.446, 137, B00, S07, 1
B00, Trade, 8639690.612, 138, B00, S14, 1
B00, Trade, 8639698.579, 140, B00, S13, 1
B00, Trade, 8639703.879, 140, B00, S06, 1
B00, Trade, 8639708.412, 139, B00, S10, 1
B00, Trade, 8639716.012, 139, B00, S10, 1
B00, Trade, 8639717.246, 140, B00, S13, 1
B00, Trade, 8639729.446, 140, B00, S00, 1
B00, Trade, 8639731.646, 140, B00, S03, 1
B00, Trade, 8639737.412, 139, B00, S11, 1
B00, Trade, 8639739.479, 140, B00, S07, 1
B00, Trade, 8639743.046, 140, B00, S07, 1
B00, Trade, 8639746.312, 140, B00, S13, 1
B00, Trade, 8639757.146, 140, B00, S13, 1
B00, Trade, 8639761.279, 140, B00, S00, 1
B00, Trade, 8639768.779, 140, B00, S09, 1
B00, Trade, 8639770.479, 138, B00, S03, 1
B00, Trade, 8639776.712, 140, B00, S11, 1
B00, Trade, 8639780.079, 140, B00, S03, 1
B00, Trade, 8639782.979, 140, B00, S09, 1
B00, Trade, 8639788.279, 140, B00, S14, 1
B00, Trade, 8639792.679, 140, B00, S12, 1
B00, Trade, 8639801.146, 138, B00, S10, 1
B00, Trade, 8639803.046, 87, S09, B00, 1
B00, Trade, 8639810.679, 127, S08, B00, 1
B00, Trade, 8639815.912, 64, S04, B00, 1
B00, Trade, 8639817.446, 64, S01, B00, 1
B00, Trade, 8639827.979, 140, B00, S12, 1
B00, Trade, 8639830.546, 140, B00, S00, 1
B00, Trade, 8639837.079, 140, B00, S10, 1
B00, Trade, 8639840.212, 140, B00, S04, 1
B00, Trade, 8639844.212, 89, S01, B00, 1
B00, Trade, 8639851.912, 140, B00, S02, 1
B00, Trade, 8639855.279, 140, B00, S00, 1
B00, Trade, 8639860.912, 62, S13, B00, 1
B00, Trade, 8639868.046, 140, B00, S05, 1
B00, Trade, 8639869.279, 139, B00, S02, 1
B00, Trade, 8639876.446, 140, B00, S09, 1
B00, Trade, 8639880.546, 139, B00, S03, 1
B00, Trade, 8639889.146, 140, B00, S00, 1
B00, Trade, 8639891.379, 88, S10, B00, 1
B00, Trade, 8639894.746, 63, S02, B00, 1
B00, Trade, 8639901.846, 93, S10, B00, 1
B00, Trade, 8639908.712, 61, S04, B00, 1
B00, Trade, 8639917.346, 74, S05, B00, 1
B00, Trade, 8639921.779, 139, B00, S05, 1
B00, Trade, 8639928.812, 140, B00, S11, 1
B00, Trade, 8639933.612, 138, B00, S11, 1
B00, Trade, 8639935.946, 132, S12, B00, 1
B00, Trade, 8639941.179, 61, S00, B00, 1
B00, Trade, 8639950.846, 139, B00, S13, 1
B00, Trade, 8639959.646, 63, S00, B00, 1
B00, Trade, 8639963.446, 62, S05, B00, 1
B00, Trade, 8639969.079, 63, S00, B00, 1
B00, Trade, 8639971.612, 64, S13, B00, 1
B00, Trade, 8639980.679, 140, B00, S13, 1
B00, Trade, 8639986.312, 60, S02, B00, 1
B00, Trade, 8639986.412, 61, S03, B00, 1
B00, Trade, 8639997.746, 140, B00, S06, 1
B00, Trade, 8639998.879, 138, B00, S03, 1
B01, 100
B01, Trade, 8639428.679, 139, B01, S04, 1
B01, Trade, 8639439.079, 139, B01, S05, 1
B01, Trade, 8639441.512, 140, B01, S06, 1
B01, Trade, 8639445.079, 140, B01, S13, 1
B01, Trade, 8639451.679, 68, S06, B01, 1
B01, Trade, 8639457.379, 140, B01, S00, 1
B01, Trade, 8639462.579, 137, B01, S14, 1
B01, Trade, 8639467.012, 140, B01, S11, 1
B01, Trade, 8639471.912, 140, B01, S03, 1
B01, Trade, 8639477.846, 140, B01, S13, 1
B01, Trade, 8639483.446, 140, B01, S00, 1
B01, Trade, 8639487.879, 140, B01, S04, 1
B01, Trade, 8639493.446, 66, S04, B01, 1
B01, Trade, 8639498.946, 139, B01, S11, 1
B01, Trade, 8639501.912, 66, S13, B01, 1
B01, Trade, 8639507.679, 140, B01, S04, 1
B01, Trade, 8639512.712, 140, B01, S14, 1
B01, Trade, 8639517.379, 136, B01, S06, 1
B01, Trade, 8639522.212, 140, B01, S11, 1
B01, Trade, 8639528.546, 137, B01, S14, 1
B01, Trade, 8639532.112, 140, B01, S10, 1
B01, Trade, 8639539.446, 138, S01, B01, 1
B01, Trade, 8639541.712, 138, B01, S12, 1
B01, Trade, 8639547.346, 140, B01, S10, 1
B01, Trade, 8639552.579, 139, B01, S05, 1
B01, Trade, 8639557.012, 140, B01, S10, 1
B01, Trade, 8639563.146, 140, B01, S03, 1
B01, Trade, 8639571.312, 139, B01, S03, 1
B01, Trade, 8639579.412, 139, B01, S04, 1
B01, Trade, 8639584.812, 137, B01, S13, 1
B01, Trade, 8639589.212, 67, S07, B01, 1
B01, Trade, 8639592.712, 138, B01, S05, 1
B01, Trade, 8639600.546, 63, S00, B01, 1
B01, Trade, 8639609.846, 140, B01, S00, 1
B01, Trade, 8639615.712, 138, B01, S13, 1
B01, Trade, 8639617.479, 140, B01, S14, 1
B01, Trade, 8639623.479, 140, B01, S11, 1
B01, Trade, 8639630.246, 140, B01, S00, 1
B01, Trade, 8639641.712, 140, B01, S03, 1
B01, Trade, 8639644.379, 139, B01, S06, 1
B01, Trade, 8639647.746, 140, B01, S11, 1
B01, Trade, 8639651.912, 132, B01, S00, 1
B01, Trade, 8639659.246, 101, S09, B01, 1
B01, Trade, 8639667.979, 115, S01, B01, 1
B01, Trade, 8639674.246, 140, B01, S09, 1
B01, Trade, 8639679.179, 140, B01, S14, 1
B01, Trade, 8639683.546, 140, B01, S00, 1
B01, Trade, 8639690.679, 138, B01, S06, 1
B01, Trade, 8639696.212, 140, B01, S06, 1
B01, Trade, 8639700.046, 137, B01, S07, 1
B01, Trade, 8639704.246, 139, B01, S14, 1
B01, Trade, 8639711.812, 140, B01, S13, 1
B01, Trade, 8639716.546, 139, B01, S05, 1
B01, Trade, 8639725.112, 64, S14, B01, 1
B01, Trade, 8639729.512, 140, B01, S10, 1
B01, Trade, 8639741.312, 140, B01, S04, 1
B01, Trade, 8639745.512, 140, B01, S04, 1
B01, Trade, 8639751.346, 136, B01, S13, 1
