t=,39600, id=,B02, PRDE,actvstrat=,-0.209257, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.486166, actvprof=,0.004167, id=,B06, PRDE,actvstrat=,-0.129631, actvprof=,1.071448, id=,B07, PRDE,actvstrat=,-0.406064, actvprof=,2.016779, id=,B08, PRDE,actvstrat=,-0.232329, actvprof=,3.849658, id=,S00, PRDE,actvstrat=,-0.909309, actvprof=,0.117507, id=,S01, PRDE,actvstrat=,-0.653709, actvprof=,0.576421, id=,S06, PRDE,actvstrat=,0.578593, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.059388, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.376510, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.849658, best_B_strat=,-0.232329, best_S_id=,S01, best_S_prof=,0.576421, best_S_strat=,-0.653709, 
t=,43200, id=,B02, PRDE,actvstrat=,-0.209257, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.486166, actvprof=,0.002500, id=,B06, PRDE,actvstrat=,-0.129631, actvprof=,1.045585, id=,B07, PRDE,actvstrat=,-0.406064, actvprof=,1.973249, id=,B08, PRDE,actvstrat=,-0.232329, actvprof=,3.754965, id=,S00, PRDE,actvstrat=,-0.909309, actvprof=,0.116670, id=,S01, PRDE,actvstrat=,-0.653709, actvprof=,0.541959, id=,S06, PRDE,actvstrat=,0.578593, actvprof=,0.001667, id=,S07, PRDE,actvstrat=,0.059388, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.376510, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.754965, best_B_strat=,-0.232329, best_S_id=,S01, best_S_prof=,0.541959, best_S_strat=,-0.653709, 
t=,46800, id=,B02, PRDE,actvstrat=,0.437994, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.628709, actvprof=,0.004167, id=,B06, PRDE,actvstrat=,-0.663354, actvprof=,1.026168, id=,B07, PRDE,actvstrat=,-0.613763, actvprof=,2.082060, id=,B08, PRDE,actvstrat=,-0.479606, actvprof=,4.011056, id=,S00, PRDE,actvstrat=,-0.164711, actvprof=,1.286183, id=,S01, PRDE,actvstrat=,-0.455320, actvprof=,0.480027, id=,S06, PRDE,actvstrat=,-0.006029, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.991868, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.137046, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.011056, best_B_strat=,-0.479606, best_S_id=,S00, best_S_prof=,1.286183, best_S_strat=,-0.164711, 
t=,50400, id=,B02, PRDE,actvstrat=,0.437994, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.628709, actvprof=,0.007222, id=,B06, PRDE,actvstrat=,-0.663354, actvprof=,0.939471, id=,B07, PRDE,actvstrat=,-0.613763, actvprof=,2.197839, id=,B08, PRDE,actvstrat=,-0.479606, actvprof=,3.939137, id=,S00, PRDE,actvstrat=,-0.164711, actvprof=,1.276702, id=,S01, PRDE,actvstrat=,-0.455320, actvprof=,0.460846, id=,S06, PRDE,actvstrat=,-0.006029, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.991868, actvprof=,0.000417, id=,S08, PRDE,actvstrat=,-0.137046, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.939137, best_B_strat=,-0.479606, best_S_id=,S00, best_S_prof=,1.276702, best_S_strat=,-0.164711, 
t=,54000, id=,B02, PRDE,actvstrat=,0.088345, actvprof=,0.001667, id=,B04, PRDE,actvstrat=,0.321127, actvprof=,0.291127, id=,B06, PRDE,actvstrat=,-0.462525, actvprof=,1.579254, id=,B07, PRDE,actvstrat=,0.048651, actvprof=,3.829935, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,6.900939, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,4.832213, id=,S01, PRDE,actvstrat=,0.893608, actvprof=,3.570198, id=,S06, PRDE,actvstrat=,0.186908, actvprof=,0.010834, id=,S07, PRDE,actvstrat=,0.669076, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.900939, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,4.832213, best_S_strat=,-1.000000, 
t=,57600, id=,B02, PRDE,actvstrat=,0.088345, actvprof=,0.001667, id=,B04, PRDE,actvstrat=,0.321127, actvprof=,0.302925, id=,B06, PRDE,actvstrat=,-0.462525, actvprof=,1.519903, id=,B07, PRDE,actvstrat=,0.048651, actvprof=,3.861496, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,6.926859, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,4.917775, id=,S01, PRDE,actvstrat=,0.893608, actvprof=,3.556210, id=,S06, PRDE,actvstrat=,0.186908, actvprof=,0.005417, id=,S07, PRDE,actvstrat=,0.669076, actvprof=,0.000972, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.926859, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,4.917775, best_S_strat=,-1.000000, 
t=,61200, id=,B02, PRDE,actvstrat=,-0.230731, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.321127, actvprof=,0.132507, id=,B06, PRDE,actvstrat=,-0.257184, actvprof=,1.170065, id=,B07, PRDE,actvstrat=,0.168520, actvprof=,3.492972, id=,B08, PRDE,actvstrat=,0.610147, actvprof=,5.838935, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,5.797822, id=,S01, PRDE,actvstrat=,-0.030967, actvprof=,1.229513, id=,S06, PRDE,actvstrat=,0.186908, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.955159, actvprof=,0.006945, id=,S08, PRDE,actvstrat=,-0.786521, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.838935, best_B_strat=,0.610147, best_S_id=,S00, best_S_prof=,5.797822, best_S_strat=,1.000000, 
t=,64800, id=,B02, PRDE,actvstrat=,-0.230731, actvprof=,0.003195, id=,B04, PRDE,actvstrat=,0.321127, actvprof=,0.118337, id=,B06, PRDE,actvstrat=,-0.257184, actvprof=,1.231006, id=,B07, PRDE,actvstrat=,0.168520, actvprof=,3.405095, id=,B08, PRDE,actvstrat=,0.610147, actvprof=,5.909609, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,5.815162, id=,S01, PRDE,actvstrat=,-0.030967, actvprof=,1.195728, id=,S06, PRDE,actvstrat=,0.186908, actvprof=,0.001111, id=,S07, PRDE,actvstrat=,0.955159, actvprof=,0.005417, id=,S08, PRDE,actvstrat=,-0.786521, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.909609, best_B_strat=,0.610147, best_S_id=,S00, best_S_prof=,5.815162, best_S_strat=,1.000000, 
t=,68400, id=,B02, PRDE,actvstrat=,0.803750, actvprof=,0.003611, id=,B04, PRDE,actvstrat=,-0.912254, actvprof=,0.050558, id=,B06, PRDE,actvstrat=,0.110835, actvprof=,1.262570, id=,B07, PRDE,actvstrat=,0.523423, actvprof=,3.252125, id=,B08, PRDE,actvstrat=,0.734649, actvprof=,5.406967, id=,S00, PRDE,actvstrat=,0.355788, actvprof=,3.826879, id=,S01, PRDE,actvstrat=,-0.072836, actvprof=,1.400078, id=,S06, PRDE,actvstrat=,-0.927952, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.871081, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.515880, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.406967, best_B_strat=,0.734649, best_S_id=,S00, best_S_prof=,3.826879, best_S_strat=,0.355788, 
t=,72000, id=,B02, PRDE,actvstrat=,0.803750, actvprof=,0.003333, id=,B04, PRDE,actvstrat=,-0.912254, actvprof=,0.062224, id=,B06, PRDE,actvstrat=,0.110835, actvprof=,1.301286, id=,B07, PRDE,actvstrat=,0.523423, actvprof=,3.367177, id=,B08, PRDE,actvstrat=,0.734649, actvprof=,5.409317, id=,S00, PRDE,actvstrat=,0.355788, actvprof=,3.899692, id=,S01, PRDE,actvstrat=,-0.072836, actvprof=,1.295036, id=,S06, PRDE,actvstrat=,-0.927952, actvprof=,0.002222, id=,S07, PRDE,actvstrat=,-0.871081, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.515880, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.409317, best_B_strat=,0.734649, best_S_id=,S00, best_S_prof=,3.899692, best_S_strat=,0.355788, 
