t=,39600, id=,B01, PRDE,actvstrat=,0.598521, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.691798, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.633953, actvprof=,0.005278, id=,B06, PRDE,actvstrat=,0.124451, actvprof=,1.619234, id=,B07, PRDE,actvstrat=,-0.043952, actvprof=,2.614553, id=,S00, PRDE,actvstrat=,-0.308946, actvprof=,1.645346, id=,S02, PRDE,actvstrat=,0.323182, actvprof=,1.363946, id=,S05, PRDE,actvstrat=,-0.358337, actvprof=,0.003056, id=,S08, PRDE,actvstrat=,-0.437233, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.023802, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.614553, best_B_strat=,-0.043952, best_S_id=,S00, best_S_prof=,1.645346, best_S_strat=,-0.308946, 
t=,43200, id=,B01, PRDE,actvstrat=,0.598521, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.691798, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.633953, actvprof=,0.004306, id=,B06, PRDE,actvstrat=,0.124451, actvprof=,1.509198, id=,B07, PRDE,actvstrat=,-0.043952, actvprof=,2.539497, id=,S00, PRDE,actvstrat=,-0.308946, actvprof=,1.740453, id=,S02, PRDE,actvstrat=,0.323182, actvprof=,1.497670, id=,S05, PRDE,actvstrat=,-0.358337, actvprof=,0.001528, id=,S08, PRDE,actvstrat=,-0.437233, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.023802, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.539497, best_B_strat=,-0.043952, best_S_id=,S00, best_S_prof=,1.740453, best_S_strat=,-0.308946, 
t=,46800, id=,B01, PRDE,actvstrat=,0.676065, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.275450, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.811772, actvprof=,0.025557, id=,B06, PRDE,actvstrat=,0.124451, actvprof=,1.235607, id=,B07, PRDE,actvstrat=,0.021537, actvprof=,2.572885, id=,S00, PRDE,actvstrat=,-0.842184, actvprof=,0.664750, id=,S02, PRDE,actvstrat=,0.736107, actvprof=,2.948734, id=,S05, PRDE,actvstrat=,-0.358337, actvprof=,0.001945, id=,S08, PRDE,actvstrat=,-0.437233, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.738423, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.572885, best_B_strat=,0.021537, best_S_id=,S02, best_S_prof=,2.948734, best_S_strat=,0.736107, 
t=,50400, id=,B01, PRDE,actvstrat=,0.676065, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.275450, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.811772, actvprof=,0.033473, id=,B06, PRDE,actvstrat=,0.124451, actvprof=,1.274749, id=,B07, PRDE,actvstrat=,0.021537, actvprof=,2.528386, id=,S00, PRDE,actvstrat=,-0.842184, actvprof=,0.667931, id=,S02, PRDE,actvstrat=,0.736107, actvprof=,2.866726, id=,S05, PRDE,actvstrat=,-0.358337, actvprof=,0.002917, id=,S08, PRDE,actvstrat=,-0.437233, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.738423, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.528386, best_B_strat=,0.021537, best_S_id=,S02, best_S_prof=,2.866726, best_S_strat=,0.736107, 
t=,54000, id=,B01, PRDE,actvstrat=,-0.031072, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.608576, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.561621, actvprof=,0.031390, id=,B06, PRDE,actvstrat=,0.124451, actvprof=,1.918969, id=,B07, PRDE,actvstrat=,0.574671, actvprof=,4.175452, id=,S00, PRDE,actvstrat=,0.776522, actvprof=,5.572177, id=,S02, PRDE,actvstrat=,0.398296, actvprof=,1.409781, id=,S05, PRDE,actvstrat=,-0.974937, actvprof=,0.020279, id=,S08, PRDE,actvstrat=,-0.806808, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.834866, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.175452, best_B_strat=,0.574671, best_S_id=,S00, best_S_prof=,5.572177, best_S_strat=,0.776522, 
t=,57600, id=,B01, PRDE,actvstrat=,-0.031072, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.608576, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.561621, actvprof=,0.030001, id=,B06, PRDE,actvstrat=,0.124451, actvprof=,1.837122, id=,B07, PRDE,actvstrat=,0.574671, actvprof=,4.045223, id=,S00, PRDE,actvstrat=,0.776522, actvprof=,5.637340, id=,S02, PRDE,actvstrat=,0.398296, actvprof=,1.376001, id=,S05, PRDE,actvstrat=,-0.974937, actvprof=,0.018889, id=,S08, PRDE,actvstrat=,-0.806808, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.834866, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.045223, best_B_strat=,0.574671, best_S_id=,S00, best_S_prof=,5.637340, best_S_strat=,0.776522, 
t=,61200, id=,B01, PRDE,actvstrat=,-0.990819, actvprof=,0.000278, id=,B02, PRDE,actvstrat=,0.608766, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.386912, actvprof=,0.041390, id=,B06, PRDE,actvstrat=,-0.736720, actvprof=,1.224478, id=,B07, PRDE,actvstrat=,-0.170997, actvprof=,3.168699, id=,S00, PRDE,actvstrat=,0.988311, actvprof=,5.620156, id=,S02, PRDE,actvstrat=,0.199239, actvprof=,0.693908, id=,S05, PRDE,actvstrat=,-0.848530, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.978691, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.793209, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.168699, best_B_strat=,-0.170997, best_S_id=,S00, best_S_prof=,5.620156, best_S_strat=,0.988311, 
t=,64800, id=,B01, PRDE,actvstrat=,-0.990819, actvprof=,0.000694, id=,B02, PRDE,actvstrat=,0.608766, actvprof=,0.001528, id=,B04, PRDE,actvstrat=,-0.386912, actvprof=,0.046112, id=,B06, PRDE,actvstrat=,-0.736720, actvprof=,1.176830, id=,B07, PRDE,actvstrat=,-0.170997, actvprof=,3.175344, id=,S00, PRDE,actvstrat=,0.988311, actvprof=,5.547199, id=,S02, PRDE,actvstrat=,0.199239, actvprof=,0.764321, id=,S05, PRDE,actvstrat=,-0.848530, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.978691, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.793209, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.175344, best_B_strat=,-0.170997, best_S_id=,S00, best_S_prof=,5.547199, best_S_strat=,0.988311, 
t=,68400, id=,B01, PRDE,actvstrat=,-0.793316, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.336660, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.561621, actvprof=,0.031112, id=,B06, PRDE,actvstrat=,-0.580043, actvprof=,1.214773, id=,B07, PRDE,actvstrat=,0.851954, actvprof=,5.007986, id=,S00, PRDE,actvstrat=,0.595717, actvprof=,4.368515, id=,S02, PRDE,actvstrat=,0.323182, actvprof=,0.948651, id=,S05, PRDE,actvstrat=,0.922357, actvprof=,0.028612, id=,S08, PRDE,actvstrat=,-0.329190, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.834866, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,5.007986, best_B_strat=,0.851954, best_S_id=,S00, best_S_prof=,4.368515, best_S_strat=,0.595717, 
t=,72000, id=,B01, PRDE,actvstrat=,-0.793316, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.336660, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.561621, actvprof=,0.030139, id=,B06, PRDE,actvstrat=,-0.580043, actvprof=,1.232517, id=,B07, PRDE,actvstrat=,0.851954, actvprof=,4.965625, id=,S00, PRDE,actvstrat=,0.595717, actvprof=,4.390894, id=,S02, PRDE,actvstrat=,0.323182, actvprof=,0.972930, id=,S05, PRDE,actvstrat=,0.922357, actvprof=,0.031528, id=,S08, PRDE,actvstrat=,-0.329190, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.834866, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.965625, best_B_strat=,0.851954, best_S_id=,S00, best_S_prof=,4.390894, best_S_strat=,0.595717, 
