t=,39600, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000833, id=,B04, PRDE,actvstrat=,-0.520277, actvprof=,0.018334, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.550975, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.008556, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.514306, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.941497, id=,S05, PRDE,actvstrat=,0.120849, actvprof=,0.023612, id=,S06, PRDE,actvstrat=,0.144954, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.617589, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.008556, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,2.514306, best_S_strat=,-1.000000, 
t=,43200, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000833, id=,B04, PRDE,actvstrat=,-0.520277, actvprof=,0.016806, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.399511, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.920803, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.612156, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.027834, id=,S05, PRDE,actvstrat=,0.120849, actvprof=,0.019306, id=,S06, PRDE,actvstrat=,0.144954, actvprof=,0.000139, id=,S09, PRDE,actvstrat=,-0.617589, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.920803, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,2.612156, best_S_strat=,-1.000000, 
t=,46800, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.220875, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.047047, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.606817, actvprof=,1.179788, id=,B07, PRDE,actvstrat=,-0.145910, actvprof=,1.210067, id=,S02, PRDE,actvstrat=,-0.724619, actvprof=,0.327796, id=,S03, PRDE,actvstrat=,-0.050064, actvprof=,0.336685, id=,S05, PRDE,actvstrat=,-0.248506, actvprof=,0.002778, id=,S06, PRDE,actvstrat=,0.520648, actvprof=,0.000278, id=,S09, PRDE,actvstrat=,0.833266, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.210067, best_B_strat=,-0.145910, best_S_id=,S03, best_S_prof=,0.336685, best_S_strat=,-0.050064, 
t=,50400, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.220875, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.047047, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.606817, actvprof=,1.049335, id=,B07, PRDE,actvstrat=,-0.145910, actvprof=,1.176699, id=,S02, PRDE,actvstrat=,-0.724619, actvprof=,0.350149, id=,S03, PRDE,actvstrat=,-0.050064, actvprof=,0.359454, id=,S05, PRDE,actvstrat=,-0.248506, actvprof=,0.001389, id=,S06, PRDE,actvstrat=,0.520648, actvprof=,0.000139, id=,S09, PRDE,actvstrat=,0.833266, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.176699, best_B_strat=,-0.145910, best_S_id=,S03, best_S_prof=,0.359454, best_S_strat=,-0.050064, 
t=,54000, id=,B01, PRDE,actvstrat=,-0.579326, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.005000, id=,B04, PRDE,actvstrat=,0.208429, actvprof=,0.179177, id=,B06, PRDE,actvstrat=,0.447177, actvprof=,2.558475, id=,B07, PRDE,actvstrat=,-0.357216, actvprof=,2.580699, id=,S02, PRDE,actvstrat=,0.738834, actvprof=,1.759542, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,0.984221, id=,S05, PRDE,actvstrat=,-0.012821, actvprof=,0.001111, id=,S06, PRDE,actvstrat=,-0.108721, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.118288, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.580699, best_B_strat=,-0.357216, best_S_id=,S02, best_S_prof=,1.759542, best_S_strat=,0.738834, 
t=,57600, id=,B01, PRDE,actvstrat=,-0.579326, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.003750, id=,B04, PRDE,actvstrat=,0.208429, actvprof=,0.158199, id=,B06, PRDE,actvstrat=,0.447177, actvprof=,2.532015, id=,B07, PRDE,actvstrat=,-0.357216, actvprof=,2.379233, id=,S02, PRDE,actvstrat=,0.738834, actvprof=,1.697825, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,0.990861, id=,S05, PRDE,actvstrat=,-0.012821, actvprof=,0.000556, id=,S06, PRDE,actvstrat=,-0.108721, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.118288, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.532015, best_B_strat=,0.447177, best_S_id=,S02, best_S_prof=,1.697825, best_S_strat=,0.738834, 
t=,61200, id=,B01, PRDE,actvstrat=,-0.579326, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.090761, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.301929, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.118062, id=,B07, PRDE,actvstrat=,0.793076, actvprof=,1.245069, id=,S02, PRDE,actvstrat=,-0.322615, actvprof=,1.203956, id=,S03, PRDE,actvstrat=,-0.343059, actvprof=,0.513640, id=,S05, PRDE,actvstrat=,-0.174048, actvprof=,0.027779, id=,S06, PRDE,actvstrat=,-0.837252, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.617589, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.245069, best_B_strat=,0.793076, best_S_id=,S02, best_S_prof=,1.203956, best_S_strat=,-0.322615, 
t=,64800, id=,B01, PRDE,actvstrat=,-0.579326, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.090761, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.301929, actvprof=,0.001667, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.115003, id=,B07, PRDE,actvstrat=,0.793076, actvprof=,1.229479, id=,S02, PRDE,actvstrat=,-0.322615, actvprof=,1.129892, id=,S03, PRDE,actvstrat=,-0.343059, actvprof=,0.495708, id=,S05, PRDE,actvstrat=,-0.174048, actvprof=,0.030140, id=,S06, PRDE,actvstrat=,-0.837252, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.617589, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.229479, best_B_strat=,0.793076, best_S_id=,S02, best_S_prof=,1.129892, best_S_strat=,-0.322615, 
t=,68400, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.085283, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.929274, id=,B07, PRDE,actvstrat=,0.133483, actvprof=,2.202345, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.382410, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,2.067615, id=,S05, PRDE,actvstrat=,0.211796, actvprof=,0.044447, id=,S06, PRDE,actvstrat=,-0.810296, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.000301, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.202345, best_B_strat=,0.133483, best_S_id=,S02, best_S_prof=,3.382410, best_S_strat=,-1.000000, 
t=,72000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.062363, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.873108, id=,B07, PRDE,actvstrat=,0.133483, actvprof=,2.186727, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.400789, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,2.114225, id=,S05, PRDE,actvstrat=,0.211796, actvprof=,0.043890, id=,S06, PRDE,actvstrat=,-0.810296, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.000301, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.186727, best_B_strat=,0.133483, best_S_id=,S02, best_S_prof=,3.400789, best_S_strat=,-1.000000, 
