t=,39600, id=,B01, PRDE,actvstrat=,0.172632, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.296610, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.256602, actvprof=,0.081392, id=,B06, PRDE,actvstrat=,0.470397, actvprof=,2.972346, id=,S00, PRDE,actvstrat=,0.367381, actvprof=,2.686223, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.352084, id=,S02, PRDE,actvstrat=,-0.846181, actvprof=,0.040002, id=,S06, PRDE,actvstrat=,-0.284066, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.448546, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.972346, best_B_strat=,0.470397, best_S_id=,S01, best_S_prof=,3.352084, best_S_strat=,-1.000000, 
t=,43200, id=,B01, PRDE,actvstrat=,0.172632, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.296610, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.256602, actvprof=,0.065140, id=,B06, PRDE,actvstrat=,0.470397, actvprof=,2.902838, id=,S00, PRDE,actvstrat=,0.367381, actvprof=,2.675056, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.343681, id=,S02, PRDE,actvstrat=,-0.846181, actvprof=,0.047223, id=,S06, PRDE,actvstrat=,-0.284066, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.448546, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.902838, best_B_strat=,0.470397, best_S_id=,S01, best_S_prof=,3.343681, best_S_strat=,-1.000000, 
t=,46800, id=,B01, PRDE,actvstrat=,0.267264, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.879782, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.064100, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.061191, actvprof=,0.073615, id=,B06, PRDE,actvstrat=,-0.465332, actvprof=,1.244791, id=,S00, PRDE,actvstrat=,0.372109, actvprof=,2.827935, id=,S01, PRDE,actvstrat=,-0.998311, actvprof=,0.793100, id=,S02, PRDE,actvstrat=,-0.904691, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.604063, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.592329, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.244791, best_B_strat=,-0.465332, best_S_id=,S00, best_S_prof=,2.827935, best_S_strat=,0.372109, 
t=,50400, id=,B01, PRDE,actvstrat=,0.267264, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.879782, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.064100, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.061191, actvprof=,0.071113, id=,B06, PRDE,actvstrat=,-0.465332, actvprof=,1.226840, id=,S00, PRDE,actvstrat=,0.372109, actvprof=,2.799661, id=,S01, PRDE,actvstrat=,-0.998311, actvprof=,0.828356, id=,S02, PRDE,actvstrat=,-0.904691, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.604063, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.592329, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.226840, best_B_strat=,-0.465332, best_S_id=,S00, best_S_prof=,2.799661, best_S_strat=,0.372109, 
t=,54000, id=,B01, PRDE,actvstrat=,0.845686, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.909453, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.379189, actvprof=,0.002500, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.020834, id=,B06, PRDE,actvstrat=,0.138807, actvprof=,1.503417, id=,S00, PRDE,actvstrat=,-0.142700, actvprof=,1.467026, id=,S01, PRDE,actvstrat=,0.809280, actvprof=,4.458025, id=,S02, PRDE,actvstrat=,0.348553, actvprof=,1.337852, id=,S06, PRDE,actvstrat=,-0.368764, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.643434, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.503417, best_B_strat=,0.138807, best_S_id=,S01, best_S_prof=,4.458025, best_S_strat=,0.809280, 
t=,57600, id=,B01, PRDE,actvstrat=,0.845686, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.909453, actvprof=,0.000139, id=,B03, PRDE,actvstrat=,0.379189, actvprof=,0.003056, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.019862, id=,B06, PRDE,actvstrat=,0.138807, actvprof=,1.536570, id=,S00, PRDE,actvstrat=,-0.142700, actvprof=,1.527820, id=,S01, PRDE,actvstrat=,0.809280, actvprof=,4.414984, id=,S02, PRDE,actvstrat=,0.348553, actvprof=,1.326148, id=,S06, PRDE,actvstrat=,-0.368764, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.643434, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.536570, best_B_strat=,0.138807, best_S_id=,S01, best_S_prof=,4.414984, best_S_strat=,0.809280, 
t=,61200, id=,B01, PRDE,actvstrat=,0.845686, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.331033, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.546755, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.002222, id=,B06, PRDE,actvstrat=,0.399300, actvprof=,1.553420, id=,S00, PRDE,actvstrat=,-0.664490, actvprof=,1.226179, id=,S01, PRDE,actvstrat=,0.316506, actvprof=,2.628479, id=,S02, PRDE,actvstrat=,-0.533628, actvprof=,0.289461, id=,S06, PRDE,actvstrat=,-0.293163, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.989187, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.553420, best_B_strat=,0.399300, best_S_id=,S01, best_S_prof=,2.628479, best_S_strat=,0.316506, 
t=,64800, id=,B01, PRDE,actvstrat=,0.845686, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.331033, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.546755, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.002222, id=,B06, PRDE,actvstrat=,0.399300, actvprof=,1.509903, id=,S00, PRDE,actvstrat=,-0.664490, actvprof=,1.123642, id=,S01, PRDE,actvstrat=,0.316506, actvprof=,2.676602, id=,S02, PRDE,actvstrat=,-0.533628, actvprof=,0.278897, id=,S06, PRDE,actvstrat=,-0.293163, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.989187, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.509903, best_B_strat=,0.399300, best_S_id=,S01, best_S_prof=,2.676602, best_S_strat=,0.316506, 
t=,68400, id=,B01, PRDE,actvstrat=,-0.084764, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000833, id=,B04, PRDE,actvstrat=,0.532855, actvprof=,0.263067, id=,B06, PRDE,actvstrat=,-0.448179, actvprof=,1.521452, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,5.582455, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.286526, id=,S02, PRDE,actvstrat=,-0.891248, actvprof=,0.003611, id=,S06, PRDE,actvstrat=,-0.120013, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.352567, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.521452, best_B_strat=,-0.448179, best_S_id=,S00, best_S_prof=,5.582455, best_S_strat=,1.000000, 
t=,72000, id=,B01, PRDE,actvstrat=,-0.084764, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.001806, id=,B04, PRDE,actvstrat=,0.532855, actvprof=,0.258341, id=,B06, PRDE,actvstrat=,-0.448179, actvprof=,1.433095, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,5.617239, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.342176, id=,S02, PRDE,actvstrat=,-0.891248, actvprof=,0.001806, id=,S06, PRDE,actvstrat=,-0.120013, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.352567, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.433095, best_B_strat=,-0.448179, best_S_id=,S00, best_S_prof=,5.617239, best_S_strat=,1.000000, 
