t=,43200, id=,B02, PRDE,actvstrat=,0.140085, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.098474, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.693806, id=,B07, PRDE,actvstrat=,-0.554097, actvprof=,1.872539, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.669979, id=,S00, PRDE,actvstrat=,0.484806, actvprof=,4.301617, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.736147, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.017084, id=,S07, PRDE,actvstrat=,-0.778350, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.669979, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,4.301617, best_S_strat=,0.484806, 
t=,46800, id=,B02, PRDE,actvstrat=,-0.969470, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.083615, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.534550, id=,B07, PRDE,actvstrat=,-0.316275, actvprof=,1.861466, id=,B08, PRDE,actvstrat=,0.841709, actvprof=,5.980805, id=,S00, PRDE,actvstrat=,0.023582, actvprof=,3.080128, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.775352, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.054447, id=,S07, PRDE,actvstrat=,0.923608, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.057375, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.980805, best_B_strat=,0.841709, best_S_id=,S00, best_S_prof=,3.080128, best_S_strat=,0.023582, 
t=,50400, id=,B02, PRDE,actvstrat=,-0.969470, actvprof=,0.000278, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.079862, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.546008, id=,B07, PRDE,actvstrat=,-0.316275, actvprof=,1.963083, id=,B08, PRDE,actvstrat=,0.841709, actvprof=,5.972444, id=,S00, PRDE,actvstrat=,0.023582, actvprof=,3.066293, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.794053, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.048056, id=,S07, PRDE,actvstrat=,0.923608, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.057375, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.972444, best_B_strat=,0.841709, best_S_id=,S00, best_S_prof=,3.066293, best_S_strat=,0.023582, 
t=,54000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.034168, id=,B06, PRDE,actvstrat=,-0.534685, actvprof=,0.720586, id=,B07, PRDE,actvstrat=,-0.337786, actvprof=,1.887856, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.813020, id=,S00, PRDE,actvstrat=,0.518755, actvprof=,4.613248, id=,S03, PRDE,actvstrat=,-0.826979, actvprof=,0.055002, id=,S05, PRDE,actvstrat=,0.313006, actvprof=,0.021668, id=,S07, PRDE,actvstrat=,0.304920, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.813020, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,4.613248, best_S_strat=,0.518755, 
t=,57600, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.037917, id=,B06, PRDE,actvstrat=,-0.534685, actvprof=,0.710015, id=,B07, PRDE,actvstrat=,-0.337786, actvprof=,1.886289, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.750120, id=,S00, PRDE,actvstrat=,0.518755, actvprof=,4.640513, id=,S03, PRDE,actvstrat=,-0.826979, actvprof=,0.058196, id=,S05, PRDE,actvstrat=,0.313006, actvprof=,0.019167, id=,S07, PRDE,actvstrat=,0.304920, actvprof=,0.000278, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.750120, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,4.640513, best_S_strat=,0.518755, 
t=,61200, id=,B02, PRDE,actvstrat=,0.201145, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.016945, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.069531, id=,B07, PRDE,actvstrat=,-0.554097, actvprof=,1.511174, id=,B08, PRDE,actvstrat=,0.861318, actvprof=,5.438282, id=,S00, PRDE,actvstrat=,0.220245, actvprof=,3.873495, id=,S03, PRDE,actvstrat=,0.099171, actvprof=,0.536967, id=,S05, PRDE,actvstrat=,0.973795, actvprof=,0.065558, id=,S07, PRDE,actvstrat=,0.304920, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.400277, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.438282, best_B_strat=,0.861318, best_S_id=,S00, best_S_prof=,3.873495, best_S_strat=,0.220245, 
t=,64800, id=,B02, PRDE,actvstrat=,0.201145, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.012500, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.177684, id=,B07, PRDE,actvstrat=,-0.554097, actvprof=,1.533504, id=,B08, PRDE,actvstrat=,0.861318, actvprof=,5.526782, id=,S00, PRDE,actvstrat=,0.220245, actvprof=,3.892026, id=,S03, PRDE,actvstrat=,0.099171, actvprof=,0.521261, id=,S05, PRDE,actvstrat=,0.973795, actvprof=,0.071390, id=,S07, PRDE,actvstrat=,0.304920, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.400277, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.526782, best_B_strat=,0.861318, best_S_id=,S00, best_S_prof=,3.892026, best_S_strat=,0.220245, 
t=,68400, id=,B02, PRDE,actvstrat=,0.134133, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.707721, actvprof=,0.023057, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.984291, id=,B07, PRDE,actvstrat=,0.007589, actvprof=,3.303193, id=,B08, PRDE,actvstrat=,0.059188, actvprof=,4.929928, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,5.975805, id=,S03, PRDE,actvstrat=,0.536925, actvprof=,0.351959, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.030835, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000556, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.929928, best_B_strat=,0.059188, best_S_id=,S00, best_S_prof=,5.975805, best_S_strat=,1.000000, 
t=,72000, id=,B02, PRDE,actvstrat=,0.134133, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.707721, actvprof=,0.025278, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.981034, id=,B07, PRDE,actvstrat=,0.007589, actvprof=,3.229234, id=,B08, PRDE,actvstrat=,0.059188, actvprof=,4.895935, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.007764, id=,S03, PRDE,actvstrat=,0.536925, actvprof=,0.378758, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.039167, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000417, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.895935, best_B_strat=,0.059188, best_S_id=,S00, best_S_prof=,6.007764, best_S_strat=,1.000000, 
t=,75600, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.707721, actvprof=,0.004445, id=,B06, PRDE,actvstrat=,0.699566, actvprof=,2.129037, id=,B07, PRDE,actvstrat=,0.007589, actvprof=,2.727412, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.264532, id=,S00, PRDE,actvstrat=,0.518755, actvprof=,4.052504, id=,S03, PRDE,actvstrat=,0.536925, actvprof=,0.595597, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.063060, id=,S07, PRDE,actvstrat=,-0.778350, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.264532, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,4.052504, best_S_strat=,0.518755, 
t=,79200, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.001111, id=,B04, PRDE,actvstrat=,-0.707721, actvprof=,0.003195, id=,B06, PRDE,actvstrat=,0.699566, actvprof=,2.207160, id=,B07, PRDE,actvstrat=,0.007589, actvprof=,2.696205, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.278100, id=,S00, PRDE,actvstrat=,0.518755, actvprof=,4.080975, id=,S03, PRDE,actvstrat=,0.536925, actvprof=,0.557103, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.065141, id=,S07, PRDE,actvstrat=,-0.778350, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.278100, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,4.080975, best_S_strat=,0.518755, 
t=,82800, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.707721, actvprof=,0.004167, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.648276, id=,B07, PRDE,actvstrat=,-0.100567, actvprof=,2.374920, id=,B08, PRDE,actvstrat=,-0.177563, actvprof=,3.758091, id=,S00, PRDE,actvstrat=,0.009655, actvprof=,2.530489, id=,S03, PRDE,actvstrat=,0.073850, actvprof=,0.229464, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.065839, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.758091, best_B_strat=,-0.177563, best_S_id=,S00, best_S_prof=,2.530489, best_S_strat=,0.009655, 
t=,86400, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.707721, actvprof=,0.006667, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.714696, id=,B07, PRDE,actvstrat=,-0.100567, actvprof=,2.453713, id=,B08, PRDE,actvstrat=,-0.177563, actvprof=,3.821409, id=,S00, PRDE,actvstrat=,0.009655, actvprof=,2.585247, id=,S03, PRDE,actvstrat=,0.073850, actvprof=,0.219454, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.067642, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.821409, best_B_strat=,-0.177563, best_S_id=,S00, best_S_prof=,2.585247, best_S_strat=,0.009655, 
t=,90000, id=,B02, PRDE,actvstrat=,0.195194, actvprof=,0.004167, id=,B04, PRDE,actvstrat=,0.115164, actvprof=,0.075840, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,3.148596, id=,B07, PRDE,actvstrat=,-0.337786, actvprof=,2.657721, id=,B08, PRDE,actvstrat=,-0.529594, actvprof=,3.934772, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,5.694919, id=,S03, PRDE,actvstrat=,0.536925, actvprof=,0.226963, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.034725, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.934772, best_B_strat=,-0.529594, best_S_id=,S00, best_S_prof=,5.694919, best_S_strat=,1.000000, 
t=,93600, id=,B02, PRDE,actvstrat=,0.195194, actvprof=,0.002222, id=,B04, PRDE,actvstrat=,0.115164, actvprof=,0.074586, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,3.122747, id=,B07, PRDE,actvstrat=,-0.337786, actvprof=,2.563145, id=,B08, PRDE,actvstrat=,-0.529594, actvprof=,3.965971, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,5.695337, id=,S03, PRDE,actvstrat=,0.536925, actvprof=,0.235008, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.044168, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.965971, best_B_strat=,-0.529594, best_S_id=,S00, best_S_prof=,5.695337, best_S_strat=,1.000000, 
t=,97200, id=,B02, PRDE,actvstrat=,0.073073, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.008334, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.578743, id=,B07, PRDE,actvstrat=,-0.122681, actvprof=,1.358724, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.614273, id=,S00, PRDE,actvstrat=,0.444762, actvprof=,4.450926, id=,S03, PRDE,actvstrat=,0.536925, actvprof=,1.115093, id=,S05, PRDE,actvstrat=,-0.339211, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.921531, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.614273, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,4.450926, best_S_strat=,0.444762, 
t=,100800, id=,B02, PRDE,actvstrat=,0.073073, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.010556, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.606306, id=,B07, PRDE,actvstrat=,-0.122681, actvprof=,1.463245, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.563908, id=,S00, PRDE,actvstrat=,0.444762, actvprof=,4.517657, id=,S03, PRDE,actvstrat=,0.536925, actvprof=,1.122678, id=,S05, PRDE,actvstrat=,-0.339211, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.921531, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.563908, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,4.517657, best_S_strat=,0.444762, 
t=,104400, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.002222, id=,B04, PRDE,actvstrat=,0.320327, actvprof=,0.246138, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,3.430103, id=,B07, PRDE,actvstrat=,-0.294765, actvprof=,2.754195, id=,B08, PRDE,actvstrat=,0.059188, actvprof=,5.349483, id=,S00, PRDE,actvstrat=,0.444762, actvprof=,2.765585, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.670908, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.046672, id=,S07, PRDE,actvstrat=,0.921531, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.349483, best_B_strat=,0.059188, best_S_id=,S00, best_S_prof=,2.765585, best_S_strat=,0.444762, 
t=,108000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.001111, id=,B04, PRDE,actvstrat=,0.320327, actvprof=,0.229872, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,3.345163, id=,B07, PRDE,actvstrat=,-0.294765, actvprof=,2.788469, id=,B08, PRDE,actvstrat=,0.059188, actvprof=,5.324148, id=,S00, PRDE,actvstrat=,0.444762, actvprof=,2.800414, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.720035, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.055142, id=,S07, PRDE,actvstrat=,0.921531, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.324148, best_B_strat=,0.059188, best_S_id=,S00, best_S_prof=,2.800414, best_S_strat=,0.444762, 
