t=,43200, id=,B03, PRDE,actvstrat=,-0.091850, actvprof=,0.005695, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.123058, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.599457, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.622395, id=,B09, PRDE,actvstrat=,-0.985232, actvprof=,3.941471, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,7.302374, id=,S01, PRDE,actvstrat=,0.089756, actvprof=,3.278957, id=,S03, PRDE,actvstrat=,0.593911, actvprof=,1.671007, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.067918, id=,S06, PRDE,actvstrat=,-0.720776, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.941471, best_B_strat=,-0.985232, best_S_id=,S00, best_S_prof=,7.302374, best_S_strat=,1.000000, 
t=,46800, id=,B03, PRDE,actvstrat=,0.077376, actvprof=,0.007222, id=,B04, PRDE,actvstrat=,-0.922852, actvprof=,0.096669, id=,B05, PRDE,actvstrat=,0.947707, actvprof=,0.302231, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.617517, id=,B09, PRDE,actvstrat=,0.266035, actvprof=,3.989555, id=,S00, PRDE,actvstrat=,0.019503, actvprof=,5.187366, id=,S01, PRDE,actvstrat=,0.494604, actvprof=,5.507653, id=,S03, PRDE,actvstrat=,0.112646, actvprof=,1.667546, id=,S05, PRDE,actvstrat=,0.257535, actvprof=,0.260285, id=,S06, PRDE,actvstrat=,0.242225, actvprof=,0.014167, best_B_id=,B09, best_B_prof=,3.989555, best_B_strat=,0.266035, best_S_id=,S01, best_S_prof=,5.507653, best_S_strat=,0.494604, 
t=,50400, id=,B03, PRDE,actvstrat=,0.077376, actvprof=,0.007917, id=,B04, PRDE,actvstrat=,-0.922852, actvprof=,0.101530, id=,B05, PRDE,actvstrat=,0.947707, actvprof=,0.326257, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.638763, id=,B09, PRDE,actvstrat=,0.266035, actvprof=,4.000222, id=,S00, PRDE,actvstrat=,0.019503, actvprof=,5.155663, id=,S01, PRDE,actvstrat=,0.494604, actvprof=,5.465392, id=,S03, PRDE,actvstrat=,0.112646, actvprof=,1.629340, id=,S05, PRDE,actvstrat=,0.257535, actvprof=,0.250422, id=,S06, PRDE,actvstrat=,0.242225, actvprof=,0.029445, best_B_id=,B09, best_B_prof=,4.000222, best_B_strat=,0.266035, best_S_id=,S01, best_S_prof=,5.465392, best_S_strat=,0.494604, 
t=,54000, id=,B03, PRDE,actvstrat=,0.008723, actvprof=,0.035558, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.245847, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.383077, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.995889, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.585310, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,7.745430, id=,S01, PRDE,actvstrat=,0.766176, actvprof=,5.833657, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,3.040447, id=,S05, PRDE,actvstrat=,-0.878107, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.631470, actvprof=,0.004722, best_B_id=,B09, best_B_prof=,5.585310, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,7.745430, best_S_strat=,1.000000, 
t=,57600, id=,B03, PRDE,actvstrat=,0.008723, actvprof=,0.024723, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.269035, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.378622, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.043362, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.599600, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,7.581599, id=,S01, PRDE,actvstrat=,0.766176, actvprof=,5.839051, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.950360, id=,S05, PRDE,actvstrat=,-0.878107, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.631470, actvprof=,0.006806, best_B_id=,B09, best_B_prof=,5.599600, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,7.581599, best_S_strat=,1.000000, 
t=,61200, id=,B03, PRDE,actvstrat=,0.605340, actvprof=,0.003611, id=,B04, PRDE,actvstrat=,-0.667116, actvprof=,0.009445, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.155564, id=,B06, PRDE,actvstrat=,-0.137349, actvprof=,0.267515, id=,B09, PRDE,actvstrat=,-0.192116, actvprof=,3.406578, id=,S00, PRDE,actvstrat=,-0.757159, actvprof=,2.432357, id=,S01, PRDE,actvstrat=,-0.037839, actvprof=,3.137119, id=,S03, PRDE,actvstrat=,-0.784822, actvprof=,0.188622, id=,S05, PRDE,actvstrat=,0.570784, actvprof=,0.140286, id=,S06, PRDE,actvstrat=,-0.176310, actvprof=,0.002222, best_B_id=,B09, best_B_prof=,3.406578, best_B_strat=,-0.192116, best_S_id=,S01, best_S_prof=,3.137119, best_S_strat=,-0.037839, 
t=,64800, id=,B03, PRDE,actvstrat=,0.605340, actvprof=,0.004722, id=,B04, PRDE,actvstrat=,-0.667116, actvprof=,0.010139, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.160977, id=,B06, PRDE,actvstrat=,-0.137349, actvprof=,0.262646, id=,B09, PRDE,actvstrat=,-0.192116, actvprof=,3.508986, id=,S00, PRDE,actvstrat=,-0.757159, actvprof=,2.418401, id=,S01, PRDE,actvstrat=,-0.037839, actvprof=,3.214534, id=,S03, PRDE,actvstrat=,-0.784822, actvprof=,0.207645, id=,S05, PRDE,actvstrat=,0.570784, actvprof=,0.139032, id=,S06, PRDE,actvstrat=,-0.176310, actvprof=,0.002778, best_B_id=,B09, best_B_prof=,3.508986, best_B_strat=,-0.192116, best_S_id=,S01, best_S_prof=,3.214534, best_S_strat=,-0.037839, 
t=,68400, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.005278, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.037224, id=,B05, PRDE,actvstrat=,0.432163, actvprof=,0.239180, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.420357, id=,B09, PRDE,actvstrat=,0.108865, actvprof=,4.721651, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,7.432080, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.976665, id=,S03, PRDE,actvstrat=,-0.027837, actvprof=,0.786433, id=,S05, PRDE,actvstrat=,-0.505682, actvprof=,0.018057, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.038335, best_B_id=,B09, best_B_prof=,4.721651, best_B_strat=,0.108865, best_S_id=,S00, best_S_prof=,7.432080, best_S_strat=,1.000000, 
t=,72000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.004306, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.034445, id=,B05, PRDE,actvstrat=,0.432163, actvprof=,0.245562, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.423651, id=,B09, PRDE,actvstrat=,0.108865, actvprof=,4.809578, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,7.359649, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.985277, id=,S03, PRDE,actvstrat=,-0.027837, actvprof=,0.757382, id=,S05, PRDE,actvstrat=,-0.505682, actvprof=,0.017084, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.043473, best_B_id=,B09, best_B_prof=,4.809578, best_B_strat=,0.108865, best_S_id=,S00, best_S_prof=,7.359649, best_S_strat=,1.000000, 
t=,75600, id=,B03, PRDE,actvstrat=,0.831161, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.014168, id=,B05, PRDE,actvstrat=,-0.234948, actvprof=,0.044449, id=,B06, PRDE,actvstrat=,0.663006, actvprof=,1.389024, id=,B09, PRDE,actvstrat=,0.724900, actvprof=,6.093926, id=,S00, PRDE,actvstrat=,-0.887451, actvprof=,1.027600, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.205784, id=,S03, PRDE,actvstrat=,0.009705, actvprof=,0.943147, id=,S05, PRDE,actvstrat=,0.875130, actvprof=,0.242246, id=,S06, PRDE,actvstrat=,0.631531, actvprof=,0.011390, best_B_id=,B09, best_B_prof=,6.093926, best_B_strat=,0.724900, best_S_id=,S01, best_S_prof=,5.205784, best_S_strat=,-1.000000, 
t=,79200, id=,B03, PRDE,actvstrat=,0.831161, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.014723, id=,B05, PRDE,actvstrat=,-0.234948, actvprof=,0.036252, id=,B06, PRDE,actvstrat=,0.663006, actvprof=,1.394512, id=,B09, PRDE,actvstrat=,0.724900, actvprof=,6.092241, id=,S00, PRDE,actvstrat=,-0.887451, actvprof=,0.949629, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.142333, id=,S03, PRDE,actvstrat=,0.009705, actvprof=,0.862681, id=,S05, PRDE,actvstrat=,0.875130, actvprof=,0.265707, id=,S06, PRDE,actvstrat=,0.631531, actvprof=,0.012501, best_B_id=,B09, best_B_prof=,6.092241, best_B_strat=,0.724900, best_S_id=,S01, best_S_prof=,5.142333, best_S_strat=,-1.000000, 
t=,82800, id=,B03, PRDE,actvstrat=,0.111851, actvprof=,0.033892, id=,B04, PRDE,actvstrat=,0.291069, actvprof=,0.098343, id=,B05, PRDE,actvstrat=,0.266938, actvprof=,0.372258, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.264942, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.071799, id=,S00, PRDE,actvstrat=,-0.867989, actvprof=,0.783409, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.679066, id=,S03, PRDE,actvstrat=,0.542249, actvprof=,0.939814, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.094454, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.023058, best_B_id=,B09, best_B_prof=,7.071799, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.679066, best_S_strat=,1.000000, 
t=,86400, id=,B03, PRDE,actvstrat=,0.111851, actvprof=,0.024862, id=,B04, PRDE,actvstrat=,0.291069, actvprof=,0.113756, id=,B05, PRDE,actvstrat=,0.266938, actvprof=,0.395575, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.277889, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.104234, id=,S00, PRDE,actvstrat=,-0.867989, actvprof=,0.750731, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.687033, id=,S03, PRDE,actvstrat=,0.542249, actvprof=,0.959213, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.091393, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.018334, best_B_id=,B09, best_B_prof=,7.104234, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.687033, best_S_strat=,1.000000, 
t=,90000, id=,B03, PRDE,actvstrat=,-0.079588, actvprof=,0.009723, id=,B04, PRDE,actvstrat=,-0.725226, actvprof=,0.011390, id=,B05, PRDE,actvstrat=,0.432163, actvprof=,0.333366, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.278458, id=,B09, PRDE,actvstrat=,-0.913453, actvprof=,2.369397, id=,S00, PRDE,actvstrat=,-0.554311, actvprof=,2.886670, id=,S01, PRDE,actvstrat=,0.178297, actvprof=,3.650077, id=,S03, PRDE,actvstrat=,0.487645, actvprof=,1.687108, id=,S05, PRDE,actvstrat=,-0.861432, actvprof=,0.005000, id=,S06, PRDE,actvstrat=,-0.863416, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.369397, best_B_strat=,-0.913453, best_S_id=,S01, best_S_prof=,3.650077, best_S_strat=,0.178297, 
