B00, 0
B01, 0
B02, 19
B02, Trade, 283884.750, 77, S00, B02, 1
B02, Trade, 284007.300, 77, B02, S01, 1
B02, Trade, 284038.850, 77, B02, S00, 1
B02, Trade, 284117.950, 77, B02, S01, 1
B02, Trade, 284198.500, 77, B02, S02, 1
B02, Trade, 284208.700, 77, B02, S00, 1
B02, Trade, 284225.700, 77, S00, B02, 1
B02, Trade, 284229.300, 77, S01, B02, 1
B02, Trade, 585198.500, 72, S00, B02, 1
B02, Trade, 908715.400, 77, B02, S00, 1
B02, Trade, 1206029.351, 77, B02, S00, 1
B02, Trade, 1698106.351, 75, B02, S00, 1
B02, Trade, 2591756.850, 76, S00, B02, 1
B02, Trade, 2673138.249, 74, B02, S00, 1
B02, Trade, 3655108.146, 76, S01, B02, 1
B02, Trade, 3717739.395, 76, S01, B02, 1
B02, Trade, 3915953.895, 77, B02, S02, 1
B02, Trade, 4174091.194, 77, B02, S01, 1
B02, Trade, 4174450.644, 77, B02, S02, 1
B03, 100
B03, Trade, 4132135.394, 85, B03, S00, 1
B03, Trade, 4133003.844, 84, S01, B03, 1
B03, Trade, 4133243.544, 85, B03, S01, 1
B03, Trade, 4134122.744, 84, B03, S01, 1
B03, Trade, 4135160.944, 84, S01, B03, 1
B03, Trade, 4135164.494, 76, S01, B03, 1
B03, Trade, 4135324.644, 85, S02, B03, 1
B03, Trade, 4135787.494, 85, B03, S00, 1
B03, Trade, 4136166.394, 85, B03, S00, 1
B03, Trade, 4137426.144, 85, B03, S02, 1
B03, Trade, 4137428.094, 84, S01, B03, 1
B03, Trade, 4137565.194, 85, B03, S00, 1
B03, Trade, 4137698.344, 85, B03, S00, 1
B03, Trade, 4138428.894, 76, S01, B03, 1
B03, Trade, 4138432.744, 82, B03, S00, 1
B03, Trade, 4138659.294, 85, B03, S01, 1
B03, Trade, 4138939.544, 85, B03, S01, 1
B03, Trade, 4138955.594, 84, B03, S01, 1
B03, Trade, 4139283.194, 85, B03, S00, 1
B03, Trade, 4140001.094, 85, B03, S00, 1
B03, Trade, 4142532.144, 84, S00, B03, 1
B03, Trade, 4142535.794, 84, B03, S02, 1
B03, Trade, 4142856.044, 84, B03, S01, 1
B03, Trade, 4144177.844, 85, S00, B03, 1
B03, Trade, 4144840.694, 83, S00, B03, 1
B03, Trade, 4144881.794, 85, B03, S00, 1
B03, Trade, 4145359.094, 85, S01, B03, 1
B03, Trade, 4146340.944, 85, B03, S01, 1
B03, Trade, 4152052.994, 84, S00, B03, 1
B03, Trade, 4160031.694, 85, S00, B03, 1
B03, Trade, 4161836.544, 85, S01, B03, 1
B03, Trade, 4164505.894, 85, B03, S01, 1
B03, Trade, 4166555.344, 85, B03, S00, 1
B03, Trade, 4166684.494, 81, S00, B03, 1
B03, Trade, 4166685.444, 84, B03, S02, 1
B03, Trade, 4174090.644, 79, S00, B03, 1
B03, Trade, 4174099.094, 84, B03, S00, 1
B03, Trade, 4174449.644, 80, S01, B03, 1
B03, Trade, 4177677.594, 84, S00, B03, 1
B03, Trade, 4181376.694, 85, B03, S00, 1
B03, Trade, 4194870.944, 84, B03, S02, 1
B03, Trade, 4194873.894, 84, B03, S02, 1
B03, Trade, 4196602.244, 85, S02, B03, 1
B03, Trade, 4196974.194, 85, B03, S00, 1
