t=,39600, id=,B01, PRDE,actvstrat=,0.278214, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.236540, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.162475, actvprof=,0.127504, id=,B05, PRDE,actvstrat=,0.618009, actvprof=,1.882552, id=,B06, PRDE,actvstrat=,-0.884751, actvprof=,0.841134, id=,S02, PRDE,actvstrat=,0.896587, actvprof=,1.813384, id=,S04, PRDE,actvstrat=,0.593959, actvprof=,0.021667, id=,S05, PRDE,actvstrat=,0.202200, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.319498, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.459701, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,1.882552, best_B_strat=,0.618009, best_S_id=,S02, best_S_prof=,1.813384, best_S_strat=,0.896587, 
t=,43200, id=,B01, PRDE,actvstrat=,0.278214, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.236540, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.162475, actvprof=,0.127919, id=,B05, PRDE,actvstrat=,0.618009, actvprof=,1.836844, id=,B06, PRDE,actvstrat=,-0.884751, actvprof=,0.695848, id=,S02, PRDE,actvstrat=,0.896587, actvprof=,1.903512, id=,S04, PRDE,actvstrat=,0.593959, actvprof=,0.021528, id=,S05, PRDE,actvstrat=,0.202200, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.319498, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.459701, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,1.836844, best_B_strat=,0.618009, best_S_id=,S02, best_S_prof=,1.903512, best_S_strat=,0.896587, 
t=,46800, id=,B01, PRDE,actvstrat=,0.472453, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.301376, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.899327, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.817385, actvprof=,0.201117, id=,B06, PRDE,actvstrat=,-0.207591, actvprof=,0.365566, id=,S02, PRDE,actvstrat=,-0.642521, actvprof=,0.280286, id=,S04, PRDE,actvstrat=,-0.472652, actvprof=,0.012223, id=,S05, PRDE,actvstrat=,0.202200, actvprof=,0.003611, id=,S08, PRDE,actvstrat=,-0.518914, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.156818, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.365566, best_B_strat=,-0.207591, best_S_id=,S02, best_S_prof=,0.280286, best_S_strat=,-0.642521, 
t=,50400, id=,B01, PRDE,actvstrat=,0.472453, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.301376, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.899327, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.817385, actvprof=,0.234866, id=,B06, PRDE,actvstrat=,-0.207591, actvprof=,0.365702, id=,S02, PRDE,actvstrat=,-0.642521, actvprof=,0.319034, id=,S04, PRDE,actvstrat=,-0.472652, actvprof=,0.012917, id=,S05, PRDE,actvstrat=,0.202200, actvprof=,0.005000, id=,S08, PRDE,actvstrat=,-0.518914, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.156818, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.365702, best_B_strat=,-0.207591, best_S_id=,S02, best_S_prof=,0.319034, best_S_strat=,-0.642521, 
t=,54000, id=,B01, PRDE,actvstrat=,0.936333, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.497152, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.043686, actvprof=,0.003611, id=,B05, PRDE,actvstrat=,0.618009, actvprof=,0.406961, id=,B06, PRDE,actvstrat=,-0.561626, actvprof=,0.508632, id=,S02, PRDE,actvstrat=,-0.735645, actvprof=,0.201953, id=,S04, PRDE,actvstrat=,-0.498099, actvprof=,0.006945, id=,S05, PRDE,actvstrat=,0.644303, actvprof=,0.003611, id=,S08, PRDE,actvstrat=,-0.518914, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.406203, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.508632, best_B_strat=,-0.561626, best_S_id=,S02, best_S_prof=,0.201953, best_S_strat=,-0.735645, 
t=,57600, id=,B01, PRDE,actvstrat=,0.936333, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.497152, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.043686, actvprof=,0.001944, id=,B05, PRDE,actvstrat=,0.618009, actvprof=,0.381536, id=,B06, PRDE,actvstrat=,-0.561626, actvprof=,0.469454, id=,S02, PRDE,actvstrat=,-0.735645, actvprof=,0.172365, id=,S04, PRDE,actvstrat=,-0.498099, actvprof=,0.006389, id=,S05, PRDE,actvstrat=,0.644303, actvprof=,0.003056, id=,S08, PRDE,actvstrat=,-0.518914, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.406203, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.469454, best_B_strat=,-0.561626, best_S_id=,S02, best_S_prof=,0.172365, best_S_strat=,-0.735645, 
t=,61200, id=,B01, PRDE,actvstrat=,0.936333, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.622653, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.043686, actvprof=,0.048613, id=,B05, PRDE,actvstrat=,0.320208, actvprof=,0.680306, id=,B06, PRDE,actvstrat=,-0.884751, actvprof=,0.258900, id=,S02, PRDE,actvstrat=,0.146666, actvprof=,0.806422, id=,S04, PRDE,actvstrat=,-0.453705, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.247614, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.343638, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.459701, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,0.680306, best_B_strat=,0.320208, best_S_id=,S02, best_S_prof=,0.806422, best_S_strat=,0.146666, 
t=,64800, id=,B01, PRDE,actvstrat=,0.936333, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.622653, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.043686, actvprof=,0.067501, id=,B05, PRDE,actvstrat=,0.320208, actvprof=,0.779877, id=,B06, PRDE,actvstrat=,-0.884751, actvprof=,0.274589, id=,S02, PRDE,actvstrat=,0.146666, actvprof=,0.848212, id=,S04, PRDE,actvstrat=,-0.453705, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.247614, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.343638, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.459701, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,0.779877, best_B_strat=,0.320208, best_S_id=,S02, best_S_prof=,0.848212, best_S_strat=,0.146666, 
t=,68400, id=,B01, PRDE,actvstrat=,-0.560628, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.490932, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.043686, actvprof=,0.035001, id=,B05, PRDE,actvstrat=,0.618009, actvprof=,0.650027, id=,B06, PRDE,actvstrat=,0.339399, actvprof=,1.665347, id=,S02, PRDE,actvstrat=,0.896587, actvprof=,3.249580, id=,S04, PRDE,actvstrat=,-0.145995, actvprof=,0.014723, id=,S05, PRDE,actvstrat=,0.644303, actvprof=,0.017223, id=,S08, PRDE,actvstrat=,0.949235, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.189576, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.665347, best_B_strat=,0.339399, best_S_id=,S02, best_S_prof=,3.249580, best_S_strat=,0.896587, 
t=,72000, id=,B01, PRDE,actvstrat=,-0.560628, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.490932, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.043686, actvprof=,0.032084, id=,B05, PRDE,actvstrat=,0.618009, actvprof=,0.631532, id=,B06, PRDE,actvstrat=,0.339399, actvprof=,1.595983, id=,S02, PRDE,actvstrat=,0.896587, actvprof=,3.265578, id=,S04, PRDE,actvstrat=,-0.145995, actvprof=,0.014167, id=,S05, PRDE,actvstrat=,0.644303, actvprof=,0.010972, id=,S08, PRDE,actvstrat=,0.949235, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.189576, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.595983, best_B_strat=,0.339399, best_S_id=,S02, best_S_prof=,3.265578, best_S_strat=,0.896587, 
