t=,39600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.551420, id=,B07, PRDE,actvstrat=,-0.215430, actvprof=,1.579532, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.016668, id=,S00, PRDE,actvstrat=,-0.555075, actvprof=,1.764542, id=,S05, PRDE,actvstrat=,0.368721, actvprof=,0.006389, id=,S07, PRDE,actvstrat=,0.517921, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.933579, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.016668, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,1.764542, best_S_strat=,-0.555075, 
t=,43200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.547932, id=,B07, PRDE,actvstrat=,-0.215430, actvprof=,1.519764, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.978611, id=,S00, PRDE,actvstrat=,-0.555075, actvprof=,1.748660, id=,S05, PRDE,actvstrat=,0.368721, actvprof=,0.008611, id=,S07, PRDE,actvstrat=,0.517921, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.933579, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.978611, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,1.748660, best_S_strat=,-0.555075, 
t=,46800, id=,B00, PRDE,actvstrat=,-0.606287, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.960331, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.238198, actvprof=,1.108395, id=,B07, PRDE,actvstrat=,0.465875, actvprof=,4.603589, id=,B08, PRDE,actvstrat=,-0.149307, actvprof=,5.100283, id=,S00, PRDE,actvstrat=,0.906024, actvprof=,5.490583, id=,S05, PRDE,actvstrat=,0.467510, actvprof=,0.001945, id=,S07, PRDE,actvstrat=,0.602686, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.623739, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.603752, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.100283, best_B_strat=,-0.149307, best_S_id=,S00, best_S_prof=,5.490583, best_S_strat=,0.906024, 
t=,50400, id=,B00, PRDE,actvstrat=,-0.606287, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.960331, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.238198, actvprof=,1.121976, id=,B07, PRDE,actvstrat=,0.465875, actvprof=,4.546654, id=,B08, PRDE,actvstrat=,-0.149307, actvprof=,5.064307, id=,S00, PRDE,actvstrat=,0.906024, actvprof=,5.545987, id=,S05, PRDE,actvstrat=,0.467510, actvprof=,0.009584, id=,S07, PRDE,actvstrat=,0.602686, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.623739, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.603752, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.064307, best_B_strat=,-0.149307, best_S_id=,S00, best_S_prof=,5.545987, best_S_strat=,0.906024, 
t=,54000, id=,B00, PRDE,actvstrat=,0.468025, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.828102, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.887994, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.577810, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,7.129841, id=,S05, PRDE,actvstrat=,0.537155, actvprof=,0.039447, id=,S07, PRDE,actvstrat=,0.651177, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.393787, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.577810, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,7.129841, best_S_strat=,1.000000, 
t=,57600, id=,B00, PRDE,actvstrat=,0.468025, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.884052, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.985527, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.606684, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,7.045890, id=,S05, PRDE,actvstrat=,0.537155, actvprof=,0.047224, id=,S07, PRDE,actvstrat=,0.651177, actvprof=,0.000972, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.393787, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.606684, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,7.045890, best_S_strat=,1.000000, 
t=,61200, id=,B00, PRDE,actvstrat=,0.410502, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.846406, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.998943, actvprof=,0.543641, id=,B07, PRDE,actvstrat=,0.163966, actvprof=,2.316240, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.358353, id=,S00, PRDE,actvstrat=,-0.239026, actvprof=,1.993444, id=,S05, PRDE,actvstrat=,0.873862, actvprof=,0.079727, id=,S07, PRDE,actvstrat=,0.731281, actvprof=,0.002222, id=,S08, PRDE,actvstrat=,-0.973220, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.370380, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.358353, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,1.993444, best_S_strat=,-0.239026, 
t=,64800, id=,B00, PRDE,actvstrat=,0.410502, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.846406, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.998943, actvprof=,0.509042, id=,B07, PRDE,actvstrat=,0.163966, actvprof=,2.372427, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.309592, id=,S00, PRDE,actvstrat=,-0.239026, actvprof=,2.063530, id=,S05, PRDE,actvstrat=,0.873862, actvprof=,0.070974, id=,S07, PRDE,actvstrat=,0.731281, actvprof=,0.002917, id=,S08, PRDE,actvstrat=,-0.973220, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.370380, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.309592, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,2.063530, best_S_strat=,-0.239026, 
t=,68400, id=,B00, PRDE,actvstrat=,0.525549, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.983993, actvprof=,1.324518, id=,B07, PRDE,actvstrat=,0.569761, actvprof=,3.976332, id=,B08, PRDE,actvstrat=,-0.354416, actvprof=,3.688538, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.371743, id=,S05, PRDE,actvstrat=,0.689917, actvprof=,0.018057, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.456264, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.976332, best_B_strat=,0.569761, best_S_id=,S00, best_S_prof=,6.371743, best_S_strat=,1.000000, 
t=,72000, id=,B00, PRDE,actvstrat=,0.525549, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.983993, actvprof=,1.231701, id=,B07, PRDE,actvstrat=,0.569761, actvprof=,3.923859, id=,B08, PRDE,actvstrat=,-0.354416, actvprof=,3.648712, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.422540, id=,S05, PRDE,actvstrat=,0.689917, actvprof=,0.015278, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000556, id=,S08, PRDE,actvstrat=,0.456264, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.923859, best_B_strat=,0.569761, best_S_id=,S00, best_S_prof=,6.422540, best_S_strat=,1.000000, 
t=,75600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.441425, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.949803, actvprof=,1.246180, id=,B07, PRDE,actvstrat=,0.718915, actvprof=,4.200233, id=,B08, PRDE,actvstrat=,-0.171722, actvprof=,3.856603, id=,S00, PRDE,actvstrat=,0.908389, actvprof=,6.420912, id=,S05, PRDE,actvstrat=,0.873862, actvprof=,0.052781, id=,S07, PRDE,actvstrat=,0.651177, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.354728, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.460343, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.200233, best_B_strat=,0.718915, best_S_id=,S00, best_S_prof=,6.420912, best_S_strat=,0.908389, 
t=,79200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.441425, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.949803, actvprof=,1.255313, id=,B07, PRDE,actvstrat=,0.718915, actvprof=,4.238729, id=,B08, PRDE,actvstrat=,-0.171722, actvprof=,3.945387, id=,S00, PRDE,actvstrat=,0.908389, actvprof=,6.345315, id=,S05, PRDE,actvstrat=,0.873862, actvprof=,0.037640, id=,S07, PRDE,actvstrat=,0.651177, actvprof=,0.000417, id=,S08, PRDE,actvstrat=,-0.354728, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.460343, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.238729, best_B_strat=,0.718915, best_S_id=,S00, best_S_prof=,6.345315, best_S_strat=,0.908389, 
t=,82800, id=,B00, PRDE,actvstrat=,0.416339, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.743059, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,1.618168, id=,B07, PRDE,actvstrat=,0.460276, actvprof=,4.234739, id=,B08, PRDE,actvstrat=,-0.727587, actvprof=,3.317730, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.702618, id=,S05, PRDE,actvstrat=,0.176551, actvprof=,0.002500, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.905642, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.208963, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.234739, best_B_strat=,0.460276, best_S_id=,S00, best_S_prof=,5.702618, best_S_strat=,-1.000000, 
