t=,39600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.175058, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.652042, actvprof=,0.008334, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,2.925718, id=,B08, PRDE,actvstrat=,0.019897, actvprof=,3.572698, id=,S00, PRDE,actvstrat=,-0.738688, actvprof=,3.786877, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.332130, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.648147, id=,S04, PRDE,actvstrat=,0.632650, actvprof=,0.674760, id=,S05, PRDE,actvstrat=,0.494966, actvprof=,0.161120, best_B_id=,B08, best_B_prof=,3.572698, best_B_strat=,0.019897, best_S_id=,S00, best_S_prof=,3.786877, best_S_strat=,-0.738688, 
t=,43200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.175058, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.652042, actvprof=,0.007084, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,2.952165, id=,B08, PRDE,actvstrat=,0.019897, actvprof=,3.460374, id=,S00, PRDE,actvstrat=,-0.738688, actvprof=,3.854690, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.308009, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.686019, id=,S04, PRDE,actvstrat=,0.632650, actvprof=,0.617239, id=,S05, PRDE,actvstrat=,0.494966, actvprof=,0.161949, best_B_id=,B08, best_B_prof=,3.460374, best_B_strat=,0.019897, best_S_id=,S00, best_S_prof=,3.854690, best_S_strat=,-0.738688, 
t=,46800, id=,B00, PRDE,actvstrat=,0.478559, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.399270, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.760892, actvprof=,0.016945, id=,B07, PRDE,actvstrat=,0.930487, actvprof=,2.211512, id=,B08, PRDE,actvstrat=,0.333582, actvprof=,3.064337, id=,S00, PRDE,actvstrat=,-0.104760, actvprof=,6.000056, id=,S02, PRDE,actvstrat=,0.616450, actvprof=,4.126063, id=,S03, PRDE,actvstrat=,0.906493, actvprof=,2.786266, id=,S04, PRDE,actvstrat=,-0.311193, actvprof=,0.448914, id=,S05, PRDE,actvstrat=,-0.047476, actvprof=,0.132230, best_B_id=,B08, best_B_prof=,3.064337, best_B_strat=,0.333582, best_S_id=,S00, best_S_prof=,6.000056, best_S_strat=,-0.104760, 
t=,50400, id=,B00, PRDE,actvstrat=,0.358795, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.702547, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.783004, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.618350, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.994407, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.207455, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.358795, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.994407, 
t=,54000, id=,B00, PRDE,actvstrat=,0.358795, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.702547, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000556, id=,B07, PRDE,actvstrat=,0.783004, actvprof=,4.815612, id=,B08, PRDE,actvstrat=,-0.618350, actvprof=,4.048337, id=,S00, PRDE,actvstrat=,0.994407, actvprof=,5.768178, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.316828, id=,S03, PRDE,actvstrat=,0.207455, actvprof=,0.398361, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.080283, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.018057, best_B_id=,B07, best_B_prof=,4.815612, best_B_strat=,0.783004, best_S_id=,S00, best_S_prof=,5.768178, best_S_strat=,0.994407, 
t=,57600, id=,B00, PRDE,actvstrat=,0.358795, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.702547, actvprof=,0.000972, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000556, id=,B07, PRDE,actvstrat=,0.783004, actvprof=,4.833918, id=,B08, PRDE,actvstrat=,-0.618350, actvprof=,3.940137, id=,S00, PRDE,actvstrat=,0.994407, actvprof=,5.813257, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.302024, id=,S03, PRDE,actvstrat=,0.207455, actvprof=,0.402792, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.105559, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.017084, best_B_id=,B07, best_B_prof=,4.833918, best_B_strat=,0.783004, best_S_id=,S00, best_S_prof=,5.813257, best_S_strat=,0.994407, 
t=,61200, id=,B00, PRDE,actvstrat=,-0.962716, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.315155, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.726100, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.382569, actvprof=,1.876771, id=,B08, PRDE,actvstrat=,0.019897, actvprof=,2.769043, id=,S00, PRDE,actvstrat=,0.852710, actvprof=,7.667370, id=,S02, PRDE,actvstrat=,-0.968446, actvprof=,1.471748, id=,S03, PRDE,actvstrat=,-0.782938, actvprof=,0.640313, id=,S04, PRDE,actvstrat=,0.553200, actvprof=,0.858381, id=,S05, PRDE,actvstrat=,-0.610173, actvprof=,0.026946, best_B_id=,B08, best_B_prof=,2.769043, best_B_strat=,0.019897, best_S_id=,S00, best_S_prof=,7.667370, best_S_strat=,0.852710, 
t=,64800, id=,B00, PRDE,actvstrat=,-0.962716, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.315155, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.726100, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.382569, actvprof=,1.850898, id=,B08, PRDE,actvstrat=,0.019897, actvprof=,2.814820, id=,S00, PRDE,actvstrat=,0.852710, actvprof=,7.667350, id=,S02, PRDE,actvstrat=,-0.968446, actvprof=,1.496719, id=,S03, PRDE,actvstrat=,-0.782938, actvprof=,0.654328, id=,S04, PRDE,actvstrat=,0.553200, actvprof=,0.835862, id=,S05, PRDE,actvstrat=,-0.610173, actvprof=,0.019584, best_B_id=,B08, best_B_prof=,2.814820, best_B_strat=,0.019897, best_S_id=,S00, best_S_prof=,7.667350, best_S_strat=,0.852710, 
t=,68400, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.129438, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.188921, id=,B08, PRDE,actvstrat=,0.133408, actvprof=,3.411998, id=,S00, PRDE,actvstrat=,0.104494, actvprof=,6.304780, id=,S02, PRDE,actvstrat=,-0.174150, actvprof=,2.362730, id=,S03, PRDE,actvstrat=,0.517739, actvprof=,2.236884, id=,S04, PRDE,actvstrat=,-0.155847, actvprof=,0.234467, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.159182, best_B_id=,B08, best_B_prof=,3.411998, best_B_strat=,0.133408, best_S_id=,S00, best_S_prof=,6.304780, best_S_strat=,0.104494, 
t=,72000, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.129438, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.169460, id=,B08, PRDE,actvstrat=,0.133408, actvprof=,3.372247, id=,S00, PRDE,actvstrat=,0.104494, actvprof=,6.245165, id=,S02, PRDE,actvstrat=,-0.174150, actvprof=,2.465953, id=,S03, PRDE,actvstrat=,0.517739, actvprof=,2.202885, id=,S04, PRDE,actvstrat=,-0.155847, actvprof=,0.237512, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.172925, best_B_id=,B08, best_B_prof=,3.372247, best_B_strat=,0.133408, best_S_id=,S00, best_S_prof=,6.245165, best_S_strat=,0.104494, 
t=,75600, id=,B00, PRDE,actvstrat=,0.835064, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.170821, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.652042, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.783004, actvprof=,2.621644, id=,B08, PRDE,actvstrat=,0.094543, actvprof=,2.869168, id=,S00, PRDE,actvstrat=,-0.667185, actvprof=,4.791021, id=,S02, PRDE,actvstrat=,-0.445947, actvprof=,2.309669, id=,S03, PRDE,actvstrat=,0.339326, actvprof=,1.979359, id=,S04, PRDE,actvstrat=,0.603856, actvprof=,0.994819, id=,S05, PRDE,actvstrat=,0.494966, actvprof=,0.173350, best_B_id=,B08, best_B_prof=,2.869168, best_B_strat=,0.094543, best_S_id=,S00, best_S_prof=,4.791021, best_S_strat=,-0.667185, 
t=,79200, id=,B00, PRDE,actvstrat=,0.835064, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.170821, actvprof=,0.000556, id=,B03, PRDE,actvstrat=,-0.652042, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.783004, actvprof=,2.563198, id=,B08, PRDE,actvstrat=,0.094543, actvprof=,2.939886, id=,S00, PRDE,actvstrat=,-0.667185, actvprof=,4.767209, id=,S02, PRDE,actvstrat=,-0.445947, actvprof=,2.307489, id=,S03, PRDE,actvstrat=,0.339326, actvprof=,1.995111, id=,S04, PRDE,actvstrat=,0.603856, actvprof=,0.938524, id=,S05, PRDE,actvstrat=,0.494966, actvprof=,0.160703, best_B_id=,B08, best_B_prof=,2.939886, best_B_strat=,0.094543, best_S_id=,S00, best_S_prof=,4.767209, best_S_strat=,-0.667185, 
t=,82800, id=,B00, PRDE,actvstrat=,0.443873, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.967982, actvprof=,0.013613, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.479324, id=,B08, PRDE,actvstrat=,0.374809, actvprof=,3.698796, id=,S00, PRDE,actvstrat=,-0.261002, actvprof=,4.943674, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,4.148574, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.428915, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.937617, id=,S05, PRDE,actvstrat=,-0.342386, actvprof=,0.014168, best_B_id=,B08, best_B_prof=,3.698796, best_B_strat=,0.374809, best_S_id=,S00, best_S_prof=,4.943674, best_S_strat=,-0.261002, 
t=,86400, id=,B00, PRDE,actvstrat=,0.443873, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.967982, actvprof=,0.015695, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.515751, id=,B08, PRDE,actvstrat=,0.374809, actvprof=,3.793822, id=,S00, PRDE,actvstrat=,-0.261002, actvprof=,5.033474, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,4.113284, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.443608, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.918662, id=,S05, PRDE,actvstrat=,-0.342386, actvprof=,0.012778, best_B_id=,B08, best_B_prof=,3.793822, best_B_strat=,0.374809, best_S_id=,S00, best_S_prof=,5.033474, best_S_strat=,-0.261002, 
t=,90000, id=,B00, PRDE,actvstrat=,-0.586354, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.902389, actvprof=,0.005001, id=,B03, PRDE,actvstrat=,0.318612, actvprof=,0.023892, id=,B07, PRDE,actvstrat=,0.037358, actvprof=,1.943048, id=,B08, PRDE,actvstrat=,-0.202720, actvprof=,2.810668, id=,S00, PRDE,actvstrat=,0.121183, actvprof=,5.678844, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.672455, id=,S03, PRDE,actvstrat=,0.517739, actvprof=,1.728573, id=,S04, PRDE,actvstrat=,0.157005, actvprof=,0.306987, id=,S05, PRDE,actvstrat=,0.247326, actvprof=,0.054730, best_B_id=,B08, best_B_prof=,2.810668, best_B_strat=,-0.202720, best_S_id=,S00, best_S_prof=,5.678844, best_S_strat=,0.121183, 
t=,93600, id=,B00, PRDE,actvstrat=,-0.586354, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.902389, actvprof=,0.007639, id=,B03, PRDE,actvstrat=,0.318612, actvprof=,0.018474, id=,B07, PRDE,actvstrat=,0.037358, actvprof=,1.936662, id=,B08, PRDE,actvstrat=,-0.202720, actvprof=,2.807695, id=,S00, PRDE,actvstrat=,0.121183, actvprof=,5.686784, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.643725, id=,S03, PRDE,actvstrat=,0.517739, actvprof=,1.735954, id=,S04, PRDE,actvstrat=,0.157005, actvprof=,0.340579, id=,S05, PRDE,actvstrat=,0.247326, actvprof=,0.066532, best_B_id=,B08, best_B_prof=,2.807695, best_B_strat=,-0.202720, best_S_id=,S00, best_S_prof=,5.686784, best_S_strat=,0.121183, 
