t=,39600, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.192233, actvprof=,0.544467, id=,B05, PRDE,actvstrat=,-0.156865, actvprof=,1.196439, id=,B06, PRDE,actvstrat=,-0.405255, actvprof=,2.297318, id=,B07, PRDE,actvstrat=,-0.716403, actvprof=,3.564315, id=,S05, PRDE,actvstrat=,0.398921, actvprof=,0.009723, id=,S06, PRDE,actvstrat=,-0.105524, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.237561, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.199970, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.013376, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.564315, best_B_strat=,-0.716403, best_S_id=,S05, best_S_prof=,0.009723, best_S_strat=,0.398921, 
t=,43200, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.192233, actvprof=,0.521400, id=,B05, PRDE,actvstrat=,-0.156865, actvprof=,1.194886, id=,B06, PRDE,actvstrat=,-0.405255, actvprof=,2.258936, id=,B07, PRDE,actvstrat=,-0.716403, actvprof=,3.611742, id=,S05, PRDE,actvstrat=,0.398921, actvprof=,0.006389, id=,S06, PRDE,actvstrat=,-0.105524, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.237561, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.199970, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.013376, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.611742, best_B_strat=,-0.716403, best_S_id=,S05, best_S_prof=,0.006389, best_S_strat=,0.398921, 
t=,46800, id=,B01, PRDE,actvstrat=,0.917077, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.050649, actvprof=,0.344459, id=,B05, PRDE,actvstrat=,0.456959, actvprof=,2.202592, id=,B06, PRDE,actvstrat=,-0.970478, actvprof=,0.393628, id=,B07, PRDE,actvstrat=,-0.399922, actvprof=,4.119894, id=,S05, PRDE,actvstrat=,0.398921, actvprof=,0.008611, id=,S06, PRDE,actvstrat=,-0.651090, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.922422, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.199970, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.730525, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.119894, best_B_strat=,-0.399922, best_S_id=,S05, best_S_prof=,0.008611, best_S_strat=,0.398921, 
t=,50400, id=,B01, PRDE,actvstrat=,0.917077, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.050649, actvprof=,0.372786, id=,B05, PRDE,actvstrat=,0.456959, actvprof=,2.301298, id=,B06, PRDE,actvstrat=,-0.970478, actvprof=,0.384452, id=,B07, PRDE,actvstrat=,-0.399922, actvprof=,4.123558, id=,S05, PRDE,actvstrat=,0.398921, actvprof=,0.004722, id=,S06, PRDE,actvstrat=,-0.651090, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.922422, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.199970, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.730525, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.123558, best_B_strat=,-0.399922, best_S_id=,S05, best_S_prof=,0.004722, best_S_strat=,0.398921, 
t=,54000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.249240, actvprof=,0.138617, id=,B05, PRDE,actvstrat=,-0.773163, actvprof=,0.565579, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,4.337681, id=,B07, PRDE,actvstrat=,-0.685692, actvprof=,3.583205, id=,S05, PRDE,actvstrat=,0.248182, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.184646, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.171889, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.115614, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,4.337681, best_B_strat=,-1.000000, best_S_id=,S05, best_S_prof=,0.000000, best_S_strat=,0.248182, 
t=,57600, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.249240, actvprof=,0.144586, id=,B05, PRDE,actvstrat=,-0.773163, actvprof=,0.558206, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,4.270922, id=,B07, PRDE,actvstrat=,-0.685692, actvprof=,3.538268, id=,S05, PRDE,actvstrat=,0.248182, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.184646, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.171889, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.115614, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,4.270922, best_B_strat=,-1.000000, best_S_id=,S05, best_S_prof=,0.000000, best_S_strat=,0.248182, 
t=,61200, id=,B01, PRDE,actvstrat=,-0.022943, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.064102, actvprof=,0.276397, id=,B05, PRDE,actvstrat=,0.540992, actvprof=,2.142837, id=,B06, PRDE,actvstrat=,0.004410, actvprof=,2.986472, id=,B07, PRDE,actvstrat=,-0.846001, actvprof=,2.506736, id=,S05, PRDE,actvstrat=,0.112003, actvprof=,0.003056, id=,S06, PRDE,actvstrat=,-0.022389, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.342760, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.115614, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.986472, best_B_strat=,0.004410, best_S_id=,S05, best_S_prof=,0.003056, best_S_strat=,0.112003, 
t=,64800, id=,B01, PRDE,actvstrat=,-0.022943, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.064102, actvprof=,0.263755, id=,B05, PRDE,actvstrat=,0.540992, actvprof=,2.175740, id=,B06, PRDE,actvstrat=,0.004410, actvprof=,3.048119, id=,B07, PRDE,actvstrat=,-0.846001, actvprof=,2.468940, id=,S05, PRDE,actvstrat=,0.112003, actvprof=,0.001528, id=,S06, PRDE,actvstrat=,-0.022389, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.342760, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.115614, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.048119, best_B_strat=,0.004410, best_S_id=,S05, best_S_prof=,0.001528, best_S_strat=,0.112003, 
t=,68400, id=,B01, PRDE,actvstrat=,-0.313359, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.574327, actvprof=,0.236954, id=,B05, PRDE,actvstrat=,0.634916, actvprof=,1.516730, id=,B06, PRDE,actvstrat=,-0.272127, actvprof=,1.492562, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,5.106879, id=,S05, PRDE,actvstrat=,-0.507563, actvprof=,0.001667, id=,S06, PRDE,actvstrat=,0.270642, actvprof=,0.008056, id=,S07, PRDE,actvstrat=,-0.165440, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.687686, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.262104, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,5.106879, best_B_strat=,1.000000, best_S_id=,S06, best_S_prof=,0.008056, best_S_strat=,0.270642, 
t=,72000, id=,B01, PRDE,actvstrat=,-0.313359, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.574327, actvprof=,0.247088, id=,B05, PRDE,actvstrat=,0.634916, actvprof=,1.555032, id=,B06, PRDE,actvstrat=,-0.272127, actvprof=,1.532532, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,5.207608, id=,S05, PRDE,actvstrat=,-0.507563, actvprof=,0.004028, id=,S06, PRDE,actvstrat=,0.270642, actvprof=,0.006389, id=,S07, PRDE,actvstrat=,-0.165440, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.687686, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.262104, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,5.207608, best_B_strat=,1.000000, best_S_id=,S06, best_S_prof=,0.006389, best_S_strat=,0.270642, 
