t=,39600, id=,B01, PRDE,actvstrat=,-0.112218, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.056392, id=,B06, PRDE,actvstrat=,-0.761675, actvprof=,0.693927, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.566087, id=,S02, PRDE,actvstrat=,0.123499, actvprof=,1.516751, id=,S03, PRDE,actvstrat=,0.846932, actvprof=,1.351186, id=,S06, PRDE,actvstrat=,0.872668, actvprof=,0.003889, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.038606, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.566087, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,1.516751, best_S_strat=,0.123499, 
t=,43200, id=,B01, PRDE,actvstrat=,-0.112218, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.056529, id=,B06, PRDE,actvstrat=,-0.761675, actvprof=,0.667657, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.550404, id=,S02, PRDE,actvstrat=,0.123499, actvprof=,1.493514, id=,S03, PRDE,actvstrat=,0.846932, actvprof=,1.358927, id=,S06, PRDE,actvstrat=,0.872668, actvprof=,0.008472, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.038606, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.550404, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,1.493514, best_S_strat=,0.123499, 
t=,46800, id=,B01, PRDE,actvstrat=,0.142683, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.384465, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.370830, actvprof=,0.204178, id=,B06, PRDE,actvstrat=,-0.512643, actvprof=,1.670926, id=,B07, PRDE,actvstrat=,-0.809360, actvprof=,2.112895, id=,S02, PRDE,actvstrat=,-0.301047, actvprof=,0.241402, id=,S03, PRDE,actvstrat=,0.906788, actvprof=,0.666981, id=,S06, PRDE,actvstrat=,0.764511, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.429837, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.244742, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.112895, best_B_strat=,-0.809360, best_S_id=,S03, best_S_prof=,0.666981, best_S_strat=,0.906788, 
t=,50400, id=,B01, PRDE,actvstrat=,0.142683, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.384465, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.370830, actvprof=,0.215423, id=,B06, PRDE,actvstrat=,-0.512643, actvprof=,1.580044, id=,B07, PRDE,actvstrat=,-0.809360, actvprof=,2.139782, id=,S02, PRDE,actvstrat=,-0.301047, actvprof=,0.251396, id=,S03, PRDE,actvstrat=,0.906788, actvprof=,0.658768, id=,S06, PRDE,actvstrat=,0.764511, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.429837, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.244742, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.139782, best_B_strat=,-0.809360, best_S_id=,S03, best_S_prof=,0.658768, best_S_strat=,0.906788, 
t=,54000, id=,B01, PRDE,actvstrat=,-0.349822, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.020001, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.853714, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.467970, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,4.471360, id=,S03, PRDE,actvstrat=,-0.349397, actvprof=,0.430302, id=,S06, PRDE,actvstrat=,-0.722086, actvprof=,0.001667, id=,S08, PRDE,actvstrat=,0.149179, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.574569, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.467970, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,4.471360, best_S_strat=,1.000000, 
t=,57600, id=,B01, PRDE,actvstrat=,-0.349822, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.015834, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.905873, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.467850, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,4.457593, id=,S03, PRDE,actvstrat=,-0.349397, actvprof=,0.424731, id=,S06, PRDE,actvstrat=,-0.722086, actvprof=,0.000833, id=,S08, PRDE,actvstrat=,0.149179, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.574569, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.467850, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,4.457593, best_S_strat=,1.000000, 
t=,61200, id=,B01, PRDE,actvstrat=,0.192106, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.611005, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.851387, actvprof=,0.071948, id=,B06, PRDE,actvstrat=,-0.461993, actvprof=,0.977832, id=,B07, PRDE,actvstrat=,-0.824005, actvprof=,1.490638, id=,S02, PRDE,actvstrat=,-0.619719, actvprof=,0.448080, id=,S03, PRDE,actvstrat=,0.173206, actvprof=,0.377521, id=,S06, PRDE,actvstrat=,-0.905322, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.314245, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.038606, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.490638, best_B_strat=,-0.824005, best_S_id=,S02, best_S_prof=,0.448080, best_S_strat=,-0.619719, 
t=,64800, id=,B01, PRDE,actvstrat=,0.192106, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.611005, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.851387, actvprof=,0.068752, id=,B06, PRDE,actvstrat=,-0.461993, actvprof=,1.080586, id=,B07, PRDE,actvstrat=,-0.824005, actvprof=,1.506986, id=,S02, PRDE,actvstrat=,-0.619719, actvprof=,0.417095, id=,S03, PRDE,actvstrat=,0.173206, actvprof=,0.385844, id=,S06, PRDE,actvstrat=,-0.905322, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.314245, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.038606, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.506986, best_B_strat=,-0.824005, best_S_id=,S02, best_S_prof=,0.417095, best_S_strat=,-0.619719, 
t=,68400, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.638813, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.656200, actvprof=,0.157231, id=,B06, PRDE,actvstrat=,0.155630, actvprof=,3.211567, id=,B07, PRDE,actvstrat=,0.607742, actvprof=,5.654203, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,1.778432, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,0.499750, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.166980, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.620974, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,5.654203, best_B_strat=,0.607742, best_S_id=,S02, best_S_prof=,1.778432, best_S_strat=,-1.000000, 
t=,72000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.638813, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.656200, actvprof=,0.137226, id=,B06, PRDE,actvstrat=,0.155630, actvprof=,3.119114, id=,B07, PRDE,actvstrat=,0.607742, actvprof=,5.570155, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,1.805467, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,0.532098, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.166980, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.620974, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,5.570155, best_B_strat=,0.607742, best_S_id=,S02, best_S_prof=,1.805467, best_S_strat=,-1.000000, 
