t=,39600, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.596583, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.198903, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,2.852698, id=,S00, PRDE,actvstrat=,-0.725435, actvprof=,1.229252, id=,S01, PRDE,actvstrat=,0.931559, actvprof=,6.473505, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,3.093548, id=,S05, PRDE,actvstrat=,-0.549286, actvprof=,0.004723, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.852698, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,6.473505, best_S_strat=,0.931559, 
t=,43200, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.596583, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.188897, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,2.765532, id=,S00, PRDE,actvstrat=,-0.725435, actvprof=,1.371724, id=,S01, PRDE,actvstrat=,0.931559, actvprof=,6.473325, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,3.138881, id=,S05, PRDE,actvstrat=,-0.549286, actvprof=,0.003750, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.765532, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,6.473325, best_S_strat=,0.931559, 
t=,46800, id=,B01, PRDE,actvstrat=,-0.381449, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.997037, actvprof=,0.001111, id=,B03, PRDE,actvstrat=,0.023839, actvprof=,0.008056, id=,B05, PRDE,actvstrat=,-0.226575, actvprof=,0.399756, id=,B07, PRDE,actvstrat=,-0.534574, actvprof=,2.459372, id=,S00, PRDE,actvstrat=,0.644200, actvprof=,4.109787, id=,S01, PRDE,actvstrat=,0.931559, actvprof=,4.287302, id=,S03, PRDE,actvstrat=,0.726221, actvprof=,0.436981, id=,S05, PRDE,actvstrat=,-0.330951, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.459372, best_B_strat=,-0.534574, best_S_id=,S01, best_S_prof=,4.287302, best_S_strat=,0.931559, 
t=,50400, id=,B01, PRDE,actvstrat=,-0.381449, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.997037, actvprof=,0.000556, id=,B03, PRDE,actvstrat=,0.023839, actvprof=,0.005139, id=,B05, PRDE,actvstrat=,-0.226575, actvprof=,0.401406, id=,B07, PRDE,actvstrat=,-0.534574, actvprof=,2.490104, id=,S00, PRDE,actvstrat=,0.644200, actvprof=,3.964332, id=,S01, PRDE,actvstrat=,0.931559, actvprof=,4.193925, id=,S03, PRDE,actvstrat=,0.726221, actvprof=,0.430296, id=,S05, PRDE,actvstrat=,-0.330951, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.490104, best_B_strat=,-0.534574, best_S_id=,S01, best_S_prof=,4.193925, best_S_strat=,0.931559, 
t=,54000, id=,B01, PRDE,actvstrat=,0.485995, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.298568, actvprof=,0.002500, id=,B03, PRDE,actvstrat=,0.036462, actvprof=,0.001389, id=,B05, PRDE,actvstrat=,0.024590, actvprof=,0.735329, id=,B07, PRDE,actvstrat=,-0.514206, actvprof=,2.575734, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,5.974026, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.555247, id=,S03, PRDE,actvstrat=,-0.754593, actvprof=,0.018612, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.000278, id=,S07, PRDE,actvstrat=,-0.762208, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.575734, best_B_strat=,-0.514206, best_S_id=,S00, best_S_prof=,5.974026, best_S_strat=,1.000000, 
t=,57600, id=,B01, PRDE,actvstrat=,0.485995, actvprof=,0.001250, id=,B02, PRDE,actvstrat=,-0.298568, actvprof=,0.003333, id=,B03, PRDE,actvstrat=,0.036462, actvprof=,0.008750, id=,B05, PRDE,actvstrat=,0.024590, actvprof=,0.810173, id=,B07, PRDE,actvstrat=,-0.514206, actvprof=,2.626082, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,5.853577, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.502507, id=,S03, PRDE,actvstrat=,-0.754593, actvprof=,0.014862, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.002222, id=,S07, PRDE,actvstrat=,-0.762208, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.626082, best_B_strat=,-0.514206, best_S_id=,S00, best_S_prof=,5.853577, best_S_strat=,1.000000, 
t=,61200, id=,B01, PRDE,actvstrat=,-0.617243, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.736653, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.865580, actvprof=,0.041392, id=,B05, PRDE,actvstrat=,-0.105504, actvprof=,0.382810, id=,B07, PRDE,actvstrat=,0.238006, actvprof=,3.331667, id=,S00, PRDE,actvstrat=,0.786288, actvprof=,5.251827, id=,S01, PRDE,actvstrat=,0.983610, actvprof=,4.660388, id=,S03, PRDE,actvstrat=,0.563608, actvprof=,0.511709, id=,S05, PRDE,actvstrat=,0.701568, actvprof=,0.010001, id=,S07, PRDE,actvstrat=,-0.599696, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.331667, best_B_strat=,0.238006, best_S_id=,S00, best_S_prof=,5.251827, best_S_strat=,0.786288, 
t=,64800, id=,B01, PRDE,actvstrat=,-0.617243, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.736653, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.865580, actvprof=,0.048057, id=,B05, PRDE,actvstrat=,-0.105504, actvprof=,0.379041, id=,B07, PRDE,actvstrat=,0.238006, actvprof=,3.289698, id=,S00, PRDE,actvstrat=,0.786288, actvprof=,5.263933, id=,S01, PRDE,actvstrat=,0.983610, actvprof=,4.775305, id=,S03, PRDE,actvstrat=,0.563608, actvprof=,0.537241, id=,S05, PRDE,actvstrat=,0.701568, actvprof=,0.007500, id=,S07, PRDE,actvstrat=,-0.599696, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.289698, best_B_strat=,0.238006, best_S_id=,S00, best_S_prof=,5.263933, best_S_strat=,0.786288, 
t=,68400, id=,B01, PRDE,actvstrat=,0.348674, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.098543, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.197234, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.907494, actvprof=,0.067783, id=,B07, PRDE,actvstrat=,0.715672, actvprof=,2.551046, id=,S00, PRDE,actvstrat=,-0.389920, actvprof=,1.736811, id=,S01, PRDE,actvstrat=,-0.734159, actvprof=,0.855627, id=,S03, PRDE,actvstrat=,-0.121612, actvprof=,0.302247, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.193627, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.551046, best_B_strat=,0.715672, best_S_id=,S00, best_S_prof=,1.736811, best_S_strat=,-0.389920, 
t=,72000, id=,B01, PRDE,actvstrat=,0.348674, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.098543, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.197234, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.907494, actvprof=,0.059864, id=,B07, PRDE,actvstrat=,0.715672, actvprof=,2.523438, id=,S00, PRDE,actvstrat=,-0.389920, actvprof=,1.773546, id=,S01, PRDE,actvstrat=,-0.734159, actvprof=,0.858230, id=,S03, PRDE,actvstrat=,-0.121612, actvprof=,0.294596, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.217509, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.523438, best_B_strat=,0.715672, best_S_id=,S00, best_S_prof=,1.773546, best_S_strat=,-0.389920, 
