t=,39600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.008595, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.033613, id=,B08, PRDE,actvstrat=,-0.750165, actvprof=,2.979888, id=,B09, PRDE,actvstrat=,-0.020377, actvprof=,5.879771, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.882216, id=,S02, PRDE,actvstrat=,-0.345487, actvprof=,0.323074, id=,S05, PRDE,actvstrat=,0.810319, actvprof=,0.030835, id=,S07, PRDE,actvstrat=,0.285129, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.020720, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.879771, best_B_strat=,-0.020377, best_S_id=,S01, best_S_prof=,4.882216, best_S_strat=,-1.000000, 
t=,43200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.008595, actvprof=,0.000694, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.038612, id=,B08, PRDE,actvstrat=,-0.750165, actvprof=,2.864246, id=,B09, PRDE,actvstrat=,-0.020377, actvprof=,5.813356, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.864580, id=,S02, PRDE,actvstrat=,-0.345487, actvprof=,0.365288, id=,S05, PRDE,actvstrat=,0.810319, actvprof=,0.026667, id=,S07, PRDE,actvstrat=,0.285129, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.020720, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.813356, best_B_strat=,-0.020377, best_S_id=,S01, best_S_prof=,4.864580, best_S_strat=,-1.000000, 
t=,46800, id=,B00, PRDE,actvstrat=,-0.710536, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.744310, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.998015, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.363874, actvprof=,4.087727, id=,B09, PRDE,actvstrat=,-0.351366, actvprof=,4.017168, id=,S01, PRDE,actvstrat=,-0.083802, actvprof=,1.461470, id=,S02, PRDE,actvstrat=,-0.257782, actvprof=,0.449469, id=,S05, PRDE,actvstrat=,0.810319, actvprof=,0.050281, id=,S07, PRDE,actvstrat=,0.714779, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.127716, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.087727, best_B_strat=,0.363874, best_S_id=,S01, best_S_prof=,1.461470, best_S_strat=,-0.083802, 
t=,50400, id=,B00, PRDE,actvstrat=,-0.710536, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.744310, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.998015, actvprof=,0.002500, id=,B08, PRDE,actvstrat=,0.363874, actvprof=,4.171783, id=,B09, PRDE,actvstrat=,-0.351366, actvprof=,4.111642, id=,S01, PRDE,actvstrat=,-0.083802, actvprof=,1.636712, id=,S02, PRDE,actvstrat=,-0.257782, actvprof=,0.522376, id=,S05, PRDE,actvstrat=,0.810319, actvprof=,0.048890, id=,S07, PRDE,actvstrat=,0.714779, actvprof=,0.000417, id=,S08, PRDE,actvstrat=,0.127716, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.171783, best_B_strat=,0.363874, best_S_id=,S01, best_S_prof=,1.636712, best_S_strat=,-0.083802, 
t=,54000, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.269769, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.060279, id=,B08, PRDE,actvstrat=,0.287365, actvprof=,4.618397, id=,B09, PRDE,actvstrat=,0.451404, actvprof=,6.745927, id=,S01, PRDE,actvstrat=,0.289111, actvprof=,2.742538, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.551716, id=,S05, PRDE,actvstrat=,0.765348, actvprof=,0.051390, id=,S07, PRDE,actvstrat=,-0.339166, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.745927, best_B_strat=,0.451404, best_S_id=,S02, best_S_prof=,3.551716, best_S_strat=,-1.000000, 
t=,57600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.269769, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.051390, id=,B08, PRDE,actvstrat=,0.287365, actvprof=,4.479152, id=,B09, PRDE,actvstrat=,0.451404, actvprof=,6.547821, id=,S01, PRDE,actvstrat=,0.289111, actvprof=,2.753549, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.621767, id=,S05, PRDE,actvstrat=,0.765348, actvprof=,0.058196, id=,S07, PRDE,actvstrat=,-0.339166, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.547821, best_B_strat=,0.451404, best_S_id=,S02, best_S_prof=,3.621767, best_S_strat=,-1.000000, 
t=,61200, id=,B00, PRDE,actvstrat=,0.409218, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.261976, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.015820, actvprof=,0.004722, id=,B08, PRDE,actvstrat=,-0.364584, actvprof=,2.305128, id=,B09, PRDE,actvstrat=,0.451404, actvprof=,5.980610, id=,S01, PRDE,actvstrat=,-0.154408, actvprof=,1.030891, id=,S02, PRDE,actvstrat=,0.175967, actvprof=,1.375076, id=,S05, PRDE,actvstrat=,-0.330061, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.083786, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.362508, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.980610, best_B_strat=,0.451404, best_S_id=,S02, best_S_prof=,1.375076, best_S_strat=,0.175967, 
t=,64800, id=,B00, PRDE,actvstrat=,0.409218, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.261976, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.015820, actvprof=,0.005556, id=,B08, PRDE,actvstrat=,-0.364584, actvprof=,2.545904, id=,B09, PRDE,actvstrat=,0.451404, actvprof=,6.085863, id=,S01, PRDE,actvstrat=,-0.154408, actvprof=,0.869330, id=,S02, PRDE,actvstrat=,0.175967, actvprof=,1.360732, id=,S05, PRDE,actvstrat=,-0.330061, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.083786, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.362508, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.085863, best_B_strat=,0.451404, best_S_id=,S02, best_S_prof=,1.360732, best_S_strat=,0.175967, 
t=,68400, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.971215, actvprof=,0.001389, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.005278, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.369743, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.086227, id=,S01, PRDE,actvstrat=,0.010080, actvprof=,1.857325, id=,S02, PRDE,actvstrat=,0.791568, actvprof=,2.804045, id=,S05, PRDE,actvstrat=,0.165072, actvprof=,0.003611, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.342970, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.086227, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,2.804045, best_S_strat=,0.791568, 
t=,72000, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.971215, actvprof=,0.001806, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.009445, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.464180, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.161866, id=,S01, PRDE,actvstrat=,0.010080, actvprof=,1.900053, id=,S02, PRDE,actvstrat=,0.791568, actvprof=,2.699242, id=,S05, PRDE,actvstrat=,0.165072, actvprof=,0.016945, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.002500, id=,S08, PRDE,actvstrat=,0.342970, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.161866, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,2.699242, best_S_strat=,0.791568, 
