t=,39600, id=,B00, PRDE,actvstrat=,0.486562, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.640553, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.730565, actvprof=,0.321411, id=,B06, PRDE,actvstrat=,-0.167554, actvprof=,0.451420, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.260088, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.025349, id=,S01, PRDE,actvstrat=,-0.815397, actvprof=,0.540593, id=,S02, PRDE,actvstrat=,-0.291449, actvprof=,0.574484, id=,S05, PRDE,actvstrat=,0.914256, actvprof=,0.046392, id=,S07, PRDE,actvstrat=,-0.635240, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.260088, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,5.025349, best_S_strat=,-1.000000, 
t=,43200, id=,B00, PRDE,actvstrat=,0.486562, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.640553, actvprof=,0.001250, id=,B05, PRDE,actvstrat=,0.730565, actvprof=,0.308763, id=,B06, PRDE,actvstrat=,-0.167554, actvprof=,0.409600, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.334111, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.112852, id=,S01, PRDE,actvstrat=,-0.815397, actvprof=,0.507382, id=,S02, PRDE,actvstrat=,-0.291449, actvprof=,0.595025, id=,S05, PRDE,actvstrat=,0.914256, actvprof=,0.044446, id=,S07, PRDE,actvstrat=,-0.635240, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.334111, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,5.112852, best_S_strat=,-1.000000, 
t=,46800, id=,B00, PRDE,actvstrat=,-0.844128, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.433618, actvprof=,0.015001, id=,B05, PRDE,actvstrat=,-0.817976, actvprof=,0.020835, id=,B06, PRDE,actvstrat=,-0.113964, actvprof=,0.494493, id=,B09, PRDE,actvstrat=,0.733822, actvprof=,6.555082, id=,S00, PRDE,actvstrat=,-0.779470, actvprof=,1.222341, id=,S01, PRDE,actvstrat=,0.027144, actvprof=,2.428014, id=,S02, PRDE,actvstrat=,-0.683450, actvprof=,0.425319, id=,S05, PRDE,actvstrat=,-0.827771, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.629816, actvprof=,0.005000, best_B_id=,B09, best_B_prof=,6.555082, best_B_strat=,0.733822, best_S_id=,S01, best_S_prof=,2.428014, best_S_strat=,0.027144, 
t=,50400, id=,B00, PRDE,actvstrat=,-0.844128, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.433618, actvprof=,0.016112, id=,B05, PRDE,actvstrat=,-0.817976, actvprof=,0.036946, id=,B06, PRDE,actvstrat=,-0.113964, actvprof=,0.516827, id=,B09, PRDE,actvstrat=,0.733822, actvprof=,6.437074, id=,S00, PRDE,actvstrat=,-0.779470, actvprof=,1.142131, id=,S01, PRDE,actvstrat=,0.027144, actvprof=,2.610664, id=,S02, PRDE,actvstrat=,-0.683450, actvprof=,0.451547, id=,S05, PRDE,actvstrat=,-0.827771, actvprof=,0.003889, id=,S07, PRDE,actvstrat=,0.629816, actvprof=,0.004306, best_B_id=,B09, best_B_prof=,6.437074, best_B_strat=,0.733822, best_S_id=,S01, best_S_prof=,2.610664, best_S_strat=,0.027144, 
t=,54000, id=,B00, PRDE,actvstrat=,0.286164, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.752423, actvprof=,0.168350, id=,B05, PRDE,actvstrat=,0.478720, actvprof=,0.585890, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.031586, id=,B09, PRDE,actvstrat=,-0.343434, actvprof=,4.714069, id=,S00, PRDE,actvstrat=,0.837811, actvprof=,5.692498, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.494881, id=,S02, PRDE,actvstrat=,0.549189, actvprof=,1.538205, id=,S05, PRDE,actvstrat=,0.925351, actvprof=,0.121123, id=,S07, PRDE,actvstrat=,-0.139761, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.714069, best_B_strat=,-0.343434, best_S_id=,S00, best_S_prof=,5.692498, best_S_strat=,0.837811, 
t=,57600, id=,B00, PRDE,actvstrat=,0.286164, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.752423, actvprof=,0.143063, id=,B05, PRDE,actvstrat=,0.478720, actvprof=,0.590862, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.035377, id=,B09, PRDE,actvstrat=,-0.343434, actvprof=,4.707868, id=,S00, PRDE,actvstrat=,0.837811, actvprof=,5.695416, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.539804, id=,S02, PRDE,actvstrat=,0.549189, actvprof=,1.462293, id=,S05, PRDE,actvstrat=,0.925351, actvprof=,0.109866, id=,S07, PRDE,actvstrat=,-0.139761, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.707868, best_B_strat=,-0.343434, best_S_id=,S00, best_S_prof=,5.695416, best_S_strat=,0.837811, 
t=,61200, id=,B00, PRDE,actvstrat=,0.597848, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.692202, actvprof=,0.006112, id=,B05, PRDE,actvstrat=,0.905248, actvprof=,0.093898, id=,B06, PRDE,actvstrat=,-0.751155, actvprof=,0.116400, id=,B09, PRDE,actvstrat=,-0.343434, actvprof=,3.204756, id=,S00, PRDE,actvstrat=,0.500056, actvprof=,4.849638, id=,S01, PRDE,actvstrat=,-0.865801, actvprof=,0.128901, id=,S02, PRDE,actvstrat=,-0.679996, actvprof=,0.255858, id=,S05, PRDE,actvstrat=,-0.089447, actvprof=,0.007779, id=,S07, PRDE,actvstrat=,-0.042140, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.204756, best_B_strat=,-0.343434, best_S_id=,S00, best_S_prof=,4.849638, best_S_strat=,0.500056, 
t=,64800, id=,B00, PRDE,actvstrat=,0.597848, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.692202, actvprof=,0.004306, id=,B05, PRDE,actvstrat=,0.905248, actvprof=,0.114589, id=,B06, PRDE,actvstrat=,-0.751155, actvprof=,0.104311, id=,B09, PRDE,actvstrat=,-0.343434, actvprof=,3.268076, id=,S00, PRDE,actvstrat=,0.500056, actvprof=,4.815373, id=,S01, PRDE,actvstrat=,-0.865801, actvprof=,0.123617, id=,S02, PRDE,actvstrat=,-0.679996, actvprof=,0.284875, id=,S05, PRDE,actvstrat=,-0.089447, actvprof=,0.004584, id=,S07, PRDE,actvstrat=,-0.042140, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.268076, best_B_strat=,-0.343434, best_S_id=,S00, best_S_prof=,4.815373, best_S_strat=,0.500056, 
t=,68400, id=,B00, PRDE,actvstrat=,0.858955, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.715786, actvprof=,0.016113, id=,B05, PRDE,actvstrat=,0.395915, actvprof=,0.298640, id=,B06, PRDE,actvstrat=,-0.000376, actvprof=,1.068993, id=,B09, PRDE,actvstrat=,0.818600, actvprof=,7.247093, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.245885, id=,S01, PRDE,actvstrat=,-0.333974, actvprof=,0.572000, id=,S02, PRDE,actvstrat=,-0.716372, actvprof=,0.131402, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.081952, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.002500, best_B_id=,B09, best_B_prof=,7.247093, best_B_strat=,0.818600, best_S_id=,S00, best_S_prof=,6.245885, best_S_strat=,-1.000000, 
t=,72000, id=,B00, PRDE,actvstrat=,0.858955, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.715786, actvprof=,0.014445, id=,B05, PRDE,actvstrat=,0.395915, actvprof=,0.312099, id=,B06, PRDE,actvstrat=,-0.000376, actvprof=,1.055190, id=,B09, PRDE,actvstrat=,0.818600, actvprof=,7.212434, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.150438, id=,S01, PRDE,actvstrat=,-0.333974, actvprof=,0.553777, id=,S02, PRDE,actvstrat=,-0.716372, actvprof=,0.122506, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.091532, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.001250, best_B_id=,B09, best_B_prof=,7.212434, best_B_strat=,0.818600, best_S_id=,S00, best_S_prof=,6.150438, best_S_strat=,-1.000000, 
