t=,39600, id=,B00, PRDE,actvstrat=,-0.543110, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.830127, id=,B08, PRDE,actvstrat=,-0.318897, actvprof=,2.688798, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.459337, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.866796, id=,S01, PRDE,actvstrat=,0.298964, actvprof=,3.883325, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.201820, id=,S04, PRDE,actvstrat=,0.051912, actvprof=,0.178901, id=,S09, PRDE,actvstrat=,0.762472, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.459337, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,5.866796, best_S_strat=,-1.000000, 
t=,43200, id=,B00, PRDE,actvstrat=,-0.543110, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.824647, id=,B08, PRDE,actvstrat=,-0.318897, actvprof=,2.678565, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.403556, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.015626, id=,S01, PRDE,actvstrat=,0.298964, actvprof=,3.809438, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.187020, id=,S04, PRDE,actvstrat=,0.051912, actvprof=,0.168061, id=,S09, PRDE,actvstrat=,0.762472, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.403556, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,6.015626, best_S_strat=,-1.000000, 
t=,46800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.373046, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.790533, actvprof=,0.467532, id=,B08, PRDE,actvstrat=,-0.954562, actvprof=,1.181749, id=,B09, PRDE,actvstrat=,0.291012, actvprof=,6.480728, id=,S00, PRDE,actvstrat=,0.337192, actvprof=,4.476700, id=,S01, PRDE,actvstrat=,-0.378799, actvprof=,1.237864, id=,S03, PRDE,actvstrat=,0.490845, actvprof=,0.621710, id=,S04, PRDE,actvstrat=,0.733246, actvprof=,0.102229, id=,S09, PRDE,actvstrat=,-0.552744, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.480728, best_B_strat=,0.291012, best_S_id=,S00, best_S_prof=,4.476700, best_S_strat=,0.337192, 
t=,50400, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.373046, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.790533, actvprof=,0.493906, id=,B08, PRDE,actvstrat=,-0.954562, actvprof=,1.184347, id=,B09, PRDE,actvstrat=,0.291012, actvprof=,6.469114, id=,S00, PRDE,actvstrat=,0.337192, actvprof=,4.581826, id=,S01, PRDE,actvstrat=,-0.378799, actvprof=,1.271711, id=,S03, PRDE,actvstrat=,0.490845, actvprof=,0.609605, id=,S04, PRDE,actvstrat=,0.733246, actvprof=,0.108059, id=,S09, PRDE,actvstrat=,-0.552744, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.469114, best_B_strat=,0.291012, best_S_id=,S00, best_S_prof=,4.581826, best_S_strat=,0.337192, 
t=,54000, id=,B00, PRDE,actvstrat=,-0.086776, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.994137, actvprof=,1.312036, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.632822, id=,B09, PRDE,actvstrat=,-0.250781, actvprof=,4.073061, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.721022, id=,S01, PRDE,actvstrat=,-0.601608, actvprof=,1.751233, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.337385, id=,S04, PRDE,actvstrat=,-0.939569, actvprof=,0.257240, id=,S09, PRDE,actvstrat=,0.918090, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.632822, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.721022, best_S_strat=,-1.000000, 
t=,57600, id=,B00, PRDE,actvstrat=,-0.086776, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.994137, actvprof=,1.315601, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.599882, id=,B09, PRDE,actvstrat=,-0.250781, actvprof=,4.009584, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.677037, id=,S01, PRDE,actvstrat=,-0.601608, actvprof=,1.805479, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.307858, id=,S04, PRDE,actvstrat=,-0.939569, actvprof=,0.272648, id=,S09, PRDE,actvstrat=,0.918090, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.599882, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.677037, best_S_strat=,-1.000000, 
t=,61200, id=,B00, PRDE,actvstrat=,0.147529, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.803962, actvprof=,0.890617, id=,B08, PRDE,actvstrat=,-0.731206, actvprof=,4.022224, id=,B09, PRDE,actvstrat=,0.155192, actvprof=,7.029377, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,4.607820, id=,S01, PRDE,actvstrat=,0.298964, actvprof=,2.296271, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.806167, id=,S04, PRDE,actvstrat=,0.933172, actvprof=,0.181401, id=,S09, PRDE,actvstrat=,0.762472, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.029377, best_B_strat=,0.155192, best_S_id=,S00, best_S_prof=,4.607820, best_S_strat=,-1.000000, 
t=,64800, id=,B00, PRDE,actvstrat=,0.147529, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.803962, actvprof=,0.847391, id=,B08, PRDE,actvstrat=,-0.731206, actvprof=,3.930136, id=,B09, PRDE,actvstrat=,0.155192, actvprof=,7.164832, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,4.611410, id=,S01, PRDE,actvstrat=,0.298964, actvprof=,2.281329, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.764332, id=,S04, PRDE,actvstrat=,0.933172, actvprof=,0.167089, id=,S09, PRDE,actvstrat=,0.762472, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.164832, best_B_strat=,0.155192, best_S_id=,S00, best_S_prof=,4.611410, best_S_strat=,-1.000000, 
t=,68400, id=,B00, PRDE,actvstrat=,0.072306, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.557400, id=,B08, PRDE,actvstrat=,0.975971, actvprof=,5.826516, id=,B09, PRDE,actvstrat=,-0.179422, actvprof=,5.582610, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.560664, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.606987, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.220363, id=,S04, PRDE,actvstrat=,0.714574, actvprof=,0.247517, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.826516, best_B_strat=,0.975971, best_S_id=,S00, best_S_prof=,5.560664, best_S_strat=,-1.000000, 
t=,72000, id=,B00, PRDE,actvstrat=,0.072306, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.456891, id=,B08, PRDE,actvstrat=,0.975971, actvprof=,5.820619, id=,B09, PRDE,actvstrat=,-0.179422, actvprof=,5.459912, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.643807, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.540019, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.213237, id=,S04, PRDE,actvstrat=,0.714574, actvprof=,0.269732, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.820619, best_B_strat=,0.975971, best_S_id=,S00, best_S_prof=,5.643807, best_S_strat=,-1.000000, 
