t=,39600, id=,B02, PRDE,actvstrat=,-0.774654, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.015001, id=,B05, PRDE,actvstrat=,0.374058, actvprof=,0.306688, id=,B06, PRDE,actvstrat=,-0.296594, actvprof=,0.542260, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.678450, id=,S02, PRDE,actvstrat=,0.252419, actvprof=,1.266477, id=,S04, PRDE,actvstrat=,-0.504037, actvprof=,0.002222, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.050837, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.230153, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.678450, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,1.266477, best_S_strat=,0.252419, 
t=,43200, id=,B02, PRDE,actvstrat=,-0.774654, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.016112, id=,B05, PRDE,actvstrat=,0.374058, actvprof=,0.307927, id=,B06, PRDE,actvstrat=,-0.296594, actvprof=,0.508629, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.711309, id=,S02, PRDE,actvstrat=,0.252419, actvprof=,1.283100, id=,S04, PRDE,actvstrat=,-0.504037, actvprof=,0.001806, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.050280, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.230153, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.711309, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,1.283100, best_S_strat=,0.252419, 
t=,46800, id=,B02, PRDE,actvstrat=,0.453436, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.212723, actvprof=,0.028613, id=,B05, PRDE,actvstrat=,0.543079, actvprof=,0.367248, id=,B06, PRDE,actvstrat=,0.978909, actvprof=,1.683172, id=,B08, PRDE,actvstrat=,0.327519, actvprof=,3.946663, id=,S02, PRDE,actvstrat=,0.765869, actvprof=,2.928537, id=,S04, PRDE,actvstrat=,0.153029, actvprof=,0.186402, id=,S05, PRDE,actvstrat=,0.751384, actvprof=,0.091395, id=,S08, PRDE,actvstrat=,-0.755402, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.608162, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.946663, best_B_strat=,0.327519, best_S_id=,S02, best_S_prof=,2.928537, best_S_strat=,0.765869, 
t=,50400, id=,B02, PRDE,actvstrat=,0.453436, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.212723, actvprof=,0.029862, id=,B05, PRDE,actvstrat=,0.543079, actvprof=,0.345704, id=,B06, PRDE,actvstrat=,0.978909, actvprof=,1.652268, id=,B08, PRDE,actvstrat=,0.327519, actvprof=,3.930387, id=,S02, PRDE,actvstrat=,0.765869, actvprof=,2.978972, id=,S04, PRDE,actvstrat=,0.153029, actvprof=,0.188477, id=,S05, PRDE,actvstrat=,0.751384, actvprof=,0.090003, id=,S08, PRDE,actvstrat=,-0.755402, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.608162, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.930387, best_B_strat=,0.327519, best_S_id=,S02, best_S_prof=,2.978972, best_S_strat=,0.765869, 
t=,54000, id=,B02, PRDE,actvstrat=,0.095756, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.526577, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.467171, actvprof=,0.034170, id=,B06, PRDE,actvstrat=,0.518216, actvprof=,0.682557, id=,B08, PRDE,actvstrat=,0.972526, actvprof=,4.539545, id=,S02, PRDE,actvstrat=,-0.955755, actvprof=,0.078062, id=,S04, PRDE,actvstrat=,-0.851921, actvprof=,0.009445, id=,S05, PRDE,actvstrat=,0.282442, actvprof=,0.041392, id=,S08, PRDE,actvstrat=,-0.278384, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.539545, best_B_strat=,0.972526, best_S_id=,S02, best_S_prof=,0.078062, best_S_strat=,-0.955755, 
t=,57600, id=,B02, PRDE,actvstrat=,0.095756, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.526577, actvprof=,0.000139, id=,B05, PRDE,actvstrat=,0.467171, actvprof=,0.025834, id=,B06, PRDE,actvstrat=,0.518216, actvprof=,0.640027, id=,B08, PRDE,actvstrat=,0.972526, actvprof=,4.517549, id=,S02, PRDE,actvstrat=,-0.955755, actvprof=,0.055558, id=,S04, PRDE,actvstrat=,-0.851921, actvprof=,0.011806, id=,S05, PRDE,actvstrat=,0.282442, actvprof=,0.036668, id=,S08, PRDE,actvstrat=,-0.278384, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.517549, best_B_strat=,0.972526, best_S_id=,S02, best_S_prof=,0.055558, best_S_strat=,-0.955755, 
t=,61200, id=,B02, PRDE,actvstrat=,0.508083, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.878905, actvprof=,0.007501, id=,B05, PRDE,actvstrat=,0.883609, actvprof=,0.093341, id=,B06, PRDE,actvstrat=,0.615124, actvprof=,0.758952, id=,B08, PRDE,actvstrat=,0.972526, actvprof=,4.413146, id=,S02, PRDE,actvstrat=,0.023814, actvprof=,1.526238, id=,S04, PRDE,actvstrat=,0.153029, actvprof=,0.288913, id=,S05, PRDE,actvstrat=,-0.390754, actvprof=,0.008612, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.413146, best_B_strat=,0.972526, best_S_id=,S02, best_S_prof=,1.526238, best_S_strat=,0.023814, 
t=,64800, id=,B02, PRDE,actvstrat=,0.508083, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.878905, actvprof=,0.005139, id=,B05, PRDE,actvstrat=,0.883609, actvprof=,0.075420, id=,B06, PRDE,actvstrat=,0.615124, actvprof=,0.715308, id=,B08, PRDE,actvstrat=,0.972526, actvprof=,4.435046, id=,S02, PRDE,actvstrat=,0.023814, actvprof=,1.534508, id=,S04, PRDE,actvstrat=,0.153029, actvprof=,0.273623, id=,S05, PRDE,actvstrat=,-0.390754, actvprof=,0.004306, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.435046, best_B_strat=,0.972526, best_S_id=,S02, best_S_prof=,1.534508, best_S_strat=,0.023814, 
t=,68400, id=,B02, PRDE,actvstrat=,0.913380, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.072207, actvprof=,0.060003, id=,B05, PRDE,actvstrat=,-0.593752, actvprof=,0.330296, id=,B06, PRDE,actvstrat=,-0.812915, actvprof=,0.716706, id=,B08, PRDE,actvstrat=,0.342664, actvprof=,5.590866, id=,S02, PRDE,actvstrat=,0.048749, actvprof=,0.586421, id=,S04, PRDE,actvstrat=,-0.805014, actvprof=,0.001667, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.028335, id=,S08, PRDE,actvstrat=,0.336387, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.590866, best_B_strat=,0.342664, best_S_id=,S02, best_S_prof=,0.586421, best_S_strat=,0.048749, 
t=,72000, id=,B02, PRDE,actvstrat=,0.913380, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.072207, actvprof=,0.043752, id=,B05, PRDE,actvstrat=,-0.593752, actvprof=,0.286679, id=,B06, PRDE,actvstrat=,-0.812915, actvprof=,0.653222, id=,B08, PRDE,actvstrat=,0.342664, actvprof=,5.597039, id=,S02, PRDE,actvstrat=,0.048749, actvprof=,0.633915, id=,S04, PRDE,actvstrat=,-0.805014, actvprof=,0.001111, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.030140, id=,S08, PRDE,actvstrat=,0.336387, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.597039, best_B_strat=,0.342664, best_S_id=,S02, best_S_prof=,0.633915, best_S_strat=,0.048749, 
t=,75600, id=,B02, PRDE,actvstrat=,-0.261534, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.947018, actvprof=,0.012779, id=,B05, PRDE,actvstrat=,0.721851, actvprof=,0.929787, id=,B06, PRDE,actvstrat=,-0.812915, actvprof=,0.396416, id=,B08, PRDE,actvstrat=,-0.655777, actvprof=,3.182721, id=,S02, PRDE,actvstrat=,0.060252, actvprof=,0.810890, id=,S04, PRDE,actvstrat=,0.363279, actvprof=,0.048337, id=,S05, PRDE,actvstrat=,0.914148, actvprof=,0.011112, id=,S08, PRDE,actvstrat=,-0.448971, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.182721, best_B_strat=,-0.655777, best_S_id=,S02, best_S_prof=,0.810890, best_S_strat=,0.060252, 
t=,79200, id=,B02, PRDE,actvstrat=,-0.261534, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.947018, actvprof=,0.008473, id=,B05, PRDE,actvstrat=,0.721851, actvprof=,0.939206, id=,B06, PRDE,actvstrat=,-0.812915, actvprof=,0.426129, id=,B08, PRDE,actvstrat=,-0.655777, actvprof=,3.258052, id=,S02, PRDE,actvstrat=,0.060252, actvprof=,0.787811, id=,S04, PRDE,actvstrat=,0.363279, actvprof=,0.043335, id=,S05, PRDE,actvstrat=,0.914148, actvprof=,0.017084, id=,S08, PRDE,actvstrat=,-0.448971, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.258052, best_B_strat=,-0.655777, best_S_id=,S02, best_S_prof=,0.787811, best_S_strat=,0.060252, 
t=,82800, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.041670, id=,B05, PRDE,actvstrat=,0.144643, actvprof=,0.353085, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.514098, id=,B08, PRDE,actvstrat=,0.611896, actvprof=,5.349890, id=,S02, PRDE,actvstrat=,0.255295, actvprof=,1.020918, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.520043, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.135289, id=,S08, PRDE,actvstrat=,0.449267, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.545639, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.349890, best_B_strat=,0.611896, best_S_id=,S02, best_S_prof=,1.020918, best_S_strat=,0.255295, 
t=,86400, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.041391, id=,B05, PRDE,actvstrat=,0.144643, actvprof=,0.386127, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.536356, id=,B08, PRDE,actvstrat=,0.611896, actvprof=,5.418698, id=,S02, PRDE,actvstrat=,0.255295, actvprof=,1.023515, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.504327, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.127783, id=,S08, PRDE,actvstrat=,0.449267, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.545639, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.418698, best_B_strat=,0.611896, best_S_id=,S02, best_S_prof=,1.023515, best_S_strat=,0.255295, 
t=,90000, id=,B02, PRDE,actvstrat=,-0.368281, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.590379, actvprof=,0.033336, id=,B05, PRDE,actvstrat=,0.543079, actvprof=,0.524210, id=,B06, PRDE,actvstrat=,-0.735918, actvprof=,0.534767, id=,B08, PRDE,actvstrat=,0.473585, actvprof=,5.023196, id=,S02, PRDE,actvstrat=,0.648017, actvprof=,1.897103, id=,S04, PRDE,actvstrat=,-0.790493, actvprof=,0.000833, id=,S05, PRDE,actvstrat=,0.901526, actvprof=,0.039170, id=,S08, PRDE,actvstrat=,0.808531, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.230153, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.023196, best_B_strat=,0.473585, best_S_id=,S02, best_S_prof=,1.897103, best_S_strat=,0.648017, 
t=,93600, id=,B02, PRDE,actvstrat=,-0.368281, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.590379, actvprof=,0.041668, id=,B05, PRDE,actvstrat=,0.543079, actvprof=,0.568774, id=,B06, PRDE,actvstrat=,-0.735918, actvprof=,0.552940, id=,B08, PRDE,actvstrat=,0.473585, actvprof=,5.071045, id=,S02, PRDE,actvstrat=,0.648017, actvprof=,1.850494, id=,S04, PRDE,actvstrat=,-0.790493, actvprof=,0.008889, id=,S05, PRDE,actvstrat=,0.901526, actvprof=,0.044030, id=,S08, PRDE,actvstrat=,0.808531, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.230153, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.071045, best_B_strat=,0.473585, best_S_id=,S02, best_S_prof=,1.850494, best_S_strat=,0.648017, 
