t=,39600, id=,B03, PRDE,actvstrat=,0.380679, actvprof=,0.063059, id=,B05, PRDE,actvstrat=,-0.366367, actvprof=,0.337241, id=,B06, PRDE,actvstrat=,0.645646, actvprof=,2.519862, id=,B08, PRDE,actvstrat=,-0.246709, actvprof=,3.902717, id=,B09, PRDE,actvstrat=,-0.522620, actvprof=,5.374465, id=,S00, PRDE,actvstrat=,-0.190936, actvprof=,1.171732, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.224957, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.637647, id=,S06, PRDE,actvstrat=,0.439515, actvprof=,0.000278, id=,S07, PRDE,actvstrat=,0.533869, actvprof=,0.001111, best_B_id=,B09, best_B_prof=,5.374465, best_B_strat=,-0.522620, best_S_id=,S01, best_S_prof=,4.224957, best_S_strat=,1.000000, 
t=,43200, id=,B03, PRDE,actvstrat=,0.380679, actvprof=,0.051946, id=,B05, PRDE,actvstrat=,-0.366367, actvprof=,0.345982, id=,B06, PRDE,actvstrat=,0.645646, actvprof=,2.522987, id=,B08, PRDE,actvstrat=,-0.246709, actvprof=,4.004556, id=,B09, PRDE,actvstrat=,-0.522620, actvprof=,5.289869, id=,S00, PRDE,actvstrat=,-0.190936, actvprof=,1.198783, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.233590, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.673963, id=,S06, PRDE,actvstrat=,0.439515, actvprof=,0.000139, id=,S07, PRDE,actvstrat=,0.533869, actvprof=,0.000556, best_B_id=,B09, best_B_prof=,5.289869, best_B_strat=,-0.522620, best_S_id=,S01, best_S_prof=,4.233590, best_S_strat=,1.000000, 
t=,46800, id=,B03, PRDE,actvstrat=,0.653707, actvprof=,0.013612, id=,B05, PRDE,actvstrat=,-0.222225, actvprof=,0.100006, id=,B06, PRDE,actvstrat=,0.697508, actvprof=,1.876215, id=,B08, PRDE,actvstrat=,-0.389724, actvprof=,2.776265, id=,B09, PRDE,actvstrat=,-0.522620, actvprof=,4.375521, id=,S00, PRDE,actvstrat=,0.056255, actvprof=,3.128229, id=,S01, PRDE,actvstrat=,-0.973375, actvprof=,0.623090, id=,S02, PRDE,actvstrat=,0.468985, actvprof=,1.695372, id=,S06, PRDE,actvstrat=,0.732510, actvprof=,0.016390, id=,S07, PRDE,actvstrat=,-0.393891, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.375521, best_B_strat=,-0.522620, best_S_id=,S00, best_S_prof=,3.128229, best_S_strat=,0.056255, 
t=,50400, id=,B03, PRDE,actvstrat=,0.653707, actvprof=,0.010834, id=,B05, PRDE,actvstrat=,-0.222225, actvprof=,0.089308, id=,B06, PRDE,actvstrat=,0.697508, actvprof=,1.844912, id=,B08, PRDE,actvstrat=,-0.389724, actvprof=,2.820078, id=,B09, PRDE,actvstrat=,-0.522620, actvprof=,4.351788, id=,S00, PRDE,actvstrat=,0.056255, actvprof=,3.118420, id=,S01, PRDE,actvstrat=,-0.973375, actvprof=,0.610295, id=,S02, PRDE,actvstrat=,0.468985, actvprof=,1.728798, id=,S06, PRDE,actvstrat=,0.732510, actvprof=,0.012361, id=,S07, PRDE,actvstrat=,-0.393891, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.351788, best_B_strat=,-0.522620, best_S_id=,S00, best_S_prof=,3.118420, best_S_strat=,0.056255, 
t=,54000, id=,B03, PRDE,actvstrat=,0.048705, actvprof=,0.020279, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.313624, id=,B06, PRDE,actvstrat=,0.873972, actvprof=,1.528675, id=,B08, PRDE,actvstrat=,0.120599, actvprof=,3.296248, id=,B09, PRDE,actvstrat=,0.011932, actvprof=,4.315735, id=,S00, PRDE,actvstrat=,0.644670, actvprof=,5.867467, id=,S01, PRDE,actvstrat=,0.953126, actvprof=,5.639402, id=,S02, PRDE,actvstrat=,0.231547, actvprof=,1.860911, id=,S06, PRDE,actvstrat=,-0.436062, actvprof=,0.010834, id=,S07, PRDE,actvstrat=,0.316404, actvprof=,0.005278, best_B_id=,B09, best_B_prof=,4.315735, best_B_strat=,0.011932, best_S_id=,S00, best_S_prof=,5.867467, best_S_strat=,0.644670, 
t=,57600, id=,B03, PRDE,actvstrat=,0.048705, actvprof=,0.031945, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.319173, id=,B06, PRDE,actvstrat=,0.873972, actvprof=,1.518504, id=,B08, PRDE,actvstrat=,0.120599, actvprof=,3.275346, id=,B09, PRDE,actvstrat=,0.011932, actvprof=,4.396203, id=,S00, PRDE,actvstrat=,0.644670, actvprof=,5.876095, id=,S01, PRDE,actvstrat=,0.953126, actvprof=,5.557894, id=,S02, PRDE,actvstrat=,0.231547, actvprof=,1.905456, id=,S06, PRDE,actvstrat=,-0.436062, actvprof=,0.005417, id=,S07, PRDE,actvstrat=,0.316404, actvprof=,0.007778, best_B_id=,B09, best_B_prof=,4.396203, best_B_strat=,0.011932, best_S_id=,S00, best_S_prof=,5.876095, best_S_strat=,0.644670, 
t=,61200, id=,B03, PRDE,actvstrat=,-0.581414, actvprof=,0.004445, id=,B05, PRDE,actvstrat=,0.605563, actvprof=,0.916705, id=,B06, PRDE,actvstrat=,0.971904, actvprof=,2.127589, id=,B08, PRDE,actvstrat=,0.120599, actvprof=,4.133506, id=,B09, PRDE,actvstrat=,-0.802105, actvprof=,4.068781, id=,S00, PRDE,actvstrat=,0.785196, actvprof=,5.482173, id=,S01, PRDE,actvstrat=,0.881512, actvprof=,4.357682, id=,S02, PRDE,actvstrat=,0.358159, actvprof=,1.301443, id=,S06, PRDE,actvstrat=,0.732510, actvprof=,0.021112, id=,S07, PRDE,actvstrat=,-0.311360, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.133506, best_B_strat=,0.120599, best_S_id=,S00, best_S_prof=,5.482173, best_S_strat=,0.785196, 
t=,64800, id=,B03, PRDE,actvstrat=,-0.581414, actvprof=,0.012778, id=,B05, PRDE,actvstrat=,0.605563, actvprof=,0.897809, id=,B06, PRDE,actvstrat=,0.971904, actvprof=,2.056460, id=,B08, PRDE,actvstrat=,0.120599, actvprof=,4.139727, id=,B09, PRDE,actvstrat=,-0.802105, actvprof=,4.207091, id=,S00, PRDE,actvstrat=,0.785196, actvprof=,5.378937, id=,S01, PRDE,actvstrat=,0.881512, actvprof=,4.426404, id=,S02, PRDE,actvstrat=,0.358159, actvprof=,1.336991, id=,S06, PRDE,actvstrat=,0.732510, actvprof=,0.032084, id=,S07, PRDE,actvstrat=,-0.311360, actvprof=,0.000139, best_B_id=,B09, best_B_prof=,4.207091, best_B_strat=,-0.802105, best_S_id=,S00, best_S_prof=,5.378937, best_S_strat=,0.785196, 
t=,68400, id=,B03, PRDE,actvstrat=,-0.560189, actvprof=,0.006112, id=,B05, PRDE,actvstrat=,0.026257, actvprof=,0.518647, id=,B06, PRDE,actvstrat=,-0.169778, actvprof=,1.048128, id=,B08, PRDE,actvstrat=,-0.878750, actvprof=,2.220432, id=,B09, PRDE,actvstrat=,0.230713, actvprof=,6.583513, id=,S00, PRDE,actvstrat=,0.566778, actvprof=,4.051115, id=,S01, PRDE,actvstrat=,0.764034, actvprof=,3.651642, id=,S02, PRDE,actvstrat=,-0.469040, actvprof=,0.177235, id=,S06, PRDE,actvstrat=,0.148536, actvprof=,0.000833, id=,S07, PRDE,actvstrat=,0.519737, actvprof=,0.001667, best_B_id=,B09, best_B_prof=,6.583513, best_B_strat=,0.230713, best_S_id=,S00, best_S_prof=,4.051115, best_S_strat=,0.566778, 
t=,72000, id=,B03, PRDE,actvstrat=,-0.560189, actvprof=,0.007778, id=,B05, PRDE,actvstrat=,0.026257, actvprof=,0.544876, id=,B06, PRDE,actvstrat=,-0.169778, actvprof=,1.073363, id=,B08, PRDE,actvstrat=,-0.878750, actvprof=,2.287008, id=,B09, PRDE,actvstrat=,0.230713, actvprof=,6.546987, id=,S00, PRDE,actvstrat=,0.566778, actvprof=,4.126365, id=,S01, PRDE,actvstrat=,0.764034, actvprof=,3.564960, id=,S02, PRDE,actvstrat=,-0.469040, actvprof=,0.225978, id=,S06, PRDE,actvstrat=,0.148536, actvprof=,0.000417, id=,S07, PRDE,actvstrat=,0.519737, actvprof=,0.002083, best_B_id=,B09, best_B_prof=,6.546987, best_B_strat=,0.230713, best_S_id=,S00, best_S_prof=,4.126365, best_S_strat=,0.566778, 
