t=,39600, id=,B00, PRDE,actvstrat=,0.973952, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.086318, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.245611, actvprof=,0.004445, id=,B04, PRDE,actvstrat=,-0.185331, actvprof=,0.006667, id=,B07, PRDE,actvstrat=,-0.085925, actvprof=,1.770376, id=,S00, PRDE,actvstrat=,-0.227610, actvprof=,2.727374, id=,S02, PRDE,actvstrat=,0.399188, actvprof=,2.376521, id=,S04, PRDE,actvstrat=,0.333473, actvprof=,0.240013, id=,S05, PRDE,actvstrat=,-0.845679, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.091996, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.770376, best_B_strat=,-0.085925, best_S_id=,S00, best_S_prof=,2.727374, best_S_strat=,-0.227610, 
t=,43200, id=,B00, PRDE,actvstrat=,0.973952, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.086318, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.245611, actvprof=,0.002222, id=,B04, PRDE,actvstrat=,-0.185331, actvprof=,0.003333, id=,B07, PRDE,actvstrat=,-0.085925, actvprof=,1.653252, id=,S00, PRDE,actvstrat=,-0.227610, actvprof=,2.793847, id=,S02, PRDE,actvstrat=,0.399188, actvprof=,2.489253, id=,S04, PRDE,actvstrat=,0.333473, actvprof=,0.288204, id=,S05, PRDE,actvstrat=,-0.845679, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.091996, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.653252, best_B_strat=,-0.085925, best_S_id=,S00, best_S_prof=,2.793847, best_S_strat=,-0.227610, 
t=,46800, id=,B00, PRDE,actvstrat=,0.594585, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.248875, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.245611, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.185331, actvprof=,0.020557, id=,B07, PRDE,actvstrat=,-0.920850, actvprof=,0.421696, id=,S00, PRDE,actvstrat=,-0.227610, actvprof=,2.106535, id=,S02, PRDE,actvstrat=,-0.398679, actvprof=,0.374193, id=,S04, PRDE,actvstrat=,0.457471, actvprof=,0.115841, id=,S05, PRDE,actvstrat=,0.863384, actvprof=,0.003611, id=,S08, PRDE,actvstrat=,-0.091996, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,0.421696, best_B_strat=,-0.920850, best_S_id=,S00, best_S_prof=,2.106535, best_S_strat=,-0.227610, 
t=,50400, id=,B00, PRDE,actvstrat=,0.594585, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.248875, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.245611, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.185331, actvprof=,0.010973, id=,B07, PRDE,actvstrat=,-0.920850, actvprof=,0.385013, id=,S00, PRDE,actvstrat=,-0.227610, actvprof=,2.144519, id=,S02, PRDE,actvstrat=,-0.398679, actvprof=,0.397375, id=,S04, PRDE,actvstrat=,0.457471, actvprof=,0.105004, id=,S05, PRDE,actvstrat=,0.863384, actvprof=,0.003472, id=,S08, PRDE,actvstrat=,-0.091996, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,0.385013, best_B_strat=,-0.920850, best_S_id=,S00, best_S_prof=,2.144519, best_S_strat=,-0.227610, 
t=,54000, id=,B00, PRDE,actvstrat=,-0.771169, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.813060, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.245611, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.185331, actvprof=,0.000833, id=,B07, PRDE,actvstrat=,-0.769251, actvprof=,1.121189, id=,S00, PRDE,actvstrat=,-0.358047, actvprof=,2.502118, id=,S02, PRDE,actvstrat=,0.205729, actvprof=,1.872352, id=,S04, PRDE,actvstrat=,0.018847, actvprof=,0.137232, id=,S05, PRDE,actvstrat=,-0.959980, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.091996, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.121189, best_B_strat=,-0.769251, best_S_id=,S00, best_S_prof=,2.502118, best_S_strat=,-0.358047, 
t=,57600, id=,B00, PRDE,actvstrat=,-0.771169, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.813060, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.245611, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.185331, actvprof=,0.002917, id=,B07, PRDE,actvstrat=,-0.769251, actvprof=,1.027397, id=,S00, PRDE,actvstrat=,-0.358047, actvprof=,2.529116, id=,S02, PRDE,actvstrat=,0.205729, actvprof=,1.918956, id=,S04, PRDE,actvstrat=,0.018847, actvprof=,0.168617, id=,S05, PRDE,actvstrat=,-0.959980, actvprof=,0.001111, id=,S08, PRDE,actvstrat=,-0.091996, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.027397, best_B_strat=,-0.769251, best_S_id=,S00, best_S_prof=,2.529116, best_S_strat=,-0.358047, 
t=,61200, id=,B00, PRDE,actvstrat=,-0.771169, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.875435, actvprof=,0.013056, id=,B03, PRDE,actvstrat=,-0.796995, actvprof=,0.034725, id=,B04, PRDE,actvstrat=,-0.124795, actvprof=,0.108619, id=,B07, PRDE,actvstrat=,-0.085925, actvprof=,2.489617, id=,S00, PRDE,actvstrat=,0.983676, actvprof=,6.366553, id=,S02, PRDE,actvstrat=,0.883343, actvprof=,3.210779, id=,S04, PRDE,actvstrat=,0.018847, actvprof=,0.076672, id=,S05, PRDE,actvstrat=,-0.959980, actvprof=,0.002222, id=,S08, PRDE,actvstrat=,-0.518123, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.489617, best_B_strat=,-0.085925, best_S_id=,S00, best_S_prof=,6.366553, best_S_strat=,0.983676, 
t=,64800, id=,B00, PRDE,actvstrat=,-0.771169, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.875435, actvprof=,0.015556, id=,B03, PRDE,actvstrat=,-0.796995, actvprof=,0.034723, id=,B04, PRDE,actvstrat=,-0.124795, actvprof=,0.089864, id=,B07, PRDE,actvstrat=,-0.085925, actvprof=,2.473003, id=,S00, PRDE,actvstrat=,0.983676, actvprof=,6.359665, id=,S02, PRDE,actvstrat=,0.883343, actvprof=,3.139692, id=,S04, PRDE,actvstrat=,0.018847, actvprof=,0.084725, id=,S05, PRDE,actvstrat=,-0.959980, actvprof=,0.007778, id=,S08, PRDE,actvstrat=,-0.518123, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.473003, best_B_strat=,-0.085925, best_S_id=,S00, best_S_prof=,6.359665, best_S_strat=,0.983676, 
t=,68400, id=,B00, PRDE,actvstrat=,0.207008, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.086318, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.245611, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.534728, actvprof=,0.010001, id=,B07, PRDE,actvstrat=,0.646536, actvprof=,3.074978, id=,S00, PRDE,actvstrat=,-0.227610, actvprof=,2.691335, id=,S02, PRDE,actvstrat=,0.205729, actvprof=,2.234075, id=,S04, PRDE,actvstrat=,0.839246, actvprof=,0.779509, id=,S05, PRDE,actvstrat=,0.610378, actvprof=,0.030280, id=,S08, PRDE,actvstrat=,0.279115, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.074978, best_B_strat=,0.646536, best_S_id=,S00, best_S_prof=,2.691335, best_S_strat=,-0.227610, 
t=,72000, id=,B00, PRDE,actvstrat=,0.207008, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.086318, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.245611, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.534728, actvprof=,0.005695, id=,B07, PRDE,actvstrat=,0.646536, actvprof=,3.007348, id=,S00, PRDE,actvstrat=,-0.227610, actvprof=,2.737892, id=,S02, PRDE,actvstrat=,0.205729, actvprof=,2.158145, id=,S04, PRDE,actvstrat=,0.839246, actvprof=,0.754059, id=,S05, PRDE,actvstrat=,0.610378, actvprof=,0.033196, id=,S08, PRDE,actvstrat=,0.279115, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.007348, best_B_strat=,0.646536, best_S_id=,S00, best_S_prof=,2.737892, best_S_strat=,-0.227610, 
