B00, 0
B01, 100
B01, Trade, 3138282.948, 66, B01, S00, 1
B01, Trade, 3264910.397, 64, S00, B01, 1
B01, Trade, 3267736.897, 67, B01, S00, 1
B01, Trade, 3276865.947, 66, B01, S00, 1
B01, Trade, 3321688.197, 67, B01, S00, 1
B01, Trade, 3342155.997, 67, B01, S00, 1
B01, Trade, 3345335.497, 67, B01, S00, 1
B01, Trade, 3348396.097, 66, B01, S00, 1
B01, Trade, 3360999.647, 67, B01, S00, 1
B01, Trade, 3361922.697, 66, B01, S00, 1
B01, Trade, 3362299.897, 66, B01, S00, 1
B01, Trade, 3379682.547, 67, B01, S00, 1
B01, Trade, 3381600.697, 66, B01, S00, 1
B01, Trade, 3388105.797, 66, B01, S00, 1
B01, Trade, 3396217.347, 66, B01, S00, 1
B01, Trade, 3414078.896, 66, B01, S00, 1
B01, Trade, 3418447.146, 67, B01, S00, 1
B01, Trade, 3440405.496, 67, B01, S00, 1
B01, Trade, 3477209.196, 66, B01, S00, 1
B01, Trade, 3495799.846, 65, B01, S00, 1
B01, Trade, 3528695.496, 67, B01, S00, 1
B01, Trade, 3529490.896, 66, B01, S00, 1
B01, Trade, 3535132.296, 67, B01, S00, 1
B01, Trade, 3550550.996, 67, B01, S00, 1
B01, Trade, 3576005.196, 67, B01, S00, 1
B01, Trade, 3585502.196, 67, B01, S00, 1
B01, Trade, 3585888.446, 66, B01, S00, 1
B01, Trade, 3588162.646, 66, B01, S00, 1
B01, Trade, 3595066.296, 67, B01, S00, 1
B01, Trade, 3595374.846, 66, B01, S00, 1
B01, Trade, 3595793.896, 65, B01, S00, 1
B01, Trade, 3596318.246, 64, B01, S00, 1
B01, Trade, 3596551.946, 63, B01, S00, 1
B01, Trade, 3598468.546, 65, B01, S00, 1
B01, Trade, 3598670.146, 64, B01, S00, 1
B01, Trade, 3653998.046, 66, B01, S00, 1
B01, Trade, 3681111.895, 67, B01, S00, 1
B01, Trade, 3698366.445, 67, B01, S00, 1
B01, Trade, 3736190.145, 67, B01, S00, 1
B01, Trade, 3736548.745, 66, B01, S00, 1
B01, Trade, 3766311.545, 63, B01, S00, 1
B01, Trade, 3796741.145, 67, B01, S00, 1
B01, Trade, 3797128.195, 66, B01, S00, 1
B01, Trade, 3800429.895, 67, B01, S00, 1
B01, Trade, 3800982.545, 67, B01, S00, 1
B01, Trade, 3802168.795, 67, B01, S00, 1
B01, Trade, 3803436.795, 66, B01, S00, 1
B01, Trade, 3805410.745, 66, B01, S00, 1
B01, Trade, 3807167.745, 67, B01, S00, 1
B01, Trade, 3836381.695, 67, B01, S00, 1
B01, Trade, 3888520.495, 60, S00, B01, 1
B01, Trade, 3890091.945, 67, B01, S00, 1
B01, Trade, 3891332.645, 67, B01, S00, 1
B01, Trade, 3891403.145, 66, B01, S00, 1
B01, Trade, 3892557.895, 67, B01, S00, 1
B01, Trade, 3893082.295, 67, B01, S00, 1
B01, Trade, 3894311.145, 67, B01, S00, 1
B01, Trade, 3894968.395, 67, B01, S00, 1
B01, Trade, 3910172.895, 67, B01, S00, 1
B01, Trade, 3912521.745, 67, B01, S00, 1
B01, Trade, 3912842.945, 66, B01, S00, 1
B01, Trade, 3914914.495, 64, B01, S00, 1
B01, Trade, 3915476.945, 67, B01, S00, 1
B01, Trade, 3916374.795, 67, B01, S00, 1
B01, Trade, 3927251.195, 66, B01, S00, 1
B01, Trade, 3934114.195, 65, B01, S00, 1
B01, Trade, 3947941.544, 67, B01, S00, 1
B01, Trade, 3953191.544, 64, B01, S00, 1
B01, Trade, 3962340.744, 66, B01, S00, 1
B01, Trade, 3963954.344, 67, B01, S00, 1
B01, Trade, 3969249.744, 66, B01, S00, 1
B01, Trade, 3973773.844, 67, B01, S00, 1
B01, Trade, 4001463.794, 67, B01, S00, 1
B01, Trade, 4005483.194, 60, S00, B01, 1
B01, Trade, 4015761.744, 67, B01, S00, 1
B01, Trade, 4021042.294, 66, B01, S00, 1
B01, Trade, 4027752.344, 63, B01, S00, 1
B01, Trade, 4032422.994, 67, B01, S00, 1
B01, Trade, 4053378.044, 67, B01, S00, 1
B01, Trade, 4057344.544, 67, B01, S00, 1
B01, Trade, 4058175.944, 66, B01, S00, 1
B01, Trade, 4069892.644, 67, B01, S00, 1
B01, Trade, 4108980.494, 67, B01, S00, 1
B01, Trade, 4138269.544, 67, B01, S00, 1
B01, Trade, 4156286.544, 65, B01, S00, 1
B01, Trade, 4159528.044, 65, B01, S00, 1
B01, Trade, 4162004.494, 66, B01, S00, 1
B01, Trade, 4176947.644, 67, B01, S00, 1
B01, Trade, 4189742.894, 67, B01, S00, 1
B01, Trade, 4189803.194, 66, B01, S00, 1
B01, Trade, 4191604.794, 67, B01, S00, 1
B01, Trade, 4205378.444, 67, B01, S00, 1
B01, Trade, 4212922.593, 65, B01, S00, 1
B01, Trade, 4214913.643, 65, B01, S00, 1
B01, Trade, 4221855.193, 67, B01, S00, 1
B01, Trade, 4225682.343, 67, S00, B01, 1
B01, Trade, 4244875.843, 67, B01, S00, 1
B01, Trade, 4287453.093, 67, B01, S00, 1
B01, Trade, 4292771.843, 67, B01, S00, 1
B01, Trade, 4311110.693, 67, B01, S00, 1
B02, 100
B02, Trade, 4207576.994, 60, S00, B02, 1
B02, Trade, 4208153.344, 77, B02, S00, 1
B02, Trade, 4208746.794, 73, B02, S00, 1
B02, Trade, 4208814.194, 77, B02, S00, 1
B02, Trade, 4209076.994, 77, B02, S00, 1
B02, Trade, 4209378.044, 77, B02, S00, 1
B02, Trade, 4210265.894, 77, B02, S00, 1
B02, Trade, 4210501.394, 77, B02, S00, 1
B02, Trade, 4211083.344, 77, B02, S00, 1
B02, Trade, 4211104.044, 77, B02, S00, 1
B02, Trade, 4211433.944, 77, B02, S00, 1
B02, Trade, 4211506.944, 76, B02, S00, 1
B02, Trade, 4211648.494, 77, B02, S00, 1
B02, Trade, 4211695.094, 77, B02, S00, 1
B02, Trade, 4211910.644, 76, B02, S00, 1
B02, Trade, 4212411.993, 77, B02, S00, 1
B02, Trade, 4212614.893, 77, B02, S00, 1
B02, Trade, 4212897.293, 77, B02, S00, 1
B02, Trade, 4214058.243, 77, B02, S00, 1
B02, Trade, 4214863.643, 72, B02, S00, 1
B02, Trade, 4215044.293, 77, B02, S00, 1
B02, Trade, 4215634.743, 77, B02, S00, 1
B02, Trade, 4215881.943, 77, B02, S00, 1
B02, Trade, 4216639.593, 77, B02, S00, 1
B02, Trade, 4217544.493, 77, B02, S00, 1
B02, Trade, 4217776.743, 77, B02, S00, 1
B02, Trade, 4218074.993, 77, B02, S00, 1
B02, Trade, 4218154.093, 77, B02, S00, 1
B02, Trade, 4218502.393, 77, B02, S00, 1
B02, Trade, 4218828.443, 77, B02, S00, 1
B02, Trade, 4219443.943, 70, B02, S00, 1
B02, Trade, 4219471.893, 77, B02, S00, 1
B02, Trade, 4219505.643, 77, B02, S00, 1
B02, Trade, 4220071.493, 77, B02, S00, 1
B02, Trade, 4222290.993, 77, B02, S00, 1
B02, Trade, 4223212.543, 69, B02, S00, 1
B02, Trade, 4223487.843, 77, B02, S00, 1
B02, Trade, 4223609.393, 77, B02, S00, 1
B02, Trade, 4223960.793, 77, B02, S00, 1
B02, Trade, 4224756.143, 77, B02, S00, 1
B02, Trade, 4226786.143, 77, B02, S00, 1
B02, Trade, 4228012.843, 77, B02, S00, 1
B02, Trade, 4229033.793, 76, B02, S00, 1
B02, Trade, 4232512.243, 77, B02, S00, 1
B02, Trade, 4232805.293, 77, B02, S00, 1
B02, Trade, 4233629.893, 77, B02, S00, 1
B02, Trade, 4235268.043, 77, B02, S00, 1
B02, Trade, 4235652.093, 71, B02, S00, 1
B02, Trade, 4235761.593, 77, B02, S00, 1
B02, Trade, 4237429.643, 77, B02, S00, 1
B02, Trade, 4238091.693, 77, B02, S00, 1
B02, Trade, 4239172.493, 77, B02, S00, 1
B02, Trade, 4239474.843, 77, B02, S00, 1
B02, Trade, 4240139.943, 77, B02, S00, 1
B02, Trade, 4240339.543, 77, B02, S00, 1
B02, Trade, 4240524.093, 77, B02, S00, 1
B02, Trade, 4240684.143, 77, B02, S00, 1
B02, Trade, 4240918.593, 77, B02, S00, 1
