t=,43200, id=,B01, PRDE,actvstrat=,0.522130, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.265892, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.212587, actvprof=,0.020556, id=,B05, PRDE,actvstrat=,-0.689615, actvprof=,0.109169, id=,B06, PRDE,actvstrat=,0.796637, actvprof=,2.100183, id=,S01, PRDE,actvstrat=,-0.240573, actvprof=,1.302110, id=,S03, PRDE,actvstrat=,0.058539, actvprof=,0.641958, id=,S05, PRDE,actvstrat=,0.448494, actvprof=,0.039029, id=,S06, PRDE,actvstrat=,0.579432, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.406722, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.100183, best_B_strat=,0.796637, best_S_id=,S01, best_S_prof=,1.302110, best_S_strat=,-0.240573, 
t=,46800, id=,B01, PRDE,actvstrat=,0.117438, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.693392, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.084824, actvprof=,0.254733, id=,B05, PRDE,actvstrat=,-0.435237, actvprof=,0.735031, id=,B06, PRDE,actvstrat=,-0.491576, actvprof=,1.881189, id=,S01, PRDE,actvstrat=,0.867129, actvprof=,3.293748, id=,S03, PRDE,actvstrat=,0.265354, actvprof=,0.083892, id=,S05, PRDE,actvstrat=,-0.830268, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.408112, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.881189, best_B_strat=,-0.491576, best_S_id=,S01, best_S_prof=,3.293748, best_S_strat=,0.867129, 
t=,50400, id=,B01, PRDE,actvstrat=,0.117438, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.693392, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.084824, actvprof=,0.289450, id=,B05, PRDE,actvstrat=,-0.435237, actvprof=,0.764321, id=,B06, PRDE,actvstrat=,-0.491576, actvprof=,1.897678, id=,S01, PRDE,actvstrat=,0.867129, actvprof=,3.292291, id=,S03, PRDE,actvstrat=,0.265354, actvprof=,0.081668, id=,S05, PRDE,actvstrat=,-0.830268, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.408112, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.897678, best_B_strat=,-0.491576, best_S_id=,S01, best_S_prof=,3.292291, best_S_strat=,0.867129, 
t=,54000, id=,B01, PRDE,actvstrat=,-0.772919, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.323227, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.306688, actvprof=,0.005000, id=,B05, PRDE,actvstrat=,-0.198952, actvprof=,0.077503, id=,B06, PRDE,actvstrat=,0.989076, actvprof=,1.673125, id=,S01, PRDE,actvstrat=,-0.594904, actvprof=,1.442560, id=,S03, PRDE,actvstrat=,0.027871, actvprof=,1.011709, id=,S05, PRDE,actvstrat=,-0.474401, actvprof=,0.004722, id=,S06, PRDE,actvstrat=,0.850756, actvprof=,0.003333, id=,S07, PRDE,actvstrat=,-0.649163, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.673125, best_B_strat=,0.989076, best_S_id=,S01, best_S_prof=,1.442560, best_S_strat=,-0.594904, 
t=,57600, id=,B01, PRDE,actvstrat=,-0.772919, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.323227, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.306688, actvprof=,0.010556, id=,B05, PRDE,actvstrat=,-0.198952, actvprof=,0.082224, id=,B06, PRDE,actvstrat=,0.989076, actvprof=,1.662812, id=,S01, PRDE,actvstrat=,-0.594904, actvprof=,1.391973, id=,S03, PRDE,actvstrat=,0.027871, actvprof=,0.949325, id=,S05, PRDE,actvstrat=,-0.474401, actvprof=,0.007083, id=,S06, PRDE,actvstrat=,0.850756, actvprof=,0.002083, id=,S07, PRDE,actvstrat=,-0.649163, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.662812, best_B_strat=,0.989076, best_S_id=,S01, best_S_prof=,1.391973, best_S_strat=,-0.594904, 
t=,61200, id=,B01, PRDE,actvstrat=,-0.056780, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.815389, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.098248, actvprof=,0.083615, id=,B05, PRDE,actvstrat=,-0.095021, actvprof=,0.761698, id=,B06, PRDE,actvstrat=,-0.231308, actvprof=,1.460339, id=,S01, PRDE,actvstrat=,0.608810, actvprof=,2.633165, id=,S03, PRDE,actvstrat=,0.058539, actvprof=,0.165007, id=,S05, PRDE,actvstrat=,-0.394577, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.714181, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.218267, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.460339, best_B_strat=,-0.231308, best_S_id=,S01, best_S_prof=,2.633165, best_S_strat=,0.608810, 
t=,64800, id=,B01, PRDE,actvstrat=,-0.056780, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.815389, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.098248, actvprof=,0.102224, id=,B05, PRDE,actvstrat=,-0.095021, actvprof=,0.828484, id=,B06, PRDE,actvstrat=,-0.231308, actvprof=,1.657384, id=,S01, PRDE,actvstrat=,0.608810, actvprof=,2.499757, id=,S03, PRDE,actvstrat=,0.058539, actvprof=,0.125002, id=,S05, PRDE,actvstrat=,-0.394577, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.714181, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.218267, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.657384, best_B_strat=,-0.231308, best_S_id=,S01, best_S_prof=,2.499757, best_S_strat=,0.608810, 
t=,68400, id=,B01, PRDE,actvstrat=,-0.573702, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.305858, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.008611, id=,B05, PRDE,actvstrat=,-0.015026, actvprof=,0.187783, id=,B06, PRDE,actvstrat=,0.475906, actvprof=,1.621434, id=,S01, PRDE,actvstrat=,-0.260150, actvprof=,1.098919, id=,S03, PRDE,actvstrat=,0.325597, actvprof=,0.746410, id=,S05, PRDE,actvstrat=,0.573793, actvprof=,0.004167, id=,S06, PRDE,actvstrat=,-0.430172, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.442824, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.621434, best_B_strat=,0.475906, best_S_id=,S01, best_S_prof=,1.098919, best_S_strat=,-0.260150, 
t=,72000, id=,B01, PRDE,actvstrat=,-0.573702, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.305858, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.008611, id=,B05, PRDE,actvstrat=,-0.015026, actvprof=,0.163337, id=,B06, PRDE,actvstrat=,0.475906, actvprof=,1.469058, id=,S01, PRDE,actvstrat=,-0.260150, actvprof=,1.225026, id=,S03, PRDE,actvstrat=,0.325597, actvprof=,0.849879, id=,S05, PRDE,actvstrat=,0.573793, actvprof=,0.017778, id=,S06, PRDE,actvstrat=,-0.430172, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.442824, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.469058, best_B_strat=,0.475906, best_S_id=,S01, best_S_prof=,1.225026, best_S_strat=,-0.260150, 
t=,75600, id=,B01, PRDE,actvstrat=,0.522130, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.307252, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.098248, actvprof=,0.009167, id=,B05, PRDE,actvstrat=,-0.212405, actvprof=,0.250566, id=,B06, PRDE,actvstrat=,-0.545437, actvprof=,0.949206, id=,S01, PRDE,actvstrat=,-0.689883, actvprof=,0.691695, id=,S03, PRDE,actvstrat=,-0.805921, actvprof=,0.036113, id=,S05, PRDE,actvstrat=,0.314556, actvprof=,0.001945, id=,S06, PRDE,actvstrat=,-0.485486, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.660407, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.949206, best_B_strat=,-0.545437, best_S_id=,S01, best_S_prof=,0.691695, best_S_strat=,-0.689883, 
