t=,39600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.690373, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.283179, actvprof=,3.693137, id=,B08, PRDE,actvstrat=,0.035665, actvprof=,4.905755, id=,B09, PRDE,actvstrat=,0.670972, actvprof=,7.894101, id=,S01, PRDE,actvstrat=,0.333000, actvprof=,2.547470, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.407637, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.050005, id=,S07, PRDE,actvstrat=,0.115003, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.668233, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.894101, best_B_strat=,0.670972, best_S_id=,S01, best_S_prof=,2.547470, best_S_strat=,0.333000, 
t=,43200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.690373, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.283179, actvprof=,3.820463, id=,B08, PRDE,actvstrat=,0.035665, actvprof=,4.976492, id=,B09, PRDE,actvstrat=,0.670972, actvprof=,7.895662, id=,S01, PRDE,actvstrat=,0.333000, actvprof=,2.448313, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.337287, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.062503, id=,S07, PRDE,actvstrat=,0.115003, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.668233, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.895662, best_B_strat=,0.670972, best_S_id=,S01, best_S_prof=,2.448313, best_S_strat=,0.333000, 
t=,46800, id=,B00, PRDE,actvstrat=,0.872809, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.690373, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.996448, actvprof=,3.870654, id=,B08, PRDE,actvstrat=,0.675297, actvprof=,5.356354, id=,B09, PRDE,actvstrat=,-0.566764, actvprof=,4.535719, id=,S01, PRDE,actvstrat=,0.086579, actvprof=,2.453294, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,2.134652, id=,S05, PRDE,actvstrat=,-0.498900, actvprof=,0.010557, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.005834, id=,S08, PRDE,actvstrat=,0.093331, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.356354, best_B_strat=,0.675297, best_S_id=,S01, best_S_prof=,2.453294, best_S_strat=,0.086579, 
t=,50400, id=,B00, PRDE,actvstrat=,0.872809, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.690373, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.996448, actvprof=,3.917968, id=,B08, PRDE,actvstrat=,0.675297, actvprof=,5.457904, id=,B09, PRDE,actvstrat=,-0.566764, actvprof=,4.673005, id=,S01, PRDE,actvstrat=,0.086579, actvprof=,2.510400, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,2.061211, id=,S05, PRDE,actvstrat=,-0.498900, actvprof=,0.007084, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.007361, id=,S08, PRDE,actvstrat=,0.093331, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.457904, best_B_strat=,0.675297, best_S_id=,S01, best_S_prof=,2.510400, best_S_strat=,0.086579, 
t=,54000, id=,B00, PRDE,actvstrat=,0.652307, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.398859, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.681871, actvprof=,4.454939, id=,B08, PRDE,actvstrat=,0.115143, actvprof=,5.015557, id=,B09, PRDE,actvstrat=,-0.388203, actvprof=,5.592566, id=,S01, PRDE,actvstrat=,0.269263, actvprof=,2.415268, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.518224, id=,S05, PRDE,actvstrat=,0.982287, actvprof=,0.064452, id=,S07, PRDE,actvstrat=,0.213567, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.074225, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.592566, best_B_strat=,-0.388203, best_S_id=,S01, best_S_prof=,2.415268, best_S_strat=,0.269263, 
t=,57600, id=,B00, PRDE,actvstrat=,0.652307, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.398859, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.681871, actvprof=,4.441188, id=,B08, PRDE,actvstrat=,0.115143, actvprof=,5.141778, id=,B09, PRDE,actvstrat=,-0.388203, actvprof=,5.559020, id=,S01, PRDE,actvstrat=,0.269263, actvprof=,2.432340, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.478266, id=,S05, PRDE,actvstrat=,0.982287, actvprof=,0.058336, id=,S07, PRDE,actvstrat=,0.213567, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.074225, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.559020, best_B_strat=,-0.388203, best_S_id=,S01, best_S_prof=,2.432340, best_S_strat=,0.269263, 
t=,61200, id=,B00, PRDE,actvstrat=,0.565384, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.296351, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.483443, id=,B08, PRDE,actvstrat=,0.331257, actvprof=,4.154350, id=,B09, PRDE,actvstrat=,-0.997930, actvprof=,6.157073, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.998444, id=,S03, PRDE,actvstrat=,-0.620953, actvprof=,0.190855, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.083065, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000833, id=,S08, PRDE,actvstrat=,-0.668233, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.157073, best_B_strat=,-0.997930, best_S_id=,S01, best_S_prof=,5.998444, best_S_strat=,1.000000, 
t=,64800, id=,B00, PRDE,actvstrat=,0.565384, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.296351, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.503920, id=,B08, PRDE,actvstrat=,0.331257, actvprof=,4.125895, id=,B09, PRDE,actvstrat=,-0.997930, actvprof=,6.083212, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,6.011126, id=,S03, PRDE,actvstrat=,-0.620953, actvprof=,0.160841, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.088199, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000694, id=,S08, PRDE,actvstrat=,-0.668233, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.083212, best_B_strat=,-0.997930, best_S_id=,S01, best_S_prof=,6.011126, best_S_strat=,1.000000, 
t=,68400, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.039597, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.821683, actvprof=,4.641840, id=,B08, PRDE,actvstrat=,0.188196, actvprof=,5.155501, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,8.092731, id=,S01, PRDE,actvstrat=,0.971319, actvprof=,4.472935, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.557096, id=,S05, PRDE,actvstrat=,0.943468, actvprof=,0.168350, id=,S07, PRDE,actvstrat=,0.115003, actvprof=,0.000833, id=,S08, PRDE,actvstrat=,-0.686617, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.092731, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.472935, best_S_strat=,0.971319, 
t=,72000, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.039597, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.821683, actvprof=,4.511778, id=,B08, PRDE,actvstrat=,0.188196, actvprof=,5.028196, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,8.055309, id=,S01, PRDE,actvstrat=,0.971319, actvprof=,4.549697, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.568282, id=,S05, PRDE,actvstrat=,0.943468, actvprof=,0.157925, id=,S07, PRDE,actvstrat=,0.115003, actvprof=,0.005278, id=,S08, PRDE,actvstrat=,-0.686617, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.055309, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.549697, best_S_strat=,0.971319, 
t=,75600, id=,B00, PRDE,actvstrat=,0.652307, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.638057, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.681871, actvprof=,3.966552, id=,B08, PRDE,actvstrat=,0.035665, actvprof=,4.459940, id=,B09, PRDE,actvstrat=,-0.388203, actvprof=,4.987499, id=,S01, PRDE,actvstrat=,0.269263, actvprof=,2.063840, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.790199, id=,S05, PRDE,actvstrat=,0.677483, actvprof=,0.062229, id=,S07, PRDE,actvstrat=,0.115003, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.744447, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.987499, best_B_strat=,-0.388203, best_S_id=,S01, best_S_prof=,2.063840, best_S_strat=,0.269263, 
t=,79200, id=,B00, PRDE,actvstrat=,0.652307, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.638057, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.681871, actvprof=,3.860631, id=,B08, PRDE,actvstrat=,0.035665, actvprof=,4.345797, id=,B09, PRDE,actvstrat=,-0.388203, actvprof=,4.931107, id=,S01, PRDE,actvstrat=,0.269263, actvprof=,2.090533, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.876215, id=,S05, PRDE,actvstrat=,0.677483, actvprof=,0.059031, id=,S07, PRDE,actvstrat=,0.115003, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.744447, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.931107, best_B_strat=,-0.388203, best_S_id=,S01, best_S_prof=,2.090533, best_S_strat=,0.269263, 
