B00, 100
B00, Trade, 4319242.193, 140, B00, S02, 1
B00, Trade, 4319246.693, 140, B00, S01, 1
B00, Trade, 4319250.743, 140, B00, S01, 1
B00, Trade, 4319253.793, 140, B00, S04, 1
B00, Trade, 4319256.743, 140, B00, S07, 1
B00, Trade, 4319268.693, 140, B00, S07, 1
B00, Trade, 4319271.043, 140, B00, S00, 1
B00, Trade, 4319277.043, 140, B00, S04, 1
B00, Trade, 4319278.243, 140, B00, S03, 1
B00, Trade, 4319282.543, 140, B00, S01, 1
B00, Trade, 4319305.093, 140, B00, S05, 1
B00, Trade, 4319309.943, 140, B00, S03, 1
B00, Trade, 4319317.443, 140, B00, S01, 1
B00, Trade, 4319326.893, 138, B00, S09, 1
B00, Trade, 4319331.093, 140, B00, S02, 1
B00, Trade, 4319334.943, 139, B00, S01, 1
B00, Trade, 4319363.493, 140, B00, S02, 1
B00, Trade, 4319368.443, 140, B00, S05, 1
B00, Trade, 4319372.293, 140, B00, S09, 1
B00, Trade, 4319376.043, 140, B00, S03, 1
B00, Trade, 4319388.743, 140, B00, S06, 1
B00, Trade, 4319391.343, 140, B00, S07, 1
B00, Trade, 4319394.843, 140, B00, S06, 1
B00, Trade, 4319406.493, 140, B00, S09, 1
B00, Trade, 4319411.143, 140, B00, S00, 1
B00, Trade, 4319419.143, 140, B00, S07, 1
B00, Trade, 4319422.043, 140, B00, S05, 1
B00, Trade, 4319428.843, 140, B00, S03, 1
B00, Trade, 4319450.843, 61, S07, B00, 1
B00, Trade, 4319458.593, 140, B00, S09, 1
B00, Trade, 4319465.343, 140, B00, S02, 1
B00, Trade, 4319469.893, 140, B00, S02, 1
B00, Trade, 4319476.093, 140, B00, S00, 1
B00, Trade, 4319481.893, 140, B00, S09, 1
B00, Trade, 4319492.643, 140, B00, S01, 1
B00, Trade, 4319503.743, 140, B00, S01, 1
B00, Trade, 4319522.243, 64, B00, S07, 1
B00, Trade, 4319536.943, 140, B00, S01, 1
B00, Trade, 4319542.393, 140, B00, S02, 1
B00, Trade, 4319552.243, 140, B00, S07, 1
B00, Trade, 4319579.043, 60, S09, B00, 1
B00, Trade, 4319587.493, 140, B00, S00, 1
B00, Trade, 4319593.193, 140, B00, S09, 1
B00, Trade, 4319595.493, 140, B00, S00, 1
B00, Trade, 4319616.793, 63, B00, S01, 1
B00, Trade, 4319632.143, 61, S09, B00, 1
B00, Trade, 4319642.843, 140, B00, S09, 1
B00, Trade, 4319644.793, 140, B00, S00, 1
B00, Trade, 4319648.493, 137, B00, S07, 1
B00, Trade, 4319654.093, 140, B00, S06, 1
B00, Trade, 4319658.693, 140, B00, S04, 1
B00, Trade, 4319662.443, 140, B00, S06, 1
B00, Trade, 4319669.343, 140, B00, S05, 1
B00, Trade, 4319676.543, 140, B00, S09, 1
B00, Trade, 4319682.743, 138, B00, S07, 1
B00, Trade, 4319689.193, 137, B00, S07, 1
B00, Trade, 4319694.393, 140, B00, S05, 1
B00, Trade, 4319697.893, 140, B00, S03, 1
B00, Trade, 4319702.843, 140, B00, S02, 1
B00, Trade, 4319709.693, 140, B00, S06, 1
B00, Trade, 4319715.093, 140, B00, S00, 1
B00, Trade, 4319725.143, 140, B00, S09, 1
B00, Trade, 4319727.693, 140, B00, S04, 1
B00, Trade, 4319736.093, 140, B00, S04, 1
B00, Trade, 4319736.593, 140, B00, S00, 1
B00, Trade, 4319752.693, 62, S01, B00, 1
B00, Trade, 4319756.943, 140, B00, S05, 1
B00, Trade, 4319761.693, 140, B00, S02, 1
B00, Trade, 4319764.543, 140, B00, S04, 1
B00, Trade, 4319773.143, 140, B00, S02, 1
B00, Trade, 4319777.043, 140, B00, S00, 1
B00, Trade, 4319787.943, 140, B00, S01, 1
B00, Trade, 4319792.293, 140, B00, S08, 1
B00, Trade, 4319797.193, 140, B00, S05, 1
B00, Trade, 4319801.543, 140, B00, S03, 1
B00, Trade, 4319813.443, 140, B00, S02, 1
B00, Trade, 4319818.293, 140, B00, S01, 1
B00, Trade, 4319820.893, 140, B00, S02, 1
B00, Trade, 4319825.343, 140, B00, S07, 1
B00, Trade, 4319830.743, 140, B00, S04, 1
B00, Trade, 4319837.793, 140, B00, S05, 1
B00, Trade, 4319858.893, 140, B00, S07, 1
B00, Trade, 4319861.643, 140, B00, S09, 1
B00, Trade, 4319864.693, 140, B00, S06, 1
B00, Trade, 4319892.243, 61, S05, B00, 1
B00, Trade, 4319898.043, 140, B00, S09, 1
B00, Trade, 4319903.993, 140, B00, S02, 1
B00, Trade, 4319907.243, 140, B00, S03, 1
B00, Trade, 4319910.143, 140, B00, S04, 1
B00, Trade, 4319922.593, 140, B00, S02, 1
B00, Trade, 4319931.643, 140, B00, S05, 1
B00, Trade, 4319942.293, 140, B00, S01, 1
B00, Trade, 4319952.243, 140, B00, S05, 1
B00, Trade, 4319959.593, 140, B00, S01, 1
B00, Trade, 4319962.543, 139, B00, S01, 1
B00, Trade, 4319970.043, 140, B00, S01, 1
B00, Trade, 4319972.643, 140, B00, S04, 1
B00, Trade, 4319980.543, 140, B00, S06, 1
B00, Trade, 4319986.393, 140, B00, S00, 1
B00, Trade, 4319996.393, 140, B00, S02, 1
B01, 100
B01, Trade, 4319387.143, 74, S09, B01, 1
B01, Trade, 4319392.643, 140, B01, S02, 1
B01, Trade, 4319399.143, 140, B01, S01, 1
B01, Trade, 4319406.543, 140, B01, S00, 1
B01, Trade, 4319414.393, 140, B01, S09, 1
B01, Trade, 4319417.243, 135, B01, S00, 1
B01, Trade, 4319422.643, 140, B01, S06, 1
B01, Trade, 4319426.943, 140, B01, S04, 1
B01, Trade, 4319433.593, 137, B01, S06, 1
B01, Trade, 4319437.593, 140, B01, S09, 1
B01, Trade, 4319441.043, 64, S00, B01, 1
B01, Trade, 4319448.693, 60, S03, B01, 1
B01, Trade, 4319456.143, 140, B01, S00, 1
B01, Trade, 4319460.593, 60, S09, B01, 1
B01, Trade, 4319474.293, 140, B01, S06, 1
B01, Trade, 4319478.143, 140, B01, S00, 1
B01, Trade, 4319486.293, 140, B01, S02, 1
B01, Trade, 4319491.493, 140, B01, S09, 1
B01, Trade, 4319495.443, 60, S02, B01, 1
B01, Trade, 4319498.743, 65, S07, B01, 1
B01, Trade, 4319506.643, 140, B01, S00, 1
B01, Trade, 4319514.793, 60, S00, B01, 1
B01, Trade, 4319520.593, 62, S01, B01, 1
B01, Trade, 4319524.493, 124, S06, B01, 1
B01, Trade, 4319530.593, 62, S07, B01, 1
B01, Trade, 4319536.293, 140, B01, S03, 1
B01, Trade, 4319540.343, 69, S00, B01, 1
B01, Trade, 4319548.193, 60, S09, B01, 1
B01, Trade, 4319552.593, 61, S03, B01, 1
B01, Trade, 4319563.243, 66, S00, B01, 1
B01, Trade, 4319564.843, 61, S07, B01, 1
B01, Trade, 4319568.943, 61, S01, B01, 1
B01, Trade, 4319578.443, 60, S01, B01, 1
B01, Trade, 4319588.643, 140, B01, S06, 1
B01, Trade, 4319597.493, 109, S08, B01, 1
B01, Trade, 4319600.793, 90, S06, B01, 1
B01, Trade, 4319607.493, 67, S03, B01, 1
B01, Trade, 4319613.893, 63, S02, B01, 1
B01, Trade, 4319617.343, 94, S04, B01, 1
B01, Trade, 4319623.893, 60, S05, B01, 1
B01, Trade, 4319625.543, 65, S03, B01, 1
B01, Trade, 4319631.043, 60, S01, B01, 1
B01, Trade, 4319637.343, 139, B01, S07, 1
B01, Trade, 4319644.343, 140, B01, S08, 1
B01, Trade, 4319652.893, 140, B01, S02, 1
B01, Trade, 4319658.843, 140, B01, S02, 1
B01, Trade, 4319662.243, 140, B01, S00, 1
B01, Trade, 4319669.093, 140, B01, S09, 1
B01, Trade, 4319672.293, 140, B01, S07, 1
B01, Trade, 4319680.343, 140, B01, S06, 1
B01, Trade, 4319686.893, 140, B01, S05, 1
B01, Trade, 4319694.743, 139, B01, S09, 1
B01, Trade, 4319704.393, 139, B01, S09, 1
B01, Trade, 4319707.743, 140, B01, S07, 1
B01, Trade, 4319718.143, 140, B01, S05, 1
B01, Trade, 4319722.943, 138, B01, S07, 1
B01, Trade, 4319730.243, 134, B01, S02, 1
B01, Trade, 4319736.143, 139, B01, S02, 1
B01, Trade, 4319739.543, 140, B01, S04, 1
B01, Trade, 4319745.943, 60, S05, B01, 1
B01, Trade, 4319756.243, 140, B01, S05, 1
B01, Trade, 4319758.993, 140, B01, S07, 1
B01, Trade, 4319766.343, 139, B01, S02, 1
B01, Trade, 4319771.693, 140, B01, S00, 1
B01, Trade, 4319773.243, 140, B01, S01, 1
B01, Trade, 4319778.493, 60, S00, B01, 1
B01, Trade, 4319783.043, 140, B01, S00, 1
B01, Trade, 4319795.243, 140, B01, S00, 1
B01, Trade, 4319801.643, 140, B01, S01, 1
B01, Trade, 4319806.043, 140, B01, S05, 1
B01, Trade, 4319811.143, 140, B01, S06, 1
B01, Trade, 4319819.443, 140, B01, S05, 1
B01, Trade, 4319825.543, 140, B01, S03, 1
B01, Trade, 4319834.043, 140, B01, S03, 1
B01, Trade, 4319838.343, 134, B01, S09, 1
B01, Trade, 4319845.843, 106, S06, B01, 1
