t=,43200, id=,B02, PRDE,actvstrat=,-0.893501, actvprof=,0.001111, id=,B04, PRDE,actvstrat=,0.155419, actvprof=,0.191671, id=,B05, PRDE,actvstrat=,-0.919875, actvprof=,0.330840, id=,B06, PRDE,actvstrat=,0.447674, actvprof=,2.768113, id=,B08, PRDE,actvstrat=,0.145163, actvprof=,5.433169, id=,S00, PRDE,actvstrat=,0.455686, actvprof=,4.008834, id=,S01, PRDE,actvstrat=,0.495774, actvprof=,2.645333, id=,S05, PRDE,actvstrat=,-0.637629, actvprof=,0.003056, id=,S07, PRDE,actvstrat=,0.029657, actvprof=,0.000278, id=,S09, PRDE,actvstrat=,0.284874, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.433169, best_B_strat=,0.145163, best_S_id=,S00, best_S_prof=,4.008834, best_S_strat=,0.455686, 
t=,46800, id=,B02, PRDE,actvstrat=,-0.893501, actvprof=,0.002778, id=,B04, PRDE,actvstrat=,-0.265580, actvprof=,0.025279, id=,B05, PRDE,actvstrat=,0.057173, actvprof=,0.529467, id=,B06, PRDE,actvstrat=,0.447674, actvprof=,2.168424, id=,B08, PRDE,actvstrat=,0.761183, actvprof=,5.613289, id=,S00, PRDE,actvstrat=,0.035678, actvprof=,3.385141, id=,S01, PRDE,actvstrat=,0.010354, actvprof=,2.517327, id=,S05, PRDE,actvstrat=,-0.856862, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.982196, actvprof=,0.003056, id=,S09, PRDE,actvstrat=,0.295169, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.613289, best_B_strat=,0.761183, best_S_id=,S00, best_S_prof=,3.385141, best_S_strat=,0.035678, 
t=,50400, id=,B02, PRDE,actvstrat=,-0.893501, actvprof=,0.004583, id=,B04, PRDE,actvstrat=,-0.265580, actvprof=,0.032640, id=,B05, PRDE,actvstrat=,0.057173, actvprof=,0.525983, id=,B06, PRDE,actvstrat=,0.447674, actvprof=,2.038931, id=,B08, PRDE,actvstrat=,0.761183, actvprof=,5.511643, id=,S00, PRDE,actvstrat=,0.035678, actvprof=,3.616186, id=,S01, PRDE,actvstrat=,0.010354, actvprof=,2.465607, id=,S05, PRDE,actvstrat=,-0.856862, actvprof=,0.009445, id=,S07, PRDE,actvstrat=,0.982196, actvprof=,0.004583, id=,S09, PRDE,actvstrat=,0.295169, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.511643, best_B_strat=,0.761183, best_S_id=,S00, best_S_prof=,3.616186, best_S_strat=,0.035678, 
t=,54000, id=,B02, PRDE,actvstrat=,-0.893501, actvprof=,0.003611, id=,B04, PRDE,actvstrat=,0.395717, actvprof=,0.178065, id=,B05, PRDE,actvstrat=,0.121043, actvprof=,0.827824, id=,B06, PRDE,actvstrat=,0.246656, actvprof=,2.232902, id=,B08, PRDE,actvstrat=,-0.676284, actvprof=,3.651314, id=,S00, PRDE,actvstrat=,0.226651, actvprof=,3.594922, id=,S01, PRDE,actvstrat=,0.495774, actvprof=,2.909051, id=,S05, PRDE,actvstrat=,-0.183098, actvprof=,0.001945, id=,S07, PRDE,actvstrat=,0.409418, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.122794, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.651314, best_B_strat=,-0.676284, best_S_id=,S00, best_S_prof=,3.594922, best_S_strat=,0.226651, 
t=,57600, id=,B02, PRDE,actvstrat=,-0.893501, actvprof=,0.006111, id=,B04, PRDE,actvstrat=,0.395717, actvprof=,0.164310, id=,B05, PRDE,actvstrat=,0.121043, actvprof=,0.847940, id=,B06, PRDE,actvstrat=,0.246656, actvprof=,2.200894, id=,B08, PRDE,actvstrat=,-0.676284, actvprof=,3.683575, id=,S00, PRDE,actvstrat=,0.226651, actvprof=,3.560377, id=,S01, PRDE,actvstrat=,0.495774, actvprof=,2.931887, id=,S05, PRDE,actvstrat=,-0.183098, actvprof=,0.000972, id=,S07, PRDE,actvstrat=,0.409418, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.122794, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.683575, best_B_strat=,-0.676284, best_S_id=,S00, best_S_prof=,3.560377, best_S_strat=,0.226651, 
t=,61200, id=,B02, PRDE,actvstrat=,0.862991, actvprof=,0.006389, id=,B04, PRDE,actvstrat=,0.495217, actvprof=,0.101949, id=,B05, PRDE,actvstrat=,0.121043, actvprof=,0.696973, id=,B06, PRDE,actvstrat=,0.447674, actvprof=,2.254816, id=,B08, PRDE,actvstrat=,-0.676284, actvprof=,3.398753, id=,S00, PRDE,actvstrat=,0.455686, actvprof=,4.560746, id=,S01, PRDE,actvstrat=,-0.597096, actvprof=,1.114769, id=,S05, PRDE,actvstrat=,-0.567510, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.697694, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.159918, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.398753, best_B_strat=,-0.676284, best_S_id=,S00, best_S_prof=,4.560746, best_S_strat=,0.455686, 
t=,64800, id=,B02, PRDE,actvstrat=,0.862991, actvprof=,0.005139, id=,B04, PRDE,actvstrat=,0.495217, actvprof=,0.100697, id=,B05, PRDE,actvstrat=,0.121043, actvprof=,0.666542, id=,B06, PRDE,actvstrat=,0.447674, actvprof=,2.209213, id=,B08, PRDE,actvstrat=,-0.676284, actvprof=,3.194094, id=,S00, PRDE,actvstrat=,0.455686, actvprof=,4.592735, id=,S01, PRDE,actvstrat=,-0.597096, actvprof=,1.120857, id=,S05, PRDE,actvstrat=,-0.567510, actvprof=,0.001111, id=,S07, PRDE,actvstrat=,-0.697694, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.159918, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.194094, best_B_strat=,-0.676284, best_S_id=,S00, best_S_prof=,4.592735, best_S_strat=,0.455686, 
t=,68400, id=,B02, PRDE,actvstrat=,0.293804, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.155419, actvprof=,0.167509, id=,B05, PRDE,actvstrat=,-0.370867, actvprof=,0.484749, id=,B06, PRDE,actvstrat=,-0.928228, actvprof=,0.333907, id=,B08, PRDE,actvstrat=,0.145163, actvprof=,5.895883, id=,S00, PRDE,actvstrat=,0.455686, actvprof=,3.909939, id=,S01, PRDE,actvstrat=,-0.786638, actvprof=,0.433913, id=,S05, PRDE,actvstrat=,-0.637629, actvprof=,0.001111, id=,S07, PRDE,actvstrat=,0.257370, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.250010, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.895883, best_B_strat=,0.145163, best_S_id=,S00, best_S_prof=,3.909939, best_S_strat=,0.455686, 
t=,72000, id=,B02, PRDE,actvstrat=,0.293804, actvprof=,0.000417, id=,B04, PRDE,actvstrat=,0.155419, actvprof=,0.189311, id=,B05, PRDE,actvstrat=,-0.370867, actvprof=,0.546960, id=,B06, PRDE,actvstrat=,-0.928228, actvprof=,0.320842, id=,B08, PRDE,actvstrat=,0.145163, actvprof=,5.941971, id=,S00, PRDE,actvstrat=,0.455686, actvprof=,3.796217, id=,S01, PRDE,actvstrat=,-0.786638, actvprof=,0.436540, id=,S05, PRDE,actvstrat=,-0.637629, actvprof=,0.000556, id=,S07, PRDE,actvstrat=,0.257370, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.250010, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.941971, best_B_strat=,0.145163, best_S_id=,S00, best_S_prof=,3.796217, best_S_strat=,0.455686, 
t=,75600, id=,B02, PRDE,actvstrat=,0.025036, actvprof=,0.005000, id=,B04, PRDE,actvstrat=,0.395717, actvprof=,0.507250, id=,B05, PRDE,actvstrat=,-0.370867, actvprof=,0.813379, id=,B06, PRDE,actvstrat=,-0.928228, actvprof=,0.784210, id=,B08, PRDE,actvstrat=,0.145163, actvprof=,6.380910, id=,S00, PRDE,actvstrat=,0.455686, actvprof=,3.304072, id=,S01, PRDE,actvstrat=,0.964984, actvprof=,3.331574, id=,S05, PRDE,actvstrat=,0.948232, actvprof=,0.012501, id=,S07, PRDE,actvstrat=,-0.793648, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.754232, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.380910, best_B_strat=,0.145163, best_S_id=,S01, best_S_prof=,3.331574, best_S_strat=,0.964984, 
