t=,39600, id=,B01, PRDE,actvstrat=,-0.290095, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.204516, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.751523, actvprof=,0.027224, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.274533, id=,B08, PRDE,actvstrat=,-0.308234, actvprof=,2.097090, id=,S00, PRDE,actvstrat=,-0.817209, actvprof=,2.288214, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,6.634350, id=,S03, PRDE,actvstrat=,-0.278051, actvprof=,0.533648, id=,S05, PRDE,actvstrat=,0.579148, actvprof=,0.081117, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.007223, best_B_id=,B08, best_B_prof=,2.097090, best_B_strat=,-0.308234, best_S_id=,S01, best_S_prof=,6.634350, best_S_strat=,1.000000, 
t=,43200, id=,B01, PRDE,actvstrat=,-0.290095, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.204516, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.751523, actvprof=,0.028890, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.268655, id=,B08, PRDE,actvstrat=,-0.308234, actvprof=,1.994653, id=,S00, PRDE,actvstrat=,-0.817209, actvprof=,2.220910, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,6.619535, id=,S03, PRDE,actvstrat=,-0.278051, actvprof=,0.542797, id=,S05, PRDE,actvstrat=,0.579148, actvprof=,0.071114, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.005972, best_B_id=,B08, best_B_prof=,1.994653, best_B_strat=,-0.308234, best_S_id=,S01, best_S_prof=,6.619535, best_S_strat=,1.000000, 
t=,46800, id=,B01, PRDE,actvstrat=,0.526521, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.033199, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.709486, actvprof=,0.011945, id=,B06, PRDE,actvstrat=,-0.903227, actvprof=,0.155566, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.275366, id=,S00, PRDE,actvstrat=,0.064539, actvprof=,4.192513, id=,S01, PRDE,actvstrat=,0.734480, actvprof=,4.905063, id=,S03, PRDE,actvstrat=,-0.846456, actvprof=,0.020279, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.008056, id=,S06, PRDE,actvstrat=,0.548747, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.275366, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.905063, best_S_strat=,0.734480, 
t=,50400, id=,B01, PRDE,actvstrat=,0.526521, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.033199, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.709486, actvprof=,0.020556, id=,B06, PRDE,actvstrat=,-0.903227, actvprof=,0.164310, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.331676, id=,S00, PRDE,actvstrat=,0.064539, actvprof=,4.319703, id=,S01, PRDE,actvstrat=,0.734480, actvprof=,4.896108, id=,S03, PRDE,actvstrat=,-0.846456, actvprof=,0.023473, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.005000, id=,S06, PRDE,actvstrat=,0.548747, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.331676, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.896108, best_S_strat=,0.734480, 
t=,54000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000833, id=,B04, PRDE,actvstrat=,0.704901, actvprof=,0.059725, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.157270, id=,B08, PRDE,actvstrat=,0.116865, actvprof=,3.007903, id=,S00, PRDE,actvstrat=,0.062450, actvprof=,5.154937, id=,S01, PRDE,actvstrat=,0.185239, actvprof=,4.261289, id=,S03, PRDE,actvstrat=,-0.278051, actvprof=,0.473631, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.433907, id=,S06, PRDE,actvstrat=,0.377871, actvprof=,0.007500, best_B_id=,B08, best_B_prof=,3.007903, best_B_strat=,0.116865, best_S_id=,S00, best_S_prof=,5.154937, best_S_strat=,0.062450, 
t=,57600, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000833, id=,B04, PRDE,actvstrat=,0.704901, actvprof=,0.056252, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.364631, id=,B08, PRDE,actvstrat=,0.116865, actvprof=,3.141637, id=,S00, PRDE,actvstrat=,0.062450, actvprof=,5.102538, id=,S01, PRDE,actvstrat=,0.185239, actvprof=,4.039724, id=,S03, PRDE,actvstrat=,-0.278051, actvprof=,0.484461, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.359457, id=,S06, PRDE,actvstrat=,0.377871, actvprof=,0.009723, best_B_id=,B08, best_B_prof=,3.141637, best_B_strat=,0.116865, best_S_id=,S00, best_S_prof=,5.102538, best_S_strat=,0.062450, 
t=,61200, id=,B01, PRDE,actvstrat=,0.614536, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.186850, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.267586, actvprof=,0.024724, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.295923, id=,B08, PRDE,actvstrat=,-0.345690, actvprof=,2.037086, id=,S00, PRDE,actvstrat=,0.074762, actvprof=,5.313980, id=,S01, PRDE,actvstrat=,0.185239, actvprof=,4.012223, id=,S03, PRDE,actvstrat=,0.242623, actvprof=,1.555108, id=,S05, PRDE,actvstrat=,-0.197194, actvprof=,0.024724, id=,S06, PRDE,actvstrat=,0.377871, actvprof=,0.002222, best_B_id=,B08, best_B_prof=,2.037086, best_B_strat=,-0.345690, best_S_id=,S00, best_S_prof=,5.313980, best_S_strat=,0.074762, 
t=,64800, id=,B01, PRDE,actvstrat=,0.614536, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.186850, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.267586, actvprof=,0.025279, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.256433, id=,B08, PRDE,actvstrat=,-0.345690, actvprof=,2.033404, id=,S00, PRDE,actvstrat=,0.074762, actvprof=,5.298934, id=,S01, PRDE,actvstrat=,0.185239, actvprof=,4.045279, id=,S03, PRDE,actvstrat=,0.242623, actvprof=,1.595750, id=,S05, PRDE,actvstrat=,-0.197194, actvprof=,0.015278, id=,S06, PRDE,actvstrat=,0.377871, actvprof=,0.002639, best_B_id=,B08, best_B_prof=,2.033404, best_B_strat=,-0.345690, best_S_id=,S00, best_S_prof=,5.298934, best_S_strat=,0.074762, 
t=,68400, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.003611, id=,B04, PRDE,actvstrat=,0.607821, actvprof=,0.131674, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.701261, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.722818, id=,S00, PRDE,actvstrat=,0.685117, actvprof=,5.766709, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.101672, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.697039, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.004167, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.722818, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,5.766709, best_S_strat=,0.685117, 
t=,72000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.002222, id=,B04, PRDE,actvstrat=,0.607821, actvprof=,0.117643, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.763151, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.708948, id=,S00, PRDE,actvstrat=,0.685117, actvprof=,5.727282, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.037397, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.717976, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.004167, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.708948, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,5.727282, best_S_strat=,0.685117, 
t=,75600, id=,B01, PRDE,actvstrat=,0.447021, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.074971, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.299472, actvprof=,0.017224, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.399400, id=,B08, PRDE,actvstrat=,-0.770790, actvprof=,2.886670, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,4.876585, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.249677, id=,S03, PRDE,actvstrat=,0.494727, actvprof=,1.101218, id=,S05, PRDE,actvstrat=,-0.502143, actvprof=,0.001111, id=,S06, PRDE,actvstrat=,0.499144, actvprof=,0.000278, best_B_id=,B08, best_B_prof=,2.886670, best_B_strat=,-0.770790, best_S_id=,S01, best_S_prof=,5.249677, best_S_strat=,1.000000, 
t=,79200, id=,B01, PRDE,actvstrat=,0.447021, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.074971, actvprof=,0.000972, id=,B04, PRDE,actvstrat=,-0.299472, actvprof=,0.022501, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.430813, id=,B08, PRDE,actvstrat=,-0.770790, actvprof=,2.768746, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,4.829818, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.198308, id=,S03, PRDE,actvstrat=,0.494727, actvprof=,1.032411, id=,S05, PRDE,actvstrat=,-0.502143, actvprof=,0.003472, id=,S06, PRDE,actvstrat=,0.499144, actvprof=,0.000139, best_B_id=,B08, best_B_prof=,2.768746, best_B_strat=,-0.770790, best_S_id=,S01, best_S_prof=,5.198308, best_S_strat=,1.000000, 
t=,82800, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.071246, actvprof=,0.026391, id=,B06, PRDE,actvstrat=,-0.556655, actvprof=,0.643396, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.241621, id=,S00, PRDE,actvstrat=,0.197020, actvprof=,4.255136, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.425430, id=,S03, PRDE,actvstrat=,-0.664271, actvprof=,0.136124, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.010557, id=,S06, PRDE,actvstrat=,0.245333, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.241621, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.425430, best_S_strat=,-1.000000, 
