t=,43200, id=,B00, PRDE,actvstrat=,0.090519, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.254127, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.957030, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.114589, actvprof=,0.583072, id=,B07, PRDE,actvstrat=,0.750105, actvprof=,3.555377, id=,S00, PRDE,actvstrat=,-0.313975, actvprof=,1.201283, id=,S01, PRDE,actvstrat=,0.640842, actvprof=,3.719826, id=,S04, PRDE,actvstrat=,-0.929865, actvprof=,0.003472, id=,S06, PRDE,actvstrat=,0.519589, actvprof=,0.001667, id=,S09, PRDE,actvstrat=,0.857208, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.555377, best_B_strat=,0.750105, best_S_id=,S01, best_S_prof=,3.719826, best_S_strat=,0.640842, 
t=,46800, id=,B00, PRDE,actvstrat=,-0.028294, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.254127, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.167160, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.119321, actvprof=,0.555031, id=,B07, PRDE,actvstrat=,0.363866, actvprof=,2.707928, id=,S00, PRDE,actvstrat=,0.102920, actvprof=,3.080171, id=,S01, PRDE,actvstrat=,-0.177738, actvprof=,0.884216, id=,S04, PRDE,actvstrat=,-0.891619, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.041690, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.685838, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.707928, best_B_strat=,0.363866, best_S_id=,S00, best_S_prof=,3.080171, best_S_strat=,0.102920, 
t=,50400, id=,B00, PRDE,actvstrat=,-0.028294, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.254127, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.167160, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.119321, actvprof=,0.616128, id=,B07, PRDE,actvstrat=,0.363866, actvprof=,2.820773, id=,S00, PRDE,actvstrat=,0.102920, actvprof=,3.099669, id=,S01, PRDE,actvstrat=,-0.177738, actvprof=,0.838912, id=,S04, PRDE,actvstrat=,-0.891619, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.041690, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.685838, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.820773, best_B_strat=,0.363866, best_S_id=,S00, best_S_prof=,3.099669, best_S_strat=,0.102920, 
t=,54000, id=,B00, PRDE,actvstrat=,-0.845989, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.532129, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.789499, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.478421, actvprof=,1.065059, id=,B07, PRDE,actvstrat=,-0.013772, actvprof=,3.226290, id=,S00, PRDE,actvstrat=,-0.749528, actvprof=,0.651147, id=,S01, PRDE,actvstrat=,0.640842, actvprof=,2.880160, id=,S04, PRDE,actvstrat=,0.907264, actvprof=,0.093339, id=,S06, PRDE,actvstrat=,0.502847, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.857208, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.226290, best_B_strat=,-0.013772, best_S_id=,S01, best_S_prof=,2.880160, best_S_strat=,0.640842, 
t=,57600, id=,B00, PRDE,actvstrat=,-0.845989, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.532129, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.789499, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.478421, actvprof=,1.008084, id=,B07, PRDE,actvstrat=,-0.013772, actvprof=,3.175088, id=,S00, PRDE,actvstrat=,-0.749528, actvprof=,0.571544, id=,S01, PRDE,actvstrat=,0.640842, actvprof=,2.914664, id=,S04, PRDE,actvstrat=,0.907264, actvprof=,0.122781, id=,S06, PRDE,actvstrat=,0.502847, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.857208, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.175088, best_B_strat=,-0.013772, best_S_id=,S01, best_S_prof=,2.914664, best_S_strat=,0.640842, 
t=,61200, id=,B00, PRDE,actvstrat=,0.867415, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.278738, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.082962, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.060937, actvprof=,1.065059, id=,B07, PRDE,actvstrat=,0.712139, actvprof=,3.538252, id=,S00, PRDE,actvstrat=,-0.129652, actvprof=,1.453692, id=,S01, PRDE,actvstrat=,0.779651, actvprof=,4.448858, id=,S04, PRDE,actvstrat=,0.435804, actvprof=,0.121396, id=,S06, PRDE,actvstrat=,0.519589, actvprof=,0.001667, id=,S09, PRDE,actvstrat=,-0.335334, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.538252, best_B_strat=,0.712139, best_S_id=,S01, best_S_prof=,4.448858, best_S_strat=,0.779651, 
t=,64800, id=,B00, PRDE,actvstrat=,0.867415, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.278738, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.082962, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.060937, actvprof=,1.046557, id=,B07, PRDE,actvstrat=,0.712139, actvprof=,3.567321, id=,S00, PRDE,actvstrat=,-0.129652, actvprof=,1.460318, id=,S01, PRDE,actvstrat=,0.779651, actvprof=,4.557488, id=,S04, PRDE,actvstrat=,0.435804, actvprof=,0.111809, id=,S06, PRDE,actvstrat=,0.519589, actvprof=,0.000833, id=,S09, PRDE,actvstrat=,-0.335334, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.567321, best_B_strat=,0.712139, best_S_id=,S01, best_S_prof=,4.557488, best_S_strat=,0.779651, 
t=,68400, id=,B00, PRDE,actvstrat=,0.090519, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.864744, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.482990, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.724191, actvprof=,0.357520, id=,B07, PRDE,actvstrat=,0.296718, actvprof=,2.826824, id=,S00, PRDE,actvstrat=,-0.129652, actvprof=,1.572865, id=,S01, PRDE,actvstrat=,-0.772242, actvprof=,0.429468, id=,S04, PRDE,actvstrat=,-0.929865, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.502847, actvprof=,0.002500, id=,S09, PRDE,actvstrat=,0.434529, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.826824, best_B_strat=,0.296718, best_S_id=,S00, best_S_prof=,1.572865, best_S_strat=,-0.129652, 
t=,72000, id=,B00, PRDE,actvstrat=,0.090519, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.864744, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.482990, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.724191, actvprof=,0.357927, id=,B07, PRDE,actvstrat=,0.296718, actvprof=,2.778966, id=,S00, PRDE,actvstrat=,-0.129652, actvprof=,1.673796, id=,S01, PRDE,actvstrat=,-0.772242, actvprof=,0.374455, id=,S04, PRDE,actvstrat=,-0.929865, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.502847, actvprof=,0.001250, id=,S09, PRDE,actvstrat=,0.434529, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.778966, best_B_strat=,0.296718, best_S_id=,S00, best_S_prof=,1.673796, best_S_strat=,-0.129652, 
t=,75600, id=,B00, PRDE,actvstrat=,-0.845989, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.561801, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.206549, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.114589, actvprof=,0.610034, id=,B07, PRDE,actvstrat=,0.722612, actvprof=,3.514640, id=,S00, PRDE,actvstrat=,-0.411918, actvprof=,1.185899, id=,S01, PRDE,actvstrat=,0.214975, actvprof=,2.432357, id=,S04, PRDE,actvstrat=,0.435804, actvprof=,0.137785, id=,S06, PRDE,actvstrat=,0.896377, actvprof=,0.003334, id=,S09, PRDE,actvstrat=,0.434529, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.514640, best_B_strat=,0.722612, best_S_id=,S01, best_S_prof=,2.432357, best_S_strat=,0.214975, 
t=,79200, id=,B00, PRDE,actvstrat=,-0.845989, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.561801, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.206549, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.114589, actvprof=,0.600294, id=,B07, PRDE,actvstrat=,0.722612, actvprof=,3.468985, id=,S00, PRDE,actvstrat=,-0.411918, actvprof=,1.196005, id=,S01, PRDE,actvstrat=,0.214975, actvprof=,2.339093, id=,S04, PRDE,actvstrat=,0.435804, actvprof=,0.126531, id=,S06, PRDE,actvstrat=,0.896377, actvprof=,0.001944, id=,S09, PRDE,actvstrat=,0.434529, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.468985, best_B_strat=,0.722612, best_S_id=,S01, best_S_prof=,2.339093, best_S_strat=,0.214975, 
t=,82800, id=,B00, PRDE,actvstrat=,0.920938, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.490346, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.957030, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.393161, actvprof=,1.276182, id=,B07, PRDE,actvstrat=,-0.830465, actvprof=,0.622535, id=,S00, PRDE,actvstrat=,-0.854563, actvprof=,0.279182, id=,S01, PRDE,actvstrat=,-0.418390, actvprof=,0.753375, id=,S04, PRDE,actvstrat=,-0.046695, actvprof=,0.015556, id=,S06, PRDE,actvstrat=,0.064547, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.691382, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.276182, best_B_strat=,0.393161, best_S_id=,S01, best_S_prof=,0.753375, best_S_strat=,-0.418390, 
