t=,43200, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,B02, PRDE,actvstrat=,-0.575037, actvprof=,0.003472, id=,B06, PRDE,actvstrat=,0.502663, actvprof=,1.681031, id=,B07, PRDE,actvstrat=,-0.231070, actvprof=,1.793673, id=,B08, PRDE,actvstrat=,-0.281653, actvprof=,3.245113, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.585784, id=,S01, PRDE,actvstrat=,-0.262823, actvprof=,2.074933, id=,S03, PRDE,actvstrat=,0.136316, actvprof=,0.708636, id=,S06, PRDE,actvstrat=,-0.520457, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.175872, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.245113, best_B_strat=,-0.281653, best_S_id=,S00, best_S_prof=,6.585784, best_S_strat=,1.000000, 
t=,46800, id=,B01, PRDE,actvstrat=,-0.474546, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.924198, actvprof=,0.013334, id=,B06, PRDE,actvstrat=,0.672825, actvprof=,1.421230, id=,B07, PRDE,actvstrat=,0.574056, actvprof=,2.612162, id=,B08, PRDE,actvstrat=,0.966610, actvprof=,4.490096, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.963080, id=,S01, PRDE,actvstrat=,0.806599, actvprof=,5.379893, id=,S03, PRDE,actvstrat=,-0.141768, actvprof=,0.699503, id=,S06, PRDE,actvstrat=,0.834658, actvprof=,0.068895, id=,S09, PRDE,actvstrat=,0.828767, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.490096, best_B_strat=,0.966610, best_S_id=,S00, best_S_prof=,6.963080, best_S_strat=,1.000000, 
t=,50400, id=,B01, PRDE,actvstrat=,-0.474546, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.924198, actvprof=,0.012501, id=,B06, PRDE,actvstrat=,0.672825, actvprof=,1.396308, id=,B07, PRDE,actvstrat=,0.574056, actvprof=,2.632332, id=,B08, PRDE,actvstrat=,0.966610, actvprof=,4.467547, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.966262, id=,S01, PRDE,actvstrat=,0.806599, actvprof=,5.374391, id=,S03, PRDE,actvstrat=,-0.141768, actvprof=,0.667111, id=,S06, PRDE,actvstrat=,0.834658, actvprof=,0.073336, id=,S09, PRDE,actvstrat=,0.828767, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.467547, best_B_strat=,0.966610, best_S_id=,S00, best_S_prof=,6.966262, best_S_strat=,1.000000, 
t=,54000, id=,B01, PRDE,actvstrat=,-0.426536, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.854252, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.770351, actvprof=,2.553824, id=,B07, PRDE,actvstrat=,-0.861325, actvprof=,0.833125, id=,B08, PRDE,actvstrat=,0.328436, actvprof=,4.997916, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.646582, id=,S01, PRDE,actvstrat=,0.005216, actvprof=,3.001083, id=,S03, PRDE,actvstrat=,0.033521, actvprof=,0.576437, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.007223, id=,S09, PRDE,actvstrat=,-0.381837, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.997916, best_B_strat=,0.328436, best_S_id=,S00, best_S_prof=,5.646582, best_S_strat=,-1.000000, 
t=,57600, id=,B01, PRDE,actvstrat=,-0.426536, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.854252, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.770351, actvprof=,2.532189, id=,B07, PRDE,actvstrat=,-0.861325, actvprof=,0.850591, id=,B08, PRDE,actvstrat=,0.328436, actvprof=,5.050349, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.658152, id=,S01, PRDE,actvstrat=,0.005216, actvprof=,2.935539, id=,S03, PRDE,actvstrat=,0.033521, actvprof=,0.557940, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.005278, id=,S09, PRDE,actvstrat=,-0.381837, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.050349, best_B_strat=,0.328436, best_S_id=,S00, best_S_prof=,5.658152, best_S_strat=,-1.000000, 
t=,61200, id=,B01, PRDE,actvstrat=,-0.426536, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.437168, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.909254, actvprof=,0.338639, id=,B07, PRDE,actvstrat=,0.194135, actvprof=,3.159152, id=,B08, PRDE,actvstrat=,0.180215, actvprof=,4.872906, id=,S00, PRDE,actvstrat=,0.184245, actvprof=,4.422313, id=,S01, PRDE,actvstrat=,-0.019140, actvprof=,2.534378, id=,S03, PRDE,actvstrat=,0.613726, actvprof=,0.879240, id=,S06, PRDE,actvstrat=,-0.005693, actvprof=,0.002778, id=,S09, PRDE,actvstrat=,-0.381837, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.872906, best_B_strat=,0.180215, best_S_id=,S00, best_S_prof=,4.422313, best_S_strat=,0.184245, 
t=,64800, id=,B01, PRDE,actvstrat=,-0.426536, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.437168, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.909254, actvprof=,0.339181, id=,B07, PRDE,actvstrat=,0.194135, actvprof=,3.152215, id=,B08, PRDE,actvstrat=,0.180215, actvprof=,4.781171, id=,S00, PRDE,actvstrat=,0.184245, actvprof=,4.407545, id=,S01, PRDE,actvstrat=,-0.019140, actvprof=,2.493715, id=,S03, PRDE,actvstrat=,0.613726, actvprof=,0.853647, id=,S06, PRDE,actvstrat=,-0.005693, actvprof=,0.003750, id=,S09, PRDE,actvstrat=,-0.381837, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.781171, best_B_strat=,0.180215, best_S_id=,S00, best_S_prof=,4.407545, best_S_strat=,0.184245, 
t=,68400, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.402114, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.138261, actvprof=,0.802567, id=,B07, PRDE,actvstrat=,-0.434924, actvprof=,1.681807, id=,B08, PRDE,actvstrat=,0.215294, actvprof=,4.310359, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.846959, id=,S01, PRDE,actvstrat=,-0.179082, actvprof=,1.903492, id=,S03, PRDE,actvstrat=,-0.356126, actvprof=,0.255299, id=,S06, PRDE,actvstrat=,-0.577750, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.840398, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.310359, best_B_strat=,0.215294, best_S_id=,S00, best_S_prof=,6.846959, best_S_strat=,1.000000, 
t=,72000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.402114, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.138261, actvprof=,0.821979, id=,B07, PRDE,actvstrat=,-0.434924, actvprof=,1.754518, id=,B08, PRDE,actvstrat=,0.215294, actvprof=,4.320041, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.767088, id=,S01, PRDE,actvstrat=,-0.179082, actvprof=,2.025501, id=,S03, PRDE,actvstrat=,-0.356126, actvprof=,0.218204, id=,S06, PRDE,actvstrat=,-0.577750, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.840398, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.320041, best_B_strat=,0.215294, best_S_id=,S00, best_S_prof=,6.767088, best_S_strat=,1.000000, 
t=,75600, id=,B01, PRDE,actvstrat=,-0.961084, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.839286, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.249845, actvprof=,0.490874, id=,B07, PRDE,actvstrat=,-0.434924, actvprof=,1.517349, id=,B08, PRDE,actvstrat=,0.678723, actvprof=,5.328500, id=,S00, PRDE,actvstrat=,-0.866240, actvprof=,1.378726, id=,S01, PRDE,actvstrat=,-0.092794, actvprof=,2.642165, id=,S03, PRDE,actvstrat=,0.033521, actvprof=,0.684501, id=,S06, PRDE,actvstrat=,0.203499, actvprof=,0.001945, id=,S09, PRDE,actvstrat=,0.840398, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.328500, best_B_strat=,0.678723, best_S_id=,S01, best_S_prof=,2.642165, best_S_strat=,-0.092794, 
