B00, 0
B01, 0
B02, 1
B02, Trade, 583863.000, 76, S00, B02, 1
B03, 100
B03, Trade, 4302361.293, 82, B03, S02, 1
B03, Trade, 4302375.343, 85, B03, S02, 1
B03, Trade, 4302483.743, 86, B03, S02, 1
B03, Trade, 4302706.443, 86, B03, S02, 1
B03, Trade, 4302756.693, 85, B03, S02, 1
B03, Trade, 4303053.043, 78, B03, S02, 1
B03, Trade, 4303209.893, 85, S02, B03, 1
B03, Trade, 4303220.843, 86, B03, S02, 1
B03, Trade, 4303295.193, 77, B03, S02, 1
B03, Trade, 4303420.943, 86, B03, S03, 1
B03, Trade, 4303446.343, 86, B03, S03, 1
B03, Trade, 4303730.843, 86, B03, S02, 1
B03, Trade, 4303738.593, 84, B03, S02, 1
B03, Trade, 4303751.043, 77, B03, S02, 1
B03, Trade, 4303916.093, 77, S02, B03, 1
B03, Trade, 4304000.993, 78, S02, B03, 1
B03, Trade, 4304023.793, 80, B03, S02, 1
B03, Trade, 4304156.343, 84, B03, S02, 1
B03, Trade, 4304369.643, 82, B03, S02, 1
B03, Trade, 4304393.293, 85, B03, S02, 1
B03, Trade, 4304640.993, 85, B03, S02, 1
B03, Trade, 4304671.693, 79, S02, B03, 1
B03, Trade, 4304805.043, 77, S02, B03, 1
B03, Trade, 4304837.293, 86, S01, B03, 1
B03, Trade, 4304888.743, 77, B03, S02, 1
B03, Trade, 4305024.393, 84, B03, S02, 1
B03, Trade, 4305042.093, 84, B03, S02, 1
B03, Trade, 4305186.793, 86, B03, S03, 1
B03, Trade, 4305246.493, 83, B03, S02, 1
B03, Trade, 4305288.143, 79, S02, B03, 1
B03, Trade, 4305620.543, 86, B03, S02, 1
B03, Trade, 4306114.643, 86, S01, B03, 1
B03, Trade, 4307186.643, 86, B03, S02, 1
B03, Trade, 4308142.243, 80, S02, B03, 1
B03, Trade, 4308227.843, 83, B03, S02, 1
B03, Trade, 4308471.743, 83, B03, S02, 1
B03, Trade, 4309896.393, 83, B03, S02, 1
B03, Trade, 4310423.043, 86, S00, B03, 1
B03, Trade, 4310506.993, 86, S03, B03, 1
B03, Trade, 4310516.593, 86, B03, S03, 1
B03, Trade, 4312212.093, 86, S01, B03, 1
B03, Trade, 4313080.293, 86, B03, S02, 1
B03, Trade, 4313090.343, 86, S00, B03, 1
B03, Trade, 4313104.193, 80, S02, B03, 1
B03, Trade, 4313230.643, 77, S02, B03, 1
B03, Trade, 4313453.693, 85, B03, S02, 1
B03, Trade, 4313488.293, 86, B03, S02, 1
B03, Trade, 4314222.693, 81, B03, S02, 1
B03, Trade, 4314246.893, 82, B03, S02, 1
B03, Trade, 4314286.293, 78, B03, S02, 1
B03, Trade, 4314323.993, 77, S02, B03, 1
B03, Trade, 4314368.243, 86, B03, S02, 1
