t=,39600, id=,B00, PRDE,actvstrat=,-0.194915, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.911425, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.553107, actvprof=,0.201950, id=,B07, PRDE,actvstrat=,0.929956, actvprof=,2.788133, id=,B09, PRDE,actvstrat=,-0.371462, actvprof=,3.593989, id=,S01, PRDE,actvstrat=,0.902318, actvprof=,5.834607, id=,S03, PRDE,actvstrat=,0.678943, actvprof=,1.961166, id=,S04, PRDE,actvstrat=,-0.232006, actvprof=,0.098058, id=,S05, PRDE,actvstrat=,-0.535280, actvprof=,0.020556, id=,S08, PRDE,actvstrat=,0.941156, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.593989, best_B_strat=,-0.371462, best_S_id=,S01, best_S_prof=,5.834607, best_S_strat=,0.902318, 
t=,43200, id=,B00, PRDE,actvstrat=,-0.194915, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.911425, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.553107, actvprof=,0.210838, id=,B07, PRDE,actvstrat=,0.929956, actvprof=,2.816864, id=,B09, PRDE,actvstrat=,-0.371462, actvprof=,3.627020, id=,S01, PRDE,actvstrat=,0.902318, actvprof=,5.744425, id=,S03, PRDE,actvstrat=,0.678943, actvprof=,1.923790, id=,S04, PRDE,actvstrat=,-0.232006, actvprof=,0.103335, id=,S05, PRDE,actvstrat=,-0.535280, actvprof=,0.022223, id=,S08, PRDE,actvstrat=,0.941156, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.627020, best_B_strat=,-0.371462, best_S_id=,S01, best_S_prof=,5.744425, best_S_strat=,0.902318, 
t=,46800, id=,B00, PRDE,actvstrat=,0.035351, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.129514, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.006501, actvprof=,0.073060, id=,B07, PRDE,actvstrat=,-0.344020, actvprof=,0.916440, id=,B09, PRDE,actvstrat=,-0.644520, actvprof=,3.638258, id=,S01, PRDE,actvstrat=,-0.615317, actvprof=,1.530918, id=,S03, PRDE,actvstrat=,0.280661, actvprof=,1.058392, id=,S04, PRDE,actvstrat=,-0.608542, actvprof=,0.041669, id=,S05, PRDE,actvstrat=,-0.539711, actvprof=,0.004167, id=,S08, PRDE,actvstrat=,0.569809, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.638258, best_B_strat=,-0.644520, best_S_id=,S01, best_S_prof=,1.530918, best_S_strat=,-0.615317, 
t=,50400, id=,B00, PRDE,actvstrat=,0.035351, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.129514, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.006501, actvprof=,0.075002, id=,B07, PRDE,actvstrat=,-0.344020, actvprof=,1.018362, id=,B09, PRDE,actvstrat=,-0.644520, actvprof=,3.589822, id=,S01, PRDE,actvstrat=,-0.615317, actvprof=,1.518931, id=,S03, PRDE,actvstrat=,0.280661, actvprof=,1.056974, id=,S04, PRDE,actvstrat=,-0.608542, actvprof=,0.042362, id=,S05, PRDE,actvstrat=,-0.539711, actvprof=,0.002083, id=,S08, PRDE,actvstrat=,0.569809, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.589822, best_B_strat=,-0.644520, best_S_id=,S01, best_S_prof=,1.518931, best_S_strat=,-0.615317, 
t=,54000, id=,B00, PRDE,actvstrat=,-0.194915, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.911425, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.606511, actvprof=,0.099451, id=,B07, PRDE,actvstrat=,0.929956, actvprof=,2.682964, id=,B09, PRDE,actvstrat=,-0.371462, actvprof=,3.103827, id=,S01, PRDE,actvstrat=,0.095315, actvprof=,3.995555, id=,S03, PRDE,actvstrat=,0.361084, actvprof=,1.563164, id=,S04, PRDE,actvstrat=,-0.359097, actvprof=,0.100285, id=,S05, PRDE,actvstrat=,0.310141, actvprof=,0.051115, id=,S08, PRDE,actvstrat=,-0.270666, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.103827, best_B_strat=,-0.371462, best_S_id=,S01, best_S_prof=,3.995555, best_S_strat=,0.095315, 
t=,57600, id=,B00, PRDE,actvstrat=,-0.194915, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.911425, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.606511, actvprof=,0.088614, id=,B07, PRDE,actvstrat=,0.929956, actvprof=,2.594673, id=,B09, PRDE,actvstrat=,-0.371462, actvprof=,3.218723, id=,S01, PRDE,actvstrat=,0.095315, actvprof=,3.822911, id=,S03, PRDE,actvstrat=,0.361084, actvprof=,1.579360, id=,S04, PRDE,actvstrat=,-0.359097, actvprof=,0.085697, id=,S05, PRDE,actvstrat=,0.310141, actvprof=,0.060280, id=,S08, PRDE,actvstrat=,-0.270666, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.218723, best_B_strat=,-0.371462, best_S_id=,S01, best_S_prof=,3.822911, best_S_strat=,0.095315, 
t=,61200, id=,B00, PRDE,actvstrat=,0.118164, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.851567, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.180409, actvprof=,0.105841, id=,B07, PRDE,actvstrat=,0.798863, actvprof=,2.765192, id=,B09, PRDE,actvstrat=,-0.135815, actvprof=,3.969720, id=,S01, PRDE,actvstrat=,0.902318, actvprof=,5.968192, id=,S03, PRDE,actvstrat=,0.361084, actvprof=,1.397597, id=,S04, PRDE,actvstrat=,-0.359097, actvprof=,0.091117, id=,S05, PRDE,actvstrat=,0.169430, actvprof=,0.059171, id=,S08, PRDE,actvstrat=,-0.468208, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.969720, best_B_strat=,-0.135815, best_S_id=,S01, best_S_prof=,5.968192, best_S_strat=,0.902318, 
t=,64800, id=,B00, PRDE,actvstrat=,0.118164, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.851567, actvprof=,0.001111, id=,B05, PRDE,actvstrat=,0.180409, actvprof=,0.115282, id=,B07, PRDE,actvstrat=,0.798863, actvprof=,2.762040, id=,B09, PRDE,actvstrat=,-0.135815, actvprof=,4.028195, id=,S01, PRDE,actvstrat=,0.902318, actvprof=,5.919372, id=,S03, PRDE,actvstrat=,0.361084, actvprof=,1.363936, id=,S04, PRDE,actvstrat=,-0.359097, actvprof=,0.075141, id=,S05, PRDE,actvstrat=,0.169430, actvprof=,0.052919, id=,S08, PRDE,actvstrat=,-0.468208, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.028195, best_B_strat=,-0.135815, best_S_id=,S01, best_S_prof=,5.919372, best_S_strat=,0.902318, 
t=,68400, id=,B00, PRDE,actvstrat=,-0.194915, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.835826, actvprof=,0.001111, id=,B05, PRDE,actvstrat=,0.606511, actvprof=,0.413368, id=,B07, PRDE,actvstrat=,0.950780, actvprof=,3.273606, id=,B09, PRDE,actvstrat=,-0.371462, actvprof=,4.160069, id=,S01, PRDE,actvstrat=,0.902318, actvprof=,5.386560, id=,S03, PRDE,actvstrat=,0.955356, actvprof=,2.126566, id=,S04, PRDE,actvstrat=,-0.545651, actvprof=,0.056949, id=,S05, PRDE,actvstrat=,-0.994290, actvprof=,0.188071, id=,S08, PRDE,actvstrat=,-0.270666, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.160069, best_B_strat=,-0.371462, best_S_id=,S01, best_S_prof=,5.386560, best_S_strat=,0.902318, 
t=,72000, id=,B00, PRDE,actvstrat=,-0.194915, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.835826, actvprof=,0.001250, id=,B05, PRDE,actvstrat=,0.606511, actvprof=,0.427376, id=,B07, PRDE,actvstrat=,0.950780, actvprof=,3.332616, id=,B09, PRDE,actvstrat=,-0.371462, actvprof=,4.333206, id=,S01, PRDE,actvstrat=,0.902318, actvprof=,5.330880, id=,S03, PRDE,actvstrat=,0.955356, actvprof=,2.048543, id=,S04, PRDE,actvstrat=,-0.545651, actvprof=,0.052919, id=,S05, PRDE,actvstrat=,-0.994290, actvprof=,0.168895, id=,S08, PRDE,actvstrat=,-0.270666, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.333206, best_B_strat=,-0.371462, best_S_id=,S01, best_S_prof=,5.330880, best_S_strat=,0.902318, 
