t=,43200, id=,B00, PRDE,actvstrat=,-0.091427, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.953446, actvprof=,0.000556, id=,B05, PRDE,actvstrat=,0.434079, actvprof=,0.328757, id=,B06, PRDE,actvstrat=,0.154535, actvprof=,1.114745, id=,B07, PRDE,actvstrat=,-0.059560, actvprof=,1.928096, id=,S00, PRDE,actvstrat=,-0.011119, actvprof=,3.686049, id=,S02, PRDE,actvstrat=,0.841655, actvprof=,3.438822, id=,S03, PRDE,actvstrat=,-0.965738, actvprof=,0.168476, id=,S05, PRDE,actvstrat=,-0.619894, actvprof=,0.002639, id=,S08, PRDE,actvstrat=,0.250710, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.928096, best_B_strat=,-0.059560, best_S_id=,S00, best_S_prof=,3.686049, best_S_strat=,-0.011119, 
t=,46800, id=,B00, PRDE,actvstrat=,0.990179, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.668008, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.771010, actvprof=,0.050558, id=,B06, PRDE,actvstrat=,-0.262588, actvprof=,0.615581, id=,B07, PRDE,actvstrat=,0.429354, actvprof=,3.131242, id=,S00, PRDE,actvstrat=,-0.064881, actvprof=,3.157909, id=,S02, PRDE,actvstrat=,0.043494, actvprof=,1.240607, id=,S03, PRDE,actvstrat=,-0.015624, actvprof=,0.394183, id=,S05, PRDE,actvstrat=,0.762900, actvprof=,0.017779, id=,S08, PRDE,actvstrat=,0.110337, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.131242, best_B_strat=,0.429354, best_S_id=,S00, best_S_prof=,3.157909, best_S_strat=,-0.064881, 
t=,50400, id=,B00, PRDE,actvstrat=,0.990179, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.668008, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.771010, actvprof=,0.064168, id=,B06, PRDE,actvstrat=,-0.262588, actvprof=,0.655014, id=,B07, PRDE,actvstrat=,0.429354, actvprof=,3.137149, id=,S00, PRDE,actvstrat=,-0.064881, actvprof=,3.190205, id=,S02, PRDE,actvstrat=,0.043494, actvprof=,1.239331, id=,S03, PRDE,actvstrat=,-0.015624, actvprof=,0.376952, id=,S05, PRDE,actvstrat=,0.762900, actvprof=,0.021806, id=,S08, PRDE,actvstrat=,0.110337, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.137149, best_B_strat=,0.429354, best_S_id=,S00, best_S_prof=,3.190205, best_S_strat=,-0.064881, 
t=,54000, id=,B00, PRDE,actvstrat=,-0.334208, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.698938, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.848166, actvprof=,0.101949, id=,B06, PRDE,actvstrat=,0.673214, actvprof=,2.215648, id=,B07, PRDE,actvstrat=,-0.556321, actvprof=,1.944248, id=,S00, PRDE,actvstrat=,0.142369, actvprof=,3.652652, id=,S02, PRDE,actvstrat=,0.665915, actvprof=,2.182313, id=,S03, PRDE,actvstrat=,0.655536, actvprof=,0.931428, id=,S05, PRDE,actvstrat=,-0.707835, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.465764, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.215648, best_B_strat=,0.673214, best_S_id=,S00, best_S_prof=,3.652652, best_S_strat=,0.142369, 
t=,57600, id=,B00, PRDE,actvstrat=,-0.334208, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.698938, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.848166, actvprof=,0.087641, id=,B06, PRDE,actvstrat=,0.673214, actvprof=,2.223102, id=,B07, PRDE,actvstrat=,-0.556321, actvprof=,1.950041, id=,S00, PRDE,actvstrat=,0.142369, actvprof=,3.519796, id=,S02, PRDE,actvstrat=,0.665915, actvprof=,2.150323, id=,S03, PRDE,actvstrat=,0.655536, actvprof=,0.864185, id=,S05, PRDE,actvstrat=,-0.707835, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.465764, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.223102, best_B_strat=,0.673214, best_S_id=,S00, best_S_prof=,3.519796, best_S_strat=,0.142369, 
t=,61200, id=,B00, PRDE,actvstrat=,-0.334208, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.629927, actvprof=,0.001945, id=,B05, PRDE,actvstrat=,0.950849, actvprof=,0.570857, id=,B06, PRDE,actvstrat=,-0.485816, actvprof=,0.406406, id=,B07, PRDE,actvstrat=,-0.536399, actvprof=,1.211162, id=,S00, PRDE,actvstrat=,0.919007, actvprof=,7.086129, id=,S02, PRDE,actvstrat=,0.484950, actvprof=,2.245927, id=,S03, PRDE,actvstrat=,-0.479171, actvprof=,0.156673, id=,S05, PRDE,actvstrat=,-0.727672, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.000525, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.211162, best_B_strat=,-0.536399, best_S_id=,S00, best_S_prof=,7.086129, best_S_strat=,0.919007, 
t=,64800, id=,B00, PRDE,actvstrat=,-0.334208, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.629927, actvprof=,0.000972, id=,B05, PRDE,actvstrat=,0.950849, actvprof=,0.561123, id=,B06, PRDE,actvstrat=,-0.485816, actvprof=,0.388203, id=,B07, PRDE,actvstrat=,-0.536399, actvprof=,1.220998, id=,S00, PRDE,actvstrat=,0.919007, actvprof=,7.137232, id=,S02, PRDE,actvstrat=,0.484950, actvprof=,2.361160, id=,S03, PRDE,actvstrat=,-0.479171, actvprof=,0.170837, id=,S05, PRDE,actvstrat=,-0.727672, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.000525, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.220998, best_B_strat=,-0.536399, best_S_id=,S00, best_S_prof=,7.137232, best_S_strat=,0.919007, 
t=,68400, id=,B00, PRDE,actvstrat=,-0.251713, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.908389, actvprof=,0.001667, id=,B05, PRDE,actvstrat=,0.596185, actvprof=,0.283889, id=,B06, PRDE,actvstrat=,-0.589658, actvprof=,0.349722, id=,B07, PRDE,actvstrat=,0.997119, actvprof=,3.284444, id=,S00, PRDE,actvstrat=,0.171360, actvprof=,4.246944, id=,S02, PRDE,actvstrat=,0.195597, actvprof=,1.764167, id=,S03, PRDE,actvstrat=,0.050888, actvprof=,0.709167, id=,S05, PRDE,actvstrat=,-0.218914, actvprof=,0.010000, id=,S08, PRDE,actvstrat=,-0.108165, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.284444, best_B_strat=,0.997119, best_S_id=,S00, best_S_prof=,4.246944, best_S_strat=,0.171360, 
t=,72000, id=,B00, PRDE,actvstrat=,-0.251713, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.908389, actvprof=,0.000833, id=,B05, PRDE,actvstrat=,0.596185, actvprof=,0.275700, id=,B06, PRDE,actvstrat=,-0.589658, actvprof=,0.377925, id=,B07, PRDE,actvstrat=,0.997119, actvprof=,3.259512, id=,S00, PRDE,actvstrat=,0.171360, actvprof=,4.323979, id=,S02, PRDE,actvstrat=,0.195597, actvprof=,1.779204, id=,S03, PRDE,actvstrat=,0.050888, actvprof=,0.689320, id=,S05, PRDE,actvstrat=,-0.218914, actvprof=,0.008750, id=,S08, PRDE,actvstrat=,-0.108165, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.259512, best_B_strat=,0.997119, best_S_id=,S00, best_S_prof=,4.323979, best_S_strat=,0.171360, 
t=,75600, id=,B00, PRDE,actvstrat=,-0.251713, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.908389, actvprof=,0.001944, id=,B05, PRDE,actvstrat=,0.434079, actvprof=,0.152782, id=,B06, PRDE,actvstrat=,0.265443, actvprof=,0.898914, id=,B07, PRDE,actvstrat=,-0.059560, actvprof=,1.731715, id=,S00, PRDE,actvstrat=,-0.011119, actvprof=,3.989833, id=,S02, PRDE,actvstrat=,0.114698, actvprof=,1.916164, id=,S03, PRDE,actvstrat=,-0.331881, actvprof=,0.218895, id=,S05, PRDE,actvstrat=,-0.373689, actvprof=,0.001667, id=,S08, PRDE,actvstrat=,0.250710, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.731715, best_B_strat=,-0.059560, best_S_id=,S00, best_S_prof=,3.989833, best_S_strat=,-0.011119, 
