t=,39600, id=,B01, PRDE,actvstrat=,0.466278, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.990897, actvprof=,0.086116, id=,B05, PRDE,actvstrat=,0.046791, actvprof=,0.414190, id=,B07, PRDE,actvstrat=,-0.904244, actvprof=,0.713929, id=,B09, PRDE,actvstrat=,0.710938, actvprof=,7.133452, id=,S00, PRDE,actvstrat=,0.782710, actvprof=,5.853103, id=,S03, PRDE,actvstrat=,0.384235, actvprof=,0.531141, id=,S04, PRDE,actvstrat=,0.968931, actvprof=,0.396966, id=,S05, PRDE,actvstrat=,-0.386517, actvprof=,0.002222, id=,S08, PRDE,actvstrat=,0.106923, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.133452, best_B_strat=,0.710938, best_S_id=,S00, best_S_prof=,5.853103, best_S_strat=,0.782710, 
t=,43200, id=,B01, PRDE,actvstrat=,0.466278, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.990897, actvprof=,0.090836, id=,B05, PRDE,actvstrat=,0.046791, actvprof=,0.384177, id=,B07, PRDE,actvstrat=,-0.904244, actvprof=,0.736687, id=,B09, PRDE,actvstrat=,0.710938, actvprof=,7.189783, id=,S00, PRDE,actvstrat=,0.782710, actvprof=,5.776272, id=,S03, PRDE,actvstrat=,0.384235, actvprof=,0.547099, id=,S04, PRDE,actvstrat=,0.968931, actvprof=,0.410567, id=,S05, PRDE,actvstrat=,-0.386517, actvprof=,0.004167, id=,S08, PRDE,actvstrat=,0.106923, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.189783, best_B_strat=,0.710938, best_S_id=,S00, best_S_prof=,5.776272, best_S_strat=,0.782710, 
t=,46800, id=,B01, PRDE,actvstrat=,0.258401, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.293143, actvprof=,0.007778, id=,B05, PRDE,actvstrat=,0.046791, actvprof=,0.389738, id=,B07, PRDE,actvstrat=,-0.358242, actvprof=,1.774796, id=,B09, PRDE,actvstrat=,0.710938, actvprof=,6.961123, id=,S00, PRDE,actvstrat=,-0.296713, actvprof=,1.585066, id=,S03, PRDE,actvstrat=,0.142468, actvprof=,0.444185, id=,S04, PRDE,actvstrat=,0.966060, actvprof=,0.642249, id=,S05, PRDE,actvstrat=,-0.465791, actvprof=,0.008334, id=,S08, PRDE,actvstrat=,0.184606, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.961123, best_B_strat=,0.710938, best_S_id=,S00, best_S_prof=,1.585066, best_S_strat=,-0.296713, 
t=,50400, id=,B01, PRDE,actvstrat=,0.258401, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.293143, actvprof=,0.006806, id=,B05, PRDE,actvstrat=,0.046791, actvprof=,0.382511, id=,B07, PRDE,actvstrat=,-0.358242, actvprof=,1.706853, id=,B09, PRDE,actvstrat=,0.710938, actvprof=,6.914359, id=,S00, PRDE,actvstrat=,-0.296713, actvprof=,1.532681, id=,S03, PRDE,actvstrat=,0.142468, actvprof=,0.442235, id=,S04, PRDE,actvstrat=,0.966060, actvprof=,0.672102, id=,S05, PRDE,actvstrat=,-0.465791, actvprof=,0.006667, id=,S08, PRDE,actvstrat=,0.184606, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.914359, best_B_strat=,0.710938, best_S_id=,S00, best_S_prof=,1.532681, best_S_strat=,-0.296713, 
t=,54000, id=,B01, PRDE,actvstrat=,0.093279, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.990897, actvprof=,0.001111, id=,B05, PRDE,actvstrat=,-0.030066, actvprof=,0.008334, id=,B07, PRDE,actvstrat=,0.267598, actvprof=,1.893161, id=,B09, PRDE,actvstrat=,0.516856, actvprof=,5.775599, id=,S00, PRDE,actvstrat=,-0.805989, actvprof=,1.287294, id=,S03, PRDE,actvstrat=,-0.487623, actvprof=,0.264181, id=,S04, PRDE,actvstrat=,-0.353906, actvprof=,0.070559, id=,S05, PRDE,actvstrat=,0.992442, actvprof=,0.201122, id=,S08, PRDE,actvstrat=,-0.070001, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.775599, best_B_strat=,0.516856, best_S_id=,S00, best_S_prof=,1.287294, best_S_strat=,-0.805989, 
t=,57600, id=,B01, PRDE,actvstrat=,0.093279, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.990897, actvprof=,0.001806, id=,B05, PRDE,actvstrat=,-0.030066, actvprof=,0.012639, id=,B07, PRDE,actvstrat=,0.267598, actvprof=,2.008806, id=,B09, PRDE,actvstrat=,0.516856, actvprof=,5.760021, id=,S00, PRDE,actvstrat=,-0.805989, actvprof=,1.391566, id=,S03, PRDE,actvstrat=,-0.487623, actvprof=,0.241257, id=,S04, PRDE,actvstrat=,-0.353906, actvprof=,0.054168, id=,S05, PRDE,actvstrat=,0.992442, actvprof=,0.172366, id=,S08, PRDE,actvstrat=,-0.070001, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.760021, best_B_strat=,0.516856, best_S_id=,S00, best_S_prof=,1.391566, best_S_strat=,-0.805989, 
t=,61200, id=,B01, PRDE,actvstrat=,0.466278, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.990897, actvprof=,0.007223, id=,B05, PRDE,actvstrat=,0.046791, actvprof=,0.089172, id=,B07, PRDE,actvstrat=,-0.396021, actvprof=,1.043391, id=,B09, PRDE,actvstrat=,0.001456, actvprof=,4.821935, id=,S00, PRDE,actvstrat=,0.446588, actvprof=,5.243069, id=,S03, PRDE,actvstrat=,-0.129535, actvprof=,0.258903, id=,S04, PRDE,actvstrat=,0.192128, actvprof=,0.211401, id=,S05, PRDE,actvstrat=,0.090133, actvprof=,0.018334, id=,S08, PRDE,actvstrat=,-0.932420, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.821935, best_B_strat=,0.001456, best_S_id=,S00, best_S_prof=,5.243069, best_S_strat=,0.446588, 
t=,64800, id=,B01, PRDE,actvstrat=,0.466278, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.990897, actvprof=,0.007778, id=,B05, PRDE,actvstrat=,0.046791, actvprof=,0.088197, id=,B07, PRDE,actvstrat=,-0.396021, actvprof=,1.036695, id=,B09, PRDE,actvstrat=,0.001456, actvprof=,4.825967, id=,S00, PRDE,actvstrat=,0.446588, actvprof=,5.278063, id=,S03, PRDE,actvstrat=,-0.129535, actvprof=,0.275702, id=,S04, PRDE,actvstrat=,0.192128, actvprof=,0.249451, id=,S05, PRDE,actvstrat=,0.090133, actvprof=,0.016945, id=,S08, PRDE,actvstrat=,-0.932420, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.825967, best_B_strat=,0.001456, best_S_id=,S00, best_S_prof=,5.278063, best_S_strat=,0.446588, 
t=,68400, id=,B01, PRDE,actvstrat=,0.093279, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.931841, actvprof=,0.298910, id=,B05, PRDE,actvstrat=,-0.825102, actvprof=,0.166956, id=,B07, PRDE,actvstrat=,0.676132, actvprof=,3.823877, id=,B09, PRDE,actvstrat=,-0.539344, actvprof=,4.895062, id=,S00, PRDE,actvstrat=,0.635944, actvprof=,5.098410, id=,S03, PRDE,actvstrat=,0.998467, actvprof=,1.558719, id=,S04, PRDE,actvstrat=,-0.904994, actvprof=,0.006389, id=,S05, PRDE,actvstrat=,0.992442, actvprof=,0.091117, id=,S08, PRDE,actvstrat=,-0.070001, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.895062, best_B_strat=,-0.539344, best_S_id=,S00, best_S_prof=,5.098410, best_S_strat=,0.635944, 
t=,72000, id=,B01, PRDE,actvstrat=,0.093279, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.931841, actvprof=,0.292232, id=,B05, PRDE,actvstrat=,-0.825102, actvprof=,0.152644, id=,B07, PRDE,actvstrat=,0.676132, actvprof=,3.760408, id=,B09, PRDE,actvstrat=,-0.539344, actvprof=,4.870725, id=,S00, PRDE,actvstrat=,0.635944, actvprof=,5.013507, id=,S03, PRDE,actvstrat=,0.998467, actvprof=,1.557137, id=,S04, PRDE,actvstrat=,-0.904994, actvprof=,0.003195, id=,S05, PRDE,actvstrat=,0.992442, actvprof=,0.091670, id=,S08, PRDE,actvstrat=,-0.070001, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.870725, best_B_strat=,-0.539344, best_S_id=,S00, best_S_prof=,5.013507, best_S_strat=,0.635944, 
