t=,39600, id=,B02, PRDE,actvstrat=,-0.835717, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.655925, actvprof=,2.052863, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.720433, id=,B08, PRDE,actvstrat=,-0.003590, actvprof=,4.029890, id=,B09, PRDE,actvstrat=,0.576892, actvprof=,6.948623, id=,S03, PRDE,actvstrat=,0.917353, actvprof=,1.696182, id=,S05, PRDE,actvstrat=,0.585237, actvprof=,0.028335, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.076392, id=,S08, PRDE,actvstrat=,-0.463841, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.002665, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.948623, best_B_strat=,0.576892, best_S_id=,S03, best_S_prof=,1.696182, best_S_strat=,0.917353, 
t=,43200, id=,B02, PRDE,actvstrat=,-0.835717, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.655925, actvprof=,2.107559, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.631906, id=,B08, PRDE,actvstrat=,-0.003590, actvprof=,4.101086, id=,B09, PRDE,actvstrat=,0.576892, actvprof=,6.978527, id=,S03, PRDE,actvstrat=,0.917353, actvprof=,1.685463, id=,S05, PRDE,actvstrat=,0.585237, actvprof=,0.024445, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.069724, id=,S08, PRDE,actvstrat=,-0.463841, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.002665, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.978527, best_B_strat=,0.576892, best_S_id=,S03, best_S_prof=,1.685463, best_S_strat=,0.917353, 
t=,46800, id=,B02, PRDE,actvstrat=,-0.740479, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.655925, actvprof=,1.917078, id=,B07, PRDE,actvstrat=,0.046532, actvprof=,2.595180, id=,B08, PRDE,actvstrat=,-0.003590, actvprof=,3.924161, id=,B09, PRDE,actvstrat=,0.576892, actvprof=,6.757969, id=,S03, PRDE,actvstrat=,0.606598, actvprof=,0.817001, id=,S05, PRDE,actvstrat=,0.075454, actvprof=,0.010834, id=,S06, PRDE,actvstrat=,0.994259, actvprof=,0.063616, id=,S08, PRDE,actvstrat=,-0.463841, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.086216, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.757969, best_B_strat=,0.576892, best_S_id=,S03, best_S_prof=,0.817001, best_S_strat=,0.606598, 
t=,50400, id=,B02, PRDE,actvstrat=,-0.740479, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.655925, actvprof=,1.914789, id=,B07, PRDE,actvstrat=,0.046532, actvprof=,2.563422, id=,B08, PRDE,actvstrat=,-0.003590, actvprof=,3.895413, id=,B09, PRDE,actvstrat=,0.576892, actvprof=,6.638425, id=,S03, PRDE,actvstrat=,0.606598, actvprof=,0.849613, id=,S05, PRDE,actvstrat=,0.075454, actvprof=,0.017362, id=,S06, PRDE,actvstrat=,0.994259, actvprof=,0.070558, id=,S08, PRDE,actvstrat=,-0.463841, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.086216, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.638425, best_B_strat=,0.576892, best_S_id=,S03, best_S_prof=,0.849613, best_S_strat=,0.606598, 
t=,54000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.989272, actvprof=,1.654559, id=,B07, PRDE,actvstrat=,-0.113774, actvprof=,1.460101, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.734495, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,6.498507, id=,S03, PRDE,actvstrat=,-0.276314, actvprof=,0.141954, id=,S05, PRDE,actvstrat=,0.920894, actvprof=,0.412529, id=,S06, PRDE,actvstrat=,0.506908, actvprof=,0.030558, id=,S08, PRDE,actvstrat=,-0.463841, actvprof=,0.003611, id=,S09, PRDE,actvstrat=,0.129958, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.498507, best_B_strat=,1.000000, best_S_id=,S05, best_S_prof=,0.412529, best_S_strat=,0.920894, 
t=,57600, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.989272, actvprof=,1.682558, id=,B07, PRDE,actvstrat=,-0.113774, actvprof=,1.504219, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.798917, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,6.488142, id=,S03, PRDE,actvstrat=,-0.276314, actvprof=,0.177784, id=,S05, PRDE,actvstrat=,0.920894, actvprof=,0.403208, id=,S06, PRDE,actvstrat=,0.506908, actvprof=,0.027223, id=,S08, PRDE,actvstrat=,-0.463841, actvprof=,0.001806, id=,S09, PRDE,actvstrat=,0.129958, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.488142, best_B_strat=,1.000000, best_S_id=,S05, best_S_prof=,0.403208, best_S_strat=,0.920894, 
t=,61200, id=,B02, PRDE,actvstrat=,-0.835717, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.919676, actvprof=,1.904550, id=,B07, PRDE,actvstrat=,-0.985505, actvprof=,0.868104, id=,B08, PRDE,actvstrat=,0.835551, actvprof=,5.086949, id=,B09, PRDE,actvstrat=,0.913226, actvprof=,6.900661, id=,S03, PRDE,actvstrat=,0.222719, actvprof=,0.571976, id=,S05, PRDE,actvstrat=,0.295026, actvprof=,0.016668, id=,S06, PRDE,actvstrat=,0.994259, actvprof=,0.070559, id=,S08, PRDE,actvstrat=,-0.450045, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.129958, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.900661, best_B_strat=,0.913226, best_S_id=,S03, best_S_prof=,0.571976, best_S_strat=,0.222719, 
t=,64800, id=,B02, PRDE,actvstrat=,-0.835717, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.919676, actvprof=,1.960763, id=,B07, PRDE,actvstrat=,-0.985505, actvprof=,0.843502, id=,B08, PRDE,actvstrat=,0.835551, actvprof=,5.149068, id=,B09, PRDE,actvstrat=,0.913226, actvprof=,6.974687, id=,S03, PRDE,actvstrat=,0.222719, actvprof=,0.590437, id=,S05, PRDE,actvstrat=,0.295026, actvprof=,0.018612, id=,S06, PRDE,actvstrat=,0.994259, actvprof=,0.077086, id=,S08, PRDE,actvstrat=,-0.450045, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.129958, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.974687, best_B_strat=,0.913226, best_S_id=,S03, best_S_prof=,0.590437, best_S_strat=,0.222719, 
t=,68400, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.919676, actvprof=,2.415067, id=,B07, PRDE,actvstrat=,0.246514, actvprof=,3.018973, id=,B08, PRDE,actvstrat=,0.062190, actvprof=,4.006778, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,6.813523, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.615878, id=,S05, PRDE,actvstrat=,-0.174893, actvprof=,0.028612, id=,S06, PRDE,actvstrat=,0.437852, actvprof=,0.043057, id=,S08, PRDE,actvstrat=,-0.330879, actvprof=,0.001944, id=,S09, PRDE,actvstrat=,0.129958, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.813523, best_B_strat=,1.000000, best_S_id=,S03, best_S_prof=,1.615878, best_S_strat=,1.000000, 
t=,72000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.919676, actvprof=,2.334942, id=,B07, PRDE,actvstrat=,0.246514, actvprof=,2.885378, id=,B08, PRDE,actvstrat=,0.062190, actvprof=,4.021112, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,6.826765, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.668808, id=,S05, PRDE,actvstrat=,-0.174893, actvprof=,0.015001, id=,S06, PRDE,actvstrat=,0.437852, actvprof=,0.031807, id=,S08, PRDE,actvstrat=,-0.330879, actvprof=,0.000972, id=,S09, PRDE,actvstrat=,0.129958, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.826765, best_B_strat=,1.000000, best_S_id=,S03, best_S_prof=,1.668808, best_S_strat=,1.000000, 
