t=,50400, id=,B00, PRDE,actvstrat=,-0.498582, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.271534, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.577006, actvprof=,0.474319, id=,B08, PRDE,actvstrat=,0.546147, actvprof=,4.339843, id=,B09, PRDE,actvstrat=,-0.851024, actvprof=,2.559793, id=,S00, PRDE,actvstrat=,-0.551285, actvprof=,2.224090, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.104225, id=,S04, PRDE,actvstrat=,0.646372, actvprof=,0.431540, id=,S05, PRDE,actvstrat=,-0.686307, actvprof=,0.013611, id=,S06, PRDE,actvstrat=,0.758059, actvprof=,0.033751, best_B_id=,B08, best_B_prof=,4.339843, best_B_strat=,0.546147, best_S_id=,S00, best_S_prof=,2.224090, best_S_strat=,-0.551285, 
t=,54000, id=,B00, PRDE,actvstrat=,-0.239330, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.988066, actvprof=,0.642258, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,3.318518, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,5.140841, id=,S00, PRDE,actvstrat=,0.018069, actvprof=,5.265848, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,3.530196, id=,S04, PRDE,actvstrat=,0.656907, actvprof=,1.470637, id=,S05, PRDE,actvstrat=,-0.132383, actvprof=,0.067226, id=,S06, PRDE,actvstrat=,-0.618272, actvprof=,0.005834, best_B_id=,B09, best_B_prof=,5.140841, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,5.265848, best_S_strat=,0.018069, 
t=,57600, id=,B00, PRDE,actvstrat=,-0.239330, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.988066, actvprof=,0.661403, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,3.317569, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,5.102329, id=,S00, PRDE,actvstrat=,0.018069, actvprof=,5.528587, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,3.456600, id=,S04, PRDE,actvstrat=,0.656907, actvprof=,1.431696, id=,S05, PRDE,actvstrat=,-0.132383, actvprof=,0.062779, id=,S06, PRDE,actvstrat=,-0.618272, actvprof=,0.005139, best_B_id=,B09, best_B_prof=,5.102329, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,5.528587, best_S_strat=,0.018069, 
t=,61200, id=,B00, PRDE,actvstrat=,-0.471349, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.101777, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.311838, actvprof=,0.880895, id=,B08, PRDE,actvstrat=,-0.701248, actvprof=,2.063477, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,5.871797, id=,S00, PRDE,actvstrat=,0.424666, actvprof=,5.658449, id=,S03, PRDE,actvstrat=,0.430520, actvprof=,1.232863, id=,S04, PRDE,actvstrat=,0.656907, actvprof=,0.670880, id=,S05, PRDE,actvstrat=,0.021508, actvprof=,0.054170, id=,S06, PRDE,actvstrat=,0.758059, actvprof=,0.070005, best_B_id=,B09, best_B_prof=,5.871797, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,5.658449, best_S_strat=,0.424666, 
t=,64800, id=,B00, PRDE,actvstrat=,-0.471349, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.101777, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.311838, actvprof=,0.910587, id=,B08, PRDE,actvstrat=,-0.701248, actvprof=,2.055210, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,5.935901, id=,S00, PRDE,actvstrat=,0.424666, actvprof=,5.633668, id=,S03, PRDE,actvstrat=,0.430520, actvprof=,1.225043, id=,S04, PRDE,actvstrat=,0.656907, actvprof=,0.643633, id=,S05, PRDE,actvstrat=,0.021508, actvprof=,0.065002, id=,S06, PRDE,actvstrat=,0.758059, actvprof=,0.058058, best_B_id=,B09, best_B_prof=,5.935901, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,5.633668, best_S_strat=,0.424666, 
t=,68400, id=,B00, PRDE,actvstrat=,-0.773214, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.876302, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.108758, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.978123, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,6.807139, id=,S00, PRDE,actvstrat=,0.960386, actvprof=,6.455448, id=,S03, PRDE,actvstrat=,-0.455534, actvprof=,0.349747, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.554761, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.247239, id=,S06, PRDE,actvstrat=,-0.521033, actvprof=,0.009445, best_B_id=,B09, best_B_prof=,6.807139, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.455448, best_S_strat=,0.960386, 
t=,72000, id=,B00, PRDE,actvstrat=,-0.773214, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.876302, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.048127, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.946005, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,6.746623, id=,S00, PRDE,actvstrat=,0.960386, actvprof=,6.470225, id=,S03, PRDE,actvstrat=,-0.455534, actvprof=,0.295705, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.576409, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.253620, id=,S06, PRDE,actvstrat=,-0.521033, actvprof=,0.007222, best_B_id=,B09, best_B_prof=,6.746623, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.470225, best_S_strat=,0.960386, 
t=,75600, id=,B00, PRDE,actvstrat=,0.206817, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.098573, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.657525, actvprof=,0.390022, id=,B08, PRDE,actvstrat=,0.994133, actvprof=,4.666926, id=,B09, PRDE,actvstrat=,0.983158, actvprof=,6.411190, id=,S00, PRDE,actvstrat=,0.423925, actvprof=,4.441080, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,2.501806, id=,S04, PRDE,actvstrat=,0.617078, actvprof=,0.408356, id=,S05, PRDE,actvstrat=,0.216340, actvprof=,0.054170, id=,S06, PRDE,actvstrat=,-0.751771, actvprof=,0.001667, best_B_id=,B09, best_B_prof=,6.411190, best_B_strat=,0.983158, best_S_id=,S00, best_S_prof=,4.441080, best_S_strat=,0.423925, 
t=,79200, id=,B00, PRDE,actvstrat=,0.206817, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.098573, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.657525, actvprof=,0.400569, id=,B08, PRDE,actvstrat=,0.994133, actvprof=,4.647522, id=,B09, PRDE,actvstrat=,0.983158, actvprof=,6.388833, id=,S00, PRDE,actvstrat=,0.423925, actvprof=,4.600021, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,2.580090, id=,S04, PRDE,actvstrat=,0.617078, actvprof=,0.393347, id=,S05, PRDE,actvstrat=,0.216340, actvprof=,0.069725, id=,S06, PRDE,actvstrat=,-0.751771, actvprof=,0.001945, best_B_id=,B09, best_B_prof=,6.388833, best_B_strat=,0.983158, best_S_id=,S00, best_S_prof=,4.600021, best_S_strat=,0.423925, 
t=,82800, id=,B00, PRDE,actvstrat=,-0.807941, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.349586, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.243623, actvprof=,0.355030, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.410090, id=,B09, PRDE,actvstrat=,-0.892755, actvprof=,1.828764, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,7.567019, id=,S03, PRDE,actvstrat=,-0.624931, actvprof=,0.113621, id=,S04, PRDE,actvstrat=,0.639628, actvprof=,0.328638, id=,S05, PRDE,actvstrat=,0.647912, actvprof=,0.014168, id=,S06, PRDE,actvstrat=,0.583707, actvprof=,0.000833, best_B_id=,B08, best_B_prof=,4.410090, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,7.567019, best_S_strat=,1.000000, 
