t=,39600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.008334, id=,B06, PRDE,actvstrat=,0.499518, actvprof=,1.489249, id=,B08, PRDE,actvstrat=,-0.280183, actvprof=,2.993222, id=,B09, PRDE,actvstrat=,-0.743506, actvprof=,3.930496, id=,S01, PRDE,actvstrat=,-0.182850, actvprof=,2.452914, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.586588, id=,S04, PRDE,actvstrat=,-0.493304, actvprof=,0.038891, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.930496, best_B_strat=,-0.743506, best_S_id=,S02, best_S_prof=,3.586588, best_S_strat=,1.000000, 
t=,43200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.006528, id=,B06, PRDE,actvstrat=,0.499518, actvprof=,1.537254, id=,B08, PRDE,actvstrat=,-0.280183, actvprof=,3.077286, id=,B09, PRDE,actvstrat=,-0.743506, actvprof=,3.972861, id=,S01, PRDE,actvstrat=,-0.182850, actvprof=,2.469079, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.576880, id=,S04, PRDE,actvstrat=,-0.493304, actvprof=,0.036806, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.972861, best_B_strat=,-0.743506, best_S_id=,S02, best_S_prof=,3.576880, best_S_strat=,1.000000, 
t=,46800, id=,B00, PRDE,actvstrat=,0.067160, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.003334, id=,B06, PRDE,actvstrat=,0.414819, actvprof=,1.359242, id=,B08, PRDE,actvstrat=,0.232359, actvprof=,4.243847, id=,B09, PRDE,actvstrat=,0.352559, actvprof=,6.215901, id=,S01, PRDE,actvstrat=,-0.182850, actvprof=,2.381521, id=,S02, PRDE,actvstrat=,0.779429, actvprof=,3.394633, id=,S04, PRDE,actvstrat=,0.588604, actvprof=,0.325851, id=,S07, PRDE,actvstrat=,-0.626263, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.119473, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.215901, best_B_strat=,0.352559, best_S_id=,S02, best_S_prof=,3.394633, best_S_strat=,0.779429, 
t=,50400, id=,B00, PRDE,actvstrat=,0.067160, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.003472, id=,B06, PRDE,actvstrat=,0.414819, actvprof=,1.384037, id=,B08, PRDE,actvstrat=,0.232359, actvprof=,4.268085, id=,B09, PRDE,actvstrat=,0.352559, actvprof=,6.255599, id=,S01, PRDE,actvstrat=,-0.182850, actvprof=,2.333627, id=,S02, PRDE,actvstrat=,0.779429, actvprof=,3.322940, id=,S04, PRDE,actvstrat=,0.588604, actvprof=,0.336530, id=,S07, PRDE,actvstrat=,-0.626263, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.119473, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.255599, best_B_strat=,0.352559, best_S_id=,S02, best_S_prof=,3.322940, best_S_strat=,0.779429, 
t=,54000, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.010001, id=,B06, PRDE,actvstrat=,0.408309, actvprof=,2.450550, id=,B08, PRDE,actvstrat=,-0.808072, actvprof=,2.939771, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,7.781142, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.027670, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.950050, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.206690, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.781142, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.027670, best_S_strat=,-1.000000, 
t=,57600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.009028, id=,B06, PRDE,actvstrat=,0.408309, actvprof=,2.520817, id=,B08, PRDE,actvstrat=,-0.808072, actvprof=,2.996118, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,7.782601, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.081448, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.949727, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.183898, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.782601, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.081448, best_S_strat=,-1.000000, 
t=,61200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.406153, actvprof=,0.004445, id=,B06, PRDE,actvstrat=,0.447372, actvprof=,1.859095, id=,B08, PRDE,actvstrat=,0.155620, actvprof=,4.377153, id=,B09, PRDE,actvstrat=,0.120629, actvprof=,6.126514, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.449661, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.251750, id=,S04, PRDE,actvstrat=,0.540712, actvprof=,0.220024, id=,S07, PRDE,actvstrat=,-0.095214, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.985958, actvprof=,0.000556, best_B_id=,B09, best_B_prof=,6.126514, best_B_strat=,0.120629, best_S_id=,S01, best_S_prof=,4.449661, best_S_strat=,-1.000000, 
t=,64800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.406153, actvprof=,0.003195, id=,B06, PRDE,actvstrat=,0.447372, actvprof=,1.900939, id=,B08, PRDE,actvstrat=,0.155620, actvprof=,4.537891, id=,B09, PRDE,actvstrat=,0.120629, actvprof=,6.127007, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.354825, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.180177, id=,S04, PRDE,actvstrat=,0.540712, actvprof=,0.216262, id=,S07, PRDE,actvstrat=,-0.095214, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.985958, actvprof=,0.000278, best_B_id=,B09, best_B_prof=,6.127007, best_B_strat=,0.120629, best_S_id=,S01, best_S_prof=,4.354825, best_S_strat=,-1.000000, 
t=,68400, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.763329, actvprof=,0.034172, id=,B06, PRDE,actvstrat=,0.261913, actvprof=,2.301463, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,6.722694, id=,B09, PRDE,actvstrat=,-0.666022, actvprof=,5.507230, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.741961, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.447041, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.254483, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.001667, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.722694, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,3.741961, best_S_strat=,-1.000000, 
t=,72000, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.763329, actvprof=,0.032086, id=,B06, PRDE,actvstrat=,0.261913, actvprof=,2.330472, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,6.676529, id=,B09, PRDE,actvstrat=,-0.666022, actvprof=,5.770898, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.819763, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.467011, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.246271, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.001111, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.676529, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,3.819763, best_S_strat=,-1.000000, 
t=,75600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.763329, actvprof=,0.002223, id=,B06, PRDE,actvstrat=,0.408309, actvprof=,1.582208, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.792910, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.469967, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.927210, id=,S02, PRDE,actvstrat=,-0.529115, actvprof=,0.875702, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.629272, id=,S07, PRDE,actvstrat=,0.541629, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.469967, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.927210, best_S_strat=,-1.000000, 
t=,79200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.763329, actvprof=,0.001528, id=,B06, PRDE,actvstrat=,0.408309, actvprof=,1.618607, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.743117, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.510404, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.861100, id=,S02, PRDE,actvstrat=,-0.529115, actvprof=,0.943551, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.648110, id=,S07, PRDE,actvstrat=,0.541629, actvprof=,0.000556, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.510404, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.861100, best_S_strat=,-1.000000, 
