t=,43200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.492368, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.206017, id=,B09, PRDE,actvstrat=,-0.495464, actvprof=,4.004222, id=,S01, PRDE,actvstrat=,0.728800, actvprof=,5.394242, id=,S02, PRDE,actvstrat=,0.612329, actvprof=,3.228795, id=,S04, PRDE,actvstrat=,0.214495, actvprof=,0.305004, id=,S06, PRDE,actvstrat=,0.836912, actvprof=,0.013889, id=,S07, PRDE,actvstrat=,-0.459846, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.004222, best_B_strat=,-0.495464, best_S_id=,S01, best_S_prof=,5.394242, best_S_strat=,0.728800, 
t=,46800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.027918, actvprof=,0.698094, id=,B07, PRDE,actvstrat=,-0.321349, actvprof=,2.408189, id=,B09, PRDE,actvstrat=,-0.418028, actvprof=,5.690594, id=,S01, PRDE,actvstrat=,0.687628, actvprof=,3.762431, id=,S02, PRDE,actvstrat=,-0.633383, actvprof=,0.306128, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.159731, id=,S06, PRDE,actvstrat=,0.370125, actvprof=,0.001389, id=,S07, PRDE,actvstrat=,-0.582556, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.690594, best_B_strat=,-0.418028, best_S_id=,S01, best_S_prof=,3.762431, best_S_strat=,0.687628, 
t=,50400, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.027918, actvprof=,0.706964, id=,B07, PRDE,actvstrat=,-0.321349, actvprof=,2.315620, id=,B09, PRDE,actvstrat=,-0.418028, actvprof=,5.628212, id=,S01, PRDE,actvstrat=,0.687628, actvprof=,3.804411, id=,S02, PRDE,actvstrat=,-0.633383, actvprof=,0.299314, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.154727, id=,S06, PRDE,actvstrat=,0.370125, actvprof=,0.001111, id=,S07, PRDE,actvstrat=,-0.582556, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.628212, best_B_strat=,-0.418028, best_S_id=,S01, best_S_prof=,3.804411, best_S_strat=,0.687628, 
t=,54000, id=,B00, PRDE,actvstrat=,0.409046, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.773494, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.471748, id=,B07, PRDE,actvstrat=,-0.594020, actvprof=,2.123729, id=,B09, PRDE,actvstrat=,-0.418028, actvprof=,5.482805, id=,S01, PRDE,actvstrat=,0.498771, actvprof=,3.304072, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.085171, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.255014, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.001667, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.482805, best_B_strat=,-0.418028, best_S_id=,S01, best_S_prof=,3.304072, best_S_strat=,0.498771, 
t=,57600, id=,B00, PRDE,actvstrat=,0.409046, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.773494, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.462957, id=,B07, PRDE,actvstrat=,-0.594020, actvprof=,2.107420, id=,B09, PRDE,actvstrat=,-0.418028, actvprof=,5.540848, id=,S01, PRDE,actvstrat=,0.498771, actvprof=,3.333704, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.078280, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.233062, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.001528, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.540848, best_B_strat=,-0.418028, best_S_id=,S01, best_S_prof=,3.333704, best_S_strat=,0.498771, 
t=,61200, id=,B00, PRDE,actvstrat=,-0.285945, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.115132, actvprof=,0.481416, id=,B07, PRDE,actvstrat=,-0.594020, actvprof=,2.732096, id=,B09, PRDE,actvstrat=,-0.418028, actvprof=,6.122285, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.243291, id=,S02, PRDE,actvstrat=,0.136085, actvprof=,0.843102, id=,S04, PRDE,actvstrat=,0.997544, actvprof=,0.089172, id=,S06, PRDE,actvstrat=,-0.399010, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.122285, best_B_strat=,-0.418028, best_S_id=,S01, best_S_prof=,4.243291, best_S_strat=,1.000000, 
t=,64800, id=,B00, PRDE,actvstrat=,-0.285945, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.115132, actvprof=,0.525709, id=,B07, PRDE,actvstrat=,-0.594020, actvprof=,2.696186, id=,B09, PRDE,actvstrat=,-0.418028, actvprof=,6.078919, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.197478, id=,S02, PRDE,actvstrat=,0.136085, actvprof=,0.825995, id=,S04, PRDE,actvstrat=,0.997544, actvprof=,0.097503, id=,S06, PRDE,actvstrat=,-0.399010, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.078919, best_B_strat=,-0.418028, best_S_id=,S01, best_S_prof=,4.197478, best_S_strat=,1.000000, 
t=,68400, id=,B00, PRDE,actvstrat=,-0.529404, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.887354, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.900050, id=,B07, PRDE,actvstrat=,-0.594020, actvprof=,1.528696, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.794822, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.568365, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.420190, id=,S04, PRDE,actvstrat=,-0.990176, actvprof=,0.092783, id=,S06, PRDE,actvstrat=,-0.574011, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.020525, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.794822, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,5.568365, best_S_strat=,1.000000, 
t=,72000, id=,B00, PRDE,actvstrat=,-0.529404, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.887354, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.902519, id=,B07, PRDE,actvstrat=,-0.594020, actvprof=,1.555032, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.834309, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.586783, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.403404, id=,S04, PRDE,actvstrat=,-0.990176, actvprof=,0.088335, id=,S06, PRDE,actvstrat=,-0.574011, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.020525, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.834309, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,5.586783, best_S_strat=,1.000000, 
t=,75600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.773494, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.692270, id=,B07, PRDE,actvstrat=,-0.582043, actvprof=,1.525939, id=,B09, PRDE,actvstrat=,-0.495464, actvprof=,4.240017, id=,S01, PRDE,actvstrat=,0.498771, actvprof=,3.334398, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,4.013334, id=,S04, PRDE,actvstrat=,0.214495, actvprof=,0.129453, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.016112, id=,S07, PRDE,actvstrat=,-0.861901, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.240017, best_B_strat=,-0.495464, best_S_id=,S02, best_S_prof=,4.013334, best_S_strat=,1.000000, 
