t=,39600, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.006667, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.727366, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.142762, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.824374, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.637498, id=,S02, PRDE,actvstrat=,-0.686953, actvprof=,0.351696, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.186960, id=,S06, PRDE,actvstrat=,-0.976072, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.391611, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.824374, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,6.637498, best_S_strat=,-1.000000, 
t=,43200, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.006667, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.717294, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.155409, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.909968, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.649027, id=,S02, PRDE,actvstrat=,-0.686953, actvprof=,0.353209, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.200425, id=,S06, PRDE,actvstrat=,-0.976072, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.391611, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.909968, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,6.649027, best_S_strat=,-1.000000, 
t=,46800, id=,B03, PRDE,actvstrat=,-0.996533, actvprof=,0.012779, id=,B04, PRDE,actvstrat=,-0.054294, actvprof=,0.024446, id=,B06, PRDE,actvstrat=,0.390193, actvprof=,1.177320, id=,B07, PRDE,actvstrat=,0.072216, actvprof=,2.113232, id=,B09, PRDE,actvstrat=,-0.356959, actvprof=,4.127844, id=,S00, PRDE,actvstrat=,0.410327, actvprof=,4.475929, id=,S02, PRDE,actvstrat=,-0.834719, actvprof=,0.116954, id=,S05, PRDE,actvstrat=,0.579593, actvprof=,0.052504, id=,S06, PRDE,actvstrat=,0.142530, actvprof=,0.003334, id=,S07, PRDE,actvstrat=,0.846738, actvprof=,0.002778, best_B_id=,B09, best_B_prof=,4.127844, best_B_strat=,-0.356959, best_S_id=,S00, best_S_prof=,4.475929, best_S_strat=,0.410327, 
t=,50400, id=,B03, PRDE,actvstrat=,-0.996533, actvprof=,0.010695, id=,B04, PRDE,actvstrat=,-0.054294, actvprof=,0.021806, id=,B06, PRDE,actvstrat=,0.390193, actvprof=,1.118797, id=,B07, PRDE,actvstrat=,0.072216, actvprof=,2.105227, id=,B09, PRDE,actvstrat=,-0.356959, actvprof=,3.996972, id=,S00, PRDE,actvstrat=,0.410327, actvprof=,4.608525, id=,S02, PRDE,actvstrat=,-0.834719, actvprof=,0.143339, id=,S05, PRDE,actvstrat=,0.579593, actvprof=,0.055419, id=,S06, PRDE,actvstrat=,0.142530, actvprof=,0.002917, id=,S07, PRDE,actvstrat=,0.846738, actvprof=,0.004722, best_B_id=,B09, best_B_prof=,3.996972, best_B_strat=,-0.356959, best_S_id=,S00, best_S_prof=,4.608525, best_S_strat=,0.410327, 
t=,54000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.012223, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.075284, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.490485, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.032558, id=,B09, PRDE,actvstrat=,0.004319, actvprof=,5.989944, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.041892, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.468345, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.091397, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.002222, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.001111, best_B_id=,B09, best_B_prof=,5.989944, best_B_strat=,0.004319, best_S_id=,S00, best_S_prof=,6.041892, best_S_strat=,-1.000000, 
t=,57600, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.011945, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.071114, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.511216, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.067808, id=,B09, PRDE,actvstrat=,0.004319, actvprof=,5.987055, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.024695, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.460700, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.093476, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.002361, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.002083, best_B_id=,B09, best_B_prof=,5.987055, best_B_strat=,0.004319, best_S_id=,S00, best_S_prof=,6.024695, best_S_strat=,-1.000000, 
t=,61200, id=,B03, PRDE,actvstrat=,0.660756, actvprof=,0.002222, id=,B04, PRDE,actvstrat=,0.427877, actvprof=,0.058338, id=,B06, PRDE,actvstrat=,-0.723356, actvprof=,0.710059, id=,B07, PRDE,actvstrat=,-0.870567, actvprof=,0.858960, id=,B09, PRDE,actvstrat=,0.064803, actvprof=,6.089396, id=,S00, PRDE,actvstrat=,-0.383259, actvprof=,1.237325, id=,S02, PRDE,actvstrat=,0.234428, actvprof=,1.088424, id=,S05, PRDE,actvstrat=,-0.289240, actvprof=,0.008890, id=,S06, PRDE,actvstrat=,-0.342600, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.300270, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.089396, best_B_strat=,0.064803, best_S_id=,S00, best_S_prof=,1.237325, best_S_strat=,-0.383259, 
t=,64800, id=,B03, PRDE,actvstrat=,0.660756, actvprof=,0.003056, id=,B04, PRDE,actvstrat=,0.427877, actvprof=,0.055558, id=,B06, PRDE,actvstrat=,-0.723356, actvprof=,0.744614, id=,B07, PRDE,actvstrat=,-0.870567, actvprof=,0.869203, id=,B09, PRDE,actvstrat=,0.064803, actvprof=,6.129005, id=,S00, PRDE,actvstrat=,-0.383259, actvprof=,1.076434, id=,S02, PRDE,actvstrat=,0.234428, actvprof=,0.993791, id=,S05, PRDE,actvstrat=,-0.289240, actvprof=,0.007778, id=,S06, PRDE,actvstrat=,-0.342600, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.300270, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.129005, best_B_strat=,0.064803, best_S_id=,S00, best_S_prof=,1.076434, best_S_strat=,-0.383259, 
t=,68400, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000556, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.011112, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.927383, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.484457, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,6.891408, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.889463, id=,S02, PRDE,actvstrat=,0.112733, actvprof=,1.409284, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.076395, id=,S06, PRDE,actvstrat=,0.677314, actvprof=,0.001667, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.010279, best_B_id=,B09, best_B_prof=,6.891408, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.889463, best_S_strat=,-1.000000, 
t=,72000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000556, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.011667, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.932455, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.528088, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,6.920336, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.866445, id=,S02, PRDE,actvstrat=,0.112733, actvprof=,1.422152, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.084171, id=,S06, PRDE,actvstrat=,0.677314, actvprof=,0.002222, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.010834, best_B_id=,B09, best_B_prof=,6.920336, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.866445, best_S_strat=,-1.000000, 
