t=,39600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.283752, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.960025, actvprof=,0.003056, id=,B04, PRDE,actvstrat=,0.007097, actvprof=,0.366965, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,9.363298, id=,S02, PRDE,actvstrat=,0.800491, actvprof=,1.312573, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,0.647536, id=,S05, PRDE,actvstrat=,-0.173877, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.281525, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,9.363298, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,1.312573, best_S_strat=,0.800491, 
t=,43200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.283752, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.960025, actvprof=,0.004722, id=,B04, PRDE,actvstrat=,0.007097, actvprof=,0.418762, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,9.350815, id=,S02, PRDE,actvstrat=,0.800491, actvprof=,1.268369, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,0.628767, id=,S05, PRDE,actvstrat=,-0.173877, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.281525, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,9.350815, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,1.268369, best_S_strat=,0.800491, 
t=,46800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.283752, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.795862, actvprof=,0.004445, id=,B04, PRDE,actvstrat=,0.007097, actvprof=,0.161398, id=,B09, PRDE,actvstrat=,-0.039643, actvprof=,6.553142, id=,S02, PRDE,actvstrat=,0.410337, actvprof=,1.035613, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.159787, id=,S05, PRDE,actvstrat=,0.143952, actvprof=,0.001945, id=,S08, PRDE,actvstrat=,-0.910192, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.392329, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.553142, best_B_strat=,-0.039643, best_S_id=,S03, best_S_prof=,1.159787, best_S_strat=,-1.000000, 
t=,50400, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.283752, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.795862, actvprof=,0.004583, id=,B04, PRDE,actvstrat=,0.007097, actvprof=,0.153616, id=,B09, PRDE,actvstrat=,-0.039643, actvprof=,6.452168, id=,S02, PRDE,actvstrat=,0.410337, actvprof=,1.027952, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.197264, id=,S05, PRDE,actvstrat=,0.143952, actvprof=,0.000972, id=,S08, PRDE,actvstrat=,-0.910192, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.392329, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.452168, best_B_strat=,-0.039643, best_S_id=,S03, best_S_prof=,1.197264, best_S_strat=,-1.000000, 
t=,54000, id=,B00, PRDE,actvstrat=,-0.313600, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.934580, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.055804, actvprof=,0.003889, id=,B09, PRDE,actvstrat=,-0.302228, actvprof=,4.039447, id=,S02, PRDE,actvstrat=,-0.480856, actvprof=,0.399750, id=,S03, PRDE,actvstrat=,-0.569361, actvprof=,0.124453, id=,S05, PRDE,actvstrat=,-0.173877, actvprof=,0.000278, id=,S08, PRDE,actvstrat=,-0.591949, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.531381, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.039447, best_B_strat=,-0.302228, best_S_id=,S02, best_S_prof=,0.399750, best_S_strat=,-0.480856, 
t=,57600, id=,B00, PRDE,actvstrat=,-0.313600, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.934580, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.055804, actvprof=,0.001945, id=,B09, PRDE,actvstrat=,-0.302228, actvprof=,4.205285, id=,S02, PRDE,actvstrat=,-0.480856, actvprof=,0.397375, id=,S03, PRDE,actvstrat=,-0.569361, actvprof=,0.121254, id=,S05, PRDE,actvstrat=,-0.173877, actvprof=,0.000139, id=,S08, PRDE,actvstrat=,-0.591949, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.531381, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.205285, best_B_strat=,-0.302228, best_S_id=,S02, best_S_prof=,0.397375, best_S_strat=,-0.480856, 
t=,61200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.022662, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.372167, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.303480, actvprof=,0.002222, id=,B09, PRDE,actvstrat=,-0.302228, actvprof=,5.572609, id=,S02, PRDE,actvstrat=,-0.534115, actvprof=,0.253629, id=,S03, PRDE,actvstrat=,-0.100869, actvprof=,0.145843, id=,S05, PRDE,actvstrat=,0.232028, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.459515, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.281525, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.572609, best_B_strat=,-0.302228, best_S_id=,S02, best_S_prof=,0.253629, best_S_strat=,-0.534115, 
t=,64800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.022662, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.372167, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.303480, actvprof=,0.001528, id=,B09, PRDE,actvstrat=,-0.302228, actvprof=,5.117122, id=,S02, PRDE,actvstrat=,-0.534115, actvprof=,0.294594, id=,S03, PRDE,actvstrat=,-0.100869, actvprof=,0.158061, id=,S05, PRDE,actvstrat=,0.232028, actvprof=,0.003333, id=,S08, PRDE,actvstrat=,-0.459515, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.281525, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.117122, best_B_strat=,-0.302228, best_S_id=,S02, best_S_prof=,0.294594, best_S_strat=,-0.534115, 
t=,68400, id=,B00, PRDE,actvstrat=,-0.763907, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.696746, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.747892, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.801955, actvprof=,0.002778, id=,B09, PRDE,actvstrat=,-0.520238, actvprof=,6.124592, id=,S02, PRDE,actvstrat=,-0.925575, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.225273, actvprof=,0.185568, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.267959, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.563593, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.124592, best_B_strat=,-0.520238, best_S_id=,S03, best_S_prof=,0.185568, best_S_strat=,0.225273, 
t=,72000, id=,B00, PRDE,actvstrat=,-0.763907, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.696746, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.747892, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.801955, actvprof=,0.002083, id=,B09, PRDE,actvstrat=,-0.520238, actvprof=,5.943540, id=,S02, PRDE,actvstrat=,-0.925575, actvprof=,0.003889, id=,S03, PRDE,actvstrat=,0.225273, actvprof=,0.232786, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.003056, id=,S08, PRDE,actvstrat=,0.267959, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.563593, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.943540, best_B_strat=,-0.520238, best_S_id=,S03, best_S_prof=,0.232786, best_S_strat=,0.225273, 
t=,75600, id=,B00, PRDE,actvstrat=,-0.313600, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.117697, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.795862, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.035321, actvprof=,0.009445, id=,B09, PRDE,actvstrat=,-0.520238, actvprof=,5.560664, id=,S02, PRDE,actvstrat=,-0.332851, actvprof=,0.221960, id=,S03, PRDE,actvstrat=,-0.048377, actvprof=,0.130842, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.007223, id=,S08, PRDE,actvstrat=,-0.591949, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.704426, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.560664, best_B_strat=,-0.520238, best_S_id=,S02, best_S_prof=,0.221960, best_S_strat=,-0.332851, 
t=,79200, id=,B00, PRDE,actvstrat=,-0.313600, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.117697, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.795862, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.035321, actvprof=,0.016389, id=,B09, PRDE,actvstrat=,-0.520238, actvprof=,5.483940, id=,S02, PRDE,actvstrat=,-0.332851, actvprof=,0.198757, id=,S03, PRDE,actvstrat=,-0.048377, actvprof=,0.121532, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.010556, id=,S08, PRDE,actvstrat=,-0.591949, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.704426, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.483940, best_B_strat=,-0.520238, best_S_id=,S02, best_S_prof=,0.198757, best_S_strat=,-0.332851, 
t=,82800, id=,B00, PRDE,actvstrat=,-0.249841, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.019446, id=,B04, PRDE,actvstrat=,-0.072850, actvprof=,0.247236, id=,B09, PRDE,actvstrat=,-0.898709, actvprof=,5.051670, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,1.677593, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.292794, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.866948, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.051670, best_B_strat=,-0.898709, best_S_id=,S02, best_S_prof=,1.677593, best_S_strat=,-1.000000, 
t=,86400, id=,B00, PRDE,actvstrat=,-0.249841, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.017501, id=,B04, PRDE,actvstrat=,-0.072850, actvprof=,0.255842, id=,B09, PRDE,actvstrat=,-0.898709, actvprof=,5.033647, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,1.699365, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.319733, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.000139, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.866948, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.033647, best_B_strat=,-0.898709, best_S_id=,S02, best_S_prof=,1.699365, best_S_strat=,-1.000000, 
t=,90000, id=,B00, PRDE,actvstrat=,-0.553947, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.003056, id=,B04, PRDE,actvstrat=,-0.801955, actvprof=,0.043892, id=,B09, PRDE,actvstrat=,-0.898709, actvprof=,4.116675, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.202375, id=,S03, PRDE,actvstrat=,0.655912, actvprof=,0.285575, id=,S05, PRDE,actvstrat=,0.143952, actvprof=,0.000278, id=,S08, PRDE,actvstrat=,0.056633, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.531381, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.116675, best_B_strat=,-0.898709, best_S_id=,S02, best_S_prof=,2.202375, best_S_strat=,-1.000000, 
t=,93600, id=,B00, PRDE,actvstrat=,-0.553947, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.003056, id=,B04, PRDE,actvstrat=,-0.801955, actvprof=,0.033196, id=,B09, PRDE,actvstrat=,-0.898709, actvprof=,4.240564, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.167992, id=,S03, PRDE,actvstrat=,0.655912, actvprof=,0.274593, id=,S05, PRDE,actvstrat=,0.143952, actvprof=,0.000278, id=,S08, PRDE,actvstrat=,0.056633, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.531381, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.240564, best_B_strat=,-0.898709, best_S_id=,S02, best_S_prof=,2.167992, best_S_strat=,-1.000000, 
t=,97200, id=,B00, PRDE,actvstrat=,-0.623416, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.825412, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,B04, PRDE,actvstrat=,0.081534, actvprof=,0.191122, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,8.947442, id=,S02, PRDE,actvstrat=,0.133343, actvprof=,0.567254, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,0.798378, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.019723, id=,S08, PRDE,actvstrat=,0.344465, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.385184, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.947442, best_B_strat=,1.000000, best_S_id=,S03, best_S_prof=,0.798378, best_S_strat=,-1.000000, 
t=,100800, id=,B00, PRDE,actvstrat=,-0.623416, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.825412, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,B04, PRDE,actvstrat=,0.081534, actvprof=,0.174173, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,8.884892, id=,S02, PRDE,actvstrat=,0.133343, actvprof=,0.608493, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,0.852113, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.024723, id=,S08, PRDE,actvstrat=,0.344465, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.385184, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.884892, best_B_strat=,1.000000, best_S_id=,S03, best_S_prof=,0.852113, best_S_strat=,-1.000000, 
t=,104400, id=,B00, PRDE,actvstrat=,-0.249841, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.960025, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.509552, actvprof=,0.004167, id=,B09, PRDE,actvstrat=,-0.280708, actvprof=,4.662611, id=,S02, PRDE,actvstrat=,-0.722373, actvprof=,0.326138, id=,S03, PRDE,actvstrat=,0.225273, actvprof=,0.634497, id=,S05, PRDE,actvstrat=,0.287791, actvprof=,0.001111, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.076301, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.662611, best_B_strat=,-0.280708, best_S_id=,S03, best_S_prof=,0.634497, best_S_strat=,0.225273, 
t=,108000, id=,B00, PRDE,actvstrat=,-0.249841, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.960025, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.509552, actvprof=,0.003750, id=,B09, PRDE,actvstrat=,-0.280708, actvprof=,4.449213, id=,S02, PRDE,actvstrat=,-0.722373, actvprof=,0.320430, id=,S03, PRDE,actvstrat=,0.225273, actvprof=,0.701974, id=,S05, PRDE,actvstrat=,0.287791, actvprof=,0.002639, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.076301, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.449213, best_B_strat=,-0.280708, best_S_id=,S03, best_S_prof=,0.701974, best_S_strat=,0.225273, 
t=,111600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.242398, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.509156, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.520718, actvprof=,0.229186, id=,B09, PRDE,actvstrat=,0.760470, actvprof=,8.228463, id=,S02, PRDE,actvstrat=,0.410337, actvprof=,0.991194, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.052032, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.028891, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.348286, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.228463, best_B_strat=,0.760470, best_S_id=,S03, best_S_prof=,1.052032, best_S_strat=,-1.000000, 
