t=,39600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.420597, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.483490, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.013334, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.294683, id=,S00, PRDE,actvstrat=,-0.523005, actvprof=,1.645647, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.841769, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.025557, id=,S06, PRDE,actvstrat=,0.573507, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.294683, best_B_strat=,-1.000000, best_S_id=,S03, best_S_prof=,1.841769, best_S_strat=,-1.000000, 
t=,43200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.420597, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.483490, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.016250, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.340398, id=,S00, PRDE,actvstrat=,-0.523005, actvprof=,1.634629, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.863941, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.018612, id=,S06, PRDE,actvstrat=,0.573507, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.340398, best_B_strat=,-1.000000, best_S_id=,S03, best_S_prof=,1.863941, best_S_strat=,-1.000000, 
t=,46800, id=,B00, PRDE,actvstrat=,0.951163, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.567247, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.333874, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.353305, actvprof=,0.095008, id=,B07, PRDE,actvstrat=,-0.569491, actvprof=,3.099703, id=,S00, PRDE,actvstrat=,-0.602151, actvprof=,0.847015, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.876462, id=,S05, PRDE,actvstrat=,0.239574, actvprof=,0.002778, id=,S06, PRDE,actvstrat=,-0.782429, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.099703, best_B_strat=,-0.569491, best_S_id=,S03, best_S_prof=,0.876462, best_S_strat=,1.000000, 
t=,50400, id=,B00, PRDE,actvstrat=,0.951163, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.567247, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.333874, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.353305, actvprof=,0.120699, id=,B07, PRDE,actvstrat=,-0.569491, actvprof=,3.293887, id=,S00, PRDE,actvstrat=,-0.602151, actvprof=,0.808506, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.791977, id=,S05, PRDE,actvstrat=,0.239574, actvprof=,0.002917, id=,S06, PRDE,actvstrat=,-0.782429, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.293887, best_B_strat=,-0.569491, best_S_id=,S00, best_S_prof=,0.808506, best_S_strat=,-0.602151, 
t=,54000, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.540275, actvprof=,0.001945, id=,B04, PRDE,actvstrat=,-0.533342, actvprof=,0.251688, id=,B07, PRDE,actvstrat=,-0.896218, actvprof=,2.253243, id=,S00, PRDE,actvstrat=,-0.888128, actvprof=,0.032503, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.080007, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.862176, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.253243, best_B_strat=,-0.896218, best_S_id=,S03, best_S_prof=,0.080007, best_S_strat=,1.000000, 
t=,57600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.540275, actvprof=,0.001945, id=,B04, PRDE,actvstrat=,-0.533342, actvprof=,0.264317, id=,B07, PRDE,actvstrat=,-0.896218, actvprof=,2.363848, id=,S00, PRDE,actvstrat=,-0.888128, actvprof=,0.037363, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.067086, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.862176, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.363848, best_B_strat=,-0.896218, best_S_id=,S03, best_S_prof=,0.067086, best_S_strat=,1.000000, 
t=,61200, id=,B00, PRDE,actvstrat=,-0.354511, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.288596, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.501724, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.559251, actvprof=,0.028613, id=,B07, PRDE,actvstrat=,-0.413640, actvprof=,2.798289, id=,S00, PRDE,actvstrat=,-0.546215, actvprof=,0.946746, id=,S03, PRDE,actvstrat=,-0.678789, actvprof=,0.011668, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.000833, id=,S06, PRDE,actvstrat=,0.862176, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.871900, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.798289, best_B_strat=,-0.413640, best_S_id=,S00, best_S_prof=,0.946746, best_S_strat=,-0.546215, 
t=,64800, id=,B00, PRDE,actvstrat=,-0.354511, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.288596, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.501724, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.559251, actvprof=,0.023890, id=,B07, PRDE,actvstrat=,-0.413640, actvprof=,3.061794, id=,S00, PRDE,actvstrat=,-0.546215, actvprof=,0.933372, id=,S03, PRDE,actvstrat=,-0.678789, actvprof=,0.006806, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.000417, id=,S06, PRDE,actvstrat=,0.862176, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.871900, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.061794, best_B_strat=,-0.413640, best_S_id=,S00, best_S_prof=,0.933372, best_S_strat=,-0.546215, 
t=,68400, id=,B00, PRDE,actvstrat=,0.558296, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.429766, actvprof=,0.082784, id=,B04, PRDE,actvstrat=,-0.167494, actvprof=,0.349469, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,6.380443, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,4.425307, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.452809, id=,S05, PRDE,actvstrat=,-0.438290, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.003611, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,6.380443, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,4.425307, best_S_strat=,-1.000000, 
t=,72000, id=,B00, PRDE,actvstrat=,0.558296, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.429766, actvprof=,0.069170, id=,B04, PRDE,actvstrat=,-0.167494, actvprof=,0.336958, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,6.236649, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,4.435185, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.438074, id=,S05, PRDE,actvstrat=,-0.438290, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.004722, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,6.236649, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,4.435185, best_S_strat=,-1.000000, 
