t=,39600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.001945, id=,B04, PRDE,actvstrat=,-0.909937, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,3.195455, id=,S01, PRDE,actvstrat=,0.957086, actvprof=,4.500806, id=,S02, PRDE,actvstrat=,-0.201345, actvprof=,0.687538, id=,S04, PRDE,actvstrat=,-0.442819, actvprof=,0.011390, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.195455, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.500806, best_S_strat=,0.957086, 
t=,43200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000139, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.001250, id=,B04, PRDE,actvstrat=,-0.909937, actvprof=,0.002361, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,3.140226, id=,S01, PRDE,actvstrat=,0.957086, actvprof=,4.552071, id=,S02, PRDE,actvstrat=,-0.201345, actvprof=,0.777799, id=,S04, PRDE,actvstrat=,-0.442819, actvprof=,0.014028, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.140226, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.552071, best_S_strat=,0.957086, 
t=,46800, id=,B00, PRDE,actvstrat=,-0.548912, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.539122, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.411501, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.972076, actvprof=,0.033335, id=,B06, PRDE,actvstrat=,-0.343185, actvprof=,0.754486, id=,S01, PRDE,actvstrat=,-0.592773, actvprof=,1.880382, id=,S02, PRDE,actvstrat=,0.843024, actvprof=,3.240180, id=,S04, PRDE,actvstrat=,-0.793628, actvprof=,0.001389, id=,S07, PRDE,actvstrat=,-0.720991, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.575571, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.754486, best_B_strat=,-0.343185, best_S_id=,S02, best_S_prof=,3.240180, best_S_strat=,0.843024, 
t=,50400, id=,B00, PRDE,actvstrat=,-0.548912, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.539122, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.411501, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.972076, actvprof=,0.041668, id=,B06, PRDE,actvstrat=,-0.343185, actvprof=,0.821828, id=,S01, PRDE,actvstrat=,-0.592773, actvprof=,1.902692, id=,S02, PRDE,actvstrat=,0.843024, actvprof=,3.245646, id=,S04, PRDE,actvstrat=,-0.793628, actvprof=,0.001389, id=,S07, PRDE,actvstrat=,-0.720991, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.575571, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.821828, best_B_strat=,-0.343185, best_S_id=,S02, best_S_prof=,3.245646, best_S_strat=,0.843024, 
t=,54000, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.598748, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.903085, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.024724, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.817379, id=,S01, PRDE,actvstrat=,-0.855169, actvprof=,0.883382, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.101006, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.268904, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.757562, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.817379, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,3.101006, best_S_strat=,-1.000000, 
t=,57600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.598748, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.903085, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.024167, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.796328, id=,S01, PRDE,actvstrat=,-0.855169, actvprof=,0.879747, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.086197, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.303342, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.757562, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.796328, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,3.086197, best_S_strat=,-1.000000, 
t=,61200, id=,B00, PRDE,actvstrat=,-0.603232, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.450787, actvprof=,0.035558, id=,B06, PRDE,actvstrat=,0.375398, actvprof=,2.059559, id=,S01, PRDE,actvstrat=,0.226003, actvprof=,3.484082, id=,S02, PRDE,actvstrat=,-0.716103, actvprof=,0.636424, id=,S04, PRDE,actvstrat=,0.032008, actvprof=,0.036946, id=,S07, PRDE,actvstrat=,-0.665340, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.512642, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.059559, best_B_strat=,0.375398, best_S_id=,S01, best_S_prof=,3.484082, best_S_strat=,0.226003, 
t=,64800, id=,B00, PRDE,actvstrat=,-0.603232, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,B04, PRDE,actvstrat=,0.450787, actvprof=,0.026390, id=,B06, PRDE,actvstrat=,0.375398, actvprof=,2.015334, id=,S01, PRDE,actvstrat=,0.226003, actvprof=,3.532598, id=,S02, PRDE,actvstrat=,-0.716103, actvprof=,0.670991, id=,S04, PRDE,actvstrat=,0.032008, actvprof=,0.040973, id=,S07, PRDE,actvstrat=,-0.665340, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.512642, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.015334, best_B_strat=,0.375398, best_S_id=,S01, best_S_prof=,3.532598, best_S_strat=,0.226003, 
t=,68400, id=,B00, PRDE,actvstrat=,-0.390389, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.263787, actvprof=,0.001389, id=,B04, PRDE,actvstrat=,0.033358, actvprof=,0.011112, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.880716, id=,S01, PRDE,actvstrat=,0.027808, actvprof=,3.224346, id=,S02, PRDE,actvstrat=,-0.503791, actvprof=,0.892272, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.231402, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.880716, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,3.224346, best_S_strat=,0.027808, 
t=,72000, id=,B00, PRDE,actvstrat=,-0.390389, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000556, id=,B03, PRDE,actvstrat=,0.263787, actvprof=,0.000833, id=,B04, PRDE,actvstrat=,0.033358, actvprof=,0.013334, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.901192, id=,S01, PRDE,actvstrat=,0.027808, actvprof=,3.226479, id=,S02, PRDE,actvstrat=,-0.503791, actvprof=,0.888080, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.211395, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.901192, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,3.226479, best_S_strat=,0.027808, 
