t=,57600, id=,B00, PRDE,actvstrat=,0.917929, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.768438, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.001806, id=,B05, PRDE,actvstrat=,0.375149, actvprof=,0.450985, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.471180, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.540987, id=,S04, PRDE,actvstrat=,-0.559043, actvprof=,0.007361, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.038612, id=,S06, PRDE,actvstrat=,0.704256, actvprof=,0.000278, id=,S07, PRDE,actvstrat=,-0.258702, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.471180, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,5.540987, best_S_strat=,1.000000, 
t=,61200, id=,B00, PRDE,actvstrat=,0.301657, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.495838, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.998073, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.375149, actvprof=,0.030002, id=,B06, PRDE,actvstrat=,0.982891, actvprof=,0.656703, id=,S01, PRDE,actvstrat=,-0.799126, actvprof=,1.475915, id=,S04, PRDE,actvstrat=,0.290049, actvprof=,1.067282, id=,S05, PRDE,actvstrat=,0.169234, actvprof=,0.265570, id=,S06, PRDE,actvstrat=,-0.310246, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.258702, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.656703, best_B_strat=,0.982891, best_S_id=,S01, best_S_prof=,1.475915, best_S_strat=,-0.799126, 
t=,64800, id=,B00, PRDE,actvstrat=,0.301657, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.495838, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.998073, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.375149, actvprof=,0.034168, id=,B06, PRDE,actvstrat=,0.982891, actvprof=,0.627379, id=,S01, PRDE,actvstrat=,-0.799126, actvprof=,1.615045, id=,S04, PRDE,actvstrat=,0.290049, actvprof=,1.037807, id=,S05, PRDE,actvstrat=,0.169234, actvprof=,0.221673, id=,S06, PRDE,actvstrat=,-0.310246, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.258702, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.627379, best_B_strat=,0.982891, best_S_id=,S01, best_S_prof=,1.615045, best_S_strat=,-0.799126, 
t=,68400, id=,B00, PRDE,actvstrat=,0.444963, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.199908, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.220141, actvprof=,0.170843, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.689816, id=,S01, PRDE,actvstrat=,0.057431, actvprof=,3.501306, id=,S04, PRDE,actvstrat=,-0.854555, actvprof=,0.018334, id=,S05, PRDE,actvstrat=,-0.388623, actvprof=,0.005278, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.735781, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.689816, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,3.501306, best_S_strat=,0.057431, 
t=,72000, id=,B00, PRDE,actvstrat=,0.444963, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.199908, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.220141, actvprof=,0.179588, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.744493, id=,S01, PRDE,actvstrat=,0.057431, actvprof=,3.312175, id=,S04, PRDE,actvstrat=,-0.854555, actvprof=,0.013056, id=,S05, PRDE,actvstrat=,-0.388623, actvprof=,0.005000, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000694, id=,S07, PRDE,actvstrat=,0.735781, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.744493, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,3.312175, best_S_strat=,0.057431, 
t=,75600, id=,B00, PRDE,actvstrat=,-0.083788, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.199908, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.756665, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.220141, actvprof=,0.452247, id=,B06, PRDE,actvstrat=,-0.239732, actvprof=,0.757820, id=,S01, PRDE,actvstrat=,-0.659877, actvprof=,1.092561, id=,S04, PRDE,actvstrat=,-0.601996, actvprof=,0.013890, id=,S05, PRDE,actvstrat=,-0.631440, actvprof=,0.000833, id=,S06, PRDE,actvstrat=,0.700058, actvprof=,0.001945, id=,S07, PRDE,actvstrat=,-0.147808, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.757820, best_B_strat=,-0.239732, best_S_id=,S01, best_S_prof=,1.092561, best_S_strat=,-0.659877, 
t=,79200, id=,B00, PRDE,actvstrat=,-0.083788, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.199908, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.756665, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.220141, actvprof=,0.371260, id=,B06, PRDE,actvstrat=,-0.239732, actvprof=,0.683075, id=,S01, PRDE,actvstrat=,-0.659877, actvprof=,1.235312, id=,S04, PRDE,actvstrat=,-0.601996, actvprof=,0.026529, id=,S05, PRDE,actvstrat=,-0.631440, actvprof=,0.002083, id=,S06, PRDE,actvstrat=,0.700058, actvprof=,0.001111, id=,S07, PRDE,actvstrat=,-0.147808, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.683075, best_B_strat=,-0.239732, best_S_id=,S01, best_S_prof=,1.235312, best_S_strat=,-0.659877, 
t=,82800, id=,B00, PRDE,actvstrat=,0.973715, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.010000, id=,B05, PRDE,actvstrat=,-0.403482, actvprof=,0.714474, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,4.009334, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,3.898218, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.106116, id=,S05, PRDE,actvstrat=,0.141529, actvprof=,0.005556, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,4.009334, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,3.898218, best_S_strat=,1.000000, 
t=,86400, id=,B00, PRDE,actvstrat=,0.973715, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.010556, id=,B05, PRDE,actvstrat=,-0.403482, actvprof=,0.707797, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,4.014973, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,3.925803, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.110975, id=,S05, PRDE,actvstrat=,0.141529, actvprof=,0.003889, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,4.014973, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,3.925803, best_S_strat=,1.000000, 
t=,90000, id=,B00, PRDE,actvstrat=,-0.348170, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.714495, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.604263, actvprof=,0.001111, id=,B05, PRDE,actvstrat=,-0.651071, actvprof=,0.306961, id=,B06, PRDE,actvstrat=,-0.503825, actvprof=,1.256459, id=,S01, PRDE,actvstrat=,-0.233470, actvprof=,0.954497, id=,S04, PRDE,actvstrat=,0.126209, actvprof=,0.056114, id=,S05, PRDE,actvstrat=,0.529132, actvprof=,0.011390, id=,S06, PRDE,actvstrat=,0.043079, actvprof=,0.000278, id=,S07, PRDE,actvstrat=,0.737946, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.256459, best_B_strat=,-0.503825, best_S_id=,S01, best_S_prof=,0.954497, best_S_strat=,-0.233470, 
