t=,39600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.861885, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.321427, actvprof=,0.190841, id=,B05, PRDE,actvstrat=,-0.260542, actvprof=,1.006431, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,6.013862, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.309735, id=,S05, PRDE,actvstrat=,0.528298, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.800235, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,6.013862, best_B_strat=,-1.000000, best_S_id=,S03, best_S_prof=,0.309735, best_S_strat=,1.000000, 
t=,43200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.861885, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.321427, actvprof=,0.188616, id=,B05, PRDE,actvstrat=,-0.260542, actvprof=,1.006278, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,5.978916, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.337093, id=,S05, PRDE,actvstrat=,0.528298, actvprof=,0.000278, id=,S06, PRDE,actvstrat=,-0.800235, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,5.978916, best_B_strat=,-1.000000, best_S_id=,S03, best_S_prof=,0.337093, best_S_strat=,1.000000, 
t=,46800, id=,B00, PRDE,actvstrat=,-0.050931, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.002580, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.496420, actvprof=,0.045003, id=,B05, PRDE,actvstrat=,0.232687, actvprof=,0.535037, id=,B07, PRDE,actvstrat=,-0.059797, actvprof=,2.569623, id=,S03, PRDE,actvstrat=,-0.838900, actvprof=,0.008612, id=,S05, PRDE,actvstrat=,0.134467, actvprof=,0.008334, id=,S06, PRDE,actvstrat=,-0.952104, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.718874, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.793207, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.569623, best_B_strat=,-0.059797, best_S_id=,S03, best_S_prof=,0.008612, best_S_strat=,-0.838900, 
t=,50400, id=,B00, PRDE,actvstrat=,-0.050931, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.002580, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.496420, actvprof=,0.042779, id=,B05, PRDE,actvstrat=,0.232687, actvprof=,0.488073, id=,B07, PRDE,actvstrat=,-0.059797, actvprof=,2.428695, id=,S03, PRDE,actvstrat=,-0.838900, actvprof=,0.025695, id=,S05, PRDE,actvstrat=,0.134467, actvprof=,0.010695, id=,S06, PRDE,actvstrat=,-0.952104, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.718874, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.793207, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.428695, best_B_strat=,-0.059797, best_S_id=,S03, best_S_prof=,0.025695, best_S_strat=,-0.838900, 
t=,54000, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.753094, actvprof=,0.005556, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,1.040072, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.042781, id=,S03, PRDE,actvstrat=,0.857793, actvprof=,1.519828, id=,S05, PRDE,actvstrat=,-0.279669, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.042781, best_B_strat=,-1.000000, best_S_id=,S03, best_S_prof=,1.519828, best_S_strat=,0.857793, 
t=,57600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.753094, actvprof=,0.003611, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,1.128504, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.071363, id=,S03, PRDE,actvstrat=,0.857793, actvprof=,1.489208, id=,S05, PRDE,actvstrat=,-0.279669, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.071363, best_B_strat=,-1.000000, best_S_id=,S03, best_S_prof=,1.489208, best_S_strat=,0.857793, 
t=,61200, id=,B00, PRDE,actvstrat=,-0.627138, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.861885, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.601307, actvprof=,0.004445, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,1.152024, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.032502, id=,S03, PRDE,actvstrat=,0.857793, actvprof=,1.565942, id=,S05, PRDE,actvstrat=,0.021046, actvprof=,0.005556, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.526546, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.032502, best_B_strat=,-1.000000, best_S_id=,S03, best_S_prof=,1.565942, best_S_strat=,0.857793, 
t=,64800, id=,B00, PRDE,actvstrat=,-0.627138, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.861885, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.601307, actvprof=,0.003889, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,1.191014, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.119865, id=,S03, PRDE,actvstrat=,0.857793, actvprof=,1.472690, id=,S05, PRDE,actvstrat=,0.021046, actvprof=,0.003750, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.526546, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.119865, best_B_strat=,-1.000000, best_S_id=,S03, best_S_prof=,1.472690, best_S_strat=,0.857793, 
t=,68400, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.107784, id=,B05, PRDE,actvstrat=,0.100219, actvprof=,0.653647, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.619701, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.558975, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.073751, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.619701, best_B_strat=,-1.000000, best_S_id=,S03, best_S_prof=,1.558975, best_S_strat=,1.000000, 
t=,72000, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.142645, id=,B05, PRDE,actvstrat=,0.100219, actvprof=,0.646833, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.666722, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.481173, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.000278, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.073751, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.666722, best_B_strat=,-1.000000, best_S_id=,S03, best_S_prof=,1.481173, best_S_strat=,1.000000, 
