t=,39600, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.122732, actvprof=,1.235381, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.930494, id=,B09, PRDE,actvstrat=,-0.118865, actvprof=,5.966331, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.570659, id=,S02, PRDE,actvstrat=,0.298384, actvprof=,0.910354, id=,S07, PRDE,actvstrat=,-0.093118, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.966331, best_B_strat=,-0.118865, best_S_id=,S01, best_S_prof=,4.570659, best_S_strat=,-1.000000, 
t=,43200, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.122732, actvprof=,1.192680, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.935345, id=,B09, PRDE,actvstrat=,-0.118865, actvprof=,6.047016, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.482795, id=,S02, PRDE,actvstrat=,0.298384, actvprof=,0.957117, id=,S07, PRDE,actvstrat=,-0.093118, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.047016, best_B_strat=,-0.118865, best_S_id=,S01, best_S_prof=,4.482795, best_S_strat=,-1.000000, 
t=,46800, id=,B01, PRDE,actvstrat=,-0.518706, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.240398, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.835161, actvprof=,0.463391, id=,B08, PRDE,actvstrat=,0.551984, actvprof=,5.953522, id=,B09, PRDE,actvstrat=,-0.799725, actvprof=,4.556125, id=,S01, PRDE,actvstrat=,0.679052, actvprof=,2.785348, id=,S02, PRDE,actvstrat=,-0.574816, actvprof=,0.116681, id=,S07, PRDE,actvstrat=,-0.093118, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.687544, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.906116, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.953522, best_B_strat=,0.551984, best_S_id=,S01, best_S_prof=,2.785348, best_S_strat=,0.679052, 
t=,50400, id=,B01, PRDE,actvstrat=,-0.518706, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.240398, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.835161, actvprof=,0.390858, id=,B08, PRDE,actvstrat=,0.551984, actvprof=,5.849532, id=,B09, PRDE,actvstrat=,-0.799725, actvprof=,4.432916, id=,S01, PRDE,actvstrat=,0.679052, actvprof=,2.889486, id=,S02, PRDE,actvstrat=,-0.574816, actvprof=,0.107368, id=,S07, PRDE,actvstrat=,-0.093118, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.687544, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.906116, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.849532, best_B_strat=,0.551984, best_S_id=,S01, best_S_prof=,2.889486, best_S_strat=,0.679052, 
t=,54000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.777847, id=,B08, PRDE,actvstrat=,0.212395, actvprof=,5.035629, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,7.484547, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.620300, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.107888, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.634126, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.484547, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.620300, best_S_strat=,-1.000000, 
t=,57600, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.744477, id=,B08, PRDE,actvstrat=,0.212395, actvprof=,5.108653, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,7.450049, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.633067, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.121445, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.634126, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.450049, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.633067, best_S_strat=,-1.000000, 
t=,61200, id=,B01, PRDE,actvstrat=,-0.287840, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.766217, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.687577, actvprof=,1.677432, id=,B08, PRDE,actvstrat=,0.212395, actvprof=,4.011613, id=,B09, PRDE,actvstrat=,-0.313465, actvprof=,4.545846, id=,S01, PRDE,actvstrat=,-0.615896, actvprof=,0.458946, id=,S02, PRDE,actvstrat=,0.267089, actvprof=,1.254323, id=,S07, PRDE,actvstrat=,0.632898, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,S09, PRDE,actvstrat=,0.414922, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.545846, best_B_strat=,-0.313465, best_S_id=,S02, best_S_prof=,1.254323, best_S_strat=,0.267089, 
t=,64800, id=,B01, PRDE,actvstrat=,-0.287840, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.766217, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.687577, actvprof=,1.593850, id=,B08, PRDE,actvstrat=,0.212395, actvprof=,4.073310, id=,B09, PRDE,actvstrat=,-0.313465, actvprof=,4.389441, id=,S01, PRDE,actvstrat=,-0.615896, actvprof=,0.500587, id=,S02, PRDE,actvstrat=,0.267089, actvprof=,1.310360, id=,S07, PRDE,actvstrat=,0.632898, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000139, id=,S09, PRDE,actvstrat=,0.414922, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.389441, best_B_strat=,-0.313465, best_S_id=,S02, best_S_prof=,1.310360, best_S_strat=,0.267089, 
t=,68400, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.546264, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.035553, actvprof=,2.253337, id=,B08, PRDE,actvstrat=,0.926125, actvprof=,7.165618, id=,B09, PRDE,actvstrat=,-0.391148, actvprof=,6.301343, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.608229, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.201386, id=,S07, PRDE,actvstrat=,-0.545984, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,7.165618, best_B_strat=,0.926125, best_S_id=,S01, best_S_prof=,3.608229, best_S_strat=,-1.000000, 
t=,72000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.546264, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.035553, actvprof=,2.210416, id=,B08, PRDE,actvstrat=,0.926125, actvprof=,7.050163, id=,B09, PRDE,actvstrat=,-0.391148, actvprof=,6.297199, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.718010, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.318478, id=,S07, PRDE,actvstrat=,-0.545984, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,7.050163, best_B_strat=,0.926125, best_S_id=,S01, best_S_prof=,3.718010, best_S_strat=,-1.000000, 
