t=,39600, id=,B01, PRDE,actvstrat=,-0.622453, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.051467, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.309294, actvprof=,0.007778, id=,B04, PRDE,actvstrat=,0.103541, actvprof=,0.053054, id=,B08, PRDE,actvstrat=,-0.812615, actvprof=,2.887698, id=,S00, PRDE,actvstrat=,0.558127, actvprof=,5.722341, id=,S02, PRDE,actvstrat=,-0.810455, actvprof=,0.585817, id=,S03, PRDE,actvstrat=,0.739454, actvprof=,1.148024, id=,S04, PRDE,actvstrat=,0.725399, actvprof=,0.132219, id=,S06, PRDE,actvstrat=,0.517059, actvprof=,0.001111, best_B_id=,B08, best_B_prof=,2.887698, best_B_strat=,-0.812615, best_S_id=,S00, best_S_prof=,5.722341, best_S_strat=,0.558127, 
t=,43200, id=,B01, PRDE,actvstrat=,-0.622453, actvprof=,0.001111, id=,B02, PRDE,actvstrat=,-0.051467, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.309294, actvprof=,0.010417, id=,B04, PRDE,actvstrat=,0.103541, actvprof=,0.065418, id=,B08, PRDE,actvstrat=,-0.812615, actvprof=,2.910755, id=,S00, PRDE,actvstrat=,0.558127, actvprof=,5.650673, id=,S02, PRDE,actvstrat=,-0.810455, actvprof=,0.555984, id=,S03, PRDE,actvstrat=,0.739454, actvprof=,1.115718, id=,S04, PRDE,actvstrat=,0.725399, actvprof=,0.117086, id=,S06, PRDE,actvstrat=,0.517059, actvprof=,0.000556, best_B_id=,B08, best_B_prof=,2.910755, best_B_strat=,-0.812615, best_S_id=,S00, best_S_prof=,5.650673, best_S_strat=,0.558127, 
t=,46800, id=,B01, PRDE,actvstrat=,-0.622453, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.671728, actvprof=,0.004445, id=,B03, PRDE,actvstrat=,0.480836, actvprof=,0.020834, id=,B04, PRDE,actvstrat=,-0.726552, actvprof=,0.058614, id=,B08, PRDE,actvstrat=,-0.812615, actvprof=,2.938456, id=,S00, PRDE,actvstrat=,0.606176, actvprof=,5.119102, id=,S02, PRDE,actvstrat=,-0.360467, actvprof=,0.751420, id=,S03, PRDE,actvstrat=,0.739454, actvprof=,0.768921, id=,S04, PRDE,actvstrat=,0.725399, actvprof=,0.055836, id=,S06, PRDE,actvstrat=,0.517059, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.938456, best_B_strat=,-0.812615, best_S_id=,S00, best_S_prof=,5.119102, best_S_strat=,0.606176, 
t=,50400, id=,B01, PRDE,actvstrat=,-0.622453, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.671728, actvprof=,0.002639, id=,B03, PRDE,actvstrat=,0.480836, actvprof=,0.013473, id=,B04, PRDE,actvstrat=,-0.726552, actvprof=,0.042362, id=,B08, PRDE,actvstrat=,-0.812615, actvprof=,3.101454, id=,S00, PRDE,actvstrat=,0.606176, actvprof=,5.241776, id=,S02, PRDE,actvstrat=,-0.360467, actvprof=,0.746404, id=,S03, PRDE,actvstrat=,0.739454, actvprof=,0.814600, id=,S04, PRDE,actvstrat=,0.725399, actvprof=,0.065279, id=,S06, PRDE,actvstrat=,0.517059, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.101454, best_B_strat=,-0.812615, best_S_id=,S00, best_S_prof=,5.241776, best_S_strat=,0.606176, 
t=,54000, id=,B01, PRDE,actvstrat=,-0.622453, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.671728, actvprof=,0.003611, id=,B03, PRDE,actvstrat=,0.309294, actvprof=,0.029446, id=,B04, PRDE,actvstrat=,-0.141646, actvprof=,0.103615, id=,B08, PRDE,actvstrat=,-0.710303, actvprof=,3.317360, id=,S00, PRDE,actvstrat=,0.558127, actvprof=,5.563010, id=,S02, PRDE,actvstrat=,0.408728, actvprof=,2.148978, id=,S03, PRDE,actvstrat=,0.739454, actvprof=,1.142825, id=,S04, PRDE,actvstrat=,-0.484139, actvprof=,0.040002, id=,S06, PRDE,actvstrat=,-0.481620, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.317360, best_B_strat=,-0.710303, best_S_id=,S00, best_S_prof=,5.563010, best_S_strat=,0.558127, 
t=,57600, id=,B01, PRDE,actvstrat=,-0.622453, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.671728, actvprof=,0.007222, id=,B03, PRDE,actvstrat=,0.309294, actvprof=,0.020973, id=,B04, PRDE,actvstrat=,-0.141646, actvprof=,0.083613, id=,B08, PRDE,actvstrat=,-0.710303, actvprof=,3.335625, id=,S00, PRDE,actvstrat=,0.558127, actvprof=,5.619700, id=,S02, PRDE,actvstrat=,0.408728, actvprof=,2.242963, id=,S03, PRDE,actvstrat=,0.739454, actvprof=,1.207803, id=,S04, PRDE,actvstrat=,-0.484139, actvprof=,0.038751, id=,S06, PRDE,actvstrat=,-0.481620, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.335625, best_B_strat=,-0.710303, best_S_id=,S00, best_S_prof=,5.619700, best_S_strat=,0.558127, 
t=,61200, id=,B01, PRDE,actvstrat=,-0.622453, actvprof=,0.000278, id=,B02, PRDE,actvstrat=,-0.051467, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.309294, actvprof=,0.013889, id=,B04, PRDE,actvstrat=,-0.141646, actvprof=,0.040279, id=,B08, PRDE,actvstrat=,0.299095, actvprof=,5.113546, id=,S00, PRDE,actvstrat=,0.558127, actvprof=,5.611067, id=,S02, PRDE,actvstrat=,-0.810455, actvprof=,0.686140, id=,S03, PRDE,actvstrat=,0.739454, actvprof=,1.206717, id=,S04, PRDE,actvstrat=,0.725399, actvprof=,0.216120, id=,S06, PRDE,actvstrat=,0.517059, actvprof=,0.001111, best_B_id=,B08, best_B_prof=,5.113546, best_B_strat=,0.299095, best_S_id=,S00, best_S_prof=,5.611067, best_S_strat=,0.558127, 
t=,64800, id=,B01, PRDE,actvstrat=,-0.622453, actvprof=,0.000139, id=,B02, PRDE,actvstrat=,-0.051467, actvprof=,0.002083, id=,B03, PRDE,actvstrat=,0.309294, actvprof=,0.013473, id=,B04, PRDE,actvstrat=,-0.141646, actvprof=,0.038195, id=,B08, PRDE,actvstrat=,0.299095, actvprof=,5.079689, id=,S00, PRDE,actvstrat=,0.558127, actvprof=,5.707480, id=,S02, PRDE,actvstrat=,-0.810455, actvprof=,0.726682, id=,S03, PRDE,actvstrat=,0.739454, actvprof=,1.238081, id=,S04, PRDE,actvstrat=,0.725399, actvprof=,0.248755, id=,S06, PRDE,actvstrat=,0.517059, actvprof=,0.002778, best_B_id=,B08, best_B_prof=,5.079689, best_B_strat=,0.299095, best_S_id=,S00, best_S_prof=,5.707480, best_S_strat=,0.558127, 
t=,68400, id=,B01, PRDE,actvstrat=,-0.061610, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.671728, actvprof=,0.016667, id=,B03, PRDE,actvstrat=,0.309294, actvprof=,0.024168, id=,B04, PRDE,actvstrat=,0.103541, actvprof=,0.077781, id=,B08, PRDE,actvstrat=,-0.710303, actvprof=,3.531258, id=,S00, PRDE,actvstrat=,0.606176, actvprof=,5.724127, id=,S02, PRDE,actvstrat=,0.408728, actvprof=,2.236204, id=,S03, PRDE,actvstrat=,0.739454, actvprof=,1.213384, id=,S04, PRDE,actvstrat=,-0.484139, actvprof=,0.036113, id=,S06, PRDE,actvstrat=,-0.481620, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.531258, best_B_strat=,-0.710303, best_S_id=,S00, best_S_prof=,5.724127, best_S_strat=,0.606176, 
t=,72000, id=,B01, PRDE,actvstrat=,-0.061610, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.671728, actvprof=,0.009722, id=,B03, PRDE,actvstrat=,0.309294, actvprof=,0.022084, id=,B04, PRDE,actvstrat=,0.103541, actvprof=,0.095696, id=,B08, PRDE,actvstrat=,-0.710303, actvprof=,3.335764, id=,S00, PRDE,actvstrat=,0.606176, actvprof=,5.684702, id=,S02, PRDE,actvstrat=,0.408728, actvprof=,2.294076, id=,S03, PRDE,actvstrat=,0.739454, actvprof=,1.254332, id=,S04, PRDE,actvstrat=,-0.484139, actvprof=,0.034028, id=,S06, PRDE,actvstrat=,-0.481620, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.335764, best_B_strat=,-0.710303, best_S_id=,S00, best_S_prof=,5.684702, best_S_strat=,0.606176, 
