B00, 0
B01, 0
B02, 1
B02, Trade, 1418259.701, 70, S00, B02, 1
B03, 100
B03, Trade, 4164006.394, 84, B03, S00, 1
B03, Trade, 4164062.994, 84, B03, S00, 1
B03, Trade, 4164113.644, 84, B03, S00, 1
B03, Trade, 4164153.744, 83, B03, S02, 1
B03, Trade, 4165181.244, 85, B03, S02, 1
B03, Trade, 4170413.394, 85, B03, S00, 1
B03, Trade, 4170443.394, 85, B03, S02, 1
B03, Trade, 4170771.394, 85, B03, S00, 1
B03, Trade, 4172565.744, 85, B03, S00, 1
B03, Trade, 4177170.494, 85, B03, S02, 1
B03, Trade, 4177197.994, 83, B03, S00, 1
B03, Trade, 4177768.344, 85, B03, S02, 1
B03, Trade, 4177940.994, 84, B03, S00, 1
B03, Trade, 4178214.494, 84, B03, S00, 1
B03, Trade, 4178262.644, 85, S01, B03, 1
B03, Trade, 4179574.894, 85, B03, S00, 1
B03, Trade, 4179893.094, 85, B03, S00, 1
B03, Trade, 4180443.744, 85, B03, S02, 1
B03, Trade, 4180476.994, 84, S01, B03, 1
B03, Trade, 4180964.794, 84, B03, S00, 1
B03, Trade, 4181530.644, 85, B03, S00, 1
B03, Trade, 4181611.094, 85, B03, S02, 1
B03, Trade, 4181652.894, 84, B03, S02, 1
B03, Trade, 4181691.044, 83, B03, S00, 1
B03, Trade, 4182075.544, 85, B03, S02, 1
B03, Trade, 4182095.694, 84, B03, S02, 1
B03, Trade, 4182432.644, 84, B03, S02, 1
B03, Trade, 4188237.094, 85, B03, S02, 1
B03, Trade, 4189677.544, 84, B03, S02, 1
B03, Trade, 4189775.794, 83, B03, S01, 1
B03, Trade, 4191720.294, 85, B03, S01, 1
B03, Trade, 4198672.694, 85, B03, S00, 1
B03, Trade, 4198707.844, 84, B03, S02, 1
B03, Trade, 4198742.244, 83, B03, S00, 1
B03, Trade, 4198744.094, 83, B03, S00, 1
B03, Trade, 4201024.444, 85, S02, B03, 1
B03, Trade, 4202608.744, 80, S00, B03, 1
B03, Trade, 4211147.894, 85, B03, S00, 1
B03, Trade, 4211962.094, 85, S00, B03, 1
B03, Trade, 4214922.593, 85, B03, S01, 1
B03, Trade, 4214930.943, 85, B03, S00, 1
B03, Trade, 4215278.293, 85, B03, S01, 1
B03, Trade, 4218044.843, 85, B03, S02, 1
B03, Trade, 4218095.693, 80, B03, S00, 1
B03, Trade, 4220246.743, 85, B03, S02, 1
B03, Trade, 4223729.493, 85, B03, S00, 1
B03, Trade, 4223917.943, 84, B03, S00, 1
B03, Trade, 4225607.893, 85, B03, S02, 1
B03, Trade, 4225703.193, 77, S02, B03, 1
B03, Trade, 4228376.493, 85, B03, S00, 1
B03, Trade, 4235406.093, 85, B03, S02, 1
B03, Trade, 4235424.043, 85, S00, B03, 1
B03, Trade, 4235457.493, 83, B03, S01, 1
B03, Trade, 4235468.643, 83, S02, B03, 1
B03, Trade, 4236129.793, 85, B03, S00, 1
B03, Trade, 4236134.243, 85, B03, S00, 1
B03, Trade, 4236712.043, 84, B03, S00, 1
B03, Trade, 4236788.793, 84, B03, S02, 1
B03, Trade, 4237366.993, 85, B03, S00, 1
