B00, 0
B01, 7
B03, Trade, 4309286.093, 76, S01, B03, 1
B03, Trade, 4309574.943, 84, B03, S01, 1
B03, Trade, 4309732.293, 81, B03, S01, 1
B03, Trade, 4309836.493, 80, S00, B03, 1
B03, Trade, 4310103.593, 83, S00, B03, 1
B03, Trade, 4310168.543, 86, B03, S01, 1
B03, Trade, 4310255.143, 86, B03, S01, 1
B03, Trade, 4310400.143, 78, B03, S01, 1
B03, Trade, 4310439.093, 77, B03, S02, 1
B03, Trade, 4310510.193, 83, B03, S01, 1
B03, Trade, 4310708.943, 81, S01, B03, 1
B03, Trade, 4310798.693, 81, B03, S01, 1
B03, Trade, 4310862.293, 84, B03, S01, 1
B03, Trade, 4311083.193, 69, S01, B03, 1
B03, Trade, 4311159.343, 82, B03, S01, 1
B03, Trade, 4311504.993, 83, B03, S02, 1
B03, Trade, 4311703.443, 86, B03, S01, 1
B03, Trade, 4312460.443, 80, B03, S01, 1
B03, Trade, 4312509.643, 77, B03, S01, 1
B03, Trade, 4312578.543, 81, B03, S01, 1
B03, Trade, 4312614.443, 83, B03, S01, 1
B03, Trade, 4312884.243, 85, B03, S02, 1
B03, Trade, 4312913.993, 85, B03, S01, 1
B03, Trade, 4312961.743, 86, B03, S02, 1
B03, Trade, 4313009.543, 86, B03, S01, 1
B03, Trade, 4313022.043, 86, B03, S03, 1
B03, Trade, 4313066.493, 86, B03, S00, 1
B03, Trade, 4313122.693, 79, B03, S01, 1
B03, Trade, 4313331.943, 85, B03, S02, 1
B03, Trade, 4313350.443, 85, B03, S01, 1
B03, Trade, 4313371.343, 84, B03, S02, 1
B03, Trade, 4313380.893, 83, B03, S01, 1
B03, Trade, 4313760.143, 83, S02, B03, 1
B03, Trade, 4313786.793, 84, B03, S02, 1
B03, Trade, 4313802.743, 84, B03, S02, 1
B03, Trade, 4313893.443, 82, B03, S01, 1
B03, Trade, 4313947.143, 83, B03, S01, 1
B03, Trade, 4314054.993, 86, B03, S02, 1
B03, Trade, 4314293.643, 74, B03, S01, 1
B03, Trade, 4314357.893, 86, B03, S02, 1
B03, Trade, 4314415.793, 85, B03, S01, 1
B03, Trade, 4314606.243, 84, B03, S01, 1
B03, Trade, 4314648.143, 82, B03, S02, 1
B03, Trade, 4314660.393, 86, B03, S02, 1
B03, Trade, 4314741.743, 85, B03, S01, 1
B03, Trade, 4314897.943, 83, B03, S02, 1
B03, Trade, 4315274.643, 85, B03, S02, 1
B03, Trade, 4315394.443, 83, B03, S02, 1
B03, Trade, 4315415.743, 76, B03, S01, 1
B03, Trade, 4315449.543, 86, B03, S02, 1
B03, Trade, 4315509.243, 84, B03, S01, 1
B03, Trade, 4315569.293, 81, B03, S02, 1
B03, Trade, 4315692.993, 86, B03, S02, 1
B03, Trade, 4315899.043, 78, B03, S01, 1
B03, Trade, 4316098.193, 82, B03, S01, 1
B03, Trade, 4316127.643, 83, B03, S01, 1
B03, Trade, 4316261.193, 86, B03, S02, 1
B03, Trade, 4316393.593, 81, B03, S01, 1
B03, Trade, 4316407.343, 83, S01, B03, 1
B03, Trade, 4316626.743, 84, B03, S01, 1
B03, Trade, 4316681.043, 82, B03, S02, 1
B03, Trade, 4316804.893, 84, S00, B03, 1
B03, Trade, 4316897.043, 83, S02, B03, 1
